input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_expired,tls_subject_org_,tls_mismatched,final_url,csp_domains_,location,tls_self_signed
cfame1-b2p.gslb2.comcast.com,,403,93,cfame1-b2p.gslb2.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-10T23:59:59Z,"CN=*.ame1-b2.cf.comcast.net, O=Comcast Corporation, ST=Pennsylvania, C=US",*.ame1-b2.cf.comcast.net,*.ame1-b2.cf.comcast.net,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,7166ecd79ae048664eceec5c9545460b,99f12540cdd88ec3e5e10ab6b48e10365826e8091f853ff79ee6e2d72416d930,ctls,cfame1-b2p.gslb2.comcast.com,443,https://cfame1-b2p.gslb2.comcast.com:443,https,,text/html,GET,96.102.102.253,/,-1060002298,96.102.102.221,,4,False,True,,,,Comcast Corporation,True,,,,
cfamw2-b2p.gslb2.comcast.com,,403,93,cfamw2-b2p.gslb2.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=*.amw2-b2.cf.comcast.net, O=Comcast Corporation, ST=Pennsylvania, C=US",*.amw2-b2.cf.comcast.net,*.amw2-b2.cf.comcast.net,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,57e47a53d8652db666b4adcdae902eb7,99e75f9036f6a5d74081a37dd0083961000f8e956b2ee3f223f0f5b08d0a5188,ctls,cfamw2-b2p.gslb2.comcast.com,443,https://cfamw2-b2p.gslb2.comcast.com:443,https,,text/html,GET,96.102.165.30,/,-1060002298,96.102.165.30,,4,False,True,,,,Comcast Corporation,True,,,,
cfas-b9.gslb2.comcast.com,,403,93,cfas-b9.gslb2.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=*.as-b9.cf.comcast.net, O=Comcast Corporation, ST=Pennsylvania, C=US",*.as-b9.cf.comcast.net,*.as-b9.cf.comcast.net,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,bb51fae995def1bdc58b08a1aec0da04,97ebbc85c700b2944583644be0890b7780a094d447b3f515b88c5480b766b9cd,ctls,cfas-b9.gslb2.comcast.com,443,https://cfas-b9.gslb2.comcast.com:443,https,,text/html,GET,96.99.193.93,/,-1060002298,96.99.193.93,,4,False,True,,,,Comcast Corporation,True,,,,
cfpo-b1.gslb2.comcast.com,,403,93,cfpo-b1.gslb2.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-24T23:59:59Z,"CN=*.po-b1.cf.comcast.net, O=Comcast Corporation, ST=Pennsylvania, C=US",*.po-b1.cf.comcast.net,*.po-b1.cf.comcast.net,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,febb912adc7e89a3824212c7678a9999,0f78ab994b55d608d57884c60e8d8771f64d75b24ddc4306f6ed1541147e144b,ctls,cfpo-b1.gslb2.comcast.com,443,https://cfpo-b1.gslb2.comcast.com:443,https,,text/html,GET,69.241.73.220,/,-1060002298,69.241.73.220,,4,False,True,,,,Comcast Corporation,True,,,,
cfwc-b1.gslb2.comcast.com,,403,93,cfwc-b1.gslb2.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-24T23:59:59Z,"CN=*.wc-b1.cf.comcast.net, O=Comcast Corporation, ST=Pennsylvania, C=US",*.wc-b1.cf.comcast.net,*.wc-b1.cf.comcast.net,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,b3b41cb64464f2589f51518613d2b112,260b2431f7167ea294732b30ce442cef0c61a73bebf7476abcf778d9c53246d8,ctls,cfwc-b1.gslb2.comcast.com,443,https://cfwc-b1.gslb2.comcast.com:443,https,,text/html,GET,68.87.96.219,/,-1060002298,68.87.96.221,,4,False,True,,,,Comcast Corporation,True,,,,
chicago.comcast.com,Comcast Greater Chicago Region,200,111587,chicago.comcast.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-24T00:35:33Z,2023-09-22T00:35:32Z,CN=arizona.comcast.com,arizona.comcast.com,www.comcastfield.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ebce1facd5b0f3c273c558f6f5b3541c,4888f40b4fda0d2e6301f7ec7e2be8c271ac6dba08c6849e304485f302d31503,ctls,chicago.comcast.com,443,https://chicago.comcast.com:443,https,Pagely-ARES/1.10.28,text/html,GET,52.202.180.162,/,1494302000,52.202.180.162,WordPress,658,False,,,,,,,,,,
chub-product-content-int.np.digital.business.comcast.com,,200,14,chub-product-content-int.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=chub-product-content-int.np.digital.business.comcast.com,chub-product-content-int.np.digital.business.comcast.com,*.chub-product-content-int.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,818cae0f5b9fd3fad8b6669cf8355eb9,baaea8110f231ebf22abec278445fc8b258d8e72320a6cadd3ec51bb0a0cd643,ctls,chub-product-content-int.np.digital.business.comcast.com,443,https://chub-product-content-int.np.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,18.66.112.53,/,-1341942583,18.66.112.67,Amazon Web Services,1,False,True,cloudfront,True,,,,,,,
chub-product-content-qa.np.digital.business.comcast.com,,200,14,chub-product-content-qa.np.digital.business.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=chub-product-content-qa.np.digital.business.comcast.com,chub-product-content-qa.np.digital.business.comcast.com,*.va.chub-product-content-qa.np.digital.business.comcast.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fd87546fc1549675c941113001299202,5cb003047aca8873cb626a4b28e6f21d20e4c38de2a7073c60d2b1524566e4ff,ctls,chub-product-content-qa.np.digital.business.comcast.com,443,https://chub-product-content-qa.np.digital.business.comcast.com:443,https,AmazonS3,text/html,GET,13.225.78.64,/,-1341942583,13.225.78.48,Amazon Web Services,1,False,True,cloudfront,True,,,,,,,
ci-test.comcast.com,,200,1975,ccms--ltointeg.sandbox.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-10T00:00:00Z,2023-12-08T23:59:59Z,"CN=cs60.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",cs60.salesforce.com,*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,357afe6f533e71da868fd7f86899e6e6,bbcfdd49018cc327df6a25ad9040d3461daccce54521e043cb2ad40b5820dda7,ctls,ccms--ltointeg.sandbox.my.salesforce.com,80,http://ci-test.comcast.com:80,http,,text/html,GET,96.99.227.255,/,-1731813108,96.99.227.255,HSTS,51,False,True,,,,"salesforce.com, inc.",,https://ccms--ltointeg.sandbox.my.salesforce.com/visualforce/session?url=https%3A%2F%2Fccms--ltointeg.sandbox.lightning.force.com%2Fvisualforce%2Fsession%3Furl%3Dhttps%253A%252F%252Fccms--ltointeg--c.sandbox.vf.force.com%252Fapex%252FContractIntake,,,
ci.comcast.com,,200,1740,ccms.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,2024-01-16T23:59:59Z,"CN=na209.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",na209.salesforce.com,*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,880ac12c574e5761b6f2ee7c4fded6be,49ec0ac00a0a24d770f482e9c5c76720eda19d37df541a386144728cdb34237e,ctls,ccms.my.salesforce.com,80,http://ci.comcast.com:80,http,,text/html,GET,96.99.227.255,/,-1731813108,96.99.227.255,HSTS,51,False,True,,,,"salesforce.com, inc.",,https://ccms.my.salesforce.com/apex/CIRequesterDashboard,,,
cifa.comcast.com,,200,7679,cifa.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=cifa.cable.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",cifa.cable.comcast.com,sccifa.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,dd0b6ab547cafd8c85d0040470bbfa97,2ea3a0fd1cfe705c1d0d807915ae3e6c03a25dbc1cac5f134c90abc2fda81a49,ctls,cifa.comcast.com,443,https://cifa.comcast.com:443,https,BigIP,,GET,96.99.227.60,/,-1225770966,96.99.227.60,F5 BigIP,60,False,,,,,Comcast Corporation,,,,,
cifaimgprd.comcast.com,Oracle HTTP Server 12c,200,8893,cifaimgprd.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-13T00:00:00Z,2024-01-13T23:59:59Z,"CN=cifaimgprd.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",cifaimgprd.comcast.com,cifaimgprd.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,d95b4fc3857d777739f03fa936439af4,c1d1e29f33bf354d199e1a8d655afa41432bb470aa6e85388121ced29fc8a8bc,ctls,cifaimgprd.comcast.com,443,https://cifaimgprd.comcast.com:443,https,,text/html,GET,96.99.228.92,/,-366337701,96.99.228.92,,184,False,,,,,Comcast Corporation,,,,,
cimastatic-ch2-1q.slb.comcast.com,,302,,idm-qa.xfinity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-04T00:00:00Z,2023-11-04T23:59:59Z,"CN=login.xfinity.com, O=Comcast Corporation, ST=Pennsylvania, C=US",login.xfinity.com,wifi.auth.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,0fb4a89f998061c16bed323a137924af,41d6f93a9f69d990b854242c5cf1298d59a8a53357de5ccacb271bf03fb27eec,ctls,idm-qa.xfinity.com,443,https://cimastatic-ch2-1q.slb.comcast.com:443,https,,,GET,96.99.225.103,/,1199993368,96.99.225.103,Amazon Web Services,1,False,,,,,Comcast Corporation,,https://idm-qa.xfinity.com/myaccount/reset,,https://idm-qa.xfinity.com/myaccount/reset?execution=e1s1,
cimastatic-ch2-1s.slb.comcast.com,503 Service Temporarily Unavailable,503,162,cimastatic-ch2-1s.slb.comcast.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2022-08-24T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.identity.xfinity.com, O=Comcast Corporation, ST=Pennsylvania, C=US",*.identity.xfinity.com,xtv-pil.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,e618681bbdccf2259c74d77360642e00,928544dd308f69edd60191ed5fbe3a4e9db42092dc26f1052796976e04aa9e7f,ctls,cimastatic-ch2-1s.slb.comcast.com,443,https://cimastatic-ch2-1s.slb.comcast.com:443,https,awselb/2.0,text/html,GET,162.150.57.78,/,1862162275,162.150.57.78,,7,False,True,,,,Comcast Corporation,True,,,,
cimastatic-wc-1p.slb.comcast.com,503 Service Temporarily Unavailable,503,162,cimastatic-wc-1p.slb.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-24T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.identity.xfinity.com, O=Comcast Corporation, ST=Pennsylvania, C=US",*.identity.xfinity.com,xtv-pil.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,e618681bbdccf2259c74d77360642e00,928544dd308f69edd60191ed5fbe3a4e9db42092dc26f1052796976e04aa9e7f,ctls,cimastatic-wc-1p.slb.comcast.com,443,https://cimastatic-wc-1p.slb.comcast.com:443,https,awselb/2.0,text/html,GET,68.87.29.197,/,1862162275,68.87.29.197,,7,False,True,,,,Comcast Corporation,True,,,,
clcsecurity.comcast.com,comcastlabsconnect.com - Diese Website steht zum Verkauf! - Informationen zum Thema comcastlabsconnect.,200,28006,,,,,,,,,,,,,,,,,,80,http://clcsecurity.comcast.com:80,http,NginX,text/html,GET,96.99.227.255,/,-1731813108,96.99.227.255,PHP:8.1.17,41,False,,,,,,,http://ww16.comcastlabsconnect.com/?sub1=20230711-1230-22cb-97ca-53e6729506d9,,,
clients3.comcast.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://clients3.comcast.com:80,http,nginx,text/html,GET,96.113.115.215,/,1052251114,2001:558:fefc:3503:15e:6337:bcfc:d403,Nginx,26,False,,,,,,,,,,
cloud-cookies.svc-dev.thor.comcast.com,,404,71,cloud-cookies.svc-dev.thor.comcast.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T09:09:12Z,2023-08-13T09:09:11Z,CN=cloud-cookies.svc-dev.thor.comcast.com,cloud-cookies.svc-dev.thor.comcast.com,cloud-cookies.svc-dev.thor.comcast.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bda73504652c88ceb1236299649fe828,ed67849d38eaf8dbaf747f7a088216b94d0a2367a54f864bef88626dca8ff626,ctls,cloud-cookies.svc-dev.thor.comcast.com,80,http://cloud-cookies.svc-dev.thor.comcast.com:80,http,istio-envoy,application/json,GET,52.207.92.76,/,424003797,2600:1f18:62d1:fb05:40e1:fc2b:c444:b89d,HSTS,1,False,,,,,,,https://cloud-cookies.svc-dev.thor.comcast.com/,,,
cloud.vb.comcast.com,Login – Nextcloud,200,13289,cloud.vb.comcast.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-20T00:00:00Z,2024-03-19T23:59:59Z,"CN=cloud.vb.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",cloud.vb.comcast.com,vb.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,a990d424c07ab74684bfff5e156703b6,720369f3568a4018f6f865fc24e9a78b2427c3e04c38334afb4ea2dbe223670f,ctls,cloud.vb.comcast.com,443,https://cloud.vb.comcast.com:443,https,Apache,text/html,GET,71.230.72.209,/,-780928015,71.230.72.209,PHP,78,False,,,,,Comcast Corporation,,https://cloud.vb.comcast.com/index.php/login,,,
cloudsolutions.comcast.com,Comcast Business Cloud Solutions | Comcast Business,200,183670,cloudsolutions.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=cloudsolutions.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",cloudsolutions.comcast.com,cloudsolutions.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,49a0182139050ac48d755255690312b9,b4293f80055d7b6ca1d174be63e06231886736c6503997621e71aa6788871608,ctls,cloudsolutions.comcast.com,443,https://cloudsolutions.comcast.com:443,https,cloudflare,text/html,GET,104.17.172.194,/,-1270699277,104.17.173.194,Node.js,637,False,,cloudflare,True,,Comcast Corporation,,https://cloudsolutions.comcast.com/en-US/home,,,
cloudsolutions2.comcast.com,Access Denied,403,277,cloudsolutions2.comcast.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-05T00:00:00Z,2024-04-04T23:59:59Z,"CN=t.xfinity.com, O=Comcast Corporation, ST=Pennsylvania, C=US",t.xfinity.com,xtv.comcast.net,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,4c2c1b72e5faa38ade3bfba850bdd60c,6bf9960fdca2efd19bc7a96ff3eb7a409eeead7fd4c372e756872d522f8787b6,ctls,cloudsolutions2.comcast.com,443,https://cloudsolutions2.comcast.com:443,https,,text/html,GET,2.16.33.97,/,-36784265,2a02:26f0:1700:38b::20b,HSTS,10,False,,,,,Comcast Corporation,,,,,
cmc.cable.comcast.com,(207935-51:204.12.69.87) Configuration,200,4240,cmc.cable.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2019-05-30T22:03:53Z,2033-02-05T22:03:53Z,"emailAddress=support@kemptechnologies.com, CN=204.12.69.87, OU=Support, O=KEMP Technologies, ST=New York, C=US, emailAddress=support@kemptechnologies.com",204.12.69.87,,"CN=KEMP Technologies, emailAddress=support@kemptechnologies.com, OU=Support, O=KEMP Technologies, L=New York, ST=New York, C=US, emailAddress=support@kemptechnologies.com",KEMP Technologies,KEMP Technologies,5368e9f39898c6a1c76cfd361fd12076,c6d8bf3c0c0ef13c259ab794e19aa1ca2f381c8174c4c08d499445dc1989df3c,ctls,cmc.cable.comcast.com,443,https://cmc.cable.comcast.com:443,https,mini-http/1.0 (unix),text/html,GET,204.12.69.87,/,1125166869,204.12.69.87,UNIX,167,False,,,,,KEMP Technologies,True,,,,True
cmprazor-wc-a1p.slb.comcast.com,Request Rejected,200,394,cmprazor-wc-a1p.slb.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-05-28T00:00:00Z,2022-05-28T23:59:59Z,"CN=*.cmp.xfinity.com, OU=NSO, O=Comcast Corporation, street=1 Comcast Center, L=Philadelphia, ST=Pennsylvania, postalCode=19103, C=US",*.cmp.xfinity.com,*.cmp.xfinity.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,664eb24aecaddf92052a748eecf3bc92,4babbbb62cf3c89a8fbb163279af7036fdab0dec5335f4d465ba2ee023219582,ctls,cmprazor-wc-a1p.slb.comcast.com,443,https://cmprazor-wc-a1p.slb.comcast.com:443,https,,text/html,GET,96.99.226.172,/,-457160998,96.99.226.172,,14,False,True,,,True,Comcast Corporation,True,,,,
cmsaweb-as-01p.slb.comcast.com,Runtime Error,500,3490,cmsaweb-as-01p.slb.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2019-01-07T18:28:35Z,2029-01-04T18:28:35Z,"emailAddress=root@localhost.localdomain, CN=localhost.localdomain, OU=IT, O=MyCompany, L=Seattle, ST=WA, C=US, emailAddress=root@localhost.localdomain",localhost.localdomain,,"emailAddress=root@localhost.localdomain, CN=localhost.localdomain, OU=IT, O=MyCompany, L=Seattle, ST=WA, C=US, emailAddress=root@localhost.localdomain",localhost.localdomain,MyCompany,e859cd7175ece348f77258c9f117e069,cec9b3effed63065d73836ab55de3bd5d033cb7f5259adaa0feb515d9ecacc79,ctls,cmsaweb-as-01p.slb.comcast.com,443,https://cmsaweb-as-01p.slb.comcast.com:443,https,,text/html,GET,96.99.230.220,/,1772087922,96.99.230.220,,83,False,,,,,MyCompany,True,,,,True
cmsaweb-as-1p.slb.comcast.com,Request Rejected,200,394,cmsaweb-as-1p.slb.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-25T00:00:00Z,2023-10-25T23:59:59Z,"CN=media.effectv.com, O=Comcast Corporation, ST=Pennsylvania, C=US",media.effectv.com,media.effectv.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,2b06f025b386e711328b43bcb83c846c,2f2a5cd7b18d762773b5b416b3b5bc4c25efc13581370a359b00f1d98d52f5aa,ctls,cmsaweb-as-1p.slb.comcast.com,443,https://cmsaweb-as-1p.slb.comcast.com:443,https,,text/html,GET,96.99.224.108,/,-1697457117,96.99.224.108,,14,False,,,,,Comcast Corporation,True,,,,
cmsaweb-as-1s.slb.comcast.com,CMSA,200,78536,cmsaweb-as-1s.slb.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-25T00:00:00Z,2024-01-25T23:59:59Z,"CN=stagemedia.effectv.com, O=Comcast Corporation, ST=Pennsylvania, C=US",stagemedia.effectv.com,cmsaweb-as-02s.cable.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,4f026ae3e399e2fa9a4623d0d52aa3fd,997150b01ba18491daba1705afa094622dcbbabaf75fec525f94c773cd1b0ad6,ctls,cmsaweb-as-1s.slb.comcast.com,443,https://cmsaweb-as-1s.slb.comcast.com:443,https,DENY,text/html,GET,96.99.224.148,/,-267698527,96.99.224.148,Microsoft ASP.NET,564,False,,,,,Comcast Corporation,True,,,,
cmsaweb-as-2p.slb.comcast.com,Request Rejected,200,394,cmsaweb-as-2p.slb.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-24T00:00:00Z,2023-10-24T23:59:59Z,"CN=emm.effectv.com, O=Comcast Corporation, ST=Pennsylvania, C=US",emm.effectv.com,emm.effectv.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,c2edc773bc8108358a356cd0867b0cc1,3b894619d903400e78e3382f8ca9cc97e1c47a6637afd09a6fd347fc60691cf6,ctls,cmsaweb-as-2p.slb.comcast.com,443,https://cmsaweb-as-2p.slb.comcast.com:443,https,,text/html,GET,96.99.226.174,/,-567455141,96.99.226.174,,14,False,,,,,Comcast Corporation,True,,,,
cmsaweb-ho-01p.slb.comcast.com,Runtime Error,500,3490,cmsaweb-ho-01p.slb.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2019-02-12T18:02:20Z,2029-02-09T18:02:20Z,"emailAddress=root@localhost.localdomain, CN=localhost.localdomain, OU=IT, O=MyCompany, L=Seattle, ST=WA, C=US, emailAddress=root@localhost.localdomain",localhost.localdomain,,"emailAddress=root@localhost.localdomain, CN=localhost.localdomain, OU=IT, O=MyCompany, L=Seattle, ST=WA, C=US, emailAddress=root@localhost.localdomain",localhost.localdomain,MyCompany,0de906525b0242fd1836aa083da5bf48,3018cd85a2ba365375451d131eebce1ccd02e1ec3022b928e751fc0ef0b8335e,ctls,cmsaweb-ho-01p.slb.comcast.com,443,https://cmsaweb-ho-01p.slb.comcast.com:443,https,,text/html,GET,96.99.230.222,/,1772087922,96.99.230.222,,83,False,,,,,MyCompany,True,,,,True
cn-external-1p.gslb4.comcast.com,403 - Forbidden: Access is denied.,403,1233,cn-external-1p.gslb4.comcast.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,"CN=comcastnow.com, O=Comcast Corporation, ST=Pennsylvania, C=US",comcastnow.com,www.comcastnow.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,70b86c1e26d9bf2fad44017f2c4d8393,96f7b5cc822d372e35fdb64e9d59d2262c2ff3d6da3bef9cb581104783541da8,ctls,cn-external-1p.gslb4.comcast.com,443,https://cn-external-1p.gslb4.comcast.com:443,https,Microsoft-IIS/8.5,text/html,GET,96.115.73.13,/,1631801191,96.115.73.13,Windows Server,30,False,,,,,Comcast Corporation,,,,,
collector.pabs.comcast.com,,403,23,collector.pabs.comcast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.pabs.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",*.pabs.comcast.com,pabs.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,e525844b55ce41b5fc285651526db8d9,d2948d83dd9913d9b9ef6fd46074ff7acb06c22c883fdbef0b311971d0f76f7d,ctls,collector.pabs.comcast.com,443,https://collector.pabs.comcast.com:443,https,,application/json,GET,50.16.190.247,/,968070783,54.225.232.45,,1,False,True,,,,Comcast Corporation,,,,,
colorado.comcast.com,Comcast Colorado,200,104313,colorado.comcast.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-24T00:35:33Z,2023-09-22T00:35:32Z,CN=arizona.comcast.com,arizona.comcast.com,www.comcastfield.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ebce1facd5b0f3c273c558f6f5b3541c,4888f40b4fda0d2e6301f7ec7e2be8c271ac6dba08c6849e304485f302d31503,ctls,colorado.comcast.com,443,https://colorado.comcast.com:443,https,Pagely-ARES/1.10.28,text/html,GET,23.23.50.50,/,1494302000,23.23.50.50,WordPress,666,False,,,,,,,,,,
comcastesl-nonprod.comcast.com,403 Forbidden,403,118,comcastesl-nonprod.comcast.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=comcastesl-nonprod.comcast.com, O=Comcast Corporation, ST=Pennsylvania, C=US",comcastesl-nonprod.comcast.com,comcastesl-nonprod.comcast.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,a586d8a6e6fac0aaf43862f126eb1938,1f82a9df452786c5c7ed94286e0ad4683cfe81d0e5eea5f81093c1a1fde9fe1d,ctls,comcastesl-nonprod.comcast.com,443,https://comcastesl-nonprod.comcast.com:443,https,,text/html,GET,52.207.185.216,/,1828833911,3.226.54.97,HSTS,7,False,,,,,Comcast Corporation,,,,,
