input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,tls_expired,final_url,tls_mismatched,location
status.bitmex.com,BitMEX Status,200,405041,status.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-20T06:45:23Z,2023-09-18T06:45:22Z,CN=cc20.status.jasper.com,cc20.status.jasper.com,,www.aptomastatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,def00e7109f5d7291d4f653580297c92,fbd83c28231918dd55d07a717663889e799974c5720ec32fffd4910d60a26509,ctls,status.bitmex.com,,443,https://status.bitmex.com:443,https,,text/html,GET,52.215.192.133,/,-1840324437,52.215.192.133,HSTS,4441,False,,,,,,,
support.bitmex.com,Security check,403,7855,support.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-20T00:17:11Z,2023-08-18T00:17:10Z,CN=support.bitmex.com,support.bitmex.com,,support.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f47473ee75d29ba83e3c6ac60703b24c,b4cd51b6fb11fcca60162d6e6254889a99a23fe4d41fa9dd831d58a0e2ca9f6b,ctls,support.bitmex.com,cloudflare,443,https://support.bitmex.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,104,False,True,,,,https://support.bitmex.com/hc/en-gb,,
support.testnet.bitmex.com,,302,277,bitmex.freshdesk.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=*.freshdesk.com,*.freshdesk.com,,*.freshdesk.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b903eaf1af1c5e5466aa330ac0a158ba,995ac6bb46a3eb1a7da6c2cfb341c0276f1afc61c2c4b6401650ab1af91cac18,ctls,bitmex.freshdesk.com,cloudfront,80,http://support.testnet.bitmex.com:80,http,fwe,text/html,GET,65.9.66.91,/,-1611011004,65.9.66.57,HSTS,1,False,True,True,,,https://bitmex.freshdesk.com/en/support/login,,https://bitmex-org.freshworks.com/oauth/authorize?client_id=41441690836303948&redirect_uri=https%3A%2F%2Fbitmex.freshdesk.com%2Ffreshid%2Fauthorize_callback&response_type=code&hd=bitmex.freshdesk.com
testnet-static.bitmex.com,,403,243,testnet-static.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-06T23:59:59Z,CN=static.bitmex.com,static.bitmex.com,,testnet-static.bitmex.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ffd15391e40d22cdae4584a2ad2f600b,27041bf6dc5ea7ae58c87273366ca1fb5e23eac0996b17ec7b253dd8f34f9b11,ctls,testnet-static.bitmex.com,cloudfront,443,https://testnet-static.bitmex.com:443,https,AmazonS3,application/xml,GET,99.86.4.26,/,1607016690,99.86.4.56,Amazon Web Services,2,False,True,,,,,,
testnet.bitmex.com,BitMEX Testnet,200,304565,testnet.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,testnet.bitmex.com,cloudflare,443,https://testnet.bitmex.com:443,https,cloudflare,text/html,GET,172.64.146.66,/,-1717152849,104.18.41.190,webpack,251,False,True,True,https://cdn.analytics.bitmex.com,,,,
token.bitmex.com,The BMEX Token,200,197976,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,www.bitmex.com,cloudflare,443,https://token.bitmex.com:443,https,cloudflare,text/html,GET,104.18.41.190,/,990581051,172.64.146.66,webpack,342,False,True,True,https://player.vimeo.com/,,https://www.bitmex.com/BMEX,,
upload.devsf3.bitmex.com,,400,163,upload.devsf3.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-01T08:01:08Z,2023-09-29T08:01:07Z,CN=upload.devsf3.bitmex.com,upload.devsf3.bitmex.com,,upload.devsf3.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2c37e77196f6c40a0bbb9a25cf4d791b,df8fc0a622f0cf59f77381c39b8d222064ea075c19f78061190dbdd8936f60ac,ctls,upload.devsf3.bitmex.com,,443,https://upload.devsf3.bitmex.com:443,https,nginx,text/plain,GET,3.215.204.48,/,1512572827,107.20.75.87,Nginx,1,False,,,,,,,
vasp.bitmex.com,,403,16,vasp.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,vasp.bitmex.com,cloudflare,443,https://vasp.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,1268003052,172.64.146.66,HTTP/3,1,False,True,True,,,,,
watchlist.bitmex.com,Data Security & Compliance Infrastructure for Modern Organizations | Very Good Security,200,510525,www.verygoodsecurity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=www.verygoodsecurity.com, O=Very Good Security\, Inc, L=San Francisco, ST=California, C=US, serialNumber=5908175, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.verygoodsecurity.com,"Very Good Security, Inc",status.verygoodsecurity.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,0e3dc14baef9c9e4917b978979fc820a,f1923c4e3ad3b9dba980662c00ee98246cc709fa66f991080f5d451a72fa4ca8,ctls,www.verygoodsecurity.com,,443,https://watchlist.bitmex.com:443,https,Netlify,text/html,GET,52.29.119.132,/,-134915614,3.125.23.48,Vue.js,15,False,,,https://forms.hsforms.com,,https://www.verygoodsecurity.com/,,
watchlist.dev.bitmex.com,,400,163,watchlist.dev.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T08:04:45Z,2023-08-10T08:04:44Z,CN=watchlist.dev.bitmex.com,watchlist.dev.bitmex.com,,watchlist.dev.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,76e5abfe40ef8a0c7d668e3fcf6c7d10,db7ea3d953c2764d8ec95f25f4fee793ec97af2684e7053fef8487b2ba1137b3,ctls,watchlist.dev.bitmex.com,,443,https://watchlist.dev.bitmex.com:443,https,nginx,text/plain,GET,107.20.75.87,/,-1757703902,3.215.240.222,Nginx,1,False,,,,,,,
watchlist.testnet.bitmex.com,Data Security & Compliance Infrastructure for Modern Organizations | Very Good Security,200,510525,www.verygoodsecurity.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=www.verygoodsecurity.com, O=Very Good Security\, Inc, L=San Francisco, ST=California, C=US, serialNumber=5908175, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.verygoodsecurity.com,"Very Good Security, Inc",status.verygoodsecurity.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,0e3dc14baef9c9e4917b978979fc820a,f1923c4e3ad3b9dba980662c00ee98246cc709fa66f991080f5d451a72fa4ca8,ctls,www.verygoodsecurity.com,,443,https://watchlist.testnet.bitmex.com:443,https,Netlify,text/html,GET,3.125.23.48,/,-134915614,52.29.119.132,Vue.js,15,False,,,https://player.vimeo.com/,,https://www.verygoodsecurity.com/,,
web-ws.bitmex.com,,404,,web-ws.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,web-ws.bitmex.com,cloudflare,443,https://web-ws.bitmex.com:443,https,cloudflare,,GET,172.64.146.66,/,-1840324437,104.18.41.190,HTTP/3,1,False,True,True,,,,,
web-ws.devhk.bitmex.com,,403,16,web-ws.devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,web-ws.devhk.bitmex.com,cloudflare,443,https://web-ws.devhk.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,1253481126,172.64.146.66,HTTP/3,1,False,True,True,,,,,
web-ws.testnet.bitmex.com,,404,,web-ws.testnet.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",*.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9d804d5ce54ba06299b9754aa13a8714,72f22ec40f283efb45398a2551f0aa629b8a953d6ab455282be9c8c6a9eaec05,ctls,web-ws.testnet.bitmex.com,cloudflare,443,https://web-ws.testnet.bitmex.com:443,https,cloudflare,,GET,172.64.146.66,/,-1840324437,104.18.41.190,HTTP/3,1,False,True,True,,,,,
ws.bitmex.com,,520,,ws.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,ws.bitmex.com,cloudflare,443,https://ws.bitmex.com:443,https,cloudflare,,GET,104.18.41.190,/,-1840324437,172.64.146.66,HTTP/3,1,False,True,True,,,,,
ws.devhk.bitmex.com,,403,16,ws.devhk.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,ws.devhk.bitmex.com,cloudflare,443,https://ws.devhk.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,1253481126,172.64.146.66,HTTP/3,1,False,True,True,,,,,
www.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,680493,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,ctls,www.bitmex.com,cloudflare,443,https://www.bitmex.com:443,https,cloudflare,text/html,GET,104.18.41.190,/,-689373029,172.64.146.66,webpack,468,False,True,True,https://player.vimeo.com/,,,,
