new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,ns,has_internal_ips,internal_ips,caa,ptr
[x],elis-secure.abb.com,,,production.dv74lwwqsltcr.amplifyapp.com,"ns-904.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],emea.multiscan.abb.com,"2.17.100.210, 2.17.100.251","2a02:26f0:ab00::5c7a:d70b, 2a02:26f0:ab00::214:8e42","emea.multiscan.waf.abb, emea.multiscan.abb.com.edgekey.net, e95246.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],emea01.multiscan.abb.com,"2.16.241.141, 2.16.241.152","2a02:26f0:480:c::210:f198, 2a02:26f0:480:c::210:f18d","emea01.multiscan.waf.abb, emea01.multiscan.abb.com.edgekey.net, e95246.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],emea02.multiscan.abb.com,"2.17.100.251, 2.17.100.210","2a02:26f0:ab00::214:8e42, 2a02:26f0:ab00::5c7a:d70b","emea02.multiscan.waf.abb, emea02.multiscan.abb.com.edgekey.net, e95246.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],emergency-lighting-configurator.abb.com,"96.16.54.129, 96.16.54.176",,"emergency-lighting-configurator.waf.abb, emergency-lighting-configurator.abb.com.edgekey.net, e95246.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],emob04.us.abb.com,20.52.134.77,,"emob04-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],emobility.abb.com,"95.101.133.27, 80.239.254.41",,"emobility.waf.abb, emobility.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],emobtest.us.abb.com,138.226.64.76,,usytp-s-webdmz3-test.us.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],employee-benefits.in.abb.com,13.76.169.213,,insp001.apps.in.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],empower.abb.com,"23.36.162.214, 23.36.162.221",,"empower.waf.abb, empower.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],enclosures.abb.com,137.117.224.85,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],energymanagement-calculator.abb.com,52.184.176.172,,xc-s-zw08141.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],engineering-support.abb.com,52.176.165.69,,"engineering-support.azurewebsites.net, waws-prod-dm1-039.vip.azurewebsites.windows.net, waws-prod-dm1-039.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],enterpriseenrollment.a2.abb.com,52.236.189.96,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],enterpriseenrollment.ch.abb.com,20.189.172.161,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpna01.westus.cloudapp.azure.com, pexsucpna02.eastus.cloudapp.azure.com","ns1-02.azure-dns.com, msnhst.microsoft.com, ns1-201.azure-dns.com",NOERROR,True,azure,,,,,,,
[x],enterpriseenrollment.e.abb.com,13.74.111.192,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],enterpriseenrollment.pl.abb.com,20.91.147.72,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com","ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],enterpriseenrollment.stage.abb.com,20.91.147.72,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com","ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],enterpriseenrollment.test.abb.com,20.91.147.72,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,
[x],enterpriseenrollment.xe.abb.com,52.236.189.96,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com","ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],env01.abilitylite01.abb.com.cn,124.70.65.32,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],env01.ingestion.abilitylite01.abb.com.cn,124.70.65.32,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],env01.ingestion.abilitylite03.abb.com,10.5.0.60,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,True,10.5.0.60,,
[x],env02.ingestion.abilitylite02.abb.com.cn,119.3.216.158,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],eos.de.abb.com,138.222.190.163,,dem037779.de.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ep-sales.ca.abb.com,"23.36.162.200, 23.36.162.215",,"ep-sales.ca.waf.abb, ep-sales.ca.abb.com.edgekey.net, e95266.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],ep-sales.us.abb.com,206.208.208.166,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],equipmentmanagement.drives.abb.com,20.50.2.85,,"modrequipmentmgmt-prod-as.azurewebsites.net, waws-prod-am2-497.sip.azurewebsites.windows.net, waws-prod-am2-497-ed8e.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],erepair.abb.com,"23.53.43.83, 23.53.43.17",,"erepair.waf.abb, erepair.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],erepair.stage.abb.com,"95.101.133.27, 80.239.254.41",,"stage.ace.abb.com, stage.ace.waf.abb, stage.ace.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],eroom.xe.abb.com,138.225.48.25,,,"xe-s-dnsis01z.xe.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ete.abb.com.cn,"23.53.43.34, 23.53.43.33",,"ete.cn.waf.abb, ete.abb.com.cn.edgekey.net, ete.abb.com.cn.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],eu.marketplace.ability.abb,"13.107.246.45, 13.107.213.45","2620:1ec:bdf::45, 2620:1ec:46::45","mp-fde-redirect1-amgve2eaagachcfz.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.t-msedge.net",NOERROR,,,,,,,,,
[x],eu.mybuildings.abb.com,,,,"ns1-05.azure-dns.com, de-bje-domain-admin.abb.com",NOERROR,True,azure,,mx0.webpack.hosteurope.de,,,,,
[x],euc-ame-004.abb.com,192.125.0.23,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-ame-005.abb.com,192.125.0.24,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-apa-004.abb.com,202.50.181.11,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-apa-005.abb.com,202.50.181.22,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-apa-006.abb.com,202.50.181.23,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-apa-007.abb.com,202.50.181.21,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-eme-004.abb.com,138.225.1.12,,,,NOERROR,,,,,,,,,
[x],euc-eme-005.abb.com,138.225.1.4,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-eme-006.abb.com,138.225.1.5,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-eme-007.abb.com,138.225.1.6,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],euc-eme-010.abb.com,138.225.1.17,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],europe.tnb.com,206.208.208.160,,tnbs160.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],evcharging.it.abb.com,94.81.163.154,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],events.abb,52.72.49.79,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,custmx.cscdns.net,"dns1.cscdns.net, dns2.cscdns.net",,,,
[x],events.in.abb.com,52.230.28.192,,xc-s-zw08274.xc.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],excitation-training.abb.com,142.112.46.44,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,v=spf1 include:spf.protection.outlook.com include:inet.spf.abb.com ip4:204.101.250.100/28 -all,,,,,,
[x],expwe.ipt.pl.abb.com,137.133.22.14,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ext01.de.abb.com,129.35.204.77,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ext01.ru.abb.com,109.238.244.4,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ext01.us.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ext02.us.abb.com,138.226.64.105,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],extdata.de.abb.com,62.159.156.45,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],external.elsp-processmgmt.abb.com.cn,202.106.236.132,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],external.productinformation.abb.com,13.68.87.185,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],extranet.tnb.com,206.208.208.157,,tnbs157.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],fb.abb.com,138.224.14.30,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],feedback.ability.abb,23.22.45.22,,abilityplatform.ideas.aha.io,"prod-ns1.aha-dns.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fiba-services.abb.com,138.224.9.165,,de-s-0200550-2.de.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],fiba.abb.com,138.224.9.166,,de-s-0200550-3.de.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],file.icare.abb.com.cn,,,appgw-cloudcc.chinanorth3.cloudapp.chinacloudapi.cn,"ns1-09.azure-dns-2.cn, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],files.cylon.com,89.101.141.55,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,
[x],financeacademy.abb.com,,,"financeacademy.waf.abb, financeacademy.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fiori.abb.com,20.52.134.77,,"fiori-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],fiori.br.abb.com,137.133.0.43,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],fiori.test.abb.com,20.52.134.77,,"fiori-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],fiori1.it.abb.com,213.26.24.38,,stgportal1.abb.com,,NOERROR,,,,,,,,,
[x],fipo.abb.com,,,"redirect.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],firealarm-configurator.eu.mybuildings.abb.com,"95.101.111.155, 95.101.111.172",,"firealarm-configurator.eu.mybuildings.waf.abb, firealarm-configurator.eu.mybuildings.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fivaa-s-te00041.fi.abb.com,194.241.161.194,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],fivaa-s-te00141.fi.abb.com,194.241.161.195,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],fixomatic.abb.com,138.225.1.1,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],fletch.abb.com,206.208.208.120,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],forms.abb.com,"13.224.189.5, 13.224.189.58, 13.224.189.39, 13.224.189.52",,abb-whitelabel.123formbuilder.com,"ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,v=spf1 ip4:34.236.173.200 ip4:35.157.46.27 ip4:34.236.172.26 ip4:54.240.98.212 ip4:54.240.98.213 ip4:54.240.98.214 -all,,,,,,
[x],fr.abb,,,,,NOERROR,,,,,,,,,
[x],ftp.baldor.com,70.182.107.101,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ftp.cylon.com,89.101.141.58,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,
[x],ftp.pdc.abb.com,52.178.218.65,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],ftp.pdc.test.abb.com,52.178.222.80,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],ftp.publish.library.stage.abb.com,52.19.204.182,,xc-s-aiw0115.xc.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ftp.publish.library.test.abb.com,52.19.204.182,,xc-s-aiw0115.xc.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ftp1.de.abb.com,129.35.205.26,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ftp2.tnb.com,199.120.203.199,,tnbd199.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],ftpdomustech.it.abb.com,81.118.90.100,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ftppdc.it.abb.com,81.118.90.100,,ftpdomustech.it.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],function-getserviceactionform.drivetune.motion.abb.com.cn,,,"motion-getserviceactionform-prod-function.chinacloudsites.cn, hosts.motion-getserviceactionform-prod-function.chinacloudsites.cn","ns1-02.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],fwdkim1.abb.com,,,spfmx1.domainkey.freshemail.io,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,v=spf1 include:sendgrid.net include:fdspfus.freshemail.io include:fdspfeuc.freshemail.io include:fdspfind.freshemail.io include:fdspfaus.freshemail.io ~all,,"ns-1213.awsdns-23.org, ns-1972.awsdns-54.co.uk, ns-285.awsdns-35.com, ns-519.awsdns-00.net",,,,
[x],gatemanager.abb.com,58.32.237.92,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],gateway.baldor.abb.com,,,,,NOERROR,,,,,,,,,
[x],gcal.tnb.com,172.253.63.121,2607:f8b0:4004:c08::79,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
[x],gcb-rfat.abb.com,,,xc-s-aiw0027.xc.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],gdocs.tnb.com,,2a00:1450:4001:831::2013,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
[x],genixpilotpaen.abb.com.cn,124.70.92.23,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],geo.eu.mybuildings.abb.com,51.138.49.152,,,"ns1-05.azure-dns.com, de-bje-domain-admin.abb.com",NOERROR,True,azure,,,,,,,
[x],geo.mybuildings.abb.com,,,"mybuildings-geo.trafficmanager.net, geo.eu.mybuildings.abb.com","ns1-05.azure-dns.com, de-bje-domain-admin.abb.com",NOERROR,True,azure,,,,,,,
[x],gitlab.au.abb.com,203.28.106.228,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],glf-app.abb,85.13.132.159,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,v=spf1 -all,custmx.cscdns.net,"dns1.cscdns.net, dns2.cscdns.net",,,,
[x],go.abb,52.72.49.79,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,custmx.cscdns.net,"dns1.cscdns.net, dns2.cscdns.net",,,,
[x],go.insideplus.abb.com,"108.128.186.105, 63.32.122.133",,xc-alb-iportal-prod-ext-1545830511.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],gov.abb.com,,,new.abb.com.gccdn.net,,NOERROR,,,,,,,,,
[x],grafana.apm.enterprisesoftware.abb,40.69.71.126,,,"ns1-09.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,
[x],group.abb.com,"63.35.63.17, 18.200.110.5, 52.49.8.106",,"www115.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],groupwise.tnb.com,206.208.208.154,,tnbs154.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],gss1.abb.com,138.225.1.66,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],gss2.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],guesthouse.in.abb.com,"95.101.74.159, 95.101.74.163",,"guesthouse.in.waf.abb, guesthouse.in.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],guestwifi.cn.abb.com,203.0.113.1,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,True,203.0.113.1,,
[x],guestwlan.ch.abb.com,"10.40.207.21, 10.40.207.22",,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,True,"10.40.207.21, 10.40.207.22",,
[x],gw.smartsensor.abb.com.cn,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],gwa001.it.abb.com,"2.16.241.135, 2.16.241.133",,"gwa001.it.waf.abb, gwa001.it.abb.com.edgekey.net, e119625.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],handheld-scanners.us.abb.com,70.182.107.35,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],hc.in.abb.com,52.230.28.192,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],hcfiletransfer.abb.com,195.67.121.157,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],hcs-cu11-exe01.nl.abb.com,90.145.62.54,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],help.cylon.com,89.101.141.59,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,
[x],help.empower.abb.com,,,i3-alb-qmw-prod-1-738535518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],help.service.motion.abb.com.cn,40.73.26.25,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],hr.drives.abb.com.cn,52.131.35.154,,shared-appg-ip-prd.chinanorth2.cloudapp.chinacloudapi.cn,"ns1-02.azure-dns.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],hrgtdevb.a2.abb.com,138.224.12.58,,deportal1.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],hvccableinstallation.abb.com,195.67.121.157,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],hvcinstallation.abb.com,195.67.121.157,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],iapptst.cn.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ibcm1xe.net.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],icare.abb.com.cn,143.64.16.5,,appgw-cloudcc.chinanorth3.cloudapp.chinacloudapi.cn,"ns1-09.azure-dns-2.cn, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],id.abb,20.110.111.205,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,
[x],id.abb.com,52.30.171.72,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,"autodesk-domain-verification=LpPgsKATa8aKE25qvbJu, Dynatrace-site-verification=98b71ac4-14ab-4e61-8630-6a489c038479__8j4ivl0tdhbko96bp8a4tuq7ql, v=spf1 include:spf.abb.com -all, atlassian-domain-verification=biOpVQdvIbT121lVclp2a/Ch2KlBaYcxKqtcs0d477HQkZ/HyTAMt/A/zbcdBHEN, teamviewer-sso-verification=dd3f2732f5a54258a4c096d674e216fc",id-abb-com.mail.protection.outlook.com,"nse2.abb.com, nse3.abb.com, nse1.abb.com",,,,
[x],idg-tmp.ch.abb.com,52.169.92.165,,xc-s-zw06026.xc.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],idg.ch.abb.com,52.169.92.165,,xc-s-zw06026.xc.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],idg.stage.ch.abb.com,52.169.22.26,,stage.api.imaster.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],idp.motorsales.abb.com.cn,40.73.67.195,,prod-motorsales-abb-com-cn.chinaeast2.cloudapp.chinacloudapi.cn,"ns1-04.azure-dns-1.cn, ns2.windowsazure.cn",NOERROR,,,,,,,,,
[x],ie.abb.com,"52.30.171.72, 202.50.181.46, 138.225.1.190, 192.125.0.60",,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,"Dynatrace-site-verification=9f7af6f5-5f93-4e3f-9d31-9a911082bea8__m7sde5ohbc4bth8q86hovdge2o, autodesk-domain-verification=w6xWvduvGATk4g1dRRLa, v=spf1 include:spf.abb.com -all",ie-abb-com.mail.protection.outlook.com,"nse1.abb.com, nse2.abb.com, nse3.abb.com",,,,
[x],imageservice.abb.com,52.51.37.216,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],imsr6000.abb.com,130.110.1.33,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],inabbtrms.in.abb.com,10.140.254.76,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,True,10.140.254.76,,
[x],inblr-s-apsw007.in.abb.com,202.27.9.70,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],index.library.abb.com,52.236.38.212,,prod-solr-aks.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],index.library.stage.abb.com,51.104.136.49,,stage-solr-aks.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],index.library.test.abb.com,20.54.102.244,,test-solr-aks.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],industrial-automation-service.abb.com,"138.91.126.240, 13.107.236.9, 208.84.5.9",2603:1061:0:700::9,,"ns1-09.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,mx.sendgrid.net,"ns3-09.azure-dns.org, ns2-09.azure-dns.net, ns1-09.azure-dns.com, ns4-09.azure-dns.info",,,,
[x],industrialsolutions.be.abb.com,,,"industrialsolutions.be.waf.abb, industrialsolutions.be.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],industrialsolutions.befr.abb.com,"95.101.74.137, 95.101.74.143",,"industrialsolutions.befr.waf.abb, industrialsolutions.befr.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],industrialsolutions.br.abb.com,,,"industrialsolutions.br.waf.abb, industrialsolutions.br.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
