new,host,a,cname,soa,ns,status_code,cdn,cdn-name,aaaa,mx,txt,caa
[x],sflb-03-tuk1.steampowered.com,208.64.202.100,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],sflb-04-tuk1.steampowered.com,208.64.202.101,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],sflb.steampowered.com,208.64.202.69,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-01-blv1.valvesoftware.com,208.64.203.181,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-01-tuk1.steampowered.com,208.64.202.37,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-02-blv1.valvesoftware.com,208.64.203.182,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-03-tuk1.steampowered.com,208.64.202.39,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-04-tuk1.steampowered.com,208.64.202.43,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-05-tuk1.steampowered.com,208.64.202.38,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-06-tuk1.steampowered.com,208.64.202.48,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-07-tuk1.steampowered.com,208.64.202.49,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-08-tuk1.steampowered.com,208.64.202.50,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-10-tuk1.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-11-tuk1.steampowered.com,208.64.202.55,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-12-tuk1.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-14-tuk1.steampowered.com,208.64.202.58,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-38.steampowered.com,208.64.202.38,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-44.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-45.steampowered.com,208.64.202.45,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-48.steampowered.com,208.64.202.48,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-50.steampowered.com,208.64.202.50,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-51.steampowered.com,208.64.202.51,,,,NOERROR,,,,,,
[x],smtp-52.steampowered.com,208.64.202.52,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-53.steampowered.com,,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-54.steampowered.com,208.64.202.54,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-59.steampowered.com,208.64.202.59,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-62.steampowered.com,208.64.202.62,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp-63.steampowered.com,208.64.202.63,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp.steampowered.com,208.64.202.36,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],smtp.valvesoftware.com,,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],smtp.wiki.teamfortress.com,208.64.202.101,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],smtp01.valvesoftware.com,208.64.203.181,smtp-01-blv1.valvesoftware.com,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],smtp02.valvesoftware.com,208.64.203.182,smtp-02-blv1.valvesoftware.com,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],snrww-spring.new.blog.counter-strike.net,"192.0.78.25, 192.0.78.24",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns2.wordpress.com, ns1.wordpress.com",NOERROR,,,,,,
[x],snrww.new.blog.counter-strike.net,"192.0.78.25, 192.0.78.24",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],source.valvesoftware.com,"172.64.155.87, 104.18.32.169, 108.162.193.95, 172.64.33.95, 173.245.59.95, 108.162.192.71, 172.64.32.71, 173.245.58.71",developer.valvesoftware.com,"ashley.ns.cloudflare.com, dns.cloudflare.com","ashley.ns.cloudflare.com, dale.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::6812:20a9, 2606:4700:4400::ac40:9b57, 2606:4700:58::adf5:3b5f, 2803:f800:50::6ca2:c15f, 2a06:98c1:50::ac40:215f, 2606:4700:50::adf5:3a47, 2803:f800:50::6ca2:c047, 2a06:98c1:50::ac40:2047",mx.developer.valvesoftware.com,v=spf1 mx -all,
[x],staging.dota2.com,"104.18.212.32, 104.18.213.32",,"ashley.ns.cloudflare.com, dns.cloudflare.com","ashley.ns.cloudflare.com, dale.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:d520, 2606:4700::6812:d420",,,
[x],steampowered.com,208.64.202.36,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,smtp.steampowered.com,,"mailto:ssl-abuse@valvesoftware.com, letsencrypt.org, digicert.com"
[x],steamsupport.valvesoftware.com,208.64.203.148,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],steamvr.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],store.counter-strike.net,104.102.21.75,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],store.origin.steampowered.com,"208.64.202.100, 208.64.202.101, 208.64.202.99, 208.64.202.98",sfweb.steam.akadns.net,"internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,
[x],store.steampowered.com,184.30.20.74,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],store.valvesoftware.com,"104.18.33.126, 172.64.154.130, 108.162.193.95, 172.64.33.95, 173.245.59.95, 108.162.192.71, 172.64.32.71, 173.245.58.71",,"ashley.ns.cloudflare.com, dns.cloudflare.com","dale.ns.cloudflare.com, ashley.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::ac40:9a82, 2606:4700:4400::6812:217e, 2606:4700:58::adf5:3b5f, 2803:f800:50::6ca2:c15f, 2a06:98c1:50::ac40:215f, 2606:4700:50::adf5:3a47, 2803:f800:50::6ca2:c047, 2a06:98c1:50::ac40:2047",,,
[x],storehelp.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],support-fraudbot.valvesoftware.com,208.64.203.176,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],support.origin.steampowered.com,104.130.132.85,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],support.steampowered.com,,,"ashley.ns.cloudflare.com, dns.cloudflare.com","dale.ns.cloudflare.com, ashley.ns.cloudflare.com",NOERROR,True,cloudflare,,,v=spf1 -all,
[x],t5b8xiika6jx0l4r.auskins.www.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns3.wordpress.com, ns1.wordpress.com",NOERROR,,,,,,
[x],tableau-01.valvesoftware.com,54.144.128.85,,,,NOERROR,,,,,,
[x],teamfortress.com,104.87.181.231,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],test.playartifact.com,1.1.1.5,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],test.steampowered.com,"2.19.204.176, 2.19.204.193",,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,"2a02:26f0:4600::213:ccb0, 2a02:26f0:4600::213:ccc1",,,
[x],translation.steampowered.com,"104.18.39.177, 172.64.148.79",,"ashley.ns.cloudflare.com, dns.cloudflare.com","ashley.ns.cloudflare.com, dale.ns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:4400::6812:27b1, 2606:4700:4400::ac40:944f",,v=spf1 -all,
[x],used-www.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],valvesoftware.com,104.102.21.75,,"a1-164.akam.net, admin.valvesoftware.com","a9-66.akam.net, a22-67.akam.net, a7-66.akam.net, a24-64.akam.net, a1-194.akam.net, a2-64.akam.net",NOERROR,,,,"us-smtp-inbound-2.mimecast.com, us-smtp-inbound-1.mimecast.com","ZOOM_verify_6txb0CpTQ16fLBlTpAC9dQ, logmein-verification-code=068f4cd3-ee6d-4546-b163-777e0b540571, MS=ms61951141, v=spf1 mx ip4:72.165.61.134/31 ip4:216.207.205.96/28 ip4:208.64.203.142/31 ip4:208.64.203.180/30 ip4:208.64.202.36/28 ip6:2620:f9:1:1::/64 include:_netblocks.mimecast.com -all, atlassian-domain-verification=8W72YZrigWSkrAXgYFb9cvpSo8ydO+mOsn4eGqOaBQvF3dbPdako8DVUoKFreZKO, kgej9AWMUerpL+WGSyI2hN7b4FFcagAzRZvoHfCOMvhG+W+xaff9Smsq7vbPBdDoBh+hiWzkkBSVlgL2l47GgA==, h1-domain-verification=2rUfV6GURqrd473467gk3uWkiuVEpcfZBxtwFCZHyAbkfxP5","letsencrypt.org, digicert.com, mailto:ssl-abuse@valvesoftware.com"
[x],wcmx1.steampowered.com,72.165.61.134,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],wcmx1.valvesoftware.com,72.165.61.134,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],wcmx2.valvesoftware.com,72.165.61.135,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],wcmx3.valvesoftware.com,216.207.205.110,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],wiki-beta.teamfortress.com,208.64.200.110,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],wiki.teamfortress.com,35.227.220.185,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,google,,smtp.wiki.teamfortress.com,v=spf1 mx include:spf.mailjet.com -all,
[x],www.dota2.com,"172.64.150.199, 104.18.37.57",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,,,,
[x],www.new.blog.counter-strike.net,"192.0.78.25, 192.0.78.24, 192.0.74.9",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns1.wordpress.com, ns2.wordpress.com",NOERROR,,,"2a04:fa87:ffff::c6b5:7409, 2a04:fa87:ffff::c6b5:7509, 2620:115:c00f::c000:4a09",,,
[x],www.playartifact.com,"172.64.152.94, 104.18.35.162",,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,True,cloudflare,"2606:4700:4400::ac40:985e, 2606:4700:4400::6812:23a2",,,
[x],www.staging.dota2.com,"104.18.213.32, 104.18.212.32",,"ashley.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700::6812:d420, 2606:4700::6812:d520",,,
[x],www.steamcommunity.com,23.205.33.171,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],www.steamgames.com,95.101.124.214,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],www.steampowered.com,95.101.124.214,,"ns1.valvesoftware.com, admin-dns.valvesoftware.com",,NOERROR,,,,,,
[x],www.teamfortress.com,95.101.177.190,,"ns1.valvesoftware.com, admin.valvesoftware.com",,NOERROR,,,,,,
[x],www.valvesoftware.com,23.197.146.96,,"a1-164.akam.net, admin.valvesoftware.com",,NOERROR,,,,,,
[x],xml.telapiwww.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns2.wordpress.com, ns1.wordpress.com, ns3.wordpress.com",NOERROR,,,,,,
[x],yvtnaplvn30yvr5w.new.blog.counter-strike.net,"192.0.78.24, 192.0.78.25",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns1.wordpress.com, ns2.wordpress.com",NOERROR,,,,,,
[x],zw1xje8ddpmhzaqf.new.blog.counter-strike.net,"192.0.78.25, 192.0.78.24, 198.181.116.9, 198.181.117.9, 192.0.74.9",new.blog.counter-strike.net,"ns1.wordpress.com, hostmaster.wordpress.com","ns3.wordpress.com, ns1.wordpress.com, ns2.wordpress.com",NOERROR,,,"2a04:fa87:ffff::c6b5:7409, 2a04:fa87:ffff::c6b5:7509, 2620:115:c00f::c000:4a09",,,
