new,host,ttl,a,aaaa,cname,soa,status_code,ns,caa,txt,mx
,microdata.cbs.nl,1911,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,microdatavpn.cbs.nl,541,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,mig.cbs.nl,3383,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,mijn-api.cbs.nl,3600,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,mijn.acceptatie.cbs.nl,7200,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,mlzopendata.cbs.nl,86400,,2001:67c:14b0:1816::244,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,mlzstatline.cbs.nl,541,,2001:67c:14b0:1816::244,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,newsroom.cbs.nl,86400,51.144.98.86,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,odata.cbs.nl,1378,,2001:67c:14b0:1816::244,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,odata4.cbs.nl,43200,87.213.43.244,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,oefenvragenlijst.cbs.nl,3600,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,onderhoud.cbs.nl,3283,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,onderzoek.cbs.nl,86400,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,onderzoek2.cbs.nl,866,,,adc3.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,ontwikkel.cbs.nl,3600,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,oosweb.cbs.nl,1372,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,opendata2.cbs.nl,86400,,2001:67c:14b0:1816::243,adc3.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,oto.cbs.nl,86400,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,overzicht.cbs.nl,3600,87.213.43.244,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,portal.cbs.nl,43200,,2001:67c:14b0:1816::244,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,projecten.cbs.nl,43200,185.46.183.23,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,proxy.cbs.nl,245,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,qbes.cbs.nl,86400,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,redactie-test.cbs.nl,86400,98.71.183.187,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,redactie.cbs.nl,538,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,research.cbs.nl,1441,,2001:67c:14b0:1816::244,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,rgs.cbs.nl,1439,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,rgs.test.cbs.nl,86400,87.213.43.244,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,rivmopendata.cbs.nl,86400,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,sbi.acceptatie.cbs.nl,1435,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,scheduler.cbs.nl,86400,,,webext.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,sdmx-dataviewer.cbs.nl,86400,20.50.51.241,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,sdmx-search-beta.cbs.nl,1901,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,sdmx-share.cbs.nl,243,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,sdmx.cbs.nl,86400,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,sftp4dummies.cbs.nl,3380,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,statline.cbs.nl,86400,87.213.43.243,,adc3.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,storage.databestanden.cbs.nl,3600,87.213.43.244,2001:67c:14b0:1816::244,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,surveys.cbs.nl,42995,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,v=spf1 mx -all,
,taxonomie.cbs.nl,86400,,,cbs-cerberus-dev.westeurope.cloudapp.azure.com,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,,
,test.cbs.nl,86400,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,"mta1._domainkey.test.cbs.nl. 86400 IN TXT \""v=DKIM1; k=rsa; h=sha256; p=MIIBIDANBgkqhkiG9w0BAQEFAAOCAQ0AMIIBCA,    KCAQEAsSQxXSfJiwCMTJlXpWySSrcN1zoZ5XdgxEfR2HgoC1gAO,    5lcpmjRj3rnhEtNZ80KhdEBnemiL5lpt0ftDN6ClNLVaRLD1yc2VI5IM,    ClMJuUJm4p8nRa/83SZZQJp+8I22eWSBdJ9sf8xC5z22da/yjTYn,    +guBA00loymbQrQ4NSGj0PPJZfK6aGm5ctJQZkuehpreqWfDAW,    +Kw5ugcv1p35T1BlidHaFwcdVMTmxhnNTllZNNDUd8ES9txHBTF,    wH7KBn1CIok+AaHNb4JjqoJ02PxRARHf7hXBp4v+77ezKUdJuz,    UC+XkwHoGTqO4BLSTQEMAO1hxaU4AGNOIdC8pQIBIw==\"", v=spf1 mx -all",mailrelayh3.cbs.nl
,test.ebms.cbs.nl,1897,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,testlogin.cbs.nl,86400,87.213.43.243,,adc3.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,tunnel1.cbs.nl,529,,,adc7.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,upload.cbs.nl,86400,,,adc4.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,vocabs.cbs.nl,86400,,,cbs-cerberus-dev.westeurope.cloudapp.azure.com,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,,
,vpn1.cbs.nl,297,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,webext.cbs.nl,529,,2001:67c:14b0:1816::243,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,webserver.cbs.nl,3600,,2a06:2ec0:1::135,isi.cbs.nl,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,werkplek.cbs.nl,86400,,2001:67c:14b0:1816::241,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,werkplektest.cbs.nl,290,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,www-acc.cbs.nl,86400,,2603:1020:201:f::ac,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}, {'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
,www-test.cbs.nl,243,,,,"{'name': 'cbs.nl', 'ns': 'dnsa4.cbs.nl', 'mailbox': 'postmaster.cbs.nl', 'serial': 2017042442, 'refresh': 900, 'retry': 600, 'expire': 43200, 'minttl': 86400}",NOERROR,,,,
