input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,webserver,tls_wildcard_certificate,csp_domains_,tls_self_signed,final_url
dossierportal.cbs.nl,401 Authorization Required,401,574,dossierportal.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-14T09:14:51Z,2023-07-13T09:14:50Z,CN=dossierportal.cbs.nl,dossierportal.cbs.nl,,dossierportal.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d1c8850295ece7e763a4e5f72aeec604,87728706ccf3a67caea55ad45e7d8d3f7dbe00738f2f6012c0efd57bda2049ce,ctls,dossierportal.cbs.nl,443,https://dossierportal.cbs.nl:443,https,text/html,GET,51.144.98.86,/,1335698669,51.144.98.86,Nginx,14,False,azure,True,nginx,,,,
download.cbs.nl,403 - Forbidden: Access is denied.,403,1233,download.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:43:30Z,2024-01-05T10:38:00Z,"CN=download.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",download.cbs.nl,Centraal Bureau voor de Statistiek,download.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,b1cad63168cb0c1577148f0d62982051,39a8e835fdf0aa6a71ad842cd8aed32f317847d2036a19de918e2266997611ba,ctls,download.cbs.nl,443,https://download.cbs.nl:443,https,text/html,GET,87.213.43.244,/,2013138797,2001:67c:14b0:1816::244,Windows Server,30,False,,,Microsoft-IIS/10.0,,,,
fubecasper.cbs.nl,Inloggen - OutSite - Standaard,200,40130,fubecasper.cbs.nl,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-04-05T19:34:08Z,2023-07-04T19:34:07Z,CN=fubecasper.cbs.nl,fubecasper.cbs.nl,,fubecasper.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ad8cc666f0351b97fca818d68318d3a6,94d0aa6f2edb027be0007b44d9a065bba4f5d666c27ec60bb18bc0e6151aec22,ctls,fubecasper.cbs.nl,443,https://fubecasper.cbs.nl:443,https,text/html,GET,185.46.183.23,/,728402468,185.46.183.23,HSTS,33,False,,,,,,,https://fubecasper.cbs.nl/login?url=%2f
geodata.cbs.nl,IIS Windows Server,200,703,geodata.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:42:55Z,2024-01-05T10:37:00Z,"CN=geodata.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",geodata.cbs.nl,Centraal Bureau voor de Statistiek,geodata.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,523f8116aa1c9187ba5288cdf03a1322,f8fcfa41e5b4352fcd9195bca6b9ee8aca41d6c1b249712505f72cd82697261f,ctls,geodata.cbs.nl,443,https://geodata.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1631801191,2001:67c:14b0:1816::244,Windows Server,32,False,,,Microsoft-IIS/10.0,,,,
good.cbs.nl,,503,62,good.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:42:17Z,2024-01-05T08:37:00Z,"CN=*.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.cbs.nl,Centraal Bureau voor de Statistiek,cbs.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,465a197366fbc312787b0b844e8a100f,17a54fb4403f3b1c90c9e3d6c4fd90fbfbb0ae3b22faea635ceebd03bfbadb2c,ctls,good.cbs.nl,443,https://good.cbs.nl:443,https,,GET,87.213.43.243,/,107704025,2001:67c:14b0:1816::243,,1,False,,,,True,,,
helpmee.cbs.nl,Centraal Bureau voor de Statistiek,200,10902,helpmee.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-24T07:39:51Z,2024-04-24T07:34:00Z,"CN=doemee.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",doemee.cbs.nl,Centraal Bureau voor de Statistiek,denkmee.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,77dbf55580118b0645118d3c3520737f,846fee09ab15aa9d1ea40ce54b21e7010e590751a471f71a315125680ddc10f1,ctls,helpmee.cbs.nl,443,https://helpmee.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,Windows Server,186,False,,,Microsoft-IIS/8.5,,,,
highcharts-acc.cbs.nl,,404,19,highcharts-acc.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-05T10:42:25Z,2024-01-05T10:37:00Z,"CN=highcharts-acc.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",highcharts-acc.cbs.nl,Centraal Bureau voor de Statistiek,highcharts-acc.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,77944c750873be43e31562376d01d848,0a91379bd178bd48ff50a79f72594a75292b40e6d5109f5f2764ce6a7a5828ac,ctls,highcharts-acc.cbs.nl,443,https://highcharts-acc.cbs.nl:443,https,text/plain,GET,13.95.31.21,/,-138391155,13.95.31.21,,2,False,azure,True,,,,,
highcharts.cbs.nl,,403,9,highcharts.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-05T10:42:34Z,2024-01-05T10:37:00Z,"CN=highcharts.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",highcharts.cbs.nl,Centraal Bureau voor de Statistiek,highcharts.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,0dcf677431f856e09b0dba2f14da8075,22f62cc9be67510f4bfe0654357b2ff4043db06d1969cd111d31288c51dd1476,ctls,highcharts.cbs.nl,443,https://highcharts.cbs.nl:443,https,text/plain,GET,40.118.80.223,/,-942874359,2a00:1558:2807:1::b93f:142d,HSTS,1,False,azure,True,,,,,
historischebeelden.cbs.nl,Homepage | Centraal bureau voor de Statistiek,200,12376,historischebeelden.cbs.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-05T10:34:22Z,2024-01-05T10:29:00Z,"CN=historischebeelden.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",historischebeelden.cbs.nl,Centraal Bureau voor de Statistiek,historischebeelden.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,a930e3d55c2a19fbe8db598b7720bb78,aa7986800d51606f6099b7e31e9f67c34c884a317117132a5552d9cc78cff7ca,ctls,historischebeelden.cbs.nl,443,https://historischebeelden.cbs.nl:443,https,text/html,GET,195.225.101.70,/,1631801191,2a00:1fb8:a19:2::70,Microsoft ASP.NET:4.0.30319,351,False,,,,,,,
historischebeeldenbeheer.cbs.nl,Picture Pack,200,6720,historischebeeldenbeheer.cbs.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-05T10:34:05Z,2024-01-05T10:29:00Z,"CN=historischebeeldenbeheer.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",historischebeeldenbeheer.cbs.nl,Centraal Bureau voor de Statistiek,historischebeeldenbeheer.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,c4e54fc7d350b20956a4e93b71117e05,dfd9950b1e8e9ca8ce17a1a237692909fc9211b09234dcf4afa557f79a5af2c5,ctls,historischebeeldenbeheer.cbs.nl,443,https://historischebeeldenbeheer.cbs.nl:443,https,text/html,GET,195.225.101.70,/,1631801191,2a00:1fb8:a19:2::70,Microsoft ASP.NET:4.0.30319,43,False,,,Picture Pack,,,,
ihg.cbs.nl,Doorverwijzing IDEP startpagina,200,563,ihg.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:47:06Z,2024-01-05T08:42:00Z,"CN=ihg.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",ihg.cbs.nl,Centraal Bureau voor de Statistiek,www.ihg.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,dbc82a6c701c868f1f258c9ce0ac774a,330063e9b209a9a526a6f8a92c1b6b1dd8cc5b3230505be5242c2ede98dee34e,ctls,ihg.cbs.nl,443,https://ihg.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1631801191,2001:67c:14b0:1816::244,Windows Server,15,False,,,Microsoft-IIS/10.0,,url=https://ihg.cbs.nl/idepweb,,
isi.cbs.nl,Home | ISI,200,58062,www.isi-web.org,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-29T09:17:12Z,2023-06-27T09:17:11Z,CN=isi-web.org,isi-web.org,,www.isi-web.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,19d22a11f768191916a7d7622c8a0104,027bccca0c7e6b5991b24ae57d5557287dbc4bf795cf35f6b2eaa8654de3a863,ctls,www.isi-web.org,443,https://isi.cbs.nl:443,https,text/html,GET,185.104.29.106,/,2014767746,2a06:2ec0:1::135,YouTube,1375,False,,,nginx/1.23.4,,https://fonts.googleapis.com,,https://www.isi-web.org
iv3-controle-api.cbs.nl,404 Not Found,404,207,iv3-controle-api.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:33:38Z,2024-01-05T10:28:00Z,"CN=iv3-controle-api.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",iv3-controle-api.cbs.nl,Centraal Bureau voor de Statistiek,iv3-controle-api.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,a29c5d7f12ed113d1ead84a0357f3d63,ed0fd429bffae14f01c8f1d6203017272b07d607959638fffd15f829f21e6048,ctls,iv3-controle-api.cbs.nl,443,https://iv3-controle-api.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1185329514,2001:67c:14b0:1816::244,gunicorn,6,False,,,gunicorn,,,,
iv3-controle.cbs.nl,Check iv3,200,4875,iv3-controle.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:33:48Z,2024-01-05T10:28:00Z,"CN=iv3-controle.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",iv3-controle.cbs.nl,Centraal Bureau voor de Statistiek,iv3-controle.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,26ccacb2d22ed2654db7caa26433580a,f021c247c88d37eb36a6854b6dcb5ffb226b5faa69cbf6510a1dfa7e33b0d75b,ctls,iv3-controle.cbs.nl,443,https://iv3-controle.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1185329514,2001:67c:14b0:1816::244,gunicorn,139,False,,,gunicorn,,,,
iv3statline.cbs.nl,CBS Statline,200,7842,iv3statline.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:33:29Z,2024-01-05T10:28:00Z,"CN=iv3statline.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",iv3statline.cbs.nl,Centraal Bureau voor de Statistiek,iv3statline.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,b970b674cdbf9479d8982ed89a32316c,f384b8baa217341334a415c933ea784ce239684cb04da9cf6bcd89215bb698bd,ctls,iv3statline.cbs.nl,443,https://iv3statline.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,NVD3,100,False,,,Webserver,,*.politie.nl,,
jeugdmonitor-acc.cbs.nl,401 Unauthorized,401,381,jeugdmonitor-acc.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-05T10:33:02Z,2024-01-05T10:28:00Z,"CN=jeugdmonitor-acc.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",jeugdmonitor-acc.cbs.nl,Centraal Bureau voor de Statistiek,jeugdmonitor-acc.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,d21ac20830af309c89a5bb4ee803eb51,d27b9de67b0e2c6d4123f50a605e8317b232de4e44e1e0733f03e4937adf74cb,ctls,jeugdmonitor-acc.cbs.nl,443,https://jeugdmonitor-acc.cbs.nl:443,https,text/html,GET,78.31.115.175,/,-392200610,2001:7b8:634:4600::175,Varnish:5.0,13,False,,,nginx/1.10.3,,,,
jmopendata.cbs.nl,CBS Statline,200,7841,jmopendata.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-06T08:54:45Z,2024-01-06T08:49:00Z,"CN=jmopendata.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",jmopendata.cbs.nl,Centraal Bureau voor de Statistiek,jmopendata.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,8069091c2eb70a1b8076deb188edf8a7,555ced7225ac933e01ec2c5e53cc16703b6e3e533673f77116826bae88092a50,ctls,jmopendata.cbs.nl,443,https://jmopendata.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,NVD3,100,False,,,Webserver,,*.politie.nl,,
klanttoegang.cbs.nl,CBS,200,607,klanttoegang.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:32:55Z,2024-01-05T10:27:00Z,"CN=klanttoegang.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",klanttoegang.cbs.nl,Centraal Bureau voor de Statistiek,klanttoegang.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,68324040ea56b88c4610448661fc7888,e28878fd967aa5f3e14fbba2c0881ad7dc73208de3be5de18d0c3eb238c3469d,ctls,klanttoegang.cbs.nl,443,https://klanttoegang.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1631801191,2001:67c:14b0:1816::244,Windows Server,14,False,,,Microsoft-IIS/10.0,,url=https://klanttoegang.cbs.nl/CBS.DVZ.BEO.Login.UI,,
livecharts.cbs.nl,403 Forbidden,403,555,livecharts.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-12T08:38:20Z,2023-08-10T08:38:19Z,CN=livecharts.cbs.nl,livecharts.cbs.nl,,livecharts.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ef7920954732ae78d0543744421965b3,1d883f819f3b3d2e89cebd1cbcb1a8274274b286b16a80477a516962c8bee109,ctls,livecharts.cbs.nl,443,https://livecharts.cbs.nl:443,https,text/html,GET,213.52.130.178,/,-352157907,2a01:7e00::f03c:91ff:fee2:c9f5,Nginx:1.20.2,14,False,,,nginx/1.20.2,,,,
login.databestanden.cbs.nl,,200,1087,login.databestanden.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:32:46Z,2024-01-05T10:27:00Z,"CN=login.databestanden.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",login.databestanden.cbs.nl,Centraal Bureau voor de Statistiek,login.databestanden.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,37077f8c1928d85198ec323e27233c3f,69fb58e137618b14cd65c263bc1a2e7ee2be44abb57a6b72305fe13192b08f0d,ctls,login.databestanden.cbs.nl,443,https://login.databestanden.cbs.nl:443,https,text/html,GET,87.213.43.244,/,-1463124301,2001:67c:14b0:1816::244,HSTS,31,False,,,,,,,
longreads.cbs.nl,Overzicht recente publicaties,200,70723,www.cbs.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-05T10:13:38Z,2024-01-05T10:08:00Z,"CN=cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",cbs.nl,Centraal Bureau voor de Statistiek,www.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,cc8dfa23f7e2114802977dd559c8a70f,7f32a808a9ac1ff5cf358fe464f773224b06b34001917ce6b52e61f0042a99b9,ctls,www.cbs.nl,443,https://longreads.cbs.nl:443,https,text/html,GET,5.61.254.183,/,721778718,2a01:7860::db:1152:55:1,HSTS,1245,False,,,,,cbsnl.maps.arcgis.com,,https://www.cbs.nl/nl-nl/onze-diensten/publicaties
matchingsapp.cbs.nl,401 Authorization Required,401,172,matchingsapp.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-14T09:15:24Z,2023-07-13T09:15:23Z,CN=matchingsapp.cbs.nl,matchingsapp.cbs.nl,,matchingsapp.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2c2b0861a619a2fdb39c511339540778,11975696d1310cb55873e1b98afdc84ee39fa9efcbfa2667290b026900847617,ctls,matchingsapp.cbs.nl,443,https://matchingsapp.cbs.nl:443,https,text/html,GET,51.144.98.86,/,-1710455754,51.144.98.86,Nginx,8,False,azure,True,nginx,,,,
mbg.cbs.nl,Redirecting...,200,999,mbg.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:46:25Z,2024-01-05T08:41:00Z,"CN=micollab.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",micollab.cbs.nl,Centraal Bureau voor de Statistiek,mbg.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,71342100335b2c53ff7a00f9226efd2f,552c68dc172a80b78b0ff7c75355e1f1000fd2827b801aebb52922acaf81c2ad,ctls,mbg.cbs.nl,443,https://mbg.cbs.nl:443,https,text/html,GET,87.213.43.206,/,-1922044295,87.213.43.206,HSTS,34,False,,,Apache,,,,
meet.cbs.nl,,503,62,meet.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:42:17Z,2024-01-05T08:37:00Z,"CN=*.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.cbs.nl,Centraal Bureau voor de Statistiek,cbs.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,465a197366fbc312787b0b844e8a100f,17a54fb4403f3b1c90c9e3d6c4fd90fbfbb0ae3b22faea635ceebd03bfbadb2c,ctls,meet.cbs.nl,443,https://meet.cbs.nl:443,https,,GET,87.213.43.243,/,107704025,2001:67c:14b0:1816::243,,1,False,,,,True,,,
micollab.cbs.nl,Redirecting...,200,999,micollab.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T08:46:25Z,2024-01-05T08:41:00Z,"CN=micollab.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",micollab.cbs.nl,Centraal Bureau voor de Statistiek,mbg.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,71342100335b2c53ff7a00f9226efd2f,552c68dc172a80b78b0ff7c75355e1f1000fd2827b801aebb52922acaf81c2ad,ctls,micollab.cbs.nl,443,https://micollab.cbs.nl:443,https,text/html,GET,87.213.43.206,/,-1922044295,87.213.43.206,HSTS,34,False,,,Apache,,,,
microdatavpn.cbs.nl,Gaia,200,790,microdatavpn.cbs.nl,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,True,2020-02-11T13:13:38Z,2025-02-10T13:13:38Z,"CN=S0IVPN0003D VPN Certificate, O=S0IVPN0002B.cbsp.nl.zmw55f",S0IVPN0003D VPN Certificate,S0IVPN0002B.cbsp.nl.zmw55f,,O=S0IVPN0002B.cbsp.nl.zmw55f,,S0IVPN0002B.cbsp.nl.zmw55f,6d57bb50fdc83e53b79ba974854aec7f,2d9962aee79ff9e8468ffebeeea838ffec8d37e81f09a3d991e71d8b639dce2d,ctls,microdatavpn.cbs.nl,443,https://microdatavpn.cbs.nl:443,https,text/html,GET,87.213.43.236,/,-993165615,2001:67c:14b0:1825::77,,9,False,,,CPWS,,,True,
mig.cbs.nl,401 Authorization Required,401,574,mig.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-04-14T09:14:35Z,2023-07-13T09:14:34Z,CN=mediaportal.cbs.nl,mediaportal.cbs.nl,,mediaportal.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f86bf91e76b05021c601c64bbd295009,ebde4f9c3035ceed234f6b0bbe135af9e7d4f4f8e05a3cc1774b99f852880712,ctls,mig.cbs.nl,443,https://mig.cbs.nl:443,https,text/html,GET,51.144.98.86,/,1335698669,51.144.98.86,Nginx,14,False,azure,True,nginx,,,,
mkbstatline.cbs.nl,CBS Statline,200,7842,mkbstatline.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:31:27Z,2024-01-05T10:26:00Z,"CN=mkbstatline.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",mkbstatline.cbs.nl,Centraal Bureau voor de Statistiek,mkbstatline.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,9740707ddf8253259f8c9836c434fe2b,329a23d993844729b8dc141da3f4ba18827aa43078d700c67b6444d899362580,ctls,mkbstatline.cbs.nl,443,https://mkbstatline.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,NVD3,100,False,,,Webserver,,*.politie.nl,,
mlzopendata.cbs.nl,CBS Statline,200,7842,mlzopendata.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:31:10Z,2024-01-05T10:26:00Z,"CN=mlzopendata.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",mlzopendata.cbs.nl,Centraal Bureau voor de Statistiek,mlzopendata.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,8661f46382a7a06c1678e23ba995cac0,8d38b6ac3a8665430fa4950c58506ae4b12a618bd0361e323e5636cdcf3d7ae8,ctls,mlzopendata.cbs.nl,443,https://mlzopendata.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,NVD3,100,False,,,Webserver,,*.politie.nl,,
mlzstatline.cbs.nl,CBS Statline,200,7842,mlzopendata.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:31:10Z,2024-01-05T10:26:00Z,"CN=mlzopendata.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",mlzopendata.cbs.nl,Centraal Bureau voor de Statistiek,mlzopendata.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,8661f46382a7a06c1678e23ba995cac0,8d38b6ac3a8665430fa4950c58506ae4b12a618bd0361e323e5636cdcf3d7ae8,ctls,mlzopendata.cbs.nl,443,https://mlzstatline.cbs.nl:443,https,text/html,GET,87.213.43.244,/,-1505430568,2001:67c:14b0:1816::244,NVD3,100,False,,,Webserver,,*.politie.nl,,https://mlzopendata.cbs.nl
mvstat.cbs.nl,CBS Statline,200,7845,mvstat.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-05T10:30:47Z,2024-01-05T10:25:00Z,"CN=mvstat.cbs.nl, O=Centraal Bureau voor de Statistiek, L='s-Gravenhage, ST=Zuid-Holland, C=NL",mvstat.cbs.nl,Centraal Bureau voor de Statistiek,mvstat.cbs.nl,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,c2ec1def05fe883565c9b7617bdea164,dc6ee322c7d06945446bb2d1a228538d7e20d80a4106a60c7f0e3f2a43d203ac,ctls,mvstat.cbs.nl,443,https://mvstat.cbs.nl:443,https,text/html,GET,87.213.43.244,/,1772087922,2001:67c:14b0:1816::244,NVD3,100,False,,,Webserver,,*.cbs.nl,,
newsroom.cbs.nl,401 Authorization Required,401,172,newsroom.cbs.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-04-14T09:14:35Z,2023-07-13T09:14:34Z,CN=mediaportal.cbs.nl,mediaportal.cbs.nl,,mediaportal.cbs.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f86bf91e76b05021c601c64bbd295009,ebde4f9c3035ceed234f6b0bbe135af9e7d4f4f8e05a3cc1774b99f852880712,ctls,newsroom.cbs.nl,443,https://newsroom.cbs.nl:443,https,text/html,GET,51.144.98.86,/,-1710455754,51.144.98.86,Nginx,8,False,azure,True,nginx,,,,
