new,host,ttl,a,cname,mx,soa,ns,txt,status_code,aaaa,cdn,cdn-name
[x],beta.mobile-app.pumb.ua,600,"151.101.65.195, 151.101.1.195",,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,True,fastly
[x],broker.pumb.ua,569,194.44.66.144,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,,
[x],brokertest.pumb.ua,419,194.44.66.145,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,,
[x],c.pumb.ua,600,194.44.66.164,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,,
[x],career.pumb.ua,600,"172.67.197.20, 104.21.92.179",career.pumb.ua.cdn.cloudflare.net,,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,"2606:4700:3037::6815:5cb3, 2606:4700:3031::ac43:c514",,
[x],cloudflare-verify.pumb.ua,600,,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}","nsd2.srv53.com, nsa4.srv53.net, nsb4.srv53.net, nsb1.srv53.org, nsa2.srv53.org, nsb3.srv53.com, nsa1.srv53.com, nsd2.srv53.net, nsc2.srv53.net, nsc4.srv53.com, nsd4.srv53.org, nsc2.srv53.org",193157677-71130397,NOERROR,,,
[x],count.pumb.ua,600,"172.67.197.20, 104.21.92.179",count.pumb.ua.cdn.cloudflare.net,,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,"2606:4700:3037::6815:5cb3, 2606:4700:3031::ac43:c514",,
[x],ctrl-b.pumb.ua,600,,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,,
[x],cz-sender.pumb.ua,600,"18.158.247.176, 3.120.10.230",aws-prod-cz-sender-front-alb-850323453.eu-central-1.elb.amazonaws.com,,"{'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,,NOERROR,,,
[x],deeplinks.pumb.ua,600,"52.58.170.53, 3.120.84.41, 3.120.49.99",aws-ipumb-megus-nlb-468d2578ae7624cf.elb.eu-central-1.amazonaws.com,,"{'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,,NOERROR,,,
[x],digital-mobile.pumb.ua,600,"23.55.110.40, 23.55.110.10","digital-mobile.pumb.ua.edgesuite.net, a1275.b.akamai.net",,"{'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367774, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367778, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367778, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,,NOERROR,,,
[x],digital.pumb.ua,600,"95.101.27.167, 95.101.27.175","digital.pumb.ua.edgesuite.net, a375.b.akamai.net",,"{'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367774, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367774, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367774, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367776, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727367776, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,,NOERROR,,,
[x],docs.pumb.ua,600,"172.67.197.20, 104.21.92.179","count.pumb.ua, count.pumb.ua.cdn.cloudflare.net",,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,,,
[x],gp.pumb.ua,600,85.223.138.23,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,,
[x],internetsales.pumb.ua,31,194.44.66.144,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,,
[x],m.pumb.ua,600,,pumb.ua,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}","nsc4.srv53.com, nsd4.srv53.org, nsa2.srv53.org, nsc2.srv53.net, nsd2.srv53.com, nsc2.srv53.org, nsd2.srv53.net, nsb1.srv53.org, nsa1.srv53.com, nsa4.srv53.net, nsb4.srv53.net, nsb3.srv53.com","MS=ms64492531, ZOOM_verify_4EL06n8UsTV8fXv4Mi1Ib7, apple-domain-verification=5XQDceSdPPIffWx2, cloudflare-verify.pumb.ua 193157677-71130397, miro-verification=128bcd94ddb08d44996a096e2c23785af59bfb3f, slack-domain-verification=X0BdEJ7VsF6tETOWHoz2ByU6fqRwfvgd1F9LKpyd, google-site-verification=DLAqtaASqpDCuiyoNERrLUCO170K7fCmFoaNc2IOp6Y, google-site-verification=P1w2g3IMe_tAgGO9HiboCsomv1RUKOyGPvuQJWDxq1w, google-site-verification=TE41RoGbh1HHkz3VcyEk7lDR_cSQeXIEgETjFSAhG50, v=spf1 ip4:194.44.66.0/24 ip4:194.44.233.42 include:spf.protection.outlook.com -all, 3wuAgDHJZO9fI+im1JdXMb8dh9tCsdoPI72e6OYOcJoEEIB+FHrQwUxWg6jX0SjWqMMWGGsnDc1yBr/3bipCeg==, n+q7o6iL2+25UcodaabK1q23tmpc7cy2cmNadebrgttjsAhh4rCKSqmDKZSCZtiCTvNZ0DLAB9ScivdCOHWDvQ==, nbx6rrwlKk++AlMSf/LahXuB85t02uQ3HE6lWsnq4rC8WJjnVqZsxSMNboTGDCsYS44XBLh8f00lqtxTiLj41w==, atlassian-domain-verification=NuyPqz/TVsLXge5sYqEVXhf7yQHVsd9VMGvTpgc3S5aKtTk2kScZg2fjMq8WtuYf",NOERROR,,,
[x],main-dev.pumb.ua,600,"104.21.92.179, 172.67.197.20",main-dev.pumb.ua.cdn.cloudflare.net,,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,,,
[x],main-stage.pumb.ua,366,"172.67.197.20, 104.21.92.179",main-stage.pumb.ua.cdn.cloudflare.net,,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","nsb1.srv53.org, nsd2.srv53.com, nsc2.srv53.org, nsc2.srv53.net, nsd4.srv53.org, nsb3.srv53.com, nsa2.srv53.org, nsa4.srv53.net, nsb4.srv53.net, nsa1.srv53.com, nsc4.srv53.com, nsd2.srv53.net",,NOERROR,"2606:4700:3031::ac43:c514, 2606:4700:3037::6815:5cb3",,
[x],mobile-app.pumb.ua,396,"151.101.65.195, 151.101.1.195",,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}","nsc2.srv53.net, nsa2.srv53.org, nsb3.srv53.com, nsb1.srv53.org, nsa1.srv53.com, nsc2.srv53.org, nsa4.srv53.net, nsd2.srv53.com, nsd2.srv53.net, nsb4.srv53.net, nsc4.srv53.com, nsd4.srv53.org",,NOERROR,,True,fastly
[x],mobile-content.pumb.ua,396,91.235.132.199,h-drnycoos.online-metrix.net,,"{'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352563804, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 5}, {'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352563804, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352563804, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'online-metrix.net', 'ns': 'mira.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352563804, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,,,
[x],mobile.pumb.ua,545,,aws-ipumb-megus-nlb-468d2578ae7624cf.elb.eu-central-1.amazonaws.com,,"{'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'elb.eu-central-1.amazonaws.com', 'ns': 'ns-1390.awsdns-45.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,,NOERROR,,,
[x],newpost.pumb.ua,43,194.44.66.144,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1727345199, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",,,NOERROR,,,
