input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,lines,failed,cdn,tech_,tls_subject_org_,webserver,tls_mismatched
gtm-staging.shipt.com,,400,,,gtm-staging.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T10:53:23Z,2023-07-02T11:35:50Z,CN=gtm-staging.shipt.com,gtm-staging.shipt.com,gtm-staging.shipt.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,62ab0f3ab4406ea35241273745c37fe2,68ad573ff6b2e697684e01af79fbaa38011d7a8e5aec0a965c712072a49c0508,,ctls,gtm-staging.shipt.com,,443,https://gtm-staging.shipt.com:443,https,text/html,GET,216.239.34.21,/,-1840324437,,216.239.36.21,1,False,,Google Cloud Trace,,Google Frontend,
gtm.shipt.com,,400,,,gtm.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T21:16:17Z,2023-08-05T22:04:28Z,CN=gtm.shipt.com,gtm.shipt.com,gtm.shipt.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,df4273ea14ea6dc2af9238bb966bb442,b49491b281372ff37abb5601c78e599ec1b4ec2352df48dd9ecb9fcf842937cb,,ctls,gtm.shipt.com,,443,https://gtm.shipt.com:443,https,,GET,216.239.36.21,/,-1840324437,,216.239.34.21,1,False,,Google Cloud CDN,,,
heighliner.shipt.com,,403,16,,heighliner.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,heighliner.shipt.com,cloudflare,443,https://heighliner.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
help.shipt.com,Get Help With Your Questions About Shipt,200,52544,,help.shipt.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,help.shipt.com,,80,http://help.shipt.com:80,http,text/html,GET,50.16.128.128,/,-1840324437,https://help.shipt.com/,50.16.128.128,478,False,,Nginx,,nginx,
https://w3.org,World Wide Web Consortium (W3C),200,34644,,www.w3.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2023-06-30T23:59:59Z,"CN=w3.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",w3.org,*.w3.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8469e4fdaf04390a28421bf661eac92d,143a4caccbeec6d6e3cf93502c3a1838fa6f8ef5911b9784079ad8b89ff2ee25,True,ctls,www.w3.org,cloudflare,443,https://w3.org:443,https,text/html,GET,104.18.23.19,/,-15365615,https://www.w3.org/,2606:4700::6812:1713,416,False,True,HTTP/3,"Cloudflare, Inc.",cloudflare,
img.shipt.com,,403,16,,img.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,img.shipt.com,cloudflare,443,https://img.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
infra-api.shipt.com,,404,,,infra-api.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,infra-api.shipt.com,fastly,80,http://infra-api.shipt.com:80,http,,GET,146.75.117.91,/,-1840324437,https://infra-api.shipt.com/,146.75.117.91,1,False,True,HSTS,,,
insights.shipt.com,Sign in - Google Accounts,200,579373,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:19Z,2023-07-31T08:25:18Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e67f0900445d4560717641adeae0c363,9c9a4cc44d8f1852b01595f3891e4bf0694858a9040176f7f7229ff960c55300,True,ctls,accounts.google.com,,80,http://insights.shipt.com:80,http,text/html,GET,142.250.186.51,/,-137242691,https://accounts.google.com/v3/signin/identifier?dsh=S1996693278%3A1685203909235566&continue=https%3A%2F%2Fsites.google.com%2Fshipt.com%2Finsights&followup=https%3A%2F%2Fsites.google.com%2Fshipt.com%2Finsights&ifkv=Af_xneH-pNRw_V10SwUjQmeHyOkxY3B2tho2IjVsQgLBcQxf7mLcQtvExGh3j0jQTZj8pB7AXZjC&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,2a00:1450:4001:827::2013,46,False,,HTTP/3,,ESF,
internal-status.shipt.com,Shipt Internal Status Page,200,1514,,internal-status.shipt.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-14T17:53:02Z,2023-07-13T17:53:01Z,CN=internal-status.shipt.com,internal-status.shipt.com,internal-status.shipt.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77a83adc28fb29a32d646cc6277e426c,c5765f39c0030f031db7e890356532d92ee198b66f522235fe181517cb363ec3,,ctls,internal-status.shipt.com,google,443,https://internal-status.shipt.com:443,https,text/html,GET,34.86.109.196,/,1077383641,https://internal-status.shipt.com/auth/dex/auth?approval_prompt=force&client_id=oauth2-proxy&redirect_uri=https%3A%2F%2Finternal-status.shipt.com%2Fauth%2Fcallback&response_type=code&scope=openid+email+profile&state=e8456456b3d26c18fd83cc17066fd745%3A%2F,34.86.109.196,53,False,True,HSTS,,,
ip-ranges.shipt.com,,403,16,,ip-ranges.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,ip-ranges.shipt.com,cloudflare,443,https://ip-ranges.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
kubedashian-api.shipt.com,,403,16,,kubedashian-api.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,kubedashian-api.shipt.com,cloudflare,443,https://kubedashian-api.shipt.com:443,https,text/plain,GET,162.159.135.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
kubedashian.shipt.com,,403,16,,kubedashian.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,kubedashian.shipt.com,cloudflare,443,https://kubedashian.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
links.shipt.com,,403,16,,,,,,,,,,,,,,,,,,,,,443,https://links.shipt.com:443,https,text/plain,GET,52.52.152.236,/,1253481126,http://shipt.com,52.53.78.211,1,False,,Cloudflare Bot Management,,cloudflare,
marketingcdn.shipt.com,ERROR: The request could not be satisfied,403,986,,marketingcdn.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,marketingcdn.shipt.com,cloudfront,443,https://marketingcdn.shipt.com:443,https,text/html,GET,108.138.24.187,/,-544829695,,108.138.24.65,20,False,True,Amazon Web Services,,CloudFront,True
member-auth-poc.shipt.com,,403,16,,shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,shipt.com,cloudflare,80,http://member-auth-poc.shipt.com:80,http,text/plain,GET,104.16.83.103,/,-738705486,https://shipt.com/,2606:4700::6810:5367,1,False,True,Cloudflare Bot Management,,cloudflare,
metrics-staging.shipt.com,,403,16,,metrics-staging.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,metrics-staging.shipt.com,cloudflare,443,https://metrics-staging.shipt.com:443,https,text/plain,GET,162.159.135.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
metrics.shipt.com,,403,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://metrics.shipt.com:80,http,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
mi.shipt.com,Movable Ink Domain,200,79,,,,,,,,,,,,,,,,,,,,,80,http://mi.shipt.com:80,http,,GET,54.162.62.237,/,-1542678720,,54.162.62.237,1,False,,,,,
neptune.shipt.com,Your Local Stores Delivered - Shipt Same-Day Delivery,200,131958,,neptune.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T21:00:08Z,2023-08-15T21:00:07Z,CN=neptune.shipt.com,neptune.shipt.com,neptune.shipt.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a2f4929a8dadc038667e22b4daa1277d,58e0a0e8968831a0441ac0b7fc7e98829ec81d847741e31ef24991f67c35055e,,ctls,neptune.shipt.com,,443,https://neptune.shipt.com:443,https,text/html,GET,18.195.123.215,/,1126721808,,2a05:d014:275:cb00:ce75:162:d945:5f34,400,False,,webpack,,Netlify,
object-storage.shipt.com,,403,16,,object-storage.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,object-storage.shipt.com,cloudflare,443,https://object-storage.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
partner-api.shipt.com,,404,,,partner-api.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,partner-api.shipt.com,fastly,443,https://partner-api.shipt.com:443,https,,GET,151.101.1.91,/,-1840324437,,151.101.193.91,1,False,True,HSTS,,,
partner-staging.shipt.com,Partnershipt,200,6698,,partner-staging.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,partner-staging.shipt.com,fastly,80,http://partner-staging.shipt.com:80,http,text/html,GET,151.101.1.91,/,1051784649,https://partner-staging.shipt.com/,151.101.193.91,84,False,True,HSTS,,,
partner-test.shipt.com,,200,9,,partner-test.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,partner-test.shipt.com,fastly,80,http://partner-test.shipt.com:80,http,text/plain,GET,146.75.117.91,/,-545477236,https://partner-test.shipt.com/,146.75.117.91,1,False,True,HSTS,,,
partner.shipt.com,,403,16,,partner.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,partner.shipt.com,cloudflare,443,https://partner.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8654,1,False,True,Cloudflare Bot Management,,cloudflare,
pm-bounces.shipt.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.shipt.com:80,http,text/html,GET,138.197.30.54,/,-1457628171,,138.197.30.54,85,False,,Amazon Web Services,,AmazonS3,
return-path.shipt.com,,403,16,,return-path.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,return-path.shipt.com,cloudflare,443,https://return-path.shipt.com:443,https,text/plain,GET,162.159.135.84,/,1253481126,,162.159.134.84,1,False,True,Cloudflare Bot Management,,cloudflare,
secure-assets.shipt.com,,403,16,,secure-assets.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,secure-assets.shipt.com,cloudflare,443,https://secure-assets.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
shipt.com,,403,16,,shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,shipt.com,cloudflare,443,https://shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,162.159.135.84,1,False,True,Cloudflare Bot Management,,cloudflare,
shop.shipt.com,,403,16,,shop.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,shop.shipt.com,cloudflare,443,https://shop.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
shopper-api.shipt.com,,404,,,shopper-api.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,shopper-api.shipt.com,fastly,443,https://shopper-api.shipt.com:443,https,,GET,151.101.1.91,/,-1840324437,,151.101.193.91,1,False,True,HSTS,,,
shoppers.shipt.com,Shipt Shopper Support,200,67146,,shoppers.shipt.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,shoppers.shipt.com,,443,https://shoppers.shipt.com:443,https,text/html,GET,50.16.128.128,/,-1840324437,,50.16.128.128,795,False,,Nginx,,nginx,
shoppingcart.shipt.com,,403,16,,shoppingcart.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,shoppingcart.shipt.com,cloudflare,443,https://shoppingcart.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
smartsheet.shipt.com,404 Not Found,404,196,,smartsheet.shipt.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-05-23T23:59:59Z,CN=sso.smartsheet.com,sso.smartsheet.com,sso.smartsheet.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,443330e5c67ecbcb3f8e0eb72ebe3636,ad04546a8b9b77e88acbdc5d8d9ac8a98a0ffc6e09c63a22f7b27434a09fd3b2,,ctls,smartsheet.shipt.com,,443,https://smartsheet.shipt.com:443,https,text/html,GET,50.17.38.43,/,-780928015,,3.219.210.1,8,False,,Apache,,Apache,True
sms.shipt.com,,403,16,,sms.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,sms.shipt.com,cloudflare,443,https://sms.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
sonarqube.shipt.com,SonarQube,200,2218,,sonarqube.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,sonarqube.shipt.com,fastly,443,https://sonarqube.shipt.com:443,https,text/html,GET,151.101.1.91,/,1485257654,,151.101.193.91,46,False,True,SonarQubes,,,
spark.shipt.com,,200,1933,,shipt-intranet.my.salesforce.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-24T00:00:00Z,2023-06-22T23:59:59Z,"CN=fra.edge.my.salesforce.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",fra.edge.my.salesforce.com,*.sandbox.my.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d6e3085cdc5c61d53d79a7d7de489c16,d0c559470c5e325e64fedebe96bb589f7ce7995f55e2d32fa40d4eaf7c13692e,True,ctls,shipt-intranet.my.salesforce.com,,443,https://spark.shipt.com:443,https,text/html,GET,107.170.196.140,/,756659709,https://shipt-intranet.my.salesforce.com/visualforce/session?url=https%3A%2F%2Fshipt-intranet.lightning.force.com%2Fvisualforce%2Fsession%3Furl%3Dhttps%253A%252F%252Fshipt-intranet--simpplr.vf.force.com%252Fapex%252Fsimpplr__app%253Fu,107.170.196.140,49,False,,HSTS,"salesforce.com, inc.",sfdcedge,
staging-admin.shipt.com,,403,16,,staging-admin.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,staging-admin.shipt.com,cloudflare,443,https://staging-admin.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
staging-api-east.shipt.com,,403,16,,staging-api-east.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,staging-api-east.shipt.com,cloudflare,443,https://staging-api-east.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8754,1,False,True,Cloudflare Bot Management,,cloudflare,
staging-api-gcp-central.shipt.com,,403,16,,staging-api-gcp-central.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,staging-api-gcp-central.shipt.com,cloudflare,443,https://staging-api-gcp-central.shipt.com:443,https,text/plain,GET,162.159.134.84,/,1253481126,,2606:4700:7::a29f:8654,1,False,True,Cloudflare Bot Management,,cloudflare,
