input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,csp_domains_,cdn_name,cdn,final_url
mail.portofantwerp.com,Sign in to Outlook,200,37967,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,443,https://mail.portofantwerp.com:443,https,text/html,GET,188.118.8.29,/,-1249852061,188.118.8.29,HSTS,95,False,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=55aefde6-1c9e-b03d-a3b8-9f3937163fad&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&nonce=638240343120044006.a9cea951-b243-45dd-8eee-fe0c14050ed7&state=DcsxFoAgDATRoM_jRBYSBI6DEFtLr2-KP90EItrd5gI8VC9pWSEqKQOqwHWOPm30kvjOKqxlLW5mxo9hJkWBrRr8PeL7jfgD
media.portofantwerp.com,Port of Antwerp Media,200,88391,media.portofantwerpbruges.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-25T00:00:00Z,2024-05-24T23:59:59Z,CN=media.portofantwerpbruges.com,media.portofantwerpbruges.com,,media.portofantwerpbruges.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f0a4e24d5765aab757eb8b19d348a629,6ed0a4f36a1903042fb9867a7dfe02f0afceab257e4fafb51629f10a956c0afa,,ctls,media.portofantwerpbruges.com,443,https://media.portofantwerp.com:443,https,text/html,GET,188.118.8.16,/,-1840324437,188.118.8.16,Nginx,1035,False,nginx,https://d8ejoa1fys2rk.cloudfront.net,,,https://media.portofantwerpbruges.com/login/
newsroom.portofantwerp.com,Port of Antwerp-Bruges - Pressroom,200,102799,newsroom.portofantwerpbruges.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-12T00:00:00Z,2024-04-11T23:59:59Z,"CN=newsroom.portofantwerpbruges.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",newsroom.portofantwerpbruges.com,"Cloudflare, Inc.",newsroom.portofantwerpbruges.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0bd2945d8c6f24e6b6043d9b338fc8c6,4bf50789e0a2c285c94c4eb6d8200de1b9d174d0b4bd3359b7c70b07a099d510,,ctls,newsroom.portofantwerpbruges.com,443,https://newsroom.portofantwerp.com:443,https,text/html,GET,172.66.43.104,/,149034979,172.66.40.152,Varnish:6.0,1208,False,cloudflare,https://csp.prezly.net/report,cloudflare,True,https://newsroom.portofantwerpbruges.com/
opendata-stg.portofantwerp.com,Layout Not Found,500,3200,opendata-stg.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-14T04:21:36Z,2023-08-12T04:21:35Z,CN=opendata-stg.portofantwerp.com,opendata-stg.portofantwerp.com,,opendata-stg.portofantwerp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,570c7fcc747434318247db0fa5722f91,72d0728b6223c6439824e76ee27e8be540445dcbb7a2369c32242e81e6753031,,ctls,opendata-stg.portofantwerp.com,443,https://opendata-stg.portofantwerp.com:443,https,text/html,GET,52.166.182.144,/,1026057194,52.166.182.144,HSTS,77,False,,https://i.ytimg.com/vi/YGJQpRT8Sf0/maxresdefault.jpg,azure,True,
portofantwerp.com,De hele haven in één klik | Port of Antwerp-Bruges,200,476365,www.portofantwerpbruges.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-02T12:30:17Z,2024-03-04T13:45:27Z,"CN=*.portofantwerpbruges.com, O=Haven van Antwerpen - Brugge (Port of Antwerp - Bruges), L=Antwerpen, ST=Antwerpen, C=BE",*.portofantwerpbruges.com,Haven van Antwerpen - Brugge (Port of Antwerp - Bruges),portofantwerpbruges.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,098a86bd42d41da99c942a3c04422bfd,ed18735b8ee50e5fb1f069eeec0ab39ed0c33c121204472d0e362ab5e442785c,True,ctls,www.portofantwerpbruges.com,443,https://portofantwerp.com:443,https,text/html,GET,188.118.8.16,/,-182096639,188.118.8.16,HSTS,8,False,,https://googleads.g.doubleclick.net,,,https://www.portofantwerpbruges.com
sentry.droneportal-test.portofantwerp.com,Port Of Antwerp Sentry,200,16429,sentry.droneportal-test.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-13T11:36:10Z,2023-08-11T11:36:09Z,CN=sentry.droneportal-test.portofantwerpbruges.com,sentry.droneportal-test.portofantwerpbruges.com,,sentry.droneportal-test.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fddd646c706e24a24dd816015096572c,d21547935a40f3bc0f8bccede6142015a91e078a0dff5ad3fe6d1588c9d0a3f4,,ctls,sentry.droneportal-test.portofantwerpbruges.com,443,https://sentry.droneportal-test.portofantwerp.com:443,https,text/html,GET,20.71.75.76,/,190856733,20.71.75.76,HSTS,49,False,,https://4.base.maps.ls.hereapi.com/,,,https://sentry.droneportal-test.portofantwerpbruges.com/
sentry.droneportal.portofantwerp.com,Port Of Antwerp Sentry,200,16429,sentry.droneportal.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-13T11:08:11Z,2023-09-11T11:08:10Z,CN=sentry.droneportal.portofantwerpbruges.com,sentry.droneportal.portofantwerpbruges.com,,sentry.droneportal.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,749ae04b027acf27d920c8453eb571ea,8a271b2d290ab03c5b4628a25bb3cb220b4b45eb34416b6b6a25ca434774ddce,,ctls,sentry.droneportal.portofantwerpbruges.com,443,https://sentry.droneportal.portofantwerp.com:443,https,text/html,GET,20.76.27.235,/,190856733,20.76.27.235,HSTS,49,False,,https://3.base.maps.api.here.com/,,,https://sentry.droneportal.portofantwerpbruges.com/
sip.portofantwerp.com,,404,75,sip.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.portofantwerp.com,443,https://sip.portofantwerp.com:443,https,text/plain,GET,52.112.193.13,/,-1326853754,52.112.193.13,HSTS,4,False,RTC/7.0,,,,
surveys.portofantwerp.com,,200,3488,surveys.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-06T09:21:21Z,2023-08-04T09:21:20Z,CN=surveys.portofantwerp.com,surveys.portofantwerp.com,,surveys.portofantwerp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,568d1c8982a7eb62c21133f7d160e3b7,a71ea18328d169b212dbb98c099f5b7ba815e5f6254bc5707894c7e7f729d32f,,ctls,surveys.portofantwerp.com,443,https://surveys.portofantwerp.com:443,https,text/html,GET,77.241.93.24,/,-421343513,77.241.93.24,Plesk,79,False,Apache,,,,
webmail.portofantwerp.com,Sign in to Outlook,200,39508,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,443,https://webmail.portofantwerp.com:443,https,text/html,GET,188.118.8.16,/,2094734606,188.118.8.16,HSTS,95,False,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=5b617a34-48c6-b89b-96ac-c31e1f0d8219&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=portofantwerp.mail.onmicrosoft.com&nonce=638240343178880056.64066169-6cf4-4114-8b77-9670de05f325&state=DctBDsMgDABBaB_TE8QEYzvPoTRIkUocUaR8vxxmb2uNMc_pMVmYMUxRVoSIMbCIACTyhEAUaHNUKjoMAZ28md1GDJ8dUo1rsvN9LXrn5dI-tOZz3Hu_fMvH1-vZjtL1p3X4ou0P
