input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,csp_domains_,tls_expired,final_url,tls_self_signed,location,tls_emails_
ecrt.harvard.edu,,200,105,ecrt.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-02T00:00:00Z,2023-11-02T23:59:59Z,"CN=ecrt.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",ecrt.harvard.edu,President and Fellows of Harvard College,ecrt.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,650458c859e2c12c9b0183c51efdeb58,7557b1731fd24aa56ccc3fc4343c354d85285204ced37b5a8ff7111287a58523,,ctls,ecrt.harvard.edu,443,https://ecrt.harvard.edu:443,https,Apache,text/html,GET,72.10.184.33,/,-780928015,72.10.184.33,HSTS,9,False,,,,,,,,,
ed.bidmc.harvard.edu,BIDMC Department of Emergency Medicine Quick Links,200,6661,edmenu.bidmc.harvard.edu,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=*.bidmc.harvard.edu, O=Beth Israel Lahey Health\, Inc, L=Cambridge, ST=Massachusetts, C=US",*.bidmc.harvard.edu,"Beth Israel Lahey Health, Inc",bidmc.harvard.edu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,e8be0674ecd0880a61ec26951fc40236,8dc78cb56f667ce8a03f849845a8b22c6b3fdc1c67601fc81f756366e099f775,True,ctls,edmenu.bidmc.harvard.edu,443,https://ed.bidmc.harvard.edu:443,https,Microsoft-IIS/8.5,text/html,GET,134.174.104.228,/,1631801191,134.174.104.228,Windows Server,350,False,,,,,,https://edmenu.bidmc.harvard.edu/,,,
eda-iip-prod.hz.lib.harvard.edu,,200,,eda-iip-prod.hz.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,"CN=eda-img.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",eda-img.lib.harvard.edu,President and Fellows of Harvard College,eda-img.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,8c90ce9e4d7979c473d62ae1738e7da3,84b089f42e831cffdb93689ce9914fd4b7e006409a4d2ab632900991a105fdf4,,ctls,eda-iip-prod.hz.lib.harvard.edu,443,https://eda-iip-prod.hz.lib.harvard.edu:443,https,Apache/2.4.29 (Ubuntu),text/html,GET,35.168.192.150,/,-723577811,52.3.142.199,Ubuntu,1,False,True,,,,,,,,
edapps.hms.harvard.edu,Services affected by the eCommons retirement | HMS IT,200,47420,it.hms.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T14:18:35Z,2023-08-10T14:18:34Z,CN=it.hms.harvard.edu,it.hms.harvard.edu,,it.hms.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e76a7be1138d0f0694fa1d4e25524469,ffd6a11065364e2456145cf8c44e15a330b380c96a6ccdbfbd67f7c82ec459b0,,ctls,it.hms.harvard.edu,443,https://edapps.hms.harvard.edu:443,https,nginx,text/html,GET,134.174.149.39,/,-204544147,134.174.149.39,ZURB Foundation,721,False,,,,,,https://it.hms.harvard.edu/services-affected-ecommons-retirement,,,
edc-stage.mgh.harvard.edu,Ether Dome Challenge,200,10563,edc-stage.mgh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=edc-stage.mgh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",edc-stage.mgh.harvard.edu,President and Fellows of Harvard College,vm-edc-dev-u16.partners.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,c6c0fa10e13db109012f53cf6d6e3186,64e9c7ffae95ed99b7ebd190c94546e6c001fdc11d88a14176cd73e1b97851db,,ctls,edc-stage.mgh.harvard.edu,443,https://edc-stage.mgh.harvard.edu:443,https,nginx,text/html,GET,170.223.191.141,/,-1840324437,170.223.191.141,Ruby on Rails,229,False,,,,,,https://edc-stage.mgh.harvard.edu/login,,,
edc.mgh.harvard.edu,Ether Dome Challenge,200,10524,edc.mgh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=edc.mgh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",edc.mgh.harvard.edu,President and Fellows of Harvard College,www.edc.partners.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,bd4be3c43576d5001f612fd28183ca23,c5eb477d33ed4c8c9b58da4a90b1233bc3bb4f762dc987289f22cbfcb18ced45,,ctls,edc.mgh.harvard.edu,443,https://edc.mgh.harvard.edu:443,https,nginx,text/html,GET,170.223.191.141,/,-1840324437,170.223.191.141,Ruby on Rails,231,False,,,,,,https://edc.mgh.harvard.edu/login,,,
edge.scholar.harvard.edu,Web Site Not Found,404,970,edge.scholar.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T16:01:11Z,2023-08-04T16:01:10Z,CN=*.scholar.harvard.edu,*.scholar.harvard.edu,,*.scholar.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,647d3f3d17fd05207c312c0501eb5f15,0c05f3197b928b1fa577b71752130b2190cbef6f2093ff128b604a0f7a4fe566,True,ctls,edge.scholar.harvard.edu,443,https://edge.scholar.harvard.edu:443,https,,text/html,GET,23.32.238.211,/,-1883206912,23.32.238.203,HSTS,27,False,,,,,,,,,
edlabs.harvard.edu,Harvard Web Publishing,403,5182,edlabs.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-01-12T23:59:59Z,"CN=openscholar.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",openscholar.harvard.edu,President and Fellows of Harvard College,zeligproject.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,938271b4f701ff331163858b054f5fd4,9174f019aaa6b79f55804b639d5557fa170bbc65a258139246441d0fbb91b078,True,ctls,edlabs.harvard.edu,443,https://edlabs.harvard.edu:443,https,nginx,text/html,GET,34.198.162.68,/,-1279440682,34.198.162.68,Varnish,94,False,True,,,,,,,,
edmenu.bidmc.harvard.edu,BIDMC Department of Emergency Medicine Quick Links,200,6662,edmenu.bidmc.harvard.edu,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=*.bidmc.harvard.edu, O=Beth Israel Lahey Health\, Inc, L=Cambridge, ST=Massachusetts, C=US",*.bidmc.harvard.edu,"Beth Israel Lahey Health, Inc",bidmc.harvard.edu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,e8be0674ecd0880a61ec26951fc40236,8dc78cb56f667ce8a03f849845a8b22c6b3fdc1c67601fc81f756366e099f775,True,ctls,edmenu.bidmc.harvard.edu,443,https://edmenu.bidmc.harvard.edu:443,https,Microsoft-IIS/8.5,text/html,GET,134.174.104.228,/,1631801191,134.174.104.228,Windows Server,350,False,,,,,,,,,
edo.mgh.harvard.edu,Apache2 Ubuntu Default Page: It works,200,11510,,,,,,,,,,,,,,,,,,,,80,http://edo.mgh.harvard.edu:80,http,Apache/2.4.41 (Ubuntu),text/html,GET,155.52.206.7,/,952885893,155.52.206.7,Ubuntu,379,False,,,,,,,,,
edportal.harvard.edu,Harvard Ed Portal,200,123686,edportal.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T21:59:00Z,2023-07-21T21:58:59Z,CN=edportal.harvard.edu,edportal.harvard.edu,,edportal.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a1b003c6a4bb206b5f0a93234a6bda47,00d64dba3e4206007269bb3798b7dc1f87a129cea788c6dc43b5de958665ec24,,ctls,edportal.harvard.edu,443,https://edportal.harvard.edu:443,https,,text/html,GET,2.19.126.83,/,1320404934,2.19.126.90,Red Hat Gluster,3076,False,,,,,,,,,
edtech.law.harvard.edu,,404,,edtech.law.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-24T06:02:46Z,2023-08-22T06:02:45Z,CN=*.libanswers.com,*.libanswers.com,,libanswers.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,00eac5cd06306dd6d73356b9f565ac24,95bba488c54a8bf5f7029e6c92095a02fbfc37bf06985181859a2bd118d366ce,True,ctls,edtech.law.harvard.edu,443,https://edtech.law.harvard.edu:443,https,nginx,application/json,GET,52.44.155.197,/,109194509,52.55.227.221,Nginx,1,False,True,,,,,,,,
education.bidmc.harvard.edu,Beth Israel Deaconess Medical Center | BIDMC of Boston,200,107094,www.bidmc.org,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-05-30T00:00:00Z,2024-05-29T23:59:59Z,"CN=*.bidmc.org, O=Beth Israel Lahey Health\, Inc, L=Cambridge, ST=Massachusetts, C=US",*.bidmc.org,"Beth Israel Lahey Health, Inc",bidmc.org,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d4a177936395177d6df6f94a5fbcb6c0,6864f17f34d7d88aed2c83834950e5ea7767f8aa133f6ea6e079a56508a2756b,True,ctls,www.bidmc.org,80,http://education.bidmc.harvard.edu:80,http,Microsoft-IIS/8.5,text/html,GET,134.174.104.51,/,1967621923,134.174.104.51,Windows Server,1145,False,,,,https:,,https://www.bidmc.org/,,,
educationnext2-lb-pub-prod.fas.cloud.huit.harvard.edu,Education Next - A Journal of Opinion and Research About Education Policy,200,185173,www.educationnext.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,CN=educationnext.org,educationnext.org,,www.educationnext.org,"CN=Network Solutions DV Server CA 2, O=Network Solutions L.L.C., L=Herndon, ST=VA, C=US",Network Solutions DV Server CA 2,Network Solutions L.L.C.,e2a999bdcc03e02367f9e7b778173cc0,5db621cd2935aceec287242abc706d8e4d90a8a35a93bcbd79ce24da07fe9459,,ctls,www.educationnext.org,443,https://educationnext2-lb-pub-prod.fas.cloud.huit.harvard.edu:443,https,Apache/2.4.34 (Red Hat) OpenSSL/1.0.2k-fips,text/html,GET,52.2.138.73,/,-1840324437,3.224.120.72,wpBakery,2594,False,,,,,,https://www.educationnext.org/,,,
eecs.harvard.edu,Computer Science | Harvard John A. Paulson School of Engineering and Applied Sciences,200,178722,seas.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-11T07:45:54Z,2023-09-09T07:45:53Z,CN=seas.harvard.edu,seas.harvard.edu,,www.seas.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8526cb8393b2a438ec308187a88f2531,f4fe0f053ebcdbe6e14015427e339f9c046ee7b86355a854d41f80e3cd0dce44,,ctls,seas.harvard.edu,443,https://eecs.harvard.edu:443,https,nginx,text/html,GET,52.2.16.86,/,848041302,52.2.16.86,Varnish,1048,False,,,,,,https://seas.harvard.edu/computer-science,,,
eelp.law.harvard.edu,Home - Environmental & Energy Law Program - Harvard Law School,200,53680,eelp.law.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-14T23:59:59Z,"CN=eelp.law.harvard.edu, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",eelp.law.harvard.edu,"Cloudflare, Inc.",eelp.law.harvard.edu,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3f2129239a1c342b0fccee1c7d18e39d,eff67ab192afad5d7e34ca5546715b2b31269bc6a5ddb78a8eba2ba8d38b0b28,,ctls,eelp.law.harvard.edu,443,https://eelp.law.harvard.edu:443,https,cloudflare,text/html,GET,141.193.213.20,/,-1840324437,141.193.213.21,Yoast SEO:20.6,494,False,,,,,,,,,
eesl.chge.hsph.harvard.edu,Executive Education for Sustainability Leadership,200,64209,eesl.sph.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T14:33:07Z,2023-08-04T14:33:06Z,CN=*.sph.harvard.edu,*.sph.harvard.edu,,*.sph.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3c0f4d338729ccdae219400c3efecc13,4d23e4ea598a24f14bd25140844b6f600f9bc2db9064ab1212e91abdf4000708,True,ctls,eesl.sph.harvard.edu,443,https://eesl.chge.hsph.harvard.edu:443,https,,text/html,GET,134.174.190.18,/,546130823,134.174.190.18,Red Hat Gluster,1621,False,,,,,,https://eesl.sph.harvard.edu/,,,
eesl.sph.harvard.edu,Executive Education for Sustainability Leadership,200,64208,eesl.sph.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T14:33:07Z,2023-08-04T14:33:06Z,CN=*.sph.harvard.edu,*.sph.harvard.edu,,*.sph.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3c0f4d338729ccdae219400c3efecc13,4d23e4ea598a24f14bd25140844b6f600f9bc2db9064ab1212e91abdf4000708,True,ctls,eesl.sph.harvard.edu,443,https://eesl.sph.harvard.edu:443,https,,text/html,GET,23.32.238.83,/,546130823,23.32.238.11,Red Hat Gluster,1621,False,,,,,,,,,
eguide.seas.harvard.edu,Entrepreneurship | Harvard John A. Paulson School of Engineering and Applied Sciences,200,153697,seas.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T07:45:54Z,2023-09-09T07:45:53Z,CN=seas.harvard.edu,seas.harvard.edu,,www.seas.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8526cb8393b2a438ec308187a88f2531,f4fe0f053ebcdbe6e14015427e339f9c046ee7b86355a854d41f80e3cd0dce44,,ctls,seas.harvard.edu,443,https://eguide.seas.harvard.edu:443,https,nginx,text/html,GET,54.172.197.41,/,1008104805,54.172.197.41,YouTube,693,False,,,,,,https://seas.harvard.edu/entrepreneurship,,,
ehfellows.sph.harvard.edu,The JPB Environmental Health Fellowship Program,200,175043,ehfellows.sph.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-20T17:00:22Z,2023-09-18T17:00:21Z,CN=asiandiabetesprevention.org,asiandiabetesprevention.org,,www.mhtf.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4a5bf28f6d4cef1177e529a58cf9d6e5,63580e998a7a8c92c22d9781d50780fbe595a60bba049465e8b0e33304d200e5,,ctls,ehfellows.sph.harvard.edu,443,https://ehfellows.sph.harvard.edu:443,https,nginx,text/html,GET,23.185.0.3,/,1198047028,2620:12a:8000::3,WordPress:6.2.2,1150,False,,,,,,,,,
ehs.harvard.edu,EH&S,200,24497,www.ehs.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-14T07:29:25Z,2023-09-12T07:29:24Z,CN=ehs.harvard.edu,ehs.harvard.edu,,www.ehs.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f1afa6a3b5068a44bc6532b2353979e0,6efc795bb35cabf4b84273cd6177d0e0882054d995d1935298c3740ec1ad4571,,ctls,www.ehs.harvard.edu,443,https://ehs.harvard.edu:443,https,nginx,text/html,GET,23.185.0.2,/,-1280846966,23.185.0.2,Varnish,384,False,,,,,,https://www.ehs.harvard.edu/,,,
ehs.labpoint.sph.harvard.edu,HarvardKey - Harvard University Authentication Service,200,23450,www.pin1.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=hk20-key-auth.iam.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",hk20-key-auth.iam.harvard.edu,President and Fellows of Harvard College,www.pin1.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3f63fcc5862e2a9dd4d7542171e1ea37,b508bb39e104348c89db50434ab75b8c2612830c2f562692eb86751850babe16,,ctls,www.pin1.harvard.edu,443,https://ehs.labpoint.sph.harvard.edu:443,https,Apereo CAS,text/html,GET,45.60.34.143,/,147038764,45.60.34.143,HSTS,357,False,,incapsula,True,,,https://www.pin1.harvard.edu/cas/login?service=https://ehs.labpoint.sph.harvard.edu/cas-login,,,
elab.hms.harvard.edu,Sign In,200,27490,sso.med.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=sso.med.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",sso.med.harvard.edu,President and Fellows of Harvard College,itwvfspp04.med.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,d677caddec24e19dd2d23c55a9a48c1d,51cdb15c55d8918dc073f5fd86076db57fc9ef33e427d030d6af68f9918571cf,,ctls,sso.med.harvard.edu,443,https://elab.hms.harvard.edu:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,134.174.159.103,/,-1369913287,134.174.159.103,Microsoft HTTPAPI:2.0,672,False,,,,api-2f8a17a9.duosecurity.com,,https://sso.med.harvard.edu/adfs/ls/?SAMLRequest=fZJdT8IwFIb%2FytL7rd3GBBq2BCFGEtQF0AtvTLcdWJOuxZ4O8d87QAVuuD15P568OSMUjdrycetqvYDPFtB5s2lKPpKYDcIeG%2Fpx0i%2F9XtEv%2FOGwiP0BS5IwhjjqRwnx3sCiNDolUcCIN0NsYabRCe26E4tin935UbhiPR4yHvYCNkjeiTftWqQW7uisndsipxTRBA1UQS3sTtgqgKqlolojVUiJ92BsCUfKlDjbwqEsF4hyBylZC4XdJbfGmdKoe6krqTcpaa3mRqBErkUDyF3Jl%2BOnOe9geXESIX9crXI%2Ff1muiDdGBHugmhiNbQN2CXYnS3hdzM%2BcoEQR1A1egSqzkZoetqTiLyQQWO%2BJt2%2BURn6c%2BTbR9hefZKODmh%2FXtBf%2B2%2Fb%2FXpLdRB3Ri%2FRT1ZY%2Fd3GzaW6ULL%2B9sVLma2JBuPO2NDv5rl8l%2BwE%3D&RelayState=%7B%22test%22%3Anull%2C%22redirectUrl%22%3Anull%2C%22isAdditionalAuthCheck%22%3Anull%7D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=gsDF9dWBo4eoFT7mv7n03Wd4D22QNytfixPLDXfHszm2vvUDOPmqh2Y7LU5wbxnTK43J9s6n7cCRg7ttA32%2F%2FgfucB588HxACAsfdPBr8TJORXewVCy23ta%2FUscv40sIGt2JufH%2BhmqewaDJsH%2BSFyBpAJiELRRto972QyrLkxNje1wqhajpXWWP3X8ilMTHL%2ByrYUKgtsVSD1ZkfrqdjEKeYTY5qNs5jnntgIuvDNJWYrEh56nU5XDkGQT8rgnTZGa6IKy3NvlRwX46JZr0XEPa0Nk2RAT1IVJY25AcOelS2z16VKJ3Escazc0spaBq9bVutsTN2OLUiIvNzZmecQ%3D%3D,,,
elabftw.aws.rits.hms.harvard.edu,Login - eLabFTW,200,4793,elabftw.aws.rits.hms.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T03:03:40Z,2023-07-30T03:03:39Z,CN=elabftw.aws.rits.hms.harvard.edu,elabftw.aws.rits.hms.harvard.edu,,elabftw.aws.rits.hms.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ed997c3b5411e0c786895457697d8ba5,6410be10df024ed1f11cd63b33e1dc25257d88d3f2568d8d565625e59524f6b4,,ctls,elabftw.aws.rits.hms.harvard.edu,443,https://elabftw.aws.rits.hms.harvard.edu:443,https,nginx,text/html,GET,18.211.26.254,/,-1508689378,18.211.26.254,PHP,131,False,,,,https://ajax.googleapis.com/,,https://elabftw.aws.rits.hms.harvard.edu/login.php,,,
elasticwork.mgh.harvard.edu,Elastic Work,200,5865,elasticwork.mgh.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2022-07-13T00:00:00Z,2023-07-13T23:59:59Z,"CN=elasticwork.mgh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",elasticwork.mgh.harvard.edu,President and Fellows of Harvard College,researchjobs.mgh.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,b0c29fb8665d451f8a95f54c21412b4c,3d2f9122549078fbb809e8ef8e59217a2d733e78d57720bc364d885c96d639c5,,ctls,elasticwork.mgh.harvard.edu,443,https://elasticwork.mgh.harvard.edu:443,https,nginx/1.18.0,text/html,GET,170.223.156.228,/,286975560,170.223.156.228,Nginx:1.18.0,71,False,,,,,,,,,
elections.harvard.edu,Harvard Elections,200,65713,elections.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T20:23:06Z,2023-07-21T20:23:05Z,CN=elections.harvard.edu,elections.harvard.edu,,elections.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a1fd535ecbe3a39324c6b799afcbf1d0,fd89403e019d3735a1b145451b8a3960172f90d55f40308f1060f719835fe325,,ctls,elections.harvard.edu,443,https://elections.harvard.edu:443,https,,text/html,GET,23.32.238.211,/,664640110,23.32.238.203,Red Hat Gluster,1631,False,,,,,,,,,
elias.fas.harvard.edu,Home | ELIAS,200,59158,elias.fas.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-04-03T00:00:00Z,2022-04-03T23:59:59Z,"CN=elias.unix.fas.harvard.edu, OU=HUIT Cloud Dev ops Team, O=President and Fellows of Harvard College, street=114 MOUNT AUBURN STREET, L=Cambridge, ST=Massachusetts, postalCode=02138, C=US",elias.unix.fas.harvard.edu,President and Fellows of Harvard College,elias.fas.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,27413259da085637c530b066a5ba029f,3aebca8beb776b60e52f19dfa09f0e87ad566709d069014bd386823adb29c649,,ctls,elias.fas.harvard.edu,443,https://elias.fas.harvard.edu:443,https,Apache/2.4.57 (Ubuntu),text/html,GET,140.247.195.220,/,2040857920,140.247.195.220,Ubuntu,1652,False,,,,,True,,,,
elias.unix.fas.harvard.edu,Home | ELIAS,200,59158,elias.unix.fas.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-04-03T00:00:00Z,2022-04-03T23:59:59Z,"CN=elias.unix.fas.harvard.edu, OU=HUIT Cloud Dev ops Team, O=President and Fellows of Harvard College, street=114 MOUNT AUBURN STREET, L=Cambridge, ST=Massachusetts, postalCode=02138, C=US",elias.unix.fas.harvard.edu,President and Fellows of Harvard College,elias.fas.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,27413259da085637c530b066a5ba029f,3aebca8beb776b60e52f19dfa09f0e87ad566709d069014bd386823adb29c649,,ctls,elias.unix.fas.harvard.edu,443,https://elias.unix.fas.harvard.edu:443,https,Apache/2.4.57 (Ubuntu),text/html,GET,140.247.195.220,/,317556430,140.247.195.220,Ubuntu,1652,False,,,,,True,,,,
elk.med.harvard.edu,Apache2 Ubuntu Default Page: It works,200,10918,elk.med.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.hms.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",*.hms.harvard.edu,President and Fellows of Harvard College,*.hms.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,08355ead58992466883a8889aaf10fbb,9058db9db57f53fe0c8763ab9f3ac50bc7c7cb163fd6c76045c564a2c15d01d6,True,ctls,elk.med.harvard.edu,443,https://elk.med.harvard.edu:443,https,Apache/2.4.29 (Ubuntu),text/html,GET,134.174.149.237,/,863636251,134.174.149.237,Ubuntu,376,False,True,,,,,,,,
elo.harvard.edu,Home | Harvard Web Publishing,200,5545,elo.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=openscholar.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",openscholar.harvard.edu,President and Fellows of Harvard College,zeligproject.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,2227a25e0ca3e04154999fd71875b0e7,20f505198b35d674d64f2fc780befbaac3365e0d185b39140b98835df1fcfc7d,True,ctls,elo.harvard.edu,443,https://elo.harvard.edu:443,https,nginx,text/html,GET,18.232.209.104,/,-1457638364,18.208.82.203,PHP,84,False,True,,,,,,,,
email.childrens.harvard.edu,Outlook Web App,200,89980,email.childrens.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-29T00:00:00Z,2023-07-29T23:59:59Z,"CN=email.tch.harvard.edu, O=The Children's Hospital Corporation, ST=Massachusetts, C=US",email.tch.harvard.edu,The Children's Hospital Corporation,smtp.tch.harvard.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,791f7076aeb3c8ed5b840562c9471c9b,fa01296a9d0259e8d4bcb08c626c7544f05d778160c785b3aa5a724b916032d0,,ctls,email.childrens.harvard.edu,443,https://email.childrens.harvard.edu:443,https,Microsoft-IIS/8.5,text/html,GET,134.174.13.223,/,1858166678,134.174.13.223,Windows Server,1419,False,,,,,,https://email.childrens.harvard.edu/owa/auth/logon.aspx?url=https%3a%2f%2femail.childrens.harvard.edu%2fowa%2f&reason=0,,,
