input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,lines,failed,cdn,tls_subject_org_,webserver,tech_,tls_wildcard_certificate,tls_expired,tls_mismatched,location
namechecker.lansweeper.com,NameChecker - Login,200,661192,,namechecker.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-11T23:59:59Z,CN=*.lansweeper.com,*.lansweeper.com,*.lansweeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,de4eef3abc22ddb652f013d645e398e3,2c0adefe7b363c53846b5ea00e96e50c10a8371263d990ed1bb36baf4331595c,ctls,namechecker.lansweeper.com,,443,https://namechecker.lansweeper.com:443,https,text/html,GET,52.211.85.120,/,-1990134593,,34.251.139.233,8,False,,,istio-envoy,webpack,True,,,
partner.lansweeper.com,Lansweeper,200,60421,https:,partner.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-25T00:00:00Z,2024-06-23T23:59:59Z,CN=partner.lansweeper.com,partner.lansweeper.com,partner.lansweeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,854bf231e2f1af3018f3ad2983ee9958,74980d90fdfe195f5fb25eb1470a36b94635fa4fa662a9fa77f4cf9e049fb8f2,ctls,partner.lansweeper.com,,443,https://partner.lansweeper.com:443,https,text/html,GET,3.75.56.161,/,-587888295,,52.58.211.247,1511,False,,,nginx,WordPress:6.2.2,,,,
partners.lansweeper.com,,200,1422,,lansweeper.my.site.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T00:00:00Z,2024-03-26T23:59:59Z,"CN=prod.cdn.salesforce-experience.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",prod.cdn.salesforce-experience.com,*.sandbox.my.site.com,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,cbff9ef46b6f62e24d84e58321440f89,96d89df4025fbff2a3eb909bb3662c44ea9a04e4bbf68ba66bd536c8718c2594,ctls,lansweeper.my.site.com,,80,http://partners.lansweeper.com:80,http,text/html,GET,162.255.119.254,/,1433417005,https://lansweeper.my.site.com/PartnerPortal/s/,162.255.119.254,47,False,,"salesforce.com, inc.",,HSTS,True,,True,
productapi.lansweeper.com,,404,54,,productapi.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-03T00:00:00Z,2024-07-01T23:59:59Z,CN=productapi.lansweeper.com,productapi.lansweeper.com,www.productapi.lansweeper.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,898ede53ea062f78d42606bc5413b5c2,0686d0de7fe436e580a93dfcc42d800fde1baa555a78d1ff0f380f9a24884e36,ctls,productapi.lansweeper.com,azure,443,https://productapi.lansweeper.com:443,https,application/json,GET,52.138.217.120,/,-326256188,,52.138.217.120,1,False,True,,,,,,,
scep02.lansweeper.com,IIS Windows Server,200,703,,scep02.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-07T00:00:00Z,2024-05-07T23:59:59Z,CN=scep02.lansweeper.com,scep02.lansweeper.com,www.scep02.lansweeper.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4ac6f68860f211ce7a2a4bb2b4db9d71,63a2018744f2de02beb0a42b0462c6059a302c4a08ee8f909fafd3dcec28d291,ctls,scep02.lansweeper.com,azure,443,https://scep02.lansweeper.com:443,https,text/html,GET,20.52.182.15,/,1351165428,,20.52.182.15,32,False,True,,,Microsoft ASP.NET,,,,
sd.lansweeper.com,Jira Service Management,200,226837,trello.com,lansweeper.atlassian.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-07T00:00:00Z,2023-12-07T23:59:59Z,"CN=*.atlassian.net, O=Atlassian\, Inc., L=San Francisco, ST=California, C=US",*.atlassian.net,atlassian.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf580a615a18a6386f0995fe7cff01e5,e5e8d632c0b86f5bd5ef9a0d55c58ba1fd7776f6bb7c35ca23d85d23281ce58f,ctls,lansweeper.atlassian.net,,80,http://sd.lansweeper.com:80,http,application/octet-stream,GET,192.64.119.140,/,1287430481,https://lansweeper.atlassian.net/servicedesk/customer/user/login?destination=portals,192.64.119.140,10,False,,"Atlassian, Inc.",AtlassianEdge,HSTS,True,,,
sl.lansweeper.com,,204,,,sl.lansweeper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-13T02:26:21Z,2023-10-11T02:26:20Z,CN=sl.lansweeper.com,sl.lansweeper.com,sl.lansweeper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c3689bd18e81d6f3a00f5fda3ab00dec,1aa44de079601ac624aacecc07253bcef5bf8efab611d7c4f52f12dac794b62b,ctls,sl.lansweeper.com,,443,https://sl.lansweeper.com:443,https,,GET,54.144.52.150,/,-1840324437,,52.54.201.11,1,False,,,,HSTS,,,,
status.lansweeper.com,Lansweeper Status,200,300858,,status.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-23T04:44:08Z,2023-09-21T04:44:07Z,CN=api.aurora.dev,api.aurora.dev,www.the-board-status.jp,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8af9e1d03c8bff7fbd88bb9792b9fe14,e19d7c5382380f48942c0a602e91c8a662d0138b04388174cc243603408bb38c,ctls,status.lansweeper.com,cloudfront,443,https://status.lansweeper.com:443,https,text/html,GET,108.138.17.54,/,-1840324437,,108.138.17.36,3503,False,True,,AtlassianEdge,HSTS,,,,
store.lansweeper.com,Pricing & Plans - Lansweeper IT Asset Management,200,596510,,www.lansweeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-10-10T23:59:59Z,"CN=www.lansweeper.com, O=Lansweeper, L=Dendermonde, ST=Oost-Vlaanderen, C=BE, businessCategory=Private Organization, jurisdictionCountry=BE, serialNumber=0538.668.417, businessCategory=Private Organization, jurisdictionCountry=BE",www.lansweeper.com,lansweeper.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,d9cd0b8bd2e946800316a7409d84d69e,031804a28ea8501f437f0b15ef7e77d75d1bd8d0294f8315cc23b207f4368363,ctls,www.lansweeper.com,cloudflare,443,https://store.lansweeper.com:443,https,text/html,GET,104.16.242.229,/,-1056419772,https://www.lansweeper.com/pricing/,104.16.243.229,5303,False,True,Lansweeper,cloudflare,ZURB Foundation,,,,
vpn.lansweeper.com,,200,666,,vpn.lansweeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-29T00:00:00Z,2023-12-30T23:59:59Z,CN=vpn.lansweeper.com,vpn.lansweeper.com,gps.lansweeper.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,329efeacbb8367eed9a7d9c0bfe30881,b26e6ee8241db470c775402da4c1847c60db8478374bdbd975415ae88cbbf30b,ctls,vpn.lansweeper.com,,443,https://vpn.lansweeper.com:443,https,text/html,GET,149.11.171.2,/,-492339404,https://vpn.lansweeper.com/global-protect/login.esp,149.11.171.2,2,False,,,,HSTS,,,,
