input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,webserver,final_url,csp_domains_,tls_wildcard_certificate,tls_mismatched,tls_self_signed
auth.evigilation-uat.monash.edu,Welcome to Keycloak,200,3884,auth.evigilation-uat.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-08T00:00:00Z,2024-08-05T23:59:59Z,CN=evigilation-uat.monash.edu,evigilation-uat.monash.edu,,*.evigilation-uat.monash.edu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,15bd75d17cb33c9f2e9048d1459cbbeb,359c4b48f3ffcbe6fecda421d631b2d928d34aad646f0e40ffd401dbb2b9369b,ctls,auth.evigilation-uat.monash.edu,,443,https://auth.evigilation-uat.monash.edu:443,https,text/html,GET,13.237.18.54,/,-1978500057,13.238.30.45,HSTS,88,False,,,,,,True,,
auth.evigilation.monash.edu,Welcome to Keycloak,200,3880,auth.evigilation.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-11T23:59:59Z,CN=*.evigilation.monash.edu,*.evigilation.monash.edu,,*.evigilation.monash.edu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,77d69edafcf8ac016a95070ce27afd8a,dfb0b86a44c7fc6e29963f823cfb3959fed5c1145421e7bb98584d1b59cc8329,ctls,auth.evigilation.monash.edu,,443,https://auth.evigilation.monash.edu:443,https,text/html,GET,54.206.137.142,/,-767007488,54.153.172.117,HSTS,88,False,,,,,,True,,
autoscrub-qa.apps.monash.edu,,200,1301,autoscrub-qa.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-05T00:00:00Z,2023-05-05T23:59:59Z,"CN=autoscrub.physics.monash.edu, O=Monash University, ST=Victoria, C=AU",autoscrub.physics.monash.edu,Monash University,sci-app04-v20.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f9673c4140176be40552028088b14d3f,5eee4dac7cd17ba53287ea870f6883c91a62aa34993745176e7403389b11cf3e,ctls,autoscrub-qa.apps.monash.edu,cloudfront,443,https://autoscrub-qa.apps.monash.edu:443,https,text/html,GET,18.66.147.3,/,741505126,18.66.147.70,Amazon Web Services,47,False,True,True,,,,,,
autoscrub-qa.physics.monash.edu,,200,1301,autoscrub-qa.physics.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-05T00:00:00Z,2023-05-05T23:59:59Z,"CN=autoscrub.physics.monash.edu, O=Monash University, ST=Victoria, C=AU",autoscrub.physics.monash.edu,Monash University,sci-app04-v20.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f9673c4140176be40552028088b14d3f,5eee4dac7cd17ba53287ea870f6883c91a62aa34993745176e7403389b11cf3e,ctls,autoscrub-qa.physics.monash.edu,cloudfront,443,https://autoscrub-qa.physics.monash.edu:443,https,text/html,GET,18.66.147.36,/,-1114539858,18.66.147.70,Amazon Web Services,47,False,True,True,,,,,,
autoscrub.apps.monash.edu,,200,1301,autoscrub.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-05T00:00:00Z,2023-05-05T23:59:59Z,"CN=autoscrub.physics.monash.edu, O=Monash University, ST=Victoria, C=AU",autoscrub.physics.monash.edu,Monash University,sci-app04-v20.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f9673c4140176be40552028088b14d3f,5eee4dac7cd17ba53287ea870f6883c91a62aa34993745176e7403389b11cf3e,ctls,autoscrub.apps.monash.edu,cloudfront,443,https://autoscrub.apps.monash.edu:443,https,text/html,GET,18.66.147.36,/,-715459472,18.66.147.3,Amazon Web Services,47,False,True,True,,,,,,
aws-hec-splunk.ocio.monash.edu,404 Not Found,404,223,aws-hec-splunk.ocio.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-10-20T23:59:59Z,"CN=aws-hec-splunk.ocio.monash.edu, O=Monash University, ST=Victoria, C=AU",aws-hec-splunk.ocio.monash.edu,Monash University,aws-hec-splunk.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2461acf98ae5b914be03352d3f422ac3,aed79c4a5e95d8c57e085e6ef99a265d6aa77bb1696dc2babb01d7e40eda657a,ctls,aws-hec-splunk.ocio.monash.edu,cloudfront,443,https://aws-hec-splunk.ocio.monash.edu:443,https,text/html,GET,65.9.66.49,/,-796447061,2600:9000:206f:8400:2:8266:3100:93a1,Splunkd,2,False,True,,Splunkd,,,,,
axmfb.med.monash.edu,,200,5,,,,,,,,,,,,,,,,,,,,80,http://axmfb.med.monash.edu:80,http,text/html,GET,130.194.20.185,/,-366337701,130.194.20.185,Red Hat,2,False,,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.4.16,,,,,
bard.monash.edu,BARD,200,2491,bard.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-04-18T23:59:59Z,"CN=bard.monash.edu, O=Monash University, ST=Victoria, C=AU",bard.monash.edu,Monash University,fit-web64-v20.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1eaf1f7f63eb69395e55c83a3ec704d5,7d332ce7292231b3a6375a225e789d155a32bc7e60e176f0ffe0ed511369732f,ctls,bard.monash.edu,cloudfront,443,https://bard.monash.edu:443,https,text/html,GET,18.66.122.20,/,-1347090997,18.66.122.31,Node.js,1,False,True,,,,,,,
bastion3.erc.monash.edu,"Bastion3 | 
	Home 
	
	
	
	
	
	
	Page",200,18259,bastion3.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-21T23:59:59Z,"CN=bastion3.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",bastion3.erc.monash.edu,Monash University,bastion3.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d2e42ed6a07cd3c2eba706cac1c4dee1,8c27695b3b58f286a82ff505f861d83b564fbf7cd60a32e4ba40d4bb1313dc49,ctls,bastion3.erc.monash.edu,,443,https://bastion3.erc.monash.edu:443,https,text/html,GET,118.138.246.73,/,,118.138.246.73,Java,218,False,,,Apache-Coyote/1.1,,,,,
bastion4.erc.monash.edu,Bastion4 | Home Page,200,16755,bastion4.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-14T00:00:00Z,2023-10-14T23:59:59Z,"CN=bastion4.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",bastion4.erc.monash.edu,Monash University,bastion4.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e330301d92188fae61493e50ac1e53a3,fefb4c7fbad2b930563c347453306fbbd4090eb9758b061b0ab77e79e23b5e53,ctls,bastion4.erc.monash.edu,,443,https://bastion4.erc.monash.edu:443,https,text/html,GET,118.138.237.72,/,,118.138.237.72,Java,211,False,,,Apache-Coyote/1.1,,,,,
bastion6.erc.monash.edu,"Bastion6 | 
	Home 
	
	
	
	
	
	 
	
	Page",200,16681,bastion6.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-14T00:00:00Z,2023-10-14T23:59:59Z,"CN=bastion6.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",bastion6.erc.monash.edu,Monash University,bastion6.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,12de8899ccfb60953f2fe39dd64d3cc8,b0f33c7557d177b85f4f4394944f17004a9d7c813476fc5d3a3006f1626c6dd7,ctls,bastion6.erc.monash.edu,,443,https://bastion6.erc.monash.edu:443,https,text/html,GET,118.138.235.119,/,,118.138.235.119,Java,222,False,,,Apache-Coyote/1.1,,,,,
bastionhub.erc.monash.edu,"BastionHub | 
	  Home 
      
      
      
      
      
      
      
            
      
      
      
       
      
      
     
	Page",200,19611,bastionhub.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=bastionhub.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",bastionhub.erc.monash.edu,Monash University,bastionhub.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0e0fd5d4544efe86de441a9f4e579d99,9ad19a17d808d92a0e7809f2b3ff9073d49b4d6e811e36f758ffbcf48f03a673,ctls,bastionhub.erc.monash.edu,incapsula,443,https://bastionhub.erc.monash.edu:443,https,text/html,GET,45.60.34.202,/,-413017615,45.60.34.202,Java,271,False,True,,Apache-Coyote/1.1,,,,,
bbbtest3.evigilation-uat.monash.edu,BigBlueButton - Open Source Web Conferencing,200,12200,bbbtest3.evigilation-uat.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,"CN=bbbtest1.evigilation-uat.monash.edu, O=Monash University, ST=Victoria, C=AU",bbbtest1.evigilation-uat.monash.edu,Monash University,bbbtest99.evigilation-uat.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,14feada0045413c1cb7fc8e103fdb301,b6e00ca24dfbbd777a2c2d71392c65acf14e66b9032d3e9977173eefdac4ee8c,ctls,bbbtest3.evigilation-uat.monash.edu,,443,https://bbbtest3.evigilation-uat.monash.edu:443,https,text/html,GET,52.62.216.117,/,908040557,52.62.216.117,Ubuntu,286,False,,,nginx/1.14.0 (Ubuntu),,,,,
bckonline.erc.monash.edu,,403,839,bckonline.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=bckonline.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",bckonline.erc.monash.edu,Monash University,bckonline.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a95612d24a0119c1e5941284ef256b7e,20d9ed1be5622f12b4b28fcbadd5ef19422044727722f36ef30c1ae95d279dda,ctls,bckonline.erc.monash.edu,incapsula,443,https://bckonline.erc.monash.edu:443,https,text/html,GET,45.60.34.202,/,1667074856,45.60.34.202,Imperva,1,False,True,,,,,,,
beest.infotech.monash.edu,BEEST home,200,13868,beest.infotech.monash.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-19T00:00:00Z,2024-06-18T23:59:59Z,"CN=beest.monash.edu, O=Monash University, ST=Victoria, C=AU",beest.monash.edu,Monash University,fit-web107-v02.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9c41d15f221e3897af5a06a38cf93057,0b674e1e40c8b2babb85e9ab741f44787e59bf647565ebfe707659b694c4dd06,ctls,beest.infotech.monash.edu,,443,https://beest.infotech.monash.edu:443,https,text/html,GET,130.194.20.243,/,-780928015,130.194.20.243,Red Hat,244,False,,,Apache/2.4.37 (Red Hat Enterprise Linux) OpenSSL/1.1.1k,,,,,
beims-dev-api.monash.edu,,200,1301,beims-dev-api.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2018-11-20T04:02:44Z,2020-11-20T04:12:00Z,"CN=beims-dev-api.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",beims-dev-api.monash.edu,Monash University,beims-dev-api.ocio.monash.edu,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,3d39a42132fb0138f609247f0b611ae0,e0b712058ebad5c5e57761cb71285115760b06ce61797bda30e6faaafe62cf35,ctls,beims-dev-api.monash.edu,cloudfront,443,https://beims-dev-api.monash.edu:443,https,text/html,GET,143.204.98.45,/,1491892666,2600:9000:2156:da00:1a:1240:c0c0:93a1,Amazon Web Services,47,False,True,True,,,,,,
bhgroup.eng.monash.edu,Banaszak Holl Group – Banaszak Holl Group,200,31998,bhgroup.eng.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-19T00:00:00Z,2024-04-18T23:59:59Z,"CN=bhgroup.eng.monash.edu, O=Monash University, ST=Victoria, C=AU",bhgroup.eng.monash.edu,Monash University,bhgroup.eng.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,db8ae7e77e0a0e6d69d7d56eb2e24441,07445a93db3e2075ee8acec6a9f16077b5d55afb52c8f36bffc2813f17a42fa1,ctls,bhgroup.eng.monash.edu,,443,https://bhgroup.eng.monash.edu:443,https,text/html,GET,13.236.125.113,/,1198047028,13.236.125.113,WordPress:5.8.7,393,False,,,Apache,,,,,
blendit.infotech.monash.edu,,200,1301,blendit.infotech.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2018-06-06T05:22:22Z,2020-06-06T05:32:00Z,"CN=fit-web78-v20.ocio.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",fit-web78-v20.ocio.monash.edu,Monash University,www.fit-web31-v01.ocio.monash.edu.au,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,25df1feaaee4a2a03c9d7060340386e0,08718d44f52c451979c5610e91a5057ccc58ddf0425cd6f32bf22ed31c3844e1,ctls,blendit.infotech.monash.edu,cloudfront,443,https://blendit.infotech.monash.edu:443,https,text/html,GET,18.66.147.110,/,1840048310,2600:9000:225e:2800:0:1d49:6140:93a1,Amazon Web Services,47,False,True,True,,,,,,
bookings.mcn.monash.edu,Melbourne Centre for Nanofabrication,200,4185,bookings.mcn.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-06T00:00:00Z,2024-02-06T23:59:59Z,"CN=bookings.mcn.monash.edu, O=Monash University, ST=Victoria, C=AU",bookings.mcn.monash.edu,Monash University,iphone-bookings.mcn.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0aa83c7c5bd845b6f36eb2c0db7b3ec3,025cffb2720e29fa18b9b3fa5d46a38b2e6c56c20c578e3d993ff7cae71faf53,ctls,bookings.mcn.monash.edu,,443,https://bookings.mcn.monash.edu:443,https,text/html,GET,54.206.156.237,/,-2122759338,52.63.92.190,Windows Server,108,False,,,Abyss/2.12.1-X1-Win32 AbyssLib/2.12,,,,,
booklist-dev.apps.monash.edu,Student Booklist - Monash University,200,655,booklist-dev.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-02-03T23:59:59Z,"CN=booklist-dev.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",booklist-dev.apps.monash.edu,Monash University,www.booklist-dev.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bdbbce4d0cec8ba978a15e655aa99fd9,14131345bc0d3fa7058b266d01d18241dc96608ecf4371a961ca8a87feb503de,ctls,booklist-dev.apps.monash.edu,incapsula,443,https://booklist-dev.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,1611665603,45.60.34.202,Imperva,1,False,True,,Google Frontend,,books.google.com,,,
bookshop.monash.edu,,200,18,bookshop.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-07-11T23:59:59Z,"CN=webfarm2.ocio.monash.edu, O=Monash University, ST=Victoria, C=AU",webfarm2.ocio.monash.edu,Monash University,webq02.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e92f731fecea49524c855dc38c23905,1766312bfc642e40935ec4f1cc7f20e0572935fa45af113f8482511004342136,ctls,bookshop.monash.edu,,443,https://bookshop.monash.edu:443,https,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,HSTS,2,False,,,Apache,,,,True,
bridges.eng.monash.edu,Long span bridges database 1,200,585820,bridges.eng.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-26T00:00:00Z,2024-05-25T23:59:59Z,"CN=bridges.eng.monash.edu, O=Monash University, ST=Victoria, C=AU",bridges.eng.monash.edu,Monash University,bridges.eng.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cf5a8d0a81e97ac7ef02607013fa5121,801652a6b27b0a3086d38fc7b4ddd63d5c25d152dc6bc903d21d1b5d147f24a2,ctls,bridges.eng.monash.edu,,443,https://bridges.eng.monash.edu:443,https,text/html,GET,54.153.155.183,/,-1840324437,54.153.155.183,WordPress Super Cache,145,False,,,Apache,,,,,
bridges.monash.edu,Monash University research repository - Browse,200,108191,bridges.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-20T00:00:00Z,2023-12-20T23:59:59Z,"CN=bridges.monash.edu, O=Monash University, ST=Victoria, C=AU",bridges.monash.edu,Monash University,www.bridges.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f60abb3e876449426211d647d45f611b,bf263e9789e10fd78a8a3e4d4107bf18cd42a20af0ba005714d9a54ce12b7e82,ctls,bridges.monash.edu,,443,https://bridges.monash.edu:443,https,text/html,GET,52.210.107.128,/,-1840324437,2a05:d018:1f4:d003:1f65:eece:9d9b:bcef,React,37,False,,,nginx,,,,,
bulkemail-dev.apps.monash.edu,,403,729,bulkemail-dev.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=bulkemail-dev.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",bulkemail-dev.apps.monash.edu,Monash University,www.bulkemail-dev.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,896078bfa09e6c3b2741782564f5f3fd,4bdd9a0892b4f69f7c56e104528d312c43a33ee13fefb0e9e30fc486132a5d7d,ctls,bulkemail-dev.apps.monash.edu,incapsula,443,https://bulkemail-dev.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,-1699333140,45.60.34.202,Imperva,1,False,True,,,,,,,
buseco.monash.edu,,200,18,buseco.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-07-11T23:59:59Z,"CN=webfarm2.ocio.monash.edu, O=Monash University, ST=Victoria, C=AU",webfarm2.ocio.monash.edu,Monash University,webq02.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e92f731fecea49524c855dc38c23905,1766312bfc642e40935ec4f1cc7f20e0572935fa45af113f8482511004342136,ctls,buseco.monash.edu,,443,https://buseco.monash.edu:443,https,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,HSTS,2,False,,,Apache,,,,True,
byod.monash.edu,,403,1244,byod.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=byod.monash, O=Monash University, ST=Victoria, C=AU",byod.monash,Monash University,byod.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,8c25768fea3440b5a1ce3a474ddd94f2,82048630c0707585b46fb6d133311b7c1528062fa1992a52e583b76ff45bd18a,ctls,byod.monash.edu,,443,https://byod.monash.edu:443,https,text/html,GET,185.64.253.1,/,-1828224747,185.64.253.1,Squiz Matrix,36,False,,,openresty,,url=https://www.monash.edu/sorry-the-page-or-file-you-are-looking-for-is-under-construction,,,
callista-dev.monash.edu,Sign in to your account,200,40972,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,azure,443,https://callista-dev.monash.edu:443,https,text/html,GET,13.70.151.195,/,-1514058249,13.70.151.195,HSTS,95,False,True,,,https://login.microsoftonline.com/ef7a487a-77ca-410a-803d-e426b62a587f/oauth2/authorize?response_type=code&client_id=6393d1b9-e8b9-418f-852b-e39c279dc56e&scope=openid&nonce=855fac65-5c67-4e90-a764-df43540cdbdc&redirect_uri=https%3a%2f%2fcallista-dev.monash.edu%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fcallista-dev.monash.edu%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22aa76ee02-ede8-46dd-8a63-e67adb366e4d%22%7d%23EndOfStateParam%23&client-request-id=aa76ee02-ede8-46dd-8a63-e67adb366e4d,,,,
callista-poc.idmqat.monash.edu,Sign in to your account,200,41209,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,azure,443,https://callista-poc.idmqat.monash.edu:443,https,text/html,GET,13.70.151.195,/,-719018596,13.70.151.195,HSTS,95,False,True,,,https://login.microsoftonline.com/6f5e89b0-25f9-4350-88aa-f398e5567ec9/oauth2/authorize?response_type=code&client_id=9e661d4a-259f-4964-ae96-f8b6a91542bc&scope=openid&nonce=ede1573e-527a-4619-a92b-acc459dd48e8&redirect_uri=https%3a%2f%2fcallista-poc.idmqat.monash.edu%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fcallista-poc.idmqat.monash.edu%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%229128c4e4-adf5-411d-bac2-0af9fe7e04b5%22%7d%23EndOfStateParam%23&client-request-id=9128c4e4-adf5-411d-bac2-0af9fe7e04b5,,,,
callistaonline-dev.connect.monash.edu,Sign in to your account,200,41313,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,azure,443,https://callistaonline-dev.connect.monash.edu:443,https,text/html,GET,13.70.151.195,/,-2000517659,13.70.151.195,HSTS,95,False,True,,,https://login.microsoftonline.com/ef7a487a-77ca-410a-803d-e426b62a587f/oauth2/authorize?response_type=code&client_id=5d7e1984-9561-4479-a625-3ccbf7300177&scope=openid&nonce=82de201c-21a4-4d5e-9035-5d41b7da4272&redirect_uri=https%3a%2f%2fcallistaonline-dev.connect.monash.edu%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fcallistaonline-dev.connect.monash.edu%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2236276008-21f3-44b3-abb5-40f6ea1d9e26%22%7d%23EndOfStateParam%23&client-request-id=36276008-21f3-44b3-abb5-40f6ea1d9e26,,,,
