new,host,a,aaaa,soa,status_code,mx,ns,cname,has_internal_ips,internal_ips,cdn,cdn-name,caa,txt
,cindy.telenet.be,195.130.132.84,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,smtp.telenet-ops.be,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,citrix.base.be,217.72.233.9,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,,,,,,,,,
,citrix2.base.be,217.72.233.74,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,,,,,,,,,
,ckgkapoentje.be.apache51.cloud.telenet.be,85.255.199.141,,"ns1.cloud.telenet.be, postmaster.cloud.telenet.be",NOERROR,,,,,,,,,
,class.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,client.base.be,62.213.211.34,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,,,customer.base.be,,,,,,
,clients.centrex.telenet.be,195.162.221.9,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,cloud-infra-dev.awscloud.external.telenet.be,,,"ns-215.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-215.awsdns-26.com, ns-687.awsdns-21.net, ns-1270.awsdns-30.org, ns-1617.awsdns-10.co.uk",,,,,,amazontrust.com,
,cloud-infra-playground03.awscloud.external.telenet.be,,,"ns-310.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-310.awsdns-38.com, ns-845.awsdns-41.net, ns-1153.awsdns-16.org, ns-1753.awsdns-27.co.uk",,,,,,amazontrust.com,
,cloud.base.be,,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,"basebe-prod.funambol.com, d2qbznlbejdr8c.cloudfront.net",,,,,,
,cloud.telenet.be,"212.123.6.254, 85.255.200.200, 195.130.154.74, 185.35.52.200","2a01:498:8301:1c0::200, 2a01:498:8101:4c0::200, 2a01:498:8501:4090::6:1","ns1.cloud.telenet.be, postmaster.cloud.telenet.be",NOERROR,"mailforwarding.hostbasket.com, mailforwarding-backup.hostbasket.com","ns2.cloud.telenet.be, ns1.cloud.telenet.be, ns3.cloud.telenet.be",,,,,,"comodo.com, letsencrypt.org, globalsign.com, ;, sectigo.com",
,cloudfront-app.cloud-infra-dev.awscloud.external.telenet.be,"108.157.4.27, 108.157.4.81, 108.157.4.60, 108.157.4.80",,"ns-215.awsdns-26.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,cloudfront,,
,cloudmedia.telenet.be,85.255.196.73,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,smtp.telenet-ops.be,,,,,,,,
,club.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,cn.yelo.be,,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,codeigniter-google-maps-v3-api-library-master.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,collidor.be.apache51.cloud.telenet.be,85.255.199.141,,"ns1.cloud.telenet.be, postmaster.cloud.telenet.be",NOERROR,,,,,,,,,
,com.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,comm-custom.int.telenet.be,213.224.154.197,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,simvip.int.telenet.be,,,,,,
,comm-custom.prd.telenet.be,213.224.154.168,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,simvip.prd.telenet.be,,,,,,
,comm.telenet.be,213.224.154.168,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,smtp.comm.telenet.be,"ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,v=spf1 mx a ip4:213.224.154.128/27 ip4:213.224.154.176/28 ip4:195.130.132.45 ip4:213.224.155.96/27 -all
,comm.uat.base.be,213.224.154.196,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,smtp-comm.uat.telenet.be,,,,,,,,
,community.base.be,213.224.232.1,2a02:1800:100:6000::1,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adccusvip.prd.telenet.be,,,,,,"v=spf1, include:_spf.telenet-ops.be, ~all"
,community.uat.telenet.be,195.162.204.156,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,"ns.telenet-ops.be, ns2.telenet-ops.be","redirect.uat.telenet.be, vrnmctrdrvip.uat.telenet.be",,,,,,
,comune.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,connect.telenet.be,212.123.29.180,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,connectdvp.telenet.be,,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,connectuat.telenet.be,"195.130.132.22, 195.130.136.242","2a02:1800:100:5::1, 2a02:1800:100:5::2","ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,connmgr.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,connmgr.uat.telenet.be,185.35.52.95,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,conseil.base.be,,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,,,,,,,,,
,contact.telenet.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,"redirect.prd.telenet.be, vrnmctrdrvip.prd.telenet.be",,,,,,
,content.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,contest.telenet.be,195.13.56.226,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,corner.base.be,74.200.29.37,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,,,,,,,,,
,corona-m.yelo.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,corona-pad2.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,corona-spending.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,corona-www.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,coronac28.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,coronaca.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,coronawww.yelo.be,213.224.149.248,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,corp.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,"smtp5.telenetgroup.be, smtp6.telenetgroup.be",,,,,,,,
,corp.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,corporate.telenet.be,195.162.197.140,2a02:1800:120:6002::3,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,vrnmctrdrvip.prd.telenet.be,,,,,,
,covias.be.apache51.cloud.telenet.be,85.255.199.141,,"ns1.cloud.telenet.be, postmaster.cloud.telenet.be",NOERROR,,,,,,,,,
,covideo-isus.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,crm.int.digitalsecurity.telenet.be,,"2a05:d014:3af:9f01:77fc:16f0:b9f5:6ba7, 2a05:d014:3af:9f0b:1d05:79b:b19f:f899, 2a05:d014:3af:9f03:5621:ed5a:4f50:daa3","ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1109.awsdns-10.org, ns-1714.awsdns-22.co.uk, ns-306.awsdns-38.com, ns-854.awsdns-42.net",,,,,,,
,crm.prd.digitalsecurity.telenet.be,"52.29.179.215, 18.159.43.156, 3.69.97.182","2a05:d014:e42:c304:9013:d689:935e:6be6, 2a05:d014:e42:c303:ace8:3d72:df46:662c, 2a05:d014:e42:c302:3642:36b5:4018:8277","ns-1646.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"heritage=external-dns,external-dns/dualstack=true,external-dns/owner=isp-tln-prod,external-dns/resource=ingress/isp/isp-tln-prod-crm-crm-service"
,crossroads.telenet.be,,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,"redirect.prd.telenet.be, vrnmctrdrvip.prd.telenet.be",,,,,,
,csg.yelo.be,213.224.149.248,2a02:1800:100:4001::6:2,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,cubvip-4.edp.telenet.be,213.224.233.23,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip-4.int.telenet.be,213.224.233.26,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip-4.lat.telenet.be,213.224.233.165,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip-4.mre.telenet.be,213.224.233.22,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip-4.sup.telenet.be,213.224.233.25,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,cubvip-4.trg.telenet.be,213.224.233.197,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip-4.uat.telenet.be,213.224.233.133,,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip.edp.telenet.be,213.224.233.23,2a02:1800:1e0:6003::36,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip.mre.telenet.be,213.224.233.22,2a02:1800:1e0:6003::35,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip.prd.telenet.be,213.224.232.5,2a02:1800:100:6000::f,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip.sup.telenet.be,213.224.233.25,2a02:1800:1e0:6003::38,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,cubvip.uat.telenet.be,213.224.233.133,2a02:1800:1e0:6002::10,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,,,,,,,
,customer.base.be,62.213.211.34,,"ib-dmz-dns.netw.telenet.be, phs_network_security_engineering.staff.telenet.be",NOERROR,,,,,,,,,
,customerzone.base.be,,2a02:1800:100:6000::b,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,"ns.telenet-ops.be, ns2.telenet-ops.be",adcaemvip.prd.telenet.be,,,,,,
,customerzone.dvp.base.be,213.224.233.15,2a02:1800:1e0:6003::26,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcaemvip.dvp.telenet.be,,,,,,
,customerzone.edp.base.be,213.224.233.18,2a02:1800:1e0:6003::27,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcaemvip.edp.telenet.be,,,,,,
,customerzone.int.base.be,213.224.233.19,2a02:1800:1e0:6003::28,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcaemvip.int.telenet.be,,,,,,
,customerzone.mre.base.be,213.224.233.20,2a02:1800:1e0:6003::29,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcaemvip.mre.telenet.be,,,,,,
,customerzone.sup.base.be,213.224.233.21,2a02:1800:1e0:6003::2a,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcaemvip.sup.telenet.be,,,,,,
,customerzone.trg.base.be,213.224.233.196,2a02:1800:1e0:6000::8,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcaemvip.trg.telenet.be,,,,,,
,customerzone.uat.base.be,213.224.233.132,2a02:1800:1e0:6002::c,"ns.telenet-ops.be, hostmaster.staff.telenet.be",NOERROR,,,adcaemvip.uat.telenet.be,,,,,,
,cwmp.devicemanagement.telenet.be,213.224.83.56,2a02:1800:100:21::430:1,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,cwmp.prd.devicemanagement.telenet.be,213.224.83.51,2a02:1800:100:115::120:1,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c000.static.telenet.be,81.82.192.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c020.static.telenet.be,81.82.192.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,d5152c100.static.telenet.be,81.82.193.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c110.static.telenet.be,81.82.193.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c120.static.telenet.be,81.82.193.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c200.static.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c210.static.telenet.be,81.82.194.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c300.static.telenet.be,81.82.195.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c320.static.telenet.be,81.82.195.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"ns2.telenet-ops.be, ns.telenet-ops.be",,,,,,,
,d5152c400.static.telenet.be,81.82.196.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c410.static.telenet.be,81.82.196.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c500.static.telenet.be,81.82.197.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c520.static.telenet.be,81.82.197.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c600.static.telenet.be,81.82.198.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c610.static.telenet.be,81.82.198.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c620.static.telenet.be,81.82.198.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c710.static.telenet.be,81.82.199.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c810.static.telenet.be,81.82.200.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c900.static.telenet.be,81.82.201.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c910.static.telenet.be,81.82.201.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152c920.static.telenet.be,81.82.201.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ca00.static.telenet.be,81.82.202.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ca10.static.telenet.be,81.82.202.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ca20.static.telenet.be,81.82.202.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152cb00.static.telenet.be,81.82.203.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152cb10.static.telenet.be,81.82.203.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152cc10.static.telenet.be,81.82.204.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152cc20.static.telenet.be,81.82.204.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152cd00.static.telenet.be,81.82.205.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ce00.static.telenet.be,81.82.206.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ce10.static.telenet.be,81.82.206.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152cf00.static.telenet.be,81.82.207.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152cf10.static.telenet.be,81.82.207.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d000.static.telenet.be,81.82.208.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d020.static.telenet.be,81.82.208.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d100.static.telenet.be,81.82.209.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d110.static.telenet.be,81.82.209.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d120.static.telenet.be,81.82.209.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,
,d5152d200.static.telenet.be,81.82.210.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d210.static.telenet.be,81.82.210.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d300.static.telenet.be,81.82.211.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d310.static.telenet.be,81.82.211.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d320.static.telenet.be,81.82.211.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d400.static.telenet.be,81.82.212.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d410.static.telenet.be,81.82.212.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d420.static.telenet.be,81.82.212.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d500.static.telenet.be,81.82.213.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d520.static.telenet.be,81.82.213.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d600.static.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d620.static.telenet.be,81.82.214.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d720.static.telenet.be,81.82.215.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d800.static.telenet.be,81.82.216.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d810.static.telenet.be,81.82.216.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d820.static.telenet.be,81.82.216.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d900.static.telenet.be,81.82.217.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152d920.static.telenet.be,81.82.217.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152da00.static.telenet.be,81.82.218.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152da20.static.telenet.be,81.82.218.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152db10.static.telenet.be,81.82.219.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152db20.static.telenet.be,81.82.219.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152dc00.static.telenet.be,81.82.220.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152dc20.static.telenet.be,81.82.220.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152dd10.static.telenet.be,81.82.221.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152de00.static.telenet.be,81.82.222.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152de10.static.telenet.be,81.82.222.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e020.static.telenet.be,81.82.224.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e100.static.telenet.be,81.82.225.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e120.static.telenet.be,81.82.225.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e200.static.telenet.be,81.82.226.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e220.static.telenet.be,81.82.226.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,
,d5152e300.static.telenet.be,81.82.227.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e320.static.telenet.be,81.82.227.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e400.static.telenet.be,81.82.228.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e420.static.telenet.be,81.82.228.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e500.static.telenet.be,81.82.229.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e520.static.telenet.be,81.82.229.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e600.static.telenet.be,81.82.230.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e610.static.telenet.be,81.82.230.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e620.static.telenet.be,81.82.230.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,"ns.telenet-ops.be, ns2.telenet-ops.be",,,,,,,
,d5152e700.static.telenet.be,81.82.231.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e710.static.telenet.be,81.82.231.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e720.static.telenet.be,81.82.231.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e800.static.telenet.be,81.82.232.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e820.static.telenet.be,81.82.232.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e910.static.telenet.be,,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152e920.static.telenet.be,81.82.233.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ea00.static.telenet.be,81.82.234.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ea20.static.telenet.be,81.82.234.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152eb00.static.telenet.be,81.82.235.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152eb10.static.telenet.be,81.82.235.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152eb20.static.telenet.be,81.82.235.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ec10.static.telenet.be,81.82.236.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ec20.static.telenet.be,81.82.236.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ed00.static.telenet.be,81.82.237.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ee00.static.telenet.be,81.82.238.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ee10.static.telenet.be,81.82.238.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152ef00.static.telenet.be,81.82.239.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152f000.static.telenet.be,81.82.240.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152f010.static.telenet.be,81.82.240.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152f020.static.telenet.be,81.82.240.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152f110.static.telenet.be,81.82.241.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152f200.static.telenet.be,81.82.242.0,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152f210.static.telenet.be,81.82.242.16,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
,d5152f220.static.telenet.be,81.82.242.32,,"ns.telenet-ops.be, systemgroup.telenet-ops.be",NOERROR,,,,,,,,,
