input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,webserver,cdn_name,cdn,tls_mismatched,tls_subject_org_,tls_self_signed,final_url,csp_domains_
kibana.prod.gulp.de,Sign In with Auth0,200,2369,globalidp-static.randstadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=*.randstadservices.com, O=Randstad N.V., L=Diemen, ST=Noord-Holland, C=NL",*.randstadservices.com,randstadservices.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c71f667770c4c607937b3ce0e099dcd3,3ddd14db3e88dbc87ca8cfc6a1b2f63046a707508d05ffbe4c5746b593b921d7,ctls,globalidp-static.randstadservices.com,443,https://kibana.prod.gulp.de:443,https,text/html,GET,54.229.214.64,/,1092798450,34.252.31.227,Amazon Web Services,72,False,True,AmazonS3,,,,Randstad N.V.,,https://globalidp-static.randstadservices.com/error.html?client_id=&connection=&lang=&error=invalid_request&error_description=You%20may%20have%20pressed%20the%20back%20button%2C%20refreshed%20during%20login%2C%20opened%20too%20many%20login%20dialogs%2C%20or%20there%20is%20some%20issue%20with%20cookies%2C%20since%20we%20couldn't%20find%20your%20session.%20Try%20logging%20in%20again%20from%20the%20application%20and%20if%20the%20problem%20persists%20please%20contact%20the%20administrator.&tracking=8fca2dbbbcf30139792b,
lab.gulp.de,G-FO Lab,200,1288,lab.gulp.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T01:21:17Z,2023-08-07T02:20:38Z,CN=lab.gulp.de,lab.gulp.de,lab.gulp.de,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,aa27922e1ee1f77a1a503d3a65d357ac,8779752eafea7caf56accfc4ee3923b8e430f14b871dcf3f2f81a08e9c856f3b,ctls,lab.gulp.de,443,https://lab.gulp.de:443,https,text/html,GET,199.36.158.100,/,1468252617,199.36.158.100,HTTP/3,1,False,,,,,,,,,
lef5-2-seb.direkt.gulp.ch,,404,,lef5-2-seb.direkt.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,lef5-2-seb.direkt.gulp.ch,443,https://lef5-2-seb.direkt.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,True,,,,
lyncdiscover.gulp.de,,200,340,lyncdiscover.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.gulp.de,443,https://lyncdiscover.gulp.de:443,https,application/json,GET,52.112.192.14,/,1074373506,2603:1027::e,Azure,1,False,True,,,,True,Microsoft Corporation,,,
matomo.gulp.de,403 Forbidden,403,548,matomo.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=*.gulp.de,*.gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1b5045bdc0586b67b51c232f3f8e1cf,d2bc8ecffda6b8ddae8928caef180f1beb94cc4f685dc54c6902778346cc98f0,ctls,matomo.gulp.de,443,https://matomo.gulp.de:443,https,text/html,GET,34.252.31.227,/,586998417,54.229.214.64,HSTS,14,False,True,,,,,,,,
msp.gulp.de,Talent Solutions | GULP,200,61143,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://msp.gulp.de:443,https,text/html,GET,199.60.103.2,/,-487203857,2606:2c40::c73c:67fe,Varnish,23,False,True,,,,,,,https://www.gulp.de/unternehmen/services/talent-solutions,
mta-sts.gulp.de,,403,243,mta-sts.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-04T23:59:59Z,CN=mta-sts.gulp.de,mta-sts.gulp.de,mta-sts.gulp.ch,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8ee8f963c11da23d7d55162ffebc8e5b,e1779f7ebb4ba2291f173fc4010f61ce33193b94100b363390377df13fd83126,ctls,mta-sts.gulp.de,443,https://mta-sts.gulp.de:443,https,application/xml,GET,143.204.98.95,/,-906384242,143.204.98.71,Amazon Web Services,2,False,,AmazonS3,cloudfront,True,,,,,
news.gulp.ch,,404,,news.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,news.gulp.ch,443,https://news.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,,,,,
news.gulp.de,,200,78,,,,,,,,,,,,,,,,,,443,https://news.gulp.de:443,https,text/html,GET,217.175.192.11,/,-1840324437,217.175.192.11,Nginx,1,False,,nginx,,,,,,http://suite11.emarsys.net/docroot.html,
pages.reply.gulp.de,403 - Forbidden: Access is denied.,403,1233,pages.reply.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T00:00:00Z,2024-03-16T23:59:59Z,"CN=pages.s10.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",pages.s10.exacttarget.com,pages.s10.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,81a3df902101fb7cbedf72f13d4842a8,49881050537e01c4d49177b9f99bae6635eb216201de12f446d0d312c7764fc3,ctls,pages.reply.gulp.de,443,https://pages.reply.gulp.de:443,https,text/html,GET,13.111.18.25,/,-207424980,13.111.18.25,,30,False,,,,,True,"SALESFORCE.COM, INC.",,,
portal.gulp.de,,200,1123,portal.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2017-09-06T09:22:24Z,2027-09-04T09:22:24Z,"emailAddress=info@gulp.de, CN=gateway.gulp.de, OU=IT Services, O=GULP Information Services GmbH, L=Munich, ST=Bavaria, C=DE, emailAddress=info@gulp.de",gateway.gulp.de,188.174.236.218,"emailAddress=info@gulp.de, CN=ca.gulp.de, OU=IT Services, O=GULP Information Services GmbH, L=Munich, C=DE, emailAddress=info@gulp.de",ca.gulp.de,GULP Information Services GmbH,7b2b8e7690cdd3096dd0c797406604ec,b629366008f911e7098859e564eb917ee6f00a2d85178a0c4e19afe2ae1647a3,ctls,portal.gulp.de,443,https://portal.gulp.de:443,https,text/html,GET,188.174.236.218,/,-492339404,188.174.236.218,HSTS,10,False,,,,,,GULP Information Services GmbH,True,https://portal.gulp.de/global-protect/login.esp,
prod.gulp.de,"Personaldienstleister: IT, Engineering, Life Science | GULP",200,55288,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://prod.gulp.de:443,https,text/html,GET,18.202.102.158,/,-147622684,54.194.110.228,Varnish,23,False,True,,,,,,,https://www.gulp.de,
rai.5.chrai.gulp.ch,,404,,rai.5.chrai.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,rai.5.chrai.gulp.ch,443,https://rai.5.chrai.gulp.ch:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.16.150.197,,1,False,True,awselb/2.0,,,True,,,,
rai.gulp.ch,,404,,rai.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,rai.gulp.ch,443,https://rai.gulp.ch:443,https,text/plain,GET,52.48.213.67,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,,,,,
rc2-static.mta-sts.gulp.ch,,404,,rc2-static.mta-sts.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,rc2-static.mta-sts.gulp.ch,443,https://rc2-static.mta-sts.gulp.ch:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.16.150.197,,1,False,True,awselb/2.0,,,True,,,,
recruitingjobs.gulp.de,404 - Page not found,404,6387,recruitingjobs.gulp.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T05:03:22Z,2023-08-10T05:03:21Z,CN=recruitingjobs.gulp.de,recruitingjobs.gulp.de,recruitingjobs.gulp.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f483ce4f869247403b1710bff17e70c6,4c7796daf684c49a2787f43291cad5eda6085e31e051a78f2a819a8a52666bf3,ctls,recruitingjobs.gulp.de,443,https://recruitingjobs.gulp.de:443,https,text/html,GET,88.198.22.168,/,-1750106136,88.198.22.168,Nginx,291,False,,nginx,,,,,,,
rss.gulp.de,404 Not Found,404,339,,,,,,,,,,,,,,,,,,80,http://rss.gulp.de:80,http,text/html,GET,52.218.121.20,/,1099564723,52.218.20.42,Amazon Web Services,15,False,,AmazonS3,,,,,,,
salesjobs.gulp.de,404 - Page not found,404,6387,salesjobs.gulp.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T05:07:55Z,2023-08-10T05:07:54Z,CN=salesjobs.gulp.de,salesjobs.gulp.de,salesjobs.gulp.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,11ee75dec3ef4dfd16f2829197e45d4d,1fb962a63834f8b847c45506fbe5e7468b319610207dce8426fee461d17c4637,ctls,salesjobs.gulp.de,443,https://salesjobs.gulp.de:443,https,text/html,GET,88.198.22.168,/,-1750106136,88.198.22.168,Nginx,291,False,,nginx,,,,,,,
service-desk.gulp.de,IT Service Desk | GULP,200,76440,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://service-desk.gulp.de:443,https,text/html,GET,199.60.103.254,/,-487203857,2606:2c40::c73c:67fe,Varnish,41,False,True,,,,,,,https://www.gulp.de/unternehmen/services/it-service-desk,
talentmanagement.gulp.de,,404,,talentmanagement.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,talentmanagement.gulp.de,443,https://talentmanagement.gulp.de:443,https,text/plain,GET,52.16.150.197,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,,,,,
tendertracker.gulp.de,TenderTracker | Vendor Management System | GULP,200,86760,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://tendertracker.gulp.de:443,https,text/html,GET,199.60.103.254,/,-487203857,2606:2c40::c73c:6702,Varnish,75,False,True,,,,,,,https://www.gulp.de/unternehmen/services/talent-solutions/tendertracker,
ticketrechner.gulp.de,GULP Ticketrechner: IT Service & IT Support für Unternehmen,200,130358,cloud.reply.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-30T23:59:59Z,"CN=cloud.reply.gulp.de, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",cloud.reply.gulp.de,cloud.reply.gulp.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,643d03d363be8905d4df1924a0238bc7,02cb65974025b1ceac91f73fdad6e9da6a6472aa2c848c8c4c28559fa06f91b3,ctls,cloud.reply.gulp.de,443,https://ticketrechner.gulp.de:443,https,text/html,GET,199.60.103.254,/,-487203857,2606:2c40::c73c:6702,React,1831,False,,,,,,"SALESFORCE.COM, INC.",,https://cloud.reply.gulp.de/gulp-ticketrechner-de,
updatebeta.mta-sts.gulp.ch,,404,,updatebeta.mta-sts.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,updatebeta.mta-sts.gulp.ch,443,https://updatebeta.mta-sts.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,True,,,,
videoaccountssluploadspanel.10jahre.gulp.ch,,404,,videoaccountssluploadspanel.10jahre.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,videoaccountssluploadspanel.10jahre.gulp.ch,443,https://videoaccountssluploadspanel.10jahre.gulp.ch:443,https,text/plain,GET,52.16.150.197,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,True,,,,
view.reply.gulp.de,Error,200,932,view.reply.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-30T00:00:00Z,2023-09-30T23:59:59Z,"CN=view.reply.gulp.de, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",view.reply.gulp.de,view.reply.gulp.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,28b9ca67218a262826f726f14dd10f56,d69a97a4b0ee3749f10d51637be9ef1e8c2f02afd8675f76d327bf647db6bf24,ctls,view.reply.gulp.de,443,https://view.reply.gulp.de:443,https,text/html,GET,13.111.169.235,/,1631801191,13.111.169.235,HSTS,28,False,,,,,,"SALESFORCE.COM, INC.",,https://view.reply.gulp.de/Error.aspx,
virtru.prod.gulp.de,uTech PBX,200,16567,virtru.prod.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T16:01:08Z,2023-08-03T16:01:07Z,CN=sigmait.utech.com.br,sigmait.utech.com.br,sigmait.utech.com.br,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ea785046fc21c104034b31e13d2de893,96ab463115220e8b7337bec34a3059378e216a0d5f0d214905ef8c51a33c2b3b,ctls,virtru.prod.gulp.de,443,https://virtru.prod.gulp.de:443,https,text/html,GET,3.248.120.84,/,-101567075,3.248.120.84,PHP,396,False,,Apache,,,True,,,https://virtru.prod.gulp.de/admin/config.php,
w.gulp.ch,,404,,w.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,w.gulp.ch,443,https://w.gulp.ch:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,,,,,
web-bid47mh.mta-sts.gulp.ch,,404,,web-bid47mh.mta-sts.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,web-bid47mh.mta-sts.gulp.ch,443,https://web-bid47mh.mta-sts.gulp.ch:443,https,text/plain,GET,52.48.213.67,/,-1840324437,52.16.150.197,,1,False,True,awselb/2.0,,,True,,,,
www-cache.prod.gulp.de,,503,12,www-cache.prod.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www-cache.prod.gulp.de,443,https://www-cache.prod.gulp.de:443,https,text/html,GET,54.195.118.103,/,834585374,52.16.150.197,Node.js,1,False,True,,,,True,,,,
www.10jahre.gulp.ch,,404,,www.10jahre.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.10jahre.gulp.ch,443,https://www.10jahre.gulp.ch:443,https,text/plain,GET,54.195.118.103,/,-1840324437,52.48.213.67,,1,False,True,awselb/2.0,,,True,,,,
www.gulp.ch,GULP Schweiz: Portal für IT-Freelancer-Jobs & Projekte in der Schweiz suchen und finden.,200,79293,www.gulp.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.ch,gulp.ch,*.gulp.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f069ef9f5c721be75c9a6e52c9bbc18,cb4bf7da31168bc0605e26cf4b4e3f83ecee19af66b14b5e3ab8124af4e23d33,ctls,www.gulp.ch,443,https://www.gulp.ch:443,https,text/html,GET,54.195.118.103,/,813034563,52.16.150.197,ZURB Foundation,5755,False,True,,,,,,,,
www.gulp.de,"Personaldienstleister: IT, Engineering, Life Science | GULP",200,55288,www.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www.gulp.de,443,https://www.gulp.de:443,https,text/html,GET,52.48.213.67,/,-162103620,52.16.150.197,Varnish,23,False,True,,,,,,,,
www2.gulp.de,,404,,www2.gulp.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=gulp.de,gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26402e67bb6eeee1b71bab34fc9d0ff4,db0158c1a6704cf22df634a900fd5cda51beef1be1c02f2ee5b7c915a753067f,ctls,www2.gulp.de,443,https://www2.gulp.de:443,https,text/plain,GET,52.48.213.67,/,-1840324437,54.195.118.103,,1,False,True,awselb/2.0,,,,,,,
www3.gulp.de,,404,,www3.gulp.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=*.gulp.de,*.gulp.de,*.gulp.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1b5045bdc0586b67b51c232f3f8e1cf,d2bc8ecffda6b8ddae8928caef180f1beb94cc4f685dc54c6902778346cc98f0,ctls,www3.gulp.de,443,https://www3.gulp.de:443,https,text/plain,GET,34.252.31.227,/,-1840324437,52.215.139.3,,1,False,True,awselb/2.0,,,,,,,
