new,host,ttl,a,aaaa,cname,soa,status_code,caa,mx,txt,cdn,cdn-name,ns
,dmcityleuven.demorgen.be,900,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"{'name': 'persgroep-ops.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 1103, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep-ops.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 1103, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep-ops.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 1103, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep-ops.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 1103, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep-ops.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 1103, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep-ops.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 1103, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,dossiers.demorgen.be,322,,"2a02:26f0:3500:14::1724:a250, 2a02:26f0:3500:14::1724:a24f","dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,download.demorgen.be,900,,,,"{'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,e.email.demorgen.be,900,"185.136.64.7, 185.136.65.6, 185.136.65.7, 185.136.64.6",,web.flowmailer.net,"{'name': 'flowmailer.net', 'ns': 'ns1.flowmailer.net', 'mailbox': 'contact.flowmailer.net', 'serial': 2024091901, 'refresh': 3600, 'retry': 300, 'expire': 7200, 'minttl': 3600}, {'name': 'flowmailer.net', 'ns': 'ns1.flowmailer.net', 'mailbox': 'contact.flowmailer.net', 'serial': 2024091901, 'refresh': 3600, 'retry': 300, 'expire': 7200, 'minttl': 3600}",NOERROR,"quovadisglobal.com, mailto:abuse@flowmailer.com, letsencrypt.org, sectigo.com, digicert.com, entrust.net",return.flowmailer.net,v=spf1 include:spf.flowmailer.net ~all,,,
,e.mail.demorgen.be,900,"185.136.65.6, 185.136.65.7, 185.136.64.6, 185.136.64.7",,web.flowmailer.net,"{'name': 'flowmailer.net', 'ns': 'ns1.flowmailer.net', 'mailbox': 'contact.flowmailer.net', 'serial': 2024091901, 'refresh': 3600, 'retry': 300, 'expire': 7200, 'minttl': 3600}, {'name': 'flowmailer.net', 'ns': 'ns1.flowmailer.net', 'mailbox': 'contact.flowmailer.net', 'serial': 2024091901, 'refresh': 3600, 'retry': 300, 'expire': 7200, 'minttl': 3600}",NOERROR,"sectigo.com, letsencrypt.org, digicert.com, mailto:abuse@flowmailer.com, quovadisglobal.com, entrust.net",return.flowmailer.net,v=spf1 include:spf.flowmailer.net ~all,,,
,ebike-non-prod.demorgen.be,900,,"2600:1408:ec00:2e::1735:ba9, 2600:1408:ec00:2e::1735:ba7","dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762725, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762725, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762725, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762726, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,ebike.demorgen.be,900,"2.17.100.163, 2.17.100.169","2a02:26f0:ab00::214:8e61, 2a02:26f0:ab00::5c7a:d710","dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,esales-test.demorgen.be,900,"23.215.11.239, 23.215.11.232","2a02:26f0:ab00::214:8e61, 2a02:26f0:ab00::5c7a:d710","dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,esales.demorgen.be,757,"23.53.43.24, 23.53.42.233",,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,externalbuy.demorgen.be,900,"23.53.43.59, 23.53.43.40","2a02:26f0:ab00::5c7a:d728, 2a02:26f0:ab00::214:8e79","shops-v2.tapp.dpgmedia.cloud.edgekey.net, e240049.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,feedback.demorgen.be,298,,,,"{'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,v=spf1 include:mail.alliera.com ip4:62.2.139.50 ip4:77.109.144.50 ~all,,,
,ftp.demorgen.be,7200,,,ftp14101.persgroep.be,"{'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,ftp.download.demorgen.be,7200,146.185.54.160,,ftp14105.persgroep.be,"{'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,gesprokendagblad.demorgen.be,568,77.94.248.177,,,"{'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,identificatie.demorgen.be,126,,,,"{'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,image-acc.demorgen.be,214,"23.207.210.139, 23.207.210.157","2a02:26f0:7100::687e:240a, 2a02:26f0:7100::687e:2411","dpgm-selectives-images.edgekey.net, e29511.dscd.akamaiedge.net","{'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,image.demorgen.be,486,"95.100.135.107, 95.100.135.120","2a02:26f0:1180:33::210:663, 2a02:26f0:1180:33::210:654","dpgm-selectives-images.edgekey.net, e29511.dscd.akamaiedge.net","{'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,images-koken.demorgen.be,900,"92.123.27.33, 92.123.27.89","2a02:26f0:7100::687e:2411, 2a02:26f0:7100::687e:240a","images-koken.demorgen.be-v1.edgekey.net, e29511.dscd.akamaiedge.net","{'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,imap.demorgen.be,7200,146.185.54.143,,ssl20102.persgroep.be,"{'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'persgroep.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010113384, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,img-acc.demorgen.be,900,,"2600:141b:5000::b81c:beb0, 2600:141b:5000::b81c:be89","dpgm-image-api.edgekey.net, e127453.dscd.akamaiedge.net","{'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762724, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,img.demorgen.be,900,"23.207.210.130, 23.207.210.144","2a02:26f0:1700:11::b856:6794, 2a02:26f0:1700:11::b856:6786","dpgm-image-api.edgekey.net, e127453.dscd.akamaiedge.net","{'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscd.akamaiedge.net', 'ns': 'n0dscd.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,ims.demorgen.be,300,"95.101.111.181, 95.101.111.140, 95.101.111.164","2a02:26f0:ab00::214:8e61, 2a02:26f0:ab00::5c7a:d710","dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762723, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
,kapiteinwinokio.demorgen.be,66,,,,"{'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'demorgen.be', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 2010053671, 'refresh': 900, 'retry': 600, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,
,koken.demorgen.be,900,"23.215.11.229, 23.215.11.235",,"koken.demorgen.be.edgekey.net, e235970.b.akamaiedge.net","{'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762721, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1726762722, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,,,,
