input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,tls_subject_org_,final_url,tls_expired
monitoring.staging.not-rnd.mendix.com,403 Forbidden,403,548,monitoring.staging.not-rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T14:15:24Z,2023-08-06T14:15:23Z,CN=monitoring.staging.not-rnd.mendix.com,monitoring.staging.not-rnd.mendix.com,monitoring.staging.not-rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3aa958a084805789968a7f6ce9c6da35,710001e65bd19c1ce668ff51082606049ac9f16eaed4e06f782c1eb125610153,ctls,monitoring.staging.not-rnd.mendix.com,80,http://monitoring.staging.not-rnd.mendix.com:80,http,,text/html,GET,52.17.6.34,/,586998417,52.18.66.231,HSTS,14,False,,,,,,,https://monitoring.staging.not-rnd.mendix.com,
mrmcdb1.api.mendix.com,404 Not Found,404,548,mrmcdb1.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T08:33:19Z,2023-06-25T08:33:18Z,CN=*.api.mendix.com,*.api.mendix.com,studio.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,955cd0840e8dcdb54975259a28650b99,09576ce269264c6923249875301f3ab737dc1176f39979ee57062b8b49fd7483,ctls,mrmcdb1.api.mendix.com,443,https://mrmcdb1.api.mendix.com:443,https,,text/html,GET,52.31.198.43,/,566218143,52.48.33.14,HSTS,14,False,,True,,,,,,
nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com,403 Forbidden,403,146,nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T20:39:11Z,2023-07-03T20:39:10Z,CN=nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com,nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com,nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,680513b69d662cfc960494663735fef1,613f0296a7f8d08697c13898b5cd2739e0fff8a59d139cfb661d72179edc8a99,ctls,nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com,80,http://nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com:80,http,,text/html,GET,52.17.6.34,/,-1561873722,52.18.66.231,HSTS,8,False,,,,,,,https://nexus-artifactory-docker-proxy.staging.not-rnd.mendix.com,
nexus-docker-hosted.rnd.mendix.com,403 Forbidden,403,146,nexus-docker-hosted.rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-15T12:39:02Z,2023-07-14T12:39:01Z,CN=nexus-docker-hosted.rnd.mendix.com,nexus-docker-hosted.rnd.mendix.com,nexus-docker-hosted.rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a30a4056832a72227925c24286dfc32d,7161cdf9a4024c7b159e671935730f8c5b2d17348ffa0cba8aa4113e3dd537b2,ctls,nexus-docker-hosted.rnd.mendix.com,443,https://nexus-docker-hosted.rnd.mendix.com:443,https,,text/html,GET,34.240.130.34,/,-1561873722,52.19.94.252,HSTS,8,False,,,,,,,,
nexus-quay-io-proxy.staging.not-rnd.mendix.com,403 Forbidden,403,548,nexus-quay-io-proxy.staging.not-rnd.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T22:58:19Z,2023-06-27T22:58:18Z,CN=nexus-quay-io-proxy.staging.not-rnd.mendix.com,nexus-quay-io-proxy.staging.not-rnd.mendix.com,nexus-quay-io-proxy.staging.not-rnd.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bbb6bd7f9394b09d32edb1427ac6f521,11af0c35167320c8677eedc9886657c9e35219028658f7e2750db499ef11bd29,ctls,nexus-quay-io-proxy.staging.not-rnd.mendix.com,80,http://nexus-quay-io-proxy.staging.not-rnd.mendix.com:80,http,,text/html,GET,52.18.66.231,/,586998417,52.17.6.34,HSTS,14,False,,,,,,,https://nexus-quay-io-proxy.staging.not-rnd.mendix.com,
nexus-vladimir-gitlab-docker-proxy.api.mendix.com,404 Not Found,404,548,nexus-vladimir-gitlab-docker-proxy.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T08:33:19Z,2023-06-25T08:33:18Z,CN=*.api.mendix.com,*.api.mendix.com,studio.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,955cd0840e8dcdb54975259a28650b99,09576ce269264c6923249875301f3ab737dc1176f39979ee57062b8b49fd7483,ctls,nexus-vladimir-gitlab-docker-proxy.api.mendix.com,443,https://nexus-vladimir-gitlab-docker-proxy.api.mendix.com:443,https,,text/html,GET,52.31.198.43,/,566218143,52.48.33.14,HSTS,14,False,,True,,,,,,
okta.mendix.com,mendixtechnologies - Signing in...,200,30571,mendixtechnologies.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,mendixtechnologies.okta.com,443,https://okta.mendix.com:443,https,nginx,text/html,GET,20.50.2.72,/,1959838851,20.50.2.72,Nginx,148,False,*.tiles.mapbox.com,True,,azure,True,"Okta, Inc.",https://mendixtechnologies.okta.com/sso/saml2/0oa1zxkxukgp21xoM416,
packages.rnd.mendix.com,,403,255,packages.rnd.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-11-23T23:59:59Z,CN=packages.rnd.mendix.com,packages.rnd.mendix.com,packages.rnd.mendix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3669ecc9a58de1234787b22919ee5a7b,e504367ac1e107d6a5a3d1e2b348cf238902bc7af5c5099f50fb15988db9cb4f,ctls,packages.rnd.mendix.com,443,https://packages.rnd.mendix.com:443,https,AmazonS3,application/xml,GET,65.9.95.51,/,2074364319,2600:9000:2127:2400:9:7dd2:4740:93a1,Amazon Web Services,2,False,,,,cloudfront,True,,,
pioneers.mendix.com,Mendix Pioneers,200,39210,mendix.influitive.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-22T13:12:31Z,2023-06-20T13:12:30Z,CN=*.influitive.com,*.influitive.com,influitive.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba9f4d2f3a970dd1911af84233bdc326,5f75ec333cf75100956172717d44e9193228cbb4381267edd86718540e27dc31,ctls,mendix.influitive.com,80,http://pioneers.mendix.com:80,http,,text/html,GET,52.23.59.102,/,387448351,52.204.233.198,Ruby on Rails,369,False,,True,,,,,https://mendix.influitive.com/users/sign_in,
poc.api.mendix.com,404 Not Found,404,146,poc.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T08:33:19Z,2023-06-25T08:33:18Z,CN=*.api.mendix.com,*.api.mendix.com,studio.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,955cd0840e8dcdb54975259a28650b99,09576ce269264c6923249875301f3ab737dc1176f39979ee57062b8b49fd7483,ctls,poc.api.mendix.com,443,https://poc.api.mendix.com:443,https,,text/html,GET,52.48.33.14,/,1494302000,52.31.198.43,HSTS,8,False,,True,,,,,,
povpn.api.mendix.com,404 Not Found,404,146,,,,,,,,,,,,,,,,,,80,http://povpn.api.mendix.com:80,http,,text/html,GET,52.31.198.43,/,1494302000,34.253.108.227,,8,False,,,,,,,,
private-cloud.teaprilt.api.mendix.com,404 Not Found,404,548,,,,,,,,,,,,,,,,,,80,http://private-cloud.teaprilt.api.mendix.com:80,http,,text/html,GET,34.253.108.227,/,566218143,52.48.33.14,,14,False,,,,,,,,
puppet.mendix.com,400 No required SSL certificate was sent,400,230,puppet.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2018-01-15T11:14:15Z,2028-01-14T11:14:15Z,CN=puppet.mendix.com,puppet.mendix.com,,CN=Puppet CA: Mendix Cloud 2018,Puppet CA: Mendix Cloud 2018,,4f6abb6f6f726214c6ee02c40387278d,34dc26a3106148b3fdf4803a4fcb67ab6be54e00f6db0efde1305995d5cc9eaf,ctls,puppet.mendix.com,443,https://puppet.mendix.com:443,https,nginx,text/html,GET,83.96.177.52,/,272330885,2001:828:13c8:1::34,Nginx,9,False,,,,,,,,
quota.appservices.mendix.com,,401,69,,,,,,,,,,,,,,,,,,80,http://quota.appservices.mendix.com:80,http,,application/json,GET,18.192.27.81,/,72292565,3.71.130.184,,1,False,,,,,,,,
redhaevaluation.des-non-prod.rnd.mendix.com,404 Not Found,404,146,,,,,,,,,,,,,,,,,,80,http://redhaevaluation.des-non-prod.rnd.mendix.com:80,http,,text/html,GET,54.73.109.26,/,1494302000,54.73.109.26,,8,False,,,,,,,,
repository.api.mendix.com,,404,9,repository.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-02T14:13:01Z,2023-07-01T14:13:00Z,CN=*.api.mendix.com,*.api.mendix.com,*.api.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fdd89eafe233f2e30093bd7bef6d630b,408c667b217589d94acf097b7b49f7a06163fc6d99e3655ecb130456e6f1d2cb,ctls,repository.api.mendix.com,80,http://repository.api.mendix.com:80,http,,text/html,GET,34.253.108.227,/,1257725933,52.48.33.14,HSTS,1,False,,True,,,,,https://repository.api.mendix.com,
rndbd-repository.mendix.com,Nexus Repository Manager,200,7925,rndbd-repository.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T00:33:53Z,2023-07-25T00:33:52Z,CN=rndbd-repository.mendix.com,rndbd-repository.mendix.com,rndbd-repository.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dee8f60e3cd121c03d1f67d129abbcec,8f010f070e65c6e4e967fda9b440e0ac389b14536597e68d82757f3247763bd3,ctls,rndbd-repository.mendix.com,443,https://rndbd-repository.mendix.com:443,https,Nexus/3.38.1-01 (OSS),text/html,GET,3.67.129.178,/,1323738809,3.67.129.178,HSTS,112,False,,,,,,,,
secrets.mendix.com,Mendix,200,1383,secrets.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,secrets.mendix.com,443,https://secrets.mendix.com:443,https,nginx,text/html,GET,3.126.216.110,/,534976258,2a05:d014:145:aa00:63e4:ad8e:c1c7:8675,Nginx,35,False,https://fonts.googleapis.com,True,,,,,,
shop-test.mendix.com,Mendix Shop,200,615,shop-test.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,shop-test.mendix.com,80,http://shop-test.mendix.com:80,http,nginx,text/html,GET,3.126.216.110,/,605480165,2a05:d014:145:aa00:63e4:ad8e:c1c7:8675,Nginx,18,False,*.googleapis.com,True,,,,,https://shop-test.mendix.com/,
slm.appservices.mendix.com,503 Service Temporarily Unavailable,503,592,slm.appservices.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-13T01:50:58Z,2023-08-11T01:50:57Z,CN=*.appservices.mendix.com,*.appservices.mendix.com,*.appservices.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,63d6bf059bc1347d548d0dfa5bdcacea,9a81a8cb4c0a7d1ef9c7869d7871310ddc9004ed65e56d232f0f0e987717164d,ctls,slm.appservices.mendix.com,443,https://slm.appservices.mendix.com:443,https,,text/html,GET,3.121.156.129,/,1131193170,3.121.156.129,HSTS,14,False,,True,,,,,,
sprintr.home-accp.mendix.com,Mendix,200,2714,sprintr.home-accp.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,CN=*.home-accp.mendix.com,*.home-accp.mendix.com,home-accp.mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4219996b3cdbfafbd0fd3b304ee0714d,665bf5116a35571d7e243698d16d4a0e45bb05374170a9ce57f6ed4f20d3137e,ctls,sprintr.home-accp.mendix.com,443,https://sprintr.home-accp.mendix.com:443,https,nginx,text/html,GET,3.126.216.110,/,605480165,2a05:d014:145:aa01:e7ed:1bdf:317c:168e,Nginx,62,False,,True,,,,,,
sprintr.home.mendix.com,Mendix,200,2714,sprintr.home.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,CN=*.home.mendix.com,*.home.mendix.com,home.mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,76a059bd0d654c006657fbc70c77a6a8,543518044e5ba0217fa265ca45289d3f3332c559f65c984c1e9c85b2cccf40c2,ctls,sprintr.home.mendix.com,443,https://sprintr.home.mendix.com:443,https,nginx,text/html,GET,3.126.216.110,/,605480165,2a05:d014:145:aa02:39cc:ca87:679c:1a44,Nginx,62,False,*.mendixcloud.com/,True,,,,,,
swissbeaver-test.des.mendix.com,,200,20,swissbeaver-test.des.mendix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-10T23:59:59Z,CN=swissbeaver-accp.des.mendix.com,swissbeaver-accp.des.mendix.com,swissbeaver.des.mendix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,22627d34b2d7ac72312852fd915a8ca4,90ac94cab5dcf1ec6f4c12a9c76a463088f6deb23d6e8f527a8ec25a759c7e0b,ctls,swissbeaver-test.des.mendix.com,443,https://swissbeaver-test.des.mendix.com:443,https,nginx/1.18.0,,GET,52.28.234.96,/,1593207841,52.29.0.108,Node.js,1,False,,,,,,,,
t2022d.accp.api.mendix.com,404 Not Found,404,146,t2022d.accp.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-26T19:34:37Z,2023-06-24T19:34:36Z,CN=*.dev.api.mendix.com,*.dev.api.mendix.com,studio.test.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,233b2176af880e2f25cc20868704f5b8,3179b91e1aed34e74838ba720a83092ea37260c3b001934f6ffdf8ff4a67cd9c,ctls,t2022d.accp.api.mendix.com,443,https://t2022d.accp.api.mendix.com:443,https,,text/html,GET,52.215.254.252,/,1494302000,3.251.27.86,HSTS,8,False,,True,,,,,,
tbd.test.api.mendix.com,404 Not Found,404,146,,,,,,,,,,,,,,,,,,80,http://tbd.test.api.mendix.com:80,http,,text/html,GET,3.251.27.86,/,1494302000,52.215.254.252,,8,False,,,,,,,,
techblog.mendix.com,Low-Code Development Blog | Mendix,200,159482,www.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T19:23:45Z,2023-06-16T19:23:44Z,CN=www.mendix.com,www.mendix.com,www.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77e3f4bdad2958a68672643d6a993ca9,d6910abf45f30ac9f170c70eafb846ce500023cff4472085a5216d12bf6e7d61,ctls,www.mendix.com,443,https://techblog.mendix.com:443,https,cloudflare,text/html,GET,141.193.213.21,/,1160258627,141.193.213.20,ZURB Foundation,1066,False,,,,,,,https://www.mendix.com/blog/,
test.eu-west-1-cluster1.preview.studio.test.mendix.com,404 Not Found,404,548,,,,,,,,,,,,,,,,,,80,http://test.eu-west-1-cluster1.preview.studio.test.mendix.com:80,http,,text/html,GET,52.212.145.171,/,566218143,54.195.79.131,,14,False,,,,,,,,
train.mendix.com,Mendix,200,2093,train.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-07T00:00:00Z,2023-10-07T23:59:59Z,CN=*.mendix.com,*.mendix.com,mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,4d437cc827473efcc313de5c3fd7d88b,0a278b58ac35dde21bb2bb39355a7c46d6aa56176ddba40cfdace6715e9c415a,ctls,train.mendix.com,80,http://train.mendix.com:80,http,nginx,text/html,GET,3.127.11.115,/,-396181868,2a05:d014:145:aa01:e7ed:1bdf:317c:168e,Nginx,58,False,https://googleads.g.doubleclick.net/,True,,,,,https://train.mendix.com/,
us-2a.home.mendix.com,,404,48,us-2a.home.mendix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-12T23:59:59Z,CN=*.home.mendix.com,*.home.mendix.com,home.mendix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,eaad9673886e3a0a665736b17c48518b,639462d93a01dc218f8733e67683b253dd7ded1bc17588c311e1a9f536345362,ctls,us-2a.home.mendix.com,80,http://us-2a.home.mendix.com:80,http,kong/2.8.3,application/json,GET,18.193.2.177,/,834205737,18.194.25.155,HSTS,1,False,,True,,,,,https://us-2a.home.mendix.com:443/,
verify.mendix.com,,404,19,verify.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T13:35:29Z,2023-06-14T13:35:28Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d169b9a2155b6a3cfa18c1af722bffd,882d45c195b586adc7ddf4167d555da0fce18b30968b745469c6655ad3a6fc34,ctls,verify.mendix.com,443,https://verify.mendix.com:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,,,True,google,True,,,
video.mendix.com,Mendix - Go Make It!,200,58240,video.mendix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-07T23:59:59Z,CN=video.mendix.com,video.mendix.com,www.video.mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,729b6489edaa156bc3d02a6cc6690934,30f149bba2fdc0ea5f25d06ec8ffc3dd07363b1c44f7f438d7a5cde3cf2147a9,ctls,video.mendix.com,80,http://video.mendix.com:80,http,,text/html,GET,34.206.44.98,/,-274891734,3.210.3.114,Ruby on Rails,1747,False,,,,,,,https://video.mendix.com:443/,
videoshare.mendix.com,Mendix - Go Make It!,200,58240,video.mendix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-07T23:59:59Z,CN=video.mendix.com,video.mendix.com,www.video.mendix.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,729b6489edaa156bc3d02a6cc6690934,30f149bba2fdc0ea5f25d06ec8ffc3dd07363b1c44f7f438d7a5cde3cf2147a9,ctls,video.mendix.com,80,http://videoshare.mendix.com:80,http,,text/html,GET,52.201.42.145,/,-274891734,18.208.32.242,Ruby on Rails,1747,False,,,,,,,https://video.mendix.com,
vnusres41.api.mendix.com,404 Not Found,404,548,vnusres41.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T08:33:19Z,2023-06-25T08:33:18Z,CN=*.api.mendix.com,*.api.mendix.com,studio.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,955cd0840e8dcdb54975259a28650b99,09576ce269264c6923249875301f3ab737dc1176f39979ee57062b8b49fd7483,ctls,vnusres41.api.mendix.com,443,https://vnusres41.api.mendix.com:443,https,,text/html,GET,34.253.108.227,/,566218143,52.31.198.43,HSTS,14,False,,True,,,,,,
webmail.mendix.com,Sign in to Outlook,200,198437,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://webmail.mendix.com:443,https,,text/html,GET,82.94.167.252,/,383226890,2001:888:2177:1::fc,HSTS,174,False,,,,,,Microsoft Corporation,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=25e1ccc0-bb47-3379-c490-fb7410b4eb96&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=mendix.com&nonce=638197142119819619.641eddfb-bc8a-4393-8228-134bbe1f6af4&state=DYvJEYAgDABBG7ARxJAMhHIIx4wP5Knlm8fu7GetMWZXNsVeKpMiMuQEFACyVoR8RoLe2hAnlYsjzOg4BHaAJNJhxDLI6nv49RY_-9Pu76xr-h8,
www-test-de.home.mendix.com,,404,48,www-test-de.home.mendix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-12T23:59:59Z,CN=*.home.mendix.com,*.home.mendix.com,home.mendix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,eaad9673886e3a0a665736b17c48518b,639462d93a01dc218f8733e67683b253dd7ded1bc17588c311e1a9f536345362,ctls,www-test-de.home.mendix.com,80,http://www-test-de.home.mendix.com:80,http,kong/2.8.3,application/json,GET,3.126.129.164,/,834205737,18.193.2.177,HSTS,1,False,,True,,,,,https://www-test-de.home.mendix.com:443/,
www.test.mendix.com,Low-code Application Development Platform | Mendix,200,154671,www.mendix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T19:23:45Z,2023-06-16T19:23:44Z,CN=www.mendix.com,www.mendix.com,www.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77e3f4bdad2958a68672643d6a993ca9,d6910abf45f30ac9f170c70eafb846ce500023cff4472085a5216d12bf6e7d61,ctls,www.mendix.com,443,https://www.test.mendix.com:443,https,cloudflare,text/html,GET,82.94.188.41,/,1071926266,2001:888:2177::29,ZURB Foundation,1125,False,,,,,,,https://www.mendix.com/,
zendesk3.mendix.com,,409,16,,,,,,,,,,,,,,,,,,80,http://zendesk3.mendix.com:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,,,,cloudflare,True,,,
zyxwv.tenet.api.mendix.com,404 Not Found,404,548,zyxwv.tenet.api.mendix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T08:33:19Z,2023-06-25T08:33:18Z,CN=*.api.mendix.com,*.api.mendix.com,studio.mendix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,955cd0840e8dcdb54975259a28650b99,09576ce269264c6923249875301f3ab737dc1176f39979ee57062b8b49fd7483,ctls,zyxwv.tenet.api.mendix.com,443,https://zyxwv.tenet.api.mendix.com:443,https,,text/html,GET,34.253.108.227,/,566218143,52.48.33.14,HSTS,14,False,,True,True,,,,,
