new,host,ttl,soa,ns,status_code,a,txt,cdn,cdn-name,cname,mx,aaaa,caa
,auth2.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,131.207.49.13,,,,,,,
,authenticate.aktia.fi,900,"{'name': 'authenticate.aktia.fi', 'ns': 'ns-1671.awsdns-16.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'authenticate.aktia.fi', 'ns': 'ns-1671.awsdns-16.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'authenticate.aktia.fi', 'ns': 'ns-1671.awsdns-16.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'authenticate.aktia.fi', 'ns': 'ns-1671.awsdns-16.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'authenticate.aktia.fi', 'ns': 'ns-1671.awsdns-16.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1320.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-181.awsdns-22.com, ns-725.awsdns-26.net",NOERROR,,ca3-73e7f5f684554aa8a1a21ec0782fd160,,,,,,
,autodiscover.aktia.fi,2061,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,217.152.84.150,,,,,,,
,av.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,"217.152.84.156, 217.152.84.146",,,,,,,
,cas.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,217.152.84.150,,,,,,,
,chat.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,46.182.116.23,,,,,,,
,connect.aktia.fi,3013,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,217.152.84.101,,,,,,,
,dev-api-aux.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,40.91.233.94,,,,,,,
,dev-api.aktia.fi,298,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,,zk7jlzbzk4n5z6dwzldk2v509zf520my,,,,,,
,dev.aktiawallet.fi,900,"{'name': 'dev.aktiawallet.fi', 'ns': 'ns-1519.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.aktiawallet.fi', 'ns': 'ns-1519.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.aktiawallet.fi', 'ns': 'ns-1519.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.aktiawallet.fi', 'ns': 'ns-1519.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.aktiawallet.fi', 'ns': 'ns-1519.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.aktiawallet.fi', 'ns': 'ns-1519.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1519.awsdns-61.org, ns-1854.awsdns-39.co.uk, ns-462.awsdns-57.com, ns-966.awsdns-56.net",NOERROR,,,,,,,,
,dev.asuntolaina.aktiawallet.fi,60,"{'name': 'dev.asuntolaina.aktiawallet.fi', 'ns': 'ns-1474.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.asuntolaina.aktiawallet.fi', 'ns': 'ns-1474.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.asuntolaina.aktiawallet.fi', 'ns': 'ns-1474.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.asuntolaina.aktiawallet.fi', 'ns': 'ns-1474.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.asuntolaina.aktiawallet.fi', 'ns': 'ns-1474.awsdns-56.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1474.awsdns-56.org, ns-2004.awsdns-58.co.uk, ns-244.awsdns-30.com, ns-839.awsdns-40.net",NOERROR,"13.32.99.21, 13.32.99.20, 13.32.99.36, 13.32.99.98",,True,cloudfront,,,,
,developer.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,217.152.84.23,,,,,,,
,devkirjaudu.aktia.fi,60,"{'name': 'devkirjaudu.aktia.fi', 'ns': 'ns-900.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu.aktia.fi', 'ns': 'ns-900.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu.aktia.fi', 'ns': 'ns-900.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu.aktia.fi', 'ns': 'ns-900.awsdns-48.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-420.awsdns-52.com, ns-900.awsdns-48.net, ns-1316.awsdns-36.org, ns-1573.awsdns-04.co.uk",NOERROR,"99.86.229.33, 99.86.229.15, 99.86.229.76, 99.86.229.39",,True,cloudfront,,,,
,devkirjaudu2.aktia.fi,60,"{'name': 'devkirjaudu2.aktia.fi', 'ns': 'ns-1036.awsdns-01.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu2.aktia.fi', 'ns': 'ns-1036.awsdns-01.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu2.aktia.fi', 'ns': 'ns-1036.awsdns-01.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu2.aktia.fi', 'ns': 'ns-1036.awsdns-01.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu2.aktia.fi', 'ns': 'ns-1036.awsdns-01.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devkirjaudu2.aktia.fi', 'ns': 'ns-1036.awsdns-01.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1540.awsdns-00.co.uk, ns-65.awsdns-08.com, ns-994.awsdns-60.net, ns-1036.awsdns-01.org",NOERROR,"99.86.4.35, 99.86.4.57, 99.86.4.93, 99.86.4.119",,True,cloudfront,,,,
,devoma.aktia.fi,60,"{'name': 'devoma.aktia.fi', 'ns': 'ns-1572.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devoma.aktia.fi', 'ns': 'ns-1572.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devoma.aktia.fi', 'ns': 'ns-1572.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devoma.aktia.fi', 'ns': 'ns-1572.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devoma.aktia.fi', 'ns': 'ns-1572.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'devoma.aktia.fi', 'ns': 'ns-1572.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-243.awsdns-30.com, ns-631.awsdns-14.net, ns-1572.awsdns-04.co.uk, ns-1253.awsdns-28.org",NOERROR,"54.230.112.87, 54.230.112.73, 54.230.112.25, 54.230.112.57",,True,cloudfront,,,,
,dialin.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,217.152.84.147,,,,,,,
,dme.aktia.fi,3076,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,217.152.84.109,,,,,,,
,download.aktia.fi,2907,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,217.152.84.148,,,,im.aktia.fi,,,
,ebank.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,131.207.49.10,0tbsdztz43mdm62zq3262lzzjx3jz0ck,,,,,,
,ebank.www.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,194.240.69.61,,,,,,,
,eta.aktia.fi,3600,"{'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'aktia.fi', 'ns': 'ns-fi.elisa.net', 'mailbox': 'hostmaster.elisa.fi', 'serial': 2024101412, 'refresh': 3600, 'retry': 900, 'expire': 604800, 'minttl': 3600}",,NOERROR,95.175.121.193,,,,,,,
