input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url,csp_domains_,tls_expired,tls_mismatched,tls_self_signed
br302.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br302.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br302.hostgator.com.br,,80,http://br302.hostgator.com.br:80,http,Apache,text/html,GET,108.167.132.37,/,-1783708853,108.167.132.37,Bootstrap,44,False,,,https://br302.hostgator.com.br/,,,,
br304.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br304.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br304.hostgator.com.br,,443,https://br304.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.38,/,-1783708853,108.167.132.38,Bootstrap,44,False,,,,,,,
br308.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br308.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br308.hostgator.com.br,,443,https://br308.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.40,/,-1783708853,108.167.132.40,Bootstrap,44,False,,,,,,,
br312.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br312.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br312.hostgator.com.br,,443,https://br312.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.42,/,-1783708853,108.167.132.42,Bootstrap,44,False,,,,,,,
br314.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br314.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br314.hostgator.com.br,,443,https://br314.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.43,/,-1783708853,108.167.132.43,Bootstrap,44,False,,,,,,,
br316.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br316.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br316.hostgator.com.br,,443,https://br316.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.44,/,-1783708853,108.167.132.44,Bootstrap,44,False,,,,,,,
br318.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br318.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br318.hostgator.com.br,,443,https://br318.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.53,/,-1783708853,108.167.132.53,Bootstrap,44,False,,,,,,,
br32.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br32.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br32.hostgator.com.br,,443,https://br32.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.182,/,-1783708853,192.185.176.182,Bootstrap,44,False,,,,,,,
br320.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br320.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br320.hostgator.com.br,,80,http://br320.hostgator.com.br:80,http,Apache,text/html,GET,108.167.132.54,/,-1783708853,108.167.132.54,Bootstrap,44,False,,,https://br320.hostgator.com.br/,,,,
br322.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br322.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br322.hostgator.com.br,,443,https://br322.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.55,/,-1783708853,108.167.132.55,Bootstrap,44,False,,,,,,,
br324.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br324.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br324.hostgator.com.br,,443,https://br324.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.56,/,-1783708853,108.167.132.56,Bootstrap,44,False,,,,,,,
br328.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br328.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br328.hostgator.com.br,,80,http://br328.hostgator.com.br:80,http,Apache,text/html,GET,108.167.132.58,/,-1783708853,108.167.132.58,Bootstrap,44,False,,,https://br328.hostgator.com.br/,,,,
br330.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br330.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br330.hostgator.com.br,,443,https://br330.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.59,/,-1783708853,108.167.132.59,Bootstrap,44,False,,,,,,,
br332.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br332.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br332.hostgator.com.br,,443,https://br332.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.60,/,-1783708853,108.167.132.60,Bootstrap,44,False,,,,,,,
br336.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br336.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br336.hostgator.com.br,,443,https://br336.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.68,/,-1783708853,108.167.132.68,Bootstrap,44,False,,,,,,,
br34.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br34.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br34.hostgator.com.br,,443,https://br34.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.162,/,-1783708853,192.185.176.162,Bootstrap,44,False,,,,,,,
br340.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br340.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br340.hostgator.com.br,,443,https://br340.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.70,/,-1783708853,108.167.132.70,Bootstrap,44,False,,,,,,,
br342.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br342.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br342.hostgator.com.br,,443,https://br342.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.71,/,-1783708853,108.167.132.71,Bootstrap,44,False,,,,,,,
br344.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br344.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br344.hostgator.com.br,,443,https://br344.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.72,/,-1783708853,108.167.132.72,Bootstrap,44,False,,,,,,,
br346.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br346.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br346.hostgator.com.br,,443,https://br346.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.73,/,-1783708853,108.167.132.73,Bootstrap,44,False,,,,,,,
br348.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br348.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br348.hostgator.com.br,,443,https://br348.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.74,/,-1783708853,108.167.132.74,Bootstrap,44,False,,,,,,,
br350.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br350.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br350.hostgator.com.br,,443,https://br350.hostgator.com.br:443,https,Apache,text/html,GET,108.167.132.75,/,-1783708853,108.167.132.75,Bootstrap,44,False,,,,,,,
br356.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br356.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br356.hostgator.com.br,,443,https://br356.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.23,/,-1783708853,108.167.188.23,Bootstrap,44,False,,,,,,,
br358.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br358.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br358.hostgator.com.br,,443,https://br358.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.28,/,-1783708853,108.167.188.28,Bootstrap,44,False,,,,,,,
br36.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br36.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br36.hostgator.com.br,,443,https://br36.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.102,/,-1783708853,192.185.176.102,Bootstrap,44,False,,,,,,,
br362.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br362.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br362.hostgator.com.br,,80,http://br362.hostgator.com.br:80,http,Apache,text/html,GET,108.167.188.38,/,-1783708853,108.167.188.38,Bootstrap,44,False,,,https://br362.hostgator.com.br/,,,,
br364.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br364.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br364.hostgator.com.br,,443,https://br364.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.43,/,-1783708853,108.167.188.43,Bootstrap,44,False,,,,,,,
br366.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br366.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br366.hostgator.com.br,,443,https://br366.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.48,/,-1783708853,108.167.188.48,Bootstrap,44,False,,,,,,,
br370.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br370.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br370.hostgator.com.br,,443,https://br370.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.60,/,-1783708853,108.167.188.60,Bootstrap,44,False,,,,,,,
br372.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br372.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br372.hostgator.com.br,,443,https://br372.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.65,/,-1783708853,108.167.188.65,Bootstrap,44,False,,,,,,,
br374.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br374.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br374.hostgator.com.br,,443,https://br374.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.70,/,-1783708853,108.167.188.70,Bootstrap,44,False,,,,,,,
br376.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br376.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br376.hostgator.com.br,,443,https://br376.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.75,/,-1783708853,108.167.188.75,Bootstrap,44,False,,,,,,,
br380.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br380.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br380.hostgator.com.br,,443,https://br380.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.85,/,-1783708853,108.167.188.85,Bootstrap,44,False,,,,,,,
br384.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br384.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br384.hostgator.com.br,,443,https://br384.hostgator.com.br:443,https,Apache,text/html,GET,108.167.188.120,/,-1783708853,108.167.188.120,Bootstrap,44,False,,,,,,,
