input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_expired,final_url,csp_domains_,location
content.pendo.trellix.com,,403,300,content.pendo.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-20T23:59:59Z,CN=content.pendo.trellix.com,content.pendo.trellix.com,content.pendo.trellix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,260e63cf0665914ffc2429ca4f71bfb6,2511a409a7db72e49cb4185df4e0e46a2b8281f9f7b0475f46f6ddb7d320d257,,ctls,content.pendo.trellix.com,cloudfront,443,https://content.pendo.trellix.com:443,https,UploadServer,application/xml,GET,52.222.214.112,/,501560377,2600:9000:223d:3c00:7:ef2a:8ec0:93a1,Amazon Web Services,1,False,True,,,,,,
content.trellix.com,Bad request,400,547,content.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.manage.trellix.com,saaspartner.api.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bc53bd5971b75cc2a98f1a2633c83a0e,2310ce7e5cc9776092db06aaa8309e8c4219e3fb75e4864ae883c1147bea383c,,ctls,content.trellix.com,,443,https://content.trellix.com:443,https,awselb/2.0,text/html,GET,54.69.130.184,/,1544982160,52.33.251.125,,19,False,,Musarubra US LLC,True,,,,
crmintm.trellix.com,403 - Forbidden: Access is denied.,403,1233,crmintm.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=crmintm.trellix.com, O=Musarubra US LLC, ST=California, C=US",crmintm.trellix.com,www.crmintm.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3503782efeb2e98611fc534df6933da3,446fd841cd060fb6164e1e1dc42c6e01a93558139c4b3e69e1d82c2d54b9944e,,ctls,crmintm.trellix.com,,443,https://crmintm.trellix.com:443,https,Microsoft-IIS/10.0,text/html,GET,161.69.25.197,/,1631801191,161.69.25.197,Windows Server,30,False,,Musarubra US LLC,,,,,
crmintqa.trellix.com,403 Forbidden,403,318,crmintqa.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-04-26T00:00:00Z,2023-04-26T23:59:59Z,"CN=intranet.trellix.com, OU=IT, O=Musarubra US LLC, ST=California, C=US",intranet.trellix.com,sales-uat.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,22fdfc52290b99899bbd30c3de93f64b,759bc95716dacd1fd9e4c8a4d65ae31abdc0062a1620bc78067135b4e4676b64,,ctls,crmintqa.trellix.com,google,443,https://crmintqa.trellix.com:443,https,Apache,text/html,GET,34.98.124.189,/,2048473482,34.98.124.189,HTTP/3,10,False,True,Musarubra US LLC,,True,https://crmintqa.trellix.com/en-us/index.html,,
cs-notices.trellix.com,Living Security | Trellix,200,141511,www.trellix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-14T23:59:59Z,"CN=www.trellix.com, O=Musarubra US LLC, ST=California, C=US",www.trellix.com,trellix.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,982e45f6df45ffe6c756a2976cacbca4,fd52800d82ce9d611711ecb8ee9db2107fed4c4e0208908fabbdeb3cc523977b,,ctls,www.trellix.com,,443,https://cs-notices.trellix.com:443,https,,text/html,GET,34.237.219.119,/,-1840324437,52.54.96.194,HSTS,1129,False,,Musarubra US LLC,,,https://www.trellix.com/en-us/index.html,,
cxp.skyhighsecurity.com,Invalid URL,400,209,,,,,,,,,,,,,,,,,,,,80,http://cxp.skyhighsecurity.com:80,http,AkamaiGHost,text/html,GET,2.17.100.170,/,-1358646464,2.17.100.171,,8,False,,,,,,,
cxp.trellix.com,,307,,mcafeeenterprise.qualtrics.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-07T00:00:00Z,2024-03-26T23:59:59Z,"CN=*.qualtrics.com, O=Qualtrics International Inc., L=Provo, ST=Utah, C=US",*.qualtrics.com,*.sr.qualtrics.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,fb4fe0e032ed2bad845a2d0b25e2ad17,f2265e02b2b56f8cde5b89b6a79cda4bbeec8b0ec3a6b5a724781fbe13c2e3cf,True,ctls,mcafeeenterprise.qualtrics.com,,80,http://cxp.trellix.com:80,http,,,GET,95.101.111.154,/,1497376729,95.101.111.147,HSTS,1,False,,Qualtrics International Inc.,,,https://mcafeeenterprise.qualtrics.com/login,https://sjc1.qualtrics.com/csp-report,https://cxp.trellix.com/login
daas.trellix.com,Detection as a Service,200,46466,daas.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-29T23:59:59Z,CN=daas.trellix.com,daas.trellix.com,daas.trellix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d668757262e499a6e9a24580cdced93e,7f49df4ee2822cb92455130c87a7175f8a9932ae0edc0751d2c4339f21c6b61a,,ctls,daas.trellix.com,cloudfront,443,https://daas.trellix.com:443,https,,text/html,GET,18.66.122.44,/,-909858089,18.66.122.15,HSTS,921,False,True,,,,https://daas.trellix.com/login/,,
dashboard.cloudsupport-dev.gtiservice.trellix.com,ERROR: The request could not be satisfied,403,919,dashboard.cloudsupport-dev.gtiservice.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-29T00:00:00Z,2023-07-29T23:59:59Z,"CN=dashboard.cloudsupport-dev.gtiservice.trellix.com, O=Musarubra US LLC, ST=California, C=US",dashboard.cloudsupport-dev.gtiservice.trellix.com,smart-filter-tst.cloudsupport-dev.gtiservice.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4d2bbd038c198f4e855717ccd7914a03,f6205e5c7b8018a3321a15e593e645d9578e15ae75bd4623e5d0f67408600bc0,,ctls,dashboard.cloudsupport-dev.gtiservice.trellix.com,cloudfront,443,https://dashboard.cloudsupport-dev.gtiservice.trellix.com:443,https,CloudFront,text/html,GET,13.224.189.42,/,636313961,13.224.189.119,Amazon Web Services,20,False,True,Musarubra US LLC,,,,,
dashboard.csupp.gtiservice.trellix.com,ERROR: The request could not be satisfied,403,919,dashboard.csupp.gtiservice.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-29T00:00:00Z,2023-07-29T23:59:59Z,"CN=csupp.gtiservice.trellix.com, O=Musarubra US LLC, ST=California, C=US",csupp.gtiservice.trellix.com,measurements.csupp.gtiservice.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,980c4ca9e07855fdd529b28ca213d32c,3a7b009c1d4a0d0b80882e176b45a00231eed985a168f370c863bc527e7ecf83,,ctls,dashboard.csupp.gtiservice.trellix.com,cloudfront,443,https://dashboard.csupp.gtiservice.trellix.com:443,https,CloudFront,text/html,GET,13.224.189.6,/,-21824976,13.224.189.24,Amazon Web Services,20,False,True,Musarubra US LLC,,,,,
data.myaccounts-pendo.trellix.com,pendo.io,200,2443,data.myaccounts-pendo.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-24T18:57:55Z,2023-08-22T19:42:03Z,CN=data.myaccounts-pendo.trellix.com,data.myaccounts-pendo.trellix.com,data.myaccounts-pendo.trellix.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,1c39179229aaa91f3a39ccd9c424bbf4,02c7daaf613b6b07ccee615b7d9acd40c86791590f7a611453cc246ac9c330f2,,ctls,data.myaccounts-pendo.trellix.com,,443,https://data.myaccounts-pendo.trellix.com:443,https,Google Frontend,text/html,GET,142.250.186.147,/,-2039334881,2a00:1450:4001:82a::2013,Google Cloud Trace,1,False,,,,,,,
demo.xconsole.trellix.com,XConsole,200,1673,demo.xconsole.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-31T23:59:59Z,CN=demo.xconsole.trellix.com,demo.xconsole.trellix.com,*.demo.xconsole.trellix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f4aee8d78a7b98069b5b16c2ad6fe736,2ade77223e3c468c3273c33c3ccc6adca36e107f40a26d9ffe4a47ebc106735d,True,ctls,demo.xconsole.trellix.com,cloudfront,443,https://demo.xconsole.trellix.com:443,https,AmazonS3,text/html,GET,52.222.236.118,/,2116877167,52.222.236.71,Amazon Web Services,1,False,True,,,,,,
dev.design.trellix.com,TRELLIX - Sign In,200,23703,trellix.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,trellix.okta.com,cloudfront,443,https://dev.design.trellix.com:443,https,nginx,text/html,GET,18.66.122.55,/,-600439509,18.66.122.11,Nginx,502,False,True,"Okta, Inc.",,,https://trellix.okta.com/oauth2/v1/authorize?client_id=0oa4ci9b7w775tn1A697&response_type=code&scope=openid%20email&redirect_uri=https%3A%2F%2Fdev.design.trellix.com%2F_callback&nonce=5d42ef90d9316607e85e0308f9189af23ec57d5e2039f0e17acb0213a908b38f&state=%2F,http://localhost:65141,
dev.insights.trellix.com,ERROR: The request could not be satisfied,403,919,dev.insights.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=dev.insights.trellix.com, O=Musarubra US LLC, ST=California, C=US",dev.insights.trellix.com,www.dev.insights.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7d656a7b8a90d6d27247b49db248d827,7a284ed7a2d79e82844fe83808a6a479ff9ccdbb5acec68b4ef46492b3fadfb6,,ctls,dev.insights.trellix.com,cloudfront,443,https://dev.insights.trellix.com:443,https,CloudFront,text/html,GET,13.225.78.35,/,1888448538,2600:9000:21f3:9e00:4:bc0a:e980:93a1,Amazon Web Services,20,False,True,Musarubra US LLC,,,,,
dev.xconsole.trellix.com,ERROR: The request could not be satisfied,403,919,dev.xconsole.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-03-22T23:59:59Z,CN=dev.xconsole.trellix.com,dev.xconsole.trellix.com,*.dev.xconsole.trellix.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,032d67503d6054142ed9dd62b74bb438,7502074aa1ed445a76f83b711479791d861d940fe7e5fffbfb8d315960310b9a,True,ctls,dev.xconsole.trellix.com,cloudfront,443,https://dev.xconsole.trellix.com:443,https,CloudFront,text/html,GET,13.225.78.122,/,-1002242325,13.225.78.21,Amazon Web Services,20,False,True,,,,,,
downloadcenter.trellix.com,Living Security | Trellix,200,141511,www.trellix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-14T23:59:59Z,"CN=www.trellix.com, O=Musarubra US LLC, ST=California, C=US",www.trellix.com,trellix.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,982e45f6df45ffe6c756a2976cacbca4,fd52800d82ce9d611711ecb8ee9db2107fed4c4e0208908fabbdeb3cc523977b,,ctls,www.trellix.com,,443,https://downloadcenter.trellix.com:443,https,,text/html,GET,2.23.209.49,/,1864250944,2a02:26f0:480:25::1726:6207,HSTS,1129,False,,Musarubra US LLC,,,https://www.trellix.com/en-us/index.html,,
emeavpn.trellix.com,,200,315,emeavpn.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-04T00:00:00Z,2024-03-03T23:59:59Z,"CN=vpn.trellix.com, O=Musarubra US LLC, ST=California, C=US",vpn.trellix.com,pavvpn1.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0d47b25df02120995236d76e1308a7ce,8b2b78c2ccd91423d7f15092a92f464befd6122194d9a8eb90113560d5537dcb,,ctls,emeavpn.trellix.com,,443,https://emeavpn.trellix.com:443,https,,text/html,GET,161.69.153.188,/,-1840324437,161.69.153.188,HSTS,9,False,,Musarubra US LLC,True,,,,
etp-eu-restapi.etp.trellix.com,,404,9,etp-eu-restapi.etp.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T13:22:31Z,2023-07-29T13:22:30Z,CN=etp-eu-restapi.etp.trellix.com,etp-eu-restapi.etp.trellix.com,etp-eu-restapi.etp.trellix.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,8a7152263054bdd883e635c3f8d89e1f,a799c930dfede0458aefc0c3b82e83fd93c7267944d574a6944ec5c1cce20d47,,ctls,etp-eu-restapi.etp.trellix.com,cloudflare,443,https://etp-eu-restapi.etp.trellix.com:443,https,cloudflare,text/plain,GET,172.64.153.45,/,-738705486,2606:4700:4400::ac40:992d,Cloudflare,1,False,True,,,,,,
etp-us-restapi.etp.trellix.com,,404,9,etp-us-restapi.etp.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T11:38:11Z,2023-07-29T11:38:10Z,CN=etp-us-restapi.etp.trellix.com,etp-us-restapi.etp.trellix.com,etp-us-restapi.etp.trellix.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,aa4c3f2247ec37254806335f32b3efb8,796f58a9e02170126ffcd4ea251dd40b7267f20f2f6bcf17dd90f946535519ef,,ctls,etp-us-restapi.etp.trellix.com,cloudflare,443,https://etp-us-restapi.etp.trellix.com:443,https,cloudflare,text/plain,GET,172.64.153.45,/,-738705486,2606:4700:4400::6812:22d3,Cloudflare,1,False,True,,,,,,
eu.etp.trellix.com,Trellix - Email Security Cloud,200,2963,eu.etp.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=us.etp.trellix.com, O=Musarubra US LLC, ST=California, C=US",us.etp.trellix.com,stage-us.etp.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9c32be903170935c4d9091e4d6c2cf09,0ae1fa4a9d66450dcff23f87e6419f8abca4db188316b1a04199db55f2a75e20,,ctls,eu.etp.trellix.com,cloudflare,443,https://eu.etp.trellix.com:443,https,cloudflare,text/html,GET,172.64.153.45,/,-1696457800,2606:4700:4400::6812:22d3,HSTS,80,False,True,Musarubra US LLC,,,,,
events.trellix.com,trellix.com,403,582,events.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-14T03:03:03Z,2023-08-12T03:03:02Z,CN=events.trellix.com,events.trellix.com,events.trellix.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,63015a5555945cd3c9b2dc6c2f5ff413,1c51c27459b5791875b9cc778d804e77a39075139f9c6ee11839f2cb5538f60b,,ctls,events.trellix.com,fastly,443,https://events.trellix.com:443,https,DataDome,text/html,GET,151.101.2.133,/,-1110427655,151.101.194.133,Varnish,2,False,True,,,,,,
experience.trellix.com,Living Security | Trellix,200,141511,www.trellix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-14T23:59:59Z,"CN=www.trellix.com, O=Musarubra US LLC, ST=California, C=US",www.trellix.com,trellix.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,982e45f6df45ffe6c756a2976cacbca4,fd52800d82ce9d611711ecb8ee9db2107fed4c4e0208908fabbdeb3cc523977b,,ctls,www.trellix.com,,443,https://experience.trellix.com:443,https,,text/html,GET,23.2.13.75,/,-1840324437,2a02:26f0:3500:12::1730:17a1,HSTS,1129,False,,Musarubra US LLC,,,https://www.trellix.com/en-us/index.html,,
fileshare-uat-dnv.trellix.com,CrushFTP WebInterface,200,13988,fileshare-uat-dnv.trellix.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=supportm-uat.trellix.com, O=Musarubra US LLC, ST=California, C=US",supportm-uat.trellix.com,uat.communitym.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e2a3984af9223848f9cb933ef6559e70,0f6c2d2f5347d7688648e8b091d26d867929555c2ded68ef5b636566906681a7,,ctls,fileshare-uat-dnv.trellix.com,,443,https://fileshare-uat-dnv.trellix.com:443,https,CrushFTP HTTP Server,text/html,GET,161.69.38.115,/,-1840324437,161.69.38.115,,235,False,,Musarubra US LLC,,,https://fileshare-uat-dnv.trellix.com/WebInterface/login.html,,
fireside.trellix.com,TRELLIX - Sign In,200,24276,trellix.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,trellix.okta.com,,443,https://fireside.trellix.com:443,https,nginx,text/html,GET,199.16.198.110,/,105083909,199.16.198.110,Nginx,502,False,,"Okta, Inc.",,,https://trellix.okta.com/app/trellix_firesideapplication_2/exk3i0y4z9wXebK4z697/sso/saml?SAMLRequest=fZJBj9owEIX%2FSuQ7sROTpFiARBdVRbtt04VWbS%2FIOENxSezU4wDLr68Jpd0euidLn%2Be9p3maMcqmbsWs8zvzCD87QB%2Bdmtqg6D8mpHNGWIkahZENoPBKLGfvHkQaM9E6662yNXkmeVkhEcF5bQ2JFvMJWbMqT1U2LKDIFOfFiMlNFkDKVJ7lr1hR8IRlieQbSaLP4DAoJyQYBTliBwuDXhofEEv5gOWDhK8YFwkXw%2BIbieZhG22k71U771sUlHoHda1Psd17GSvbUNm2N7jeageoKwis1qpXrlMKpz3X7Gl4Hh2%2FwOZ%2BeM5HBUW09LIwiWa3pe6swa4BtwR30Ao%2BPT78jb05x7f8S3Q5Z8eyOn880MZWXQ1xu2t7U4rXNx1IhT3l7vAj299%2FDc2Vv2t%2FrU2lzfeXG99ch1C8Xa3KQflhuSLT8cVa9A266R%2FjMX2Ox9fDeB8MF%2FPShjaeojfWNdL%2FPy%2BJk57oarDtR0VnsAWltxqq0FNd2%2BOdA%2BlhQrzrgNDpNfTfA5z%2BAg%3D%3D&RelayState=https%3A%2F%2Ffireside.trellix.com,*.tiles.mapbox.com,
fusionwebsecureconnect-qa.trellix.com,Oracle HTTP Server 12c,200,8893,fusionwebsecureconnect-qa.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,"CN=fusionexterintegrations.externalzones.com, O=Musarubra US LLC, ST=California, C=US",fusionexterintegrations.externalzones.com,sffusionwebsecureconnect.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,f443a6c8e6cdd8b52937f6b641c909df,0b27facea479281769b273a98780e0a5b585c232f47f9dd629ad681a0167d087,,ctls,fusionwebsecureconnect-qa.trellix.com,,443,https://fusionwebsecureconnect-qa.trellix.com:443,https,Oracle-HTTP-Server,text/html,GET,136.179.57.105,/,-366337701,136.179.57.105,Oracle HTTP Server,184,False,,Musarubra US LLC,,,,,
gamma.xconsole.trellix.com,ERROR: The request could not be satisfied,403,919,gamma.xconsole.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=gamma.xconsole.trellix.com,gamma.xconsole.trellix.com,*.gamma.xconsole.trellix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4a4fcc8217cccf8f1a609a7e7ea37f9d,b4744db4a40d48c5bcde482be9bc830776b4f3bf03ee688316b7d0cf7f58770c,True,ctls,gamma.xconsole.trellix.com,cloudfront,443,https://gamma.xconsole.trellix.com:443,https,CloudFront,text/html,GET,108.138.17.61,/,-32854589,108.138.17.5,Amazon Web Services,20,False,True,,,,,,
gcpapi.manage.trellix.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://gcpapi.manage.trellix.com:80,http,CloudFront,text/html,GET,13.32.121.19,/,-289308724,13.32.121.65,Amazon Web Services,20,False,True,,,,,,
go.trellix.com,Custom Domain by Bitly,200,54739,bitly.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=*.bitly.com, O=Bitly\, Inc., L=New York, ST=New York, C=US",*.bitly.com,bitly.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ac373893849e3fbf0728c19de2085ca3,a7e06d5d08ed98256535cb130a4ecbf5b7885bd16a058129b2ea0c3c5964c87c,True,ctls,bitly.com,,443,https://go.trellix.com:443,https,nginx,text/html,GET,67.199.248.13,/,-434501501,67.199.248.12,WordPress,63,False,,"Bitly, Inc.",,,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=go.trellix.com,,
happrd2.xdr.trellix.com,Trellix IAM,200,7844,console.us.fireeye.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=fireeye.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fireeye.com,*.etp.eu.fireeye.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",19e3a90ee0967fb5824ccc63988cd5dc,f396c5c349859157108cb7fcab6df053757ccc0c865aa5bf5f1adfc779332e45,True,ctls,console.us.fireeye.com,,443,https://happrd2.xdr.trellix.com:443,https,cloudflare,text/html,GET,34.215.81.5,/,-1835844041,35.83.61.195,HSTS,194,False,,"Cloudflare, Inc.",True,,https://console.us.fireeye.com:443/,,
hapstg2.staging.xdr.trellix.com,,403,16,console-iam-stg.fireeye.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=fireeye.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fireeye.com,*.etp.eu.fireeye.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",19e3a90ee0967fb5824ccc63988cd5dc,f396c5c349859157108cb7fcab6df053757ccc0c865aa5bf5f1adfc779332e45,True,ctls,console-iam-stg.fireeye.com,,443,https://hapstg2.staging.xdr.trellix.com:443,https,cloudflare,text/plain,GET,35.83.91.247,/,1826386983,34.214.18.203,Cloudflare,1,False,,"Cloudflare, Inc.",,,https://console-iam-stg.fireeye.com:443/,,
hax.trellix.com,Service Not Available,404,913,hax.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-05T21:22:49Z,2023-10-07T21:22:48Z,CN=*.ctfd.io,*.ctfd.io,ctfd.io,"CN=AlphaSSL CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,a77a13464b62e48fe4acb2d88bb32da6,5ad3d53b6f7f2b3af2a4c8f3890fdb22e2cbc979e72d504804da7f555e4ef97f,True,ctls,hax.trellix.com,,443,https://hax.trellix.com:443,https,,text/html,GET,165.227.251.183,/,-168988408,165.227.251.182,,40,False,,,True,,,,
healthwatch.trellix.com,Trellix Health Watch,200,9069,healthwatch.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-03-05T23:59:59Z,"CN=healthwatch.trellix.com, O=Musarubra US LLC, ST=California, C=US",healthwatch.trellix.com,www.healthwatch.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d77a5d000a4339fd09d4743b876eff9d,b4d5ce1c6f2afd4c1c96eceac7ffd4e819d9b1019208c8da0b2a4e2537303ebb,,ctls,healthwatch.trellix.com,,443,https://healthwatch.trellix.com:443,https,nginx,text/html,GET,35.82.209.91,/,1434449668,35.81.176.231,Nginx,19,False,,Musarubra US LLC,,,,,
