new,host,ttl,a,soa,status_code,cdn,cdn-name,cname,ns,aaaa,txt,mx,has_internal_ips,internal_ips,caa
,crl.industry.ikea.com,600,52.239.143.33,"{'name': 'store.core.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'store.core.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'store.core.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'store.core.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'store.core.windows.net', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,,"stindustrypkicrl001.z6.web.core.windows.net, web.ams07prdstr05a.store.core.windows.net",,,,,,,
,cs-int-jobs.about.ikea.com,86400,"95.101.111.154, 95.101.111.165","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623179, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"cs-int-jobs-about-ikea-com.talentbrew.com, cs-int-jobs.about.ikea.com-v2.edgekey.net, e35154.dscb.akamaiedge.net",,,,,,,
,cs-jobs.about.ikea.com,43200,"23.50.131.147, 23.50.131.138","{'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623177, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623177, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623177, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"cs-jobs-about-ikea-com.talentbrew.com, cs-jobs.about.ikea.com-v1.edgekey.net, e32889.b.akamaiedge.net",,,,,,,
,cs.b2b.ikea.com,299,,"{'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
,csa.ikea.com,3600,40.113.3.129,"{'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"udns1.cscdns.net, udns2.cscdns.uk",,,,,,
,csp.ikea.com,86340,"151.101.1.91, 151.101.65.91, 151.101.129.91, 151.101.193.91","{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",NOERROR,True,fastly,n.sni.global.fastly.net,,,,,,,
,cte.accounts.ikea.com,600,,"{'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623184, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"ds.san5.external.ikea.com.edgekey.net, e87772.dscx.akamaiedge.net",,"2a02:26f0:1180:35::210:6ad6, 2a02:26f0:1180:35::210:6ac9",,,,,
,da-int-jobs.about.ikea.com,43200,,"{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"da-int-jobs-about-ikea-com.talentbrew.com, da-int-jobs.about.ikea.com-v2.edgekey.net, e28848.dscb.akamaiedge.net",,"2a02:26f0:3500:14::1724:a24c, 2a02:26f0:3500:14::1724:a24a",,,,,
,da-jobs.about.ikea.com,86399,,"{'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"da-jobs-about-ikea-com.talentbrew.com, da-jobs.about.ikea.com-v1.edgekey.net, e33694.b.akamaiedge.net",,,,,,,
,de-ch-int-jobs.about.ikea.com,86400,"92.123.26.152, 92.123.26.201","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"de-ch-int-jobs-about-ikea-com.talentbrew.com, de-ch-int-jobs.about.ikea.com-v2.edgekey.net, e86999.dscb.akamaiedge.net",,,,,,,
,de-ch-jobs.about.ikea.com,21600,"184.86.103.13, 184.86.103.18","{'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"de-ch-jobs-about-ikea-com.talentbrew.com, de-ch-jobs.about.ikea.com-v1.edgekey.net, e130700.b.akamaiedge.net",,,,,,,
,de-int-jobs.about.ikea.com,86400,"92.123.26.137, 92.123.26.169","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"de-int-jobs-about-ikea-com.talentbrew.com, de-int-jobs.about.ikea.com-v2.edgekey.net, e38567.dscb.akamaiedge.net","udns1.cscdns.net, udns2.cscdns.uk",,,,,,
,de-jobs.about.ikea.com,3600,"2.16.6.20, 2.16.6.34","{'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamaiedge.net', 'ns': 'n0b.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623184, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"de-jobs-about-ikea-com.talentbrew.com, de-jobs.about.ikea.com-v1.edgekey.net, e35285.b.akamaiedge.net",,,,,,,
,de.accounts.ikea.com,86400,95.100.66.92,"{'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623178, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623165, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"ds.san.ov14209.ikea.com.edgekey.net, e14209.dscx.akamaiedge.net",,"2a02:26f0:9500:983::3781, 2a02:26f0:9500:9bb::3781",,,,,
,demo-table1.dc7-1.nebula.ikea.com,300,,"{'name': 'nebula.ikea.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'nebula.ikea.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'nebula.ikea.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'nebula.ikea.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'nebula.ikea.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'nebula.ikea.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'nebula.ikea.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,,,,,,,,,,
,des.ikea.com,3600,,"{'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117587, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
,deufrasbc01.ikea.com,86400,65.229.158.212,"{'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'ikea.com', 'ns': 'udns1.cscdns.net', 'mailbox': 'premiumdns.support.neustar', 'serial': 2019117588, 'refresh': 28800, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,,
,dev.accounts.ikea.com,600,"92.123.104.65, 92.123.104.7","{'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623180, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"ds.san5.external.ikea.com.edgekey.net, e87772.dscx.akamaiedge.net","udns1.cscdns.net, udns2.cscdns.uk","2a02:26f0:3500:1b::1724:a39c, 2a02:26f0:3500:1b::1724:a38f",,,,,
,dev.arassetimages.ikea.com,86400,,"{'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"ds.san2.external.ikea.com.edgekey.net, e11058.dscx.akamaiedge.net",,"2a02:26f0:1180:688::2b32, 2a02:26f0:1180:689::2b32",,,,,
,dev.londondomain-controllercheckout-serviceplugins.ocp.ingka.ikea.com,43200,23.197.143.59,"{'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623182, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"ds.san.ov14209.ikea.com.edgekey.net, e14209.dscx.akamaiedge.net",,"2a02:26f0:9500:983::3781, 2a02:26f0:9500:9bb::3781",,,,,
,dev.m.qr.ikea.com,300,34.110.253.2,"{'name': 'qr.ikea.com', 'ns': 'ns-cloud-b1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'qr.ikea.com', 'ns': 'ns-cloud-b1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'qr.ikea.com', 'ns': 'ns-cloud-b1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'qr.ikea.com', 'ns': 'ns-cloud-b1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,True,google,,,2600:1901:0:195c::,,,,,
,dev.smaland.ikea.com,86400,23.212.215.33,"{'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1732623183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"ds.san2.external.ikea.com.edgekey.net, e11058.dscx.akamaiedge.net",,,,,,,
