input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,tls_self_signed,tls_expired,final_url,csp_domains_,location
cert.t-mobile.cz,,200,11438,cert.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-25T09:22:26Z,2024-05-25T23:59:59Z,"L=Prague, ST=capital city Prague, CN=cert.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",cert.t-mobile.cz,cert.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,8dd86fe89a3c3c852f2d535129fe7908,f059a193be886e93fdd0da012e50a6a590fb0711dcb5df268bdfe877b78a0687,ctls,cert.t-mobile.cz,,443,https://cert.t-mobile.cz:443,https,text/html,GET,62.141.14.46,/,1631801191,62.141.14.46,,101,False,,,T-Mobile Czech Republic a.s.,,,,,,,
ceskeleto.t-mobile.cz,403 Forbidden,403,199,ceskeleto.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-15T22:55:24Z,2023-10-13T22:55:23Z,CN=ceskeleto.t-mobile.cz,ceskeleto.t-mobile.cz,ceskeleto.t-mobile.cz,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,15886bdf7c726376a3f6bfccaca95add,d2d3aa8a1aa897f69a63eb738670740840d86c11cd06ca2b0d4c715ef72e3c8d,ctls,ceskeleto.t-mobile.cz,,443,https://ceskeleto.t-mobile.cz:443,https,text/html,GET,31.15.12.13,/,-855688948,2a02:4a8:ac24:129::12:13,Nginx,8,False,,,,,nginx,,,,,
chatbot.t-mobile.cz,,404,56,chatbot.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,chatbot.t-mobile.cz,,443,https://chatbot.t-mobile.cz:443,https,application/json,GET,62.141.14.49,/,-335384448,62.141.14.49,,1,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
cloud.pbx.t-mobile.cz,BC4 Kontaktní centrum,200,157158,cloud.pbx.t-mobile.cz,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-28T15:44:10Z,2023-12-03T15:44:10Z,"CN=*.pbx.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha, C=CZ",*.pbx.t-mobile.cz,pbx.t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bc8b7c6cd5f38ec5ba4def908d08bece,d495b17e5fad8bfb8dec76483d4e8083a46da5126c409b052db58c6c9528c3a0,ctls,cloud.pbx.t-mobile.cz,,443,https://cloud.pbx.t-mobile.cz:443,https,text/html,GET,194.108.113.145,/,-209852640,194.108.113.145,Node.js,735,False,,,T-Mobile Czech Republic a.s.,True,nginx,,,,,
cloud.t-mobile.cz,"T-Cloud: úložiště, aplikace a mnohem víc - T-cloud",200,214537,cloud.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,cloud.t-mobile.cz,,443,https://cloud.t-mobile.cz:443,https,text/html,GET,62.141.14.57,/,1718558177,62.141.14.57,,8950,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
cow.t-mobile.cz,Kontraktorský web,200,4944,cow.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,cow.t-mobile.cz,,443,https://cow.t-mobile.cz:443,https,text/html,GET,62.141.14.59,/,-1863535320,62.141.14.59,,161,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
cpg.t-mobile.cz,,403,9,cpg.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,cpg.t-mobile.cz,,443,https://cpg.t-mobile.cz:443,https,text/html,GET,62.141.14.51,/,-942874359,62.141.14.51,,1,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
ct.t-mobile.cz,"You received emails from this domain, didn't you?",200,15468,ct.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T08:27:58Z,2023-08-27T08:27:57Z,CN=ct.t-mobile.cz,ct.t-mobile.cz,ct.t-mobile.cz,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e500dcb11dbcfe8962806aa701afdd54,b2d269aa1852ea6d87e968a1ff4f5d94d8c9a71de475b0e50aded2d56fb512f8,ctls,ct.t-mobile.cz,,443,https://ct.t-mobile.cz:443,https,text/html,GET,185.136.65.6,/,-1812417198,185.136.64.7,Webflow,344,False,,,,,nginx,,,,,
depo.t-mobile.cz,Spolehlivý operátor pro mobilní i pevné služby - T-Mobile.cz,200,147480,www.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-23T08:47:37Z,2024-06-20T08:47:37Z,"CN=www.t-mobile.cz, serialNumber=64949681, businessCategory=Private Organization, O=T-Mobile Czech Republic a.s., jurisdictionCountry=CZ, L=Praha 4, C=CZ, businessCategory=Private Organization, jurisdictionCountry=CZ",www.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e8b3cb899e7dbd38d55d31bd8ddfdf19,8388ba7ef595350c9434b8de95ea45b2883482601f41c6b6f1910ac29223b8a2,ctls,www.t-mobile.cz,,443,https://depo.t-mobile.cz:443,https,text/html,GET,62.141.14.37,/,1801383546,62.141.14.37,Java,8457,False,,,T-Mobile Czech Republic a.s.,,,,,https://www.t-mobile.cz/osobni,,
design.t-mobile.cz,,404,21,design.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,design.t-mobile.cz,,443,https://design.t-mobile.cz:443,https,text/plain,GET,62.141.14.70,/,-1669793162,62.141.14.70,,1,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
developers.t-mobile.cz,Spolehlivý operátor pro mobilní i pevné služby - T-Mobile.cz,200,146037,www.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-23T08:47:37Z,2024-06-20T08:47:37Z,"CN=www.t-mobile.cz, serialNumber=64949681, businessCategory=Private Organization, O=T-Mobile Czech Republic a.s., jurisdictionCountry=CZ, L=Praha 4, C=CZ, businessCategory=Private Organization, jurisdictionCountry=CZ",www.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e8b3cb899e7dbd38d55d31bd8ddfdf19,8388ba7ef595350c9434b8de95ea45b2883482601f41c6b6f1910ac29223b8a2,ctls,www.t-mobile.cz,,443,https://developers.t-mobile.cz:443,https,text/html,GET,62.141.14.37,/,-1078750525,62.141.14.37,Java,8411,False,,,T-Mobile Czech Republic a.s.,,,,,https://www.t-mobile.cz/osobni,,
direct.m-platba.t-mobile.cz,Error report,404,109,,,,,,,,,,,,,,,,,,,80,http://direct.m-platba.t-mobile.cz:80,http,text/html,GET,62.141.14.28,/,-97574270,62.141.14.28,,1,False,,,,,,,,,,
dm.t-mobile.cz,Request Rejected,200,244,dm.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,dm.t-mobile.cz,,443,https://dm.t-mobile.cz:443,https,text/html,GET,62.141.14.65,/,-1262985566,62.141.14.65,,1,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
download.t-mobile.cz,Error 404,200,214,download.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,download.t-mobile.cz,,443,https://download.t-mobile.cz:443,https,text/html,GET,62.141.14.97,/,1387256899,62.141.14.97,,11,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
enterpriseenrollment.t-mobile.cz,Microsoft Intune admin center,200,40618,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.t-mobile.cz:443,https,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,,Microsoft Corporation,,,,,https://intune.microsoft.com/,,
enterpriseregistration.t-mobile.cz,Service,404,1565,enterpriseregistration.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,ctls,enterpriseregistration.t-mobile.cz,azure,443,https://enterpriseregistration.t-mobile.cz:443,https,text/html,GET,40.126.32.131,/,-2070773535,2603:1027:1:158::7,HSTS,14,False,True,True,Microsoft Corporation,True,,,,,,
entry.m-platba.t-mobile.cz,Error report,404,109,,,,,,,,,,,,,,,,,,,80,http://entry.m-platba.t-mobile.cz:80,http,text/html,GET,62.141.14.27,/,-97574270,62.141.14.27,,1,False,,,,,,,,,,
eshop.t-mobile.cz,eShop | T-Mobile,200,622328,eshop.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-06T12:16:19Z,2024-01-21T12:16:18Z,"CN=*.eshop.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha, C=CZ",*.eshop.t-mobile.cz,eshop.t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",70ebffae5fdfdf002665c845248ca5a9,47701a1b407a510e4a71a543d318ddc6369eebef81b3b34e11045e3bbff2ac72,ctls,eshop.t-mobile.cz,,443,https://eshop.t-mobile.cz:443,https,text/html,GET,52.58.183.54,/,2075736599,18.198.195.43,HSTS,847,False,,,T-Mobile Czech Republic a.s.,True,istio-envoy,,,,,
fax.t-mobile.cz,FaxCore Login,200,27243,fax.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-09T14:32:06Z,2023-08-09T23:59:59Z,"L=Prague, ST=capital city Prague, CN=fax.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",fax.t-mobile.cz,fax.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,cefe7d21544cd112576d5d73a9dcff66,884d4f07c520f75207b645b1585d9e00a758d425d250bf4f886dc6848eea4056,ctls,fax.t-mobile.cz,,443,https://fax.t-mobile.cz:443,https,text/html,GET,195.144.122.69,/,-1165055947,195.144.122.69,Windows Server,403,False,,,T-Mobile Czech Republic a.s.,,Microsoft-IIS/10.0,,,https://fax.t-mobile.cz/login.aspx?ReturnUrl=%2f,,
faz.t-mobile.cz,,200,89,faz.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2020-12-02T18:00:51Z,2056-01-19T03:14:07Z,"emailAddress=support@fortinet.com, CN=FAZ-VM0000009599, OU=FortiAnalyzer, O=Fortinet, L=Sunnyvale, ST=California, C=US, emailAddress=support@fortinet.com",FAZ-VM0000009599,,"emailAddress=support@fortinet.com, CN=fortinet-subca2001, OU=Certificate Authority, O=Fortinet, L=Sunnyvale, ST=California, C=US, emailAddress=support@fortinet.com",fortinet-subca2001,Fortinet,fdd4e928289b74b3b7df89667ac34095,36fdeb8405761f36816e0ab7737ef9218551f85077f490a71e7e73c0a15c4557,ctls,faz.t-mobile.cz,,443,https://faz.t-mobile.cz:443,https,text/html,GET,193.85.199.90,/,945408572,193.85.199.90,HSTS,2,False,,True,Fortinet,,,,,,,
fixnahravani.t-mobile.cz,SIPREC,200,553,fixnahravani.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-17T17:01:23Z,2024-03-19T23:59:59Z,"L=Prague, ST=capital city Prague, CN=fixnahravani.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",fixnahravani.t-mobile.cz,fixnahravani.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,0826cf589596b9e958c3f741790f0b86,bb0f31e21c194b553bbe42d654f039e6f6c78ebe4aa1adbaace43b91f3a7785c,ctls,fixnahravani.t-mobile.cz,,443,https://fixnahravani.t-mobile.cz:443,https,text/html,GET,212.65.193.162,/,-780928015,212.65.193.162,CentOS,1,False,,,T-Mobile Czech Republic a.s.,,Apache/2.4.37 (centos),,,,,
flexi.t-mobile.cz,T-Mobile - Managed Device Services Portal,200,20518,flexi.t-mobile.cz,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-30T18:39:54Z,2023-08-28T18:39:53Z,CN=flexi.t-mobile.cz,flexi.t-mobile.cz,flexi.t-mobile.cz,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,deac5d2d36b3cae25447cd06629b13a6,e3d5f788cafef5e70ce92bb66ef184edb52bbc29f9612012c9ab3863f0ec3552,ctls,flexi.t-mobile.cz,,443,https://flexi.t-mobile.cz:443,https,text/html,GET,81.91.85.108,/,-416531019,81.91.85.108,PHP,466,False,,,,,Apache,,,https://flexi.t-mobile.cz/admin/,,
free.t-mobile.cz,Spolehlivý operátor pro mobilní i pevné služby - T-Mobile.cz,200,147480,www.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-23T08:47:37Z,2024-06-20T08:47:37Z,"CN=www.t-mobile.cz, serialNumber=64949681, businessCategory=Private Organization, O=T-Mobile Czech Republic a.s., jurisdictionCountry=CZ, L=Praha 4, C=CZ, businessCategory=Private Organization, jurisdictionCountry=CZ",www.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e8b3cb899e7dbd38d55d31bd8ddfdf19,8388ba7ef595350c9434b8de95ea45b2883482601f41c6b6f1910ac29223b8a2,ctls,www.t-mobile.cz,,443,https://free.t-mobile.cz:443,https,text/html,GET,83.167.225.218,/,-475428524,83.167.225.218,Java,8457,False,,,T-Mobile Czech Republic a.s.,,,,,https://www.t-mobile.cz/osobni,,
hlas-navody.t-mobile.cz,ÚVOD - T-plm,200,37972,hlas-navody.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,hlas-navody.t-mobile.cz,,443,https://hlas-navody.t-mobile.cz:443,https,text/html,GET,62.141.14.57,/,1718558177,62.141.14.57,Google Tag Manager,2426,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
hns.t-mobile.cz,HNS Management,200,2240,hns.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,hns.t-mobile.cz,,443,https://hns.t-mobile.cz:443,https,text/html,GET,62.141.14.90,/,256601565,62.141.14.90,Fourthwall:%version%,1,False,,,T-Mobile Czech Republic a.s.,True,,,,,,
horizon.t-mobile.cz,VMware Horizon,200,6729,horizon.t-mobile.cz,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-08T11:19:39Z,2024-08-08T11:29:39Z,"emailAddress=CES@t-mobile.cz, CN=horizon.t-mobile.cz, OU=CES T-Mobile, O=T-Mobile Czech Republic a.s., L=Prague, ST=Czech Republic, C=CZ, emailAddress=CES@t-mobile.cz",horizon.t-mobile.cz,srvhkv111.rdm.cz,"emailAddress=ca@t-mobile.cz, CN=T-Mobile CZ Sub2 CA4, OU=Information Technology, O=T-Mobile Czech Republic a.s., L=Prague, ST=Czech Republic, C=CZ, emailAddress=ca@t-mobile.cz",T-Mobile CZ Sub2 CA4,T-Mobile Czech Republic a.s.,79c17aa2407396f3af39d506fb44ec1e,341a20fcaaa67722fe4fc808af1263555c99489f5610633e4ca7480831c02158,ctls,horizon.t-mobile.cz,,443,https://horizon.t-mobile.cz:443,https,text/html,GET,93.153.116.141,/,1274734426,93.153.116.141,Java,106,False,,,T-Mobile Czech Republic a.s.,,,,,,,
hrpaperless.t-mobile.cz,NOTIX PowerFLOW Portal,200,8413,hrpaperless.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,hrpaperless.t-mobile.cz,,443,https://hrpaperless.t-mobile.cz:443,https,text/html,GET,213.81.204.22,/,-1669793162,213.81.204.22,,33,False,,,T-Mobile Czech Republic a.s.,True,,,,https://hrpaperless.t-mobile.cz/portal/,,
https://chart.apis.google.com/,Error 404 (Not Found)!!1,404,1561,chart.apis.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:24Z,2023-09-11T08:21:23Z,CN=*.apis.google.com,*.apis.google.com,apis.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ac1190334d12823f679d140f7ab1897a,74dc795461177b0eca18a2a5c15693f1c8992579069ed4fc60ac72729ff3a93c,ctls,chart.apis.google.com,,443,https://chart.apis.google.com:443,https,text/html,GET,172.217.16.142,/,302920777,2a00:1450:4001:80f::200e,HTTP/3,12,False,,,,True,,,,,,
https://fonts.googleapis.com/,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7f788b7c7e4fd6cca34ea1266e90216c,34ce8d965483353d15d17e6813cc68da1fb1b8344b5fe78e48b33f6bde169573,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,text/html,GET,172.217.16.138,/,-606046040,2a00:1450:4001:808::200a,HTTP/3,1,False,,,,True,ESF,,,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c7c819cf4dd7eaac32596a27df440c3a,4232a61304d4799519d0c90e6c12f5aa385c549d99242ed0f0565857dbe97608,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,text/html,GET,142.250.186.99,/,302920777,2a00:1450:4001:829::2003,HTTP/3,12,False,,,,True,sffe,,,,,
https://ipapi.co,ipapi - IP Address Lookup and Geolocation API | No SignUp,200,102798,ipapi.co,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-04-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3d5a9321bcda6bf2c83b652ee627729d,8fc29d35a952f855b59110ac99c7adcb27e690dca44a7f55a6c305147c13971e,ctls,ipapi.co,cloudflare,443,https://ipapi.co:443,https,text/html,GET,104.26.8.44,/,-2138359416,2606:4700:20::681a:82c,Cloudflare,1520,False,True,,"Cloudflare, Inc.",True,cloudflare,,,,,
https://maps.googleapis.com,Google Maps Platform  |  Google for Developers,200,218391,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,developers.google.com,,443,https://maps.googleapis.com:443,https,text/html,GET,142.250.185.138,/,302920777,2a00:1450:4001:809::200a,HTTP/3,9540,False,,,,True,Google Frontend,,,https://developers.google.com/maps/,https://csp.withgoogle.com/csp/devsite/v2,
https://maps.googleapis.com/*,Google Maps Platform  |  Google for Developers,200,218387,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,developers.google.com,,443,https://maps.googleapis.com:443,https,text/html,GET,142.250.185.138,/,302920777,2a00:1450:4001:809::200a,HTTP/3,9540,False,,,,True,Google Frontend,,,https://developers.google.com/maps/,https://csp.withgoogle.com/csp/devsite/v2,
