new,host,a,aaaa,cname,soa,status_code,txt,caa,mx,ns,cdn,cdn-name,has_internal_ips,internal_ips,ptr
,jira.perf-readonly.intuit.com,"50.112.162.163, 35.163.81.96, 52.10.48.4",,jiraperf.jira-preprod.a.intuit.com,"ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,jira.qa-readonly.intuit.com,"35.162.2.80, 52.24.162.204, 52.13.160.115",,jiraqa.tools-preprod.a.intuit.com,"ns-231.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1037.awsdns-01.org, ns-1738.awsdns-25.co.uk, ns-231.awsdns-28.com, ns-517.awsdns-00.net",,,,,
,kadinlarietkile.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",NOERROR,,,,,,,,,
,kcc.ad.nl,92.52.83.86,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,kortingscodes.ad.nl,"13.32.208.51, 13.32.208.95, 13.32.208.85, 13.32.208.81",,ad.gsgwls.com,"ns-2035.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
,krant.ad.nl,"46.30.126.156, 46.30.126.147",,e-pages.pub,"ns1.dlx.dk, ks.dlx.dk",NOERROR,v=spf1 include:_spf.mail.dlx.dk ?all,,mail.dlx.dk,"ns1.dlx.dk, ns2.dlx.dk",,,,,
,landingpage.ad.nl,"95.101.111.168, 95.101.111.161","2a02:26f0:480:23::1726:6296, 2a02:26f0:480:23::1726:62ab","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,lezersservice.ad.nl,213.171.132.133,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,listserv.ad.nl,209.119.0.107,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,live.ad.nl,23.11.206.25,"2a02:26f0:7100::210:143, 2a02:26f0:7100::210:112, 2a02:26f0:7100::210:113, 2a02:26f0:7100::210:129, 2a02:26f0:7100::210:12b","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,local.kcc.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,local.webwinkel.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,login2.ad.nl,2.21.79.11,"2a02:26f0:7100::210:111, 2a02:26f0:7100::210:149","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,logupload.nl-centralafrica.deezer.com,208.91.197.27,,,"ns1327.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,"ns1327.ztomy.com, ns2327.ztomy.com",,,,,ns1327.ztomy.com
,lon3-productuser-readonly1.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com",NOERROR,,,,"dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net, dns104.comcast.net",,,,,
,m.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,m5-iad.nl-centralafrica.deezer.com,208.91.197.27,,,"ns1327.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,"ns2327.ztomy.com, ns1327.ztomy.com",,,,,ns1327.ztomy.com
,magiclink.ad.nl,,,d3j4h7m751u6hv.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
,mail.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"google-site-verification=97wJEgvKb0mLges12t5E5aoOsUNEXq6LpIp1-LMBQkw, v=spf1 include:spf.persgroep-ops.net -all",,mx-msg.persgroep-ops.net,,,,,,
,mailagent.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,marketingactie.ad.nl,"62.115.252.42, 62.115.252.57","2001:2030:0:4e::50ef:964b, 2001:2030:0:4e::50ef:9632","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,midway-kibana-readonly.corp.amazon.com,,,,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,
,mijn.ad.nl,2.21.79.11,"2a02:26f0:7100::210:111, 2a02:26f0:7100::210:149","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,mijnomgeving-acc.ad.nl,"2.16.187.114, 2.16.187.57","2a02:26f0:3100::1725:e26b, 2a02:26f0:3100::1725:e259","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,mobileapi-acc.ad.nl,23.11.206.25,"2a02:26f0:7100::210:129, 2a02:26f0:7100::210:109, 2a02:26f0:7100::210:112, 2a02:26f0:7100::210:113, 2a02:26f0:7100::210:121","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,mobileapi.ad.nl,23.11.206.25,"2a02:26f0:7100::210:122, 2a02:26f0:7100::210:129, 2a02:26f0:7100::210:12b, 2a02:26f0:7100::210:113, 2a02:26f0:7100::210:121","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,mobilemoneyreadonly.mtn.co.ug,212.88.125.23,,,"demon.mtn.co.ug, bakaras.mtn.co.ug",NOERROR,,,,,,,,,
,mooisteshirt.ad.nl,93.119.11.64,,vps05.tdebv.nl,"ns-2003.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,mtc.ad.nl,217.198.201.210,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,myaccount.ad.nl,23.11.206.34,"2a02:26f0:7100::210:108, 2a02:26f0:7100::210:11a","myaccnt.dpp.edgekey.net, e15454.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,new.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,nieuw-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,nieuw.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,opzeggen.ad.nl,"23.213.161.209, 23.213.161.210","2a02:26f0:3500:14::1724:a253, 2a02:26f0:3500:14::1724:a245","ret.tapp.dpgmedia.cloud.edgekey.net, e123828.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,partnercontent.ad.nl,83.96.170.79,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,pexi.ad.nl,,,,,NOERROR,,,,,,,,,
,pmail.ad.nl,212.6.132.213,,,"ns0.isprit2.de, hostmaster.xq11.com",NOERROR,v=spf1 include:_spf.xqueue.com ~all,,mta.pf.xqueue.de,"ns0.isprit2.de, ns1.isprit2.de",,,,,
,preprod.ad.nl,145.222.140.37,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,prikwijzer.ad.nl,,,dpg-priktest.lwprod.nl,"ns-1479.awsdns-56.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,prodetskiysad.nl-centralafrica.deezer.com,208.91.197.27,,,"ns1327.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,,,,,ns1327.ztomy.com
,profcoach.ad.nl,"5.22.145.121, 5.22.145.16","2a00:18e0:5:2:7577:4e4d:413b:f507, 2a00:18e0:5:3:dfe2:c743:85aa:61bc",ad.profcoach.nl,"ns1.brandshelter.com, tech.brandshelter.com",NOERROR,,,,,,,,,
,readonly.statuswww.tours.accountkit.com,157.240.195.17,2a03:2880:f042:12:face:b00c:0:2,star.c10r.facebook.com,"a.ns.c10r.facebook.com, dns.facebook.com",NOERROR,,,smtpin.vvv.facebook.com,,,,,,
,redirectupload.nl-centralafrica.deezer.com,208.91.197.27,,,"ns1327.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,"ns2327.ztomy.com, ns1327.ztomy.com",,,,,ns1327.ztomy.com
,rondemaster.ad.nl,146.185.54.230,,www5515.persgroep.be,,NOERROR,,,,,,,,,
,s-nieuw-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s0-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s0.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s1-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s1.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s2-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s2-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s2.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s3-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s3-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s3.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s4-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,s55958824.ad.nl,54.144.128.85,,,,NOERROR,,,,,,,,,
,scripts.ad.nl,145.222.41.95,,services.ad.nl,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,services.ad.nl,145.222.41.95,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,shop.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,social.ad.nl,"52.212.156.205, 52.17.82.217, 54.229.120.124, 52.30.9.119, 52.19.57.181, 52.17.121.244, 52.31.157.92, 52.49.16.186",,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com","ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com, dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,sportquiz.ad.nl,37.97.194.107,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,sprint.ad.nl,87.250.136.71,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,st13-dm-trailer-readonly-vip.apple.com,17.173.176.15,,,"usmsc2-extxfr-001.dns.apple.com, hostmaster.apple.com",NOERROR,,,,,,,,,
,st13-dm-trailer-readonly-vip.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",NOERROR,,,,,,,,,
,statics-acc.ad.nl,"92.123.189.41, 92.123.189.33","2a02:26f0:d8::1740:c30, 2a02:26f0:d8::1740:c33","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,statics.ad.nl,"95.101.74.150, 95.101.74.139","2a02:26f0:c900:9::5f65:4a8b, 2a02:26f0:c900:9::5f65:4a96","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,stats.ad.nl,145.222.41.92,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,stories.ad.nl,"18.66.147.94, 18.66.147.104, 18.66.147.45, 18.66.147.85","2600:9000:225e:b200:13:be2c:1980:93a1, 2600:9000:225e:0:13:be2c:1980:93a1, 2600:9000:225e:1400:13:be2c:1980:93a1, 2600:9000:225e:1c00:13:be2c:1980:93a1, 2600:9000:225e:3e00:13:be2c:1980:93a1, 2600:9000:225e:7400:13:be2c:1980:93a1, 2600:9000:225e:9600:13:be2c:1980:93a1, 2600:9000:225e:a800:13:be2c:1980:93a1",d2tjzpfriw51t2.cloudfront.net,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-104.awsdns-13.com, ns-682.awsdns-21.net, ns-1163.awsdns-17.org, ns-1904.awsdns-46.co.uk",True,cloudfront,,,
,story.ad.nl,"95.101.74.160, 95.101.74.157","2a02:26f0:c900:9::5f65:4a9d, 2a02:26f0:c900:9::5f65:4aa0","persgroep-be.dpp.edgekey.net, e11917.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,t.ad.nl,"2.16.107.8, 2.16.107.26","2a02:26f0:6c00::210:ba11, 2a02:26f0:6c00::210:ba20","dpgm-sst.edgesuite.net, a1475.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,teammaster.ad.nl,146.185.54.230,,www5515.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,test-kcc.ad.nl,212.121.96.52,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,test-webshop.ad.nl,212.121.96.52,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,test-webwinkel.ad.nl,212.121.96.52,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,toonvandriel.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,track-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,track-nieuw-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,track-nieuw.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,track-nieuwdemo.ad.nl,104.122.38.230,"2a02:26f0:4300:285::2275, 2a02:26f0:4300:283::2275","ssl-nl.persgroep.edgekey.net, e8821.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,track-test.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,track.ad.nl,0.0.0.0,::,,"fake-for-negative-caching.adguard.com, hostmaster.track.ad.nl",NOERROR,,,,,,,True,0.0.0.0,
,tradenl.ing.nl,145.221.176.225,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,v=spf1 -all,,,,,,,,
,tv.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,unsubscribe.ad.nl,"2.16.187.154, 2.16.187.9","2a02:26f0:3100::1735:2b63, 2a02:26f0:3100::1725:e272","prod.unsubscribe.tapp.dpgmedia.cloud, unsubscribe.tapp.dpgmedia.cloud.edgekey.net, e72151.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,upload-nl.affiliate.resellerclub.com,0.0.0.0,::,,"fake-for-negative-caching.adguard.com, hostmaster.upload-nl.affiliate.resellerclub.com",NOERROR,,,,,True,cloudflare,True,0.0.0.0,
,upload-nl.api.zynga.com,"34.215.10.7, 35.160.236.14, 50.112.179.161, 35.166.157.240, 35.164.99.50, 54.212.161.248, 54.184.166.152, 52.10.99.60, 205.251.192.200, 205.251.199.1",,api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-527.awsdns-01.net, ns-1454.awsdns-53.org, ns-1793.awsdns-32.co.uk, ns-200.awsdns-25.com",,,,,
,upload-nl.assessments.indeed.tech,"10.116.163.141, 10.116.99.124, 10.116.32.79",,,"ns-1352.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.116.163.141, 10.116.99.124, 10.116.32.79",
,upload-nl.dev.arrival.co,80.249.187.147,,,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,upload-nl.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,upload-nl.media.muslimpro.com,142.250.185.179,2a00:1450:4001:811::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,upload-nl.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",NOERROR,,,,,,,,,
,upload-nl.ppmail4.paddypower.com,81.92.115.142,,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,"v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all, spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all",,"smtp2.emv2.com, smtp1.emv2.com","c.ns.emailvision.net, a.ns.emailvision.net, d.ns.emailvision.net, b.ns.emailvision.net",,,,,
,upload-nl.prod.sqills.com,84.241.158.135,,ext-135.vdc.sqills.com,"ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,upload-nl.sg-dev.seek.com,"104.18.1.110, 104.18.0.110","2606:4700::6812:6e, 2606:4700::6812:16e",wildcard.sg-dev.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,upload-nl.shopmanager.rakuten.com,209.67.181.142,,,,NOERROR,,,,,,,,,
,upload-nl.stage.twilio.com,"13.32.99.111, 13.32.99.99, 13.32.99.92, 13.32.99.43",,dvksptar9cd7z.cloudfront.net,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1221.awsdns-24.org, ns-1903.awsdns-45.co.uk, ns-616.awsdns-13.net, ns-111.awsdns-13.com",True,cloudfront,,,
,upload-nl.stage2.bitdiscovery.com,"18.204.193.99, 52.22.131.127",,379d40d7-bd-bdingresspubli-a24d-1970181518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,upload-nl.staging-my.mtn.com,20.87.205.64,,,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,
,upload-nl.staging.speakap.io,85.17.245.53,,,"ns-1318.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,upload-nl.test.sketch.com,"34.206.190.65, 34.199.58.92, 34.225.184.154",,"lb-public.non-prod.sketch.com, public-lb.non-prod.sketch.com","ns-1695.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,upload-nl.test.sqills.com,84.241.158.137,,ext-137.vdc.sqills.com,"ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,upload-nl.testing.pinterest.com,23.56.8.211,,"www.pinterest.com, www-pinterest-com.gslb.pinterest.com, 2-01-37d2-0018.cdx.cedexis.net, www.pinterest.com.edgekey.net, e6449.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,True,fastly,,,
,valley.ad.nl,"2.16.186.154, 2.16.186.211","2a02:26f0:6c00::210:bb19, 2a02:26f0:6c00::210:bb08","dpgm-broadcasting-etls.edgekey.net, e27717.dscd.akamaiedge.net","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,verkiezingen.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,verzekeringen.ad.nl,31.7.6.47,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,verzekeringssite.ad.nl,20.50.2.47,,"www.verzekeringssite.nl, app-we-pw-pwnl-redirect.azurewebsites.net, waws-prod-am2-419.sip.azurewebsites.windows.net, waws-prod-am2-419-897a.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,True,azure,,,
,video.ad.nl,"23.53.42.170, 23.53.42.163","2a02:26f0:1700:5::5f65:1b78, 2a02:26f0:1700:5::5f65:1b46","video.dpp.edgekey.net, e12268.dscksd.akamaiedge.net","n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,vodafoon.ad.nl,145.222.140.38,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,voordeel.ad.nl,"2.16.187.57, 2.16.187.114","2a02:26f0:3100::1725:e26b, 2a02:26f0:3100::1725:e259","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,web.ad.nl,"185.136.65.7, 185.136.65.6, 185.136.64.7, 185.136.64.6, 185.136.64.11, 185.136.65.11, 185.136.64.10, 185.136.65.10",,web.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,,"quovadisglobal.com, mailto:abuse@flowmailer.com, sectigo.com, entrust.net, digicert.com, letsencrypt.org",return.flowmailer.net,,,,,,
,webservices.ad.nl,145.222.41.96,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,webshop.ad.nl,"23.53.43.81, 23.53.43.25","2a02:26f0:7100::210:170, 2a02:26f0:7100::210:179",webshopredirect.ad.nl,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,webshopredirect.ad.nl,"2.16.187.67, 2.16.187.154","2a02:26f0:3100::1725:e253, 2a02:26f0:3100::1735:2b71",,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,webwinkel.ad.nl,"95.101.111.168, 95.101.111.161","2a02:26f0:480:23::1726:6296, 2a02:26f0:480:23::1726:62ab","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,wedstrijd.ad.nl,"178.33.129.44, 51.77.37.192, 51.89.19.54, 178.32.47.207",,"player.qualifio.com, varnish.qualifio.com","ns1.gandi.net, hostmaster.gandi.net",NOERROR,,"globalsign.com, letsencrypt.org, digicert.com",,,,,,,
,weer.ad.nl,"104.18.23.132, 104.18.22.132","2606:4700::6812:1684, 2606:4700::6812:1784",www.weeronline.nl,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,ydeLGFbGB4EgZCTtBQSbG6,,,,True,cloudflare,,,
,weer.www.ad.nl,"104.18.22.132, 104.18.23.132","2606:4700::6812:1784, 2606:4700::6812:1684",www.weeronline.nl,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,ydeLGFbGB4EgZCTtBQSbG6,,,,True,cloudflare,,,
,welkom.ad.nl,"95.101.74.139, 95.101.74.150","2a02:26f0:c900:9::5f65:4a96, 2a02:26f0:c900:9::5f65:4a8b","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,welkom.staging.ad.nl,"23.53.43.56, 23.53.43.25","2a02:26f0:7100::210:119, 2a02:26f0:7100::210:138","persgroep-nl.dpp.edgekey.net, e15426.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,wijzigen.ad.nl,"95.101.111.184, 95.101.111.148","2a02:26f0:480:23::1726:62a8, 2a02:26f0:480:23::1726:62aa","ret.tapp.dpgmedia.cloud.edgekey.net, e123828.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,winkel.ad.nl,"23.213.161.226, 23.213.161.222","2a02:26f0:3500:14::1724:a258, 2a02:26f0:3500:14::1724:a246","adr.dpp.edgekey.net, e15439.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,www.abonnementen.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,www.ad.nl,"23.222.79.178, 23.222.79.177","2600:1408:7400::17de:4fb1, 2600:1408:7400::17de:4fb2","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
