input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,tls_self_signed,tls_expired,csp_domains_,final_url
checkout-frontend-acc.bcc.nl,Bestellen,200,9881,checkout-frontend-acc.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-03-26T00:00:00Z,2022-04-26T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Schiphol-Rijk, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,36a0b3e0823aaa41a9b1f57721a62bd4,21b02a68e118a9bbf8ad53bc4d9688f84f5cdad96a4c7ccf04e455a74b455572,ctls,checkout-frontend-acc.bcc.nl,443,https://checkout-frontend-acc.bcc.nl:443,https,Microsoft-IIS/10.0,text/html,GET,40.68.214.185,/,-786046166,40.68.214.185,Windows Server,88,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,True,,
checkout-frontend-test.bcc.nl,Bestellen,200,9926,checkout-frontend-test.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-03-30T00:00:00Z,2023-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Schiphol-Rijk, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,fee2db67588b62173c08f1025a6ac50e,4b27558147dc2ad4a982a8c301820ff6f15342ac4f0ccef36735a569694f5644,ctls,checkout-frontend-test.bcc.nl,443,https://checkout-frontend-test.bcc.nl:443,https,Microsoft-IIS/10.0,text/html,GET,52.233.155.168,/,-786046166,52.233.155.168,Windows Server,88,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,True,,
checkout-frontend.bcc.nl,Bestellen,200,9853,checkout-frontend.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,checkout-frontend.bcc.nl,443,https://checkout-frontend.bcc.nl:443,https,Microsoft-IIS/10.0,text/html,GET,52.174.181.178,/,-786046166,52.174.181.178,Windows Server,88,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,,,
checkout.bcc.nl,Microsoft Azure Web App - Error 404,404,2667,checkout.bcc.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,checkout.bcc.nl,443,https://checkout.bcc.nl:443,https,,text/html,GET,20.101.201.207,/,387302845,20.101.201.207,,87,False,BCC (Elektro-Speciaalzaken) B.V.,True,,,,,,,
checkout2-staging.bcc.nl,Web App - Unavailable,403,1892,checkout2-staging.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,checkout2-staging.bcc.nl,443,https://checkout2-staging.bcc.nl:443,https,,text/html,GET,52.174.181.178,/,-237335256,52.174.181.178,,74,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,,,
checkout2-test.bcc.nl,Swagger UI,200,4918,checkout2-test.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-03-30T00:00:00Z,2023-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Schiphol-Rijk, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,fee2db67588b62173c08f1025a6ac50e,4b27558147dc2ad4a982a8c301820ff6f15342ac4f0ccef36735a569694f5644,ctls,checkout2-test.bcc.nl,443,https://checkout2-test.bcc.nl:443,https,Microsoft-IIS/10.0,text/html,GET,52.233.155.168,/,-1840324437,52.233.155.168,Windows Server,118,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,True,,https://checkout2-test.bcc.nl/swagger/index.html
checkout2.bcc.nl,Swagger UI,200,6480,checkout2.bcc.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,checkout2.bcc.nl,443,https://checkout2.bcc.nl:443,https,Microsoft-IIS/10.0,text/html,GET,20.101.202.144,/,-1840324437,20.101.202.144,Windows Server,119,False,BCC (Elektro-Speciaalzaken) B.V.,True,,,,,,,https://checkout2.bcc.nl/swagger/index.html
client.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://client.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
cms1.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://cms1.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
code.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://code.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.241,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
compute.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://compute.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
core.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://core.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.22,Vercel,4,False,,,,,,,,,
corp.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://corp.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.123,/,1307429962,76.76.21.93,Vercel,4,False,,,,,,,,,
customers-test.bcc.nl,Sign in to your account,200,204913,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://customers-test.bcc.nl:443,https,,text/html,GET,40.118.100.127,/,-1840324437,40.118.100.127,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=eae60fef-be3c-4704-bf02-f2b2b1cd58b0&redirect_uri=https%3A%2F%2Fcustomers-test.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396273114541.ZWZkNmY2ZDQtMjNiNC00ZDI4LTg3OTItMjkzMmIyNzEzNWU1MGQ1YzI2ODMtZGEwMi00M2RhLWI3MjgtZWRiNTBmOTc2YThh&state=CfDJ8GicRW5MmXdMj1G70RPYdEJKVoErU7lL12MsJrCDR8IKD9J7kCxyt0VdOpD6Oc_opCCtuQlwV1gcriL0JscWo93-CT0WSO_9-VPBCr9op4GocHOV_uVtrQ6K9ovtX0csJ9lQGJgaFkInGM4R_8MXDwlgkcm_f-BIdremWSgejxxQrI-92-et7UIGBqGdvQjr9wnqz7_Rg0e7YhM0WPA0D-yXofpXUvxHGSqdg9dM4bq_aka9ND4xvxf8H2El1udlbNGuwvoXCYEmADDwZsJk1d1thIVVt30aJMq2u8pVXhz9A8VBAxGiyEF0ab74fBOjWA&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
customers.bcc.nl,Sign in to your account,200,206948,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://customers.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=8867819b-bf13-41f7-84cb-b6554e83050f&redirect_uri=https%3A%2F%2Fcustomers.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396271366170.YmVhZjBiZWUtZmIyNy00NzUxLThjZDUtNWMyZmQ4ZDI4ZTRlYjA5M2IxMGMtNjhiMi00OTkyLTg1ZDMtMTQxNjc4YmQ0NjJm&state=CfDJ8HaszPtzi9JInIBR6W2jjpshzydWe0sgRQ38psK2GOR3aRP1Z2lDZQXHuTLdWy6lcETjUEw1Kb9kOSf3DMdA8yjTi7d0BpH3UmyQXibUpqYdbRLkx18pDf2U-v-HscbM62w05LEVMpfN_juXS1rTMf5fS32XP4lE5qLxAC-2CoYIMvtxhGHuWBO9D993cMBwk-L-YXszATdG68x3GlprrZ1KZUnR-mCqFQsO-EoNwOoFMF5vxKftPNrC-KMsF9QwJ-HSh5qVt-VtvmDyL7rtWaY0JhK4BZ-P0Q6rtEr8rNp7D_kzonEgJkw6rj8Q_qEnyw&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
dashboard.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://dashboard.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.9,Vercel,4,False,,,,,,,,,
db.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://db.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.22,Vercel,4,False,,,,,,,,,
dcgm.bcc.nl,Sign in to your account,200,208413,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://dcgm.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=29206335-1421-4004-b63c-79acc2167c1c&redirect_uri=https%3A%2F%2Fdcgm.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396270405490.N2ZlNTBiODUtMTMwNy00MzkyLWEzZTQtNTBiNDllMmEyYWYyYjhlZjVhZDktZTM0Ni00NWM1LTk3M2YtNGRkZmM2ODJiMTk0&state=CfDJ8AkQFglvTMdOtWpDTzYN7eC60vGd4a4n1VgQv6nvqkB3Bp_OIYV5y6JpuRlZEpa2s-RSNDetbU3sObErN2aSO4_ttFgjLt7Bor-3ZJI6s2dd6c97SuMc5dyVkhyWZhdYnR7IChcQwNyegvOuj-S1WLA_oNJqhKoyhrk89M__CpiStaKAr0HQy-dreu2K4kUFPBmzOyalZOKxCnfdlfa5ET_tkN-BIaCi9nLu7PW4rgsQ_Pl7-L7mkraDXlpVSaLMjBKX2kPV8yHmV3QVBThc35tAYKImy0q8yPh7E9oUwMFS&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
delivery-acc.bcc.nl,Sign in to your account,200,204890,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://delivery-acc.bcc.nl:443,https,,text/html,GET,52.166.119.99,/,-1840324437,52.166.119.99,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=27d7eede-8441-46f9-860a-d132b04d1d18&redirect_uri=https%3A%2F%2Fdelivery-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272210527.MDk5ZmEwZTYtMjliZC00YjA2LTg1YWMtMjcxNWQ3NzUxMmM2Y2Q5MjkxOWMtN2JhMC00OTdmLThhYWEtOTY4MTllOThhM2Jl&state=CfDJ8IVZrp6HcK9Km6L2-vjBagQtDUS90YWCBzPho7lCesZ2alASc7dYr8FSnnUIXFBX9iYBY5zJRJgMJ3xSYPan_bmxJUCQvk5CSxUX064URUFGIsMHp2elz5RmTjIxxh2Ij4v_cEFSsU_OW2IRdAr4EdnmrSwCC3CebOZ5dhoe972cia4VegaZO2BepCp-3gULCbamwlVUyrCjfteXNU_6RnknE3kRfGvsCH3c3sj8mW85SHszJv-XPu7441W8n8QyrAMiJ9H9TNIBMPaX9fHW1Eg_pwU6bmCbg92vgRAlks5hw6VrG32wn8M8UrBpMyE-jA&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
delivery-test.bcc.nl,Sign in to your account,200,204937,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://delivery-test.bcc.nl:443,https,,text/html,GET,40.118.100.127,/,-1840324437,40.118.100.127,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=a25e1939-5d71-4338-a7c9-f63a68dd14f8&redirect_uri=https%3A%2F%2Fdelivery-test.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272198329.ZGY2ZDE4YjMtY2UyOS00MWIxLTlkZWMtOTAwYmU2NGFiOGEyMTViZGQ0ODQtNjgxZS00OWEwLWFlOTUtNDk5MWUyNjZlN2Q2&state=CfDJ8IOC_vgCLe5MqkhPktXiRZBEkMGE2LZA7l6WV_eKuqIdkb4_VSg5RsKhqi3LS9_lkwf3iIy701oqtlfqZIBjHQVAgfLYyfEdWM-nIbjzhJ5FxuyD8NY54fJXn175ZU3gl9cVxQKDJbGKMy74MMlyGG0fMOleNFJIUJ0o1I6qKMLyFadnEqC6WPu4xYZbdZ1ayUG4l7rCUg77xyrHa6_if0j_WiRcuoOnE7uZ7XvC4hk4UYwf6lrcMH7rijr9_YDPZxAHGkGvDnDicYpNDhyyO5x9g4i4wNkmgvWBFJpKLcrUnYXJHbHfCuJg5nv82PLwfg&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
delivery.bcc.nl,Sign in to your account,200,204797,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://delivery.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=9130e847-07c4-4d7f-99fa-4c69dec51665&redirect_uri=https%3A%2F%2Fdelivery.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272099645.NjA5MDNmZjctZmQxMi00N2E4LTgwOTYtZWZhYTdhMmU0OWU3MjFkZjJkNjItYjk1ZS00NzkwLTkwYzgtMDZjZThjYmEyNDFl&state=CfDJ8EkwVQr54VpPkD50UtoQMKlftKJNbqyPqRevEtwqAO05xan4AuaJjC2UrFIVFN0bo4t5jqeljA0JCLIYD4n6X6JiyBKQCb06HgOgrVALSZPZl10uqpEKHzGrNs-p9O9Y36z71UkcwaEZAOrvYriTbITpHrz3BJDsCamKCFT0gzvDDBFW9VslGYwQ4baZ1kp7rS3ne1I2JaRXsUOpp3j8SsMq5rX0pYBM-7G7Ni4x3Lq5qOFdPzC_Ojzis7lMhQwfi70e4EyYIbfFyVYR8ZQaPoueJyJe1PHcQG_9fVU2bMd6Rs8roArjTffrVE8RLDNW3w&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
dev-images.bcc.nl,,400,207,dev-images.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-23T16:18:29Z,2024-03-23T16:18:29Z,CN=*.blob.core.windows.net,*.blob.core.windows.net,*.z50.blob.storage.azure.net,"CN=Microsoft RSA TLS CA 01, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 01,Microsoft Corporation,d503ff92c069250e662ebc1809f244cb,76d4ca2816c372c06a7fca45a6a22fbb826f5e9226ca4e9bb3d200008afc1a95,ctls,dev-images.bcc.nl,443,https://dev-images.bcc.nl:443,https,Windows-Azure-Blob/1.0 Microsoft-HTTPAPI/2.0,application/xml,GET,20.60.7.132,/,-584793008,20.60.7.132,Microsoft HTTPAPI:2.0,4,False,,True,True,azure,True,,,,
dev.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://dev.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.98,Vercel,4,False,,,,,,,,,
developers.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://developers.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.164,Vercel,4,False,,,,,,,,,
dhl.bcc.nl,Sign in to your account,200,209027,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://dhl.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=f9d73214-f999-450a-9140-8a629f599ab3&redirect_uri=https%3A%2F%2Fdhl.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396270946961.YWVmZWE0MDEtYzMzNi00ZDFkLWEzYjQtNDRjOWMxNWE2NGU5NzdmMDRkMzQtMTI4MC00Mjk4LTg1YzItMzc0NDhmMTFkNzdj&state=CfDJ8I4vmmyLWx5IiIduPBQqml9oP18R9VCTOtj3jW6R6I61-Dtfn4FR-7IxCmOGjLXS-6o-rD3xxEtkpOabEnyMXq77X4bDX_dq20Dhd51W-vOabfASvw61fKy6bH4IydiMIbfPZd-56l6zgkBhbqIusY68d6b6omgQ0WzL9q5gy9ODCLZYYKee2-ksZ1RKuh0tNU1IXahIEerLAKUxd7wGZ9d4ihUPm5CGA5G1wn5-X80XOeNvt2Etpceu1OwgP09IHsTCJR28wUxyAdhoqPVY7xHg840RWvMiYCq4siZnZm3f&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
discounts-acc.bcc.nl,Sign in to your account,200,204977,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://discounts-acc.bcc.nl:443,https,,text/html,GET,52.166.119.99,/,-1840324437,52.166.119.99,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=4852337e-546a-4373-93fc-65202f305714&redirect_uri=https%3A%2F%2Fdiscounts-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396270897452.Y2EyMzNhNjctNjFlNS00YmNlLWFiYzUtOWJiNzMzOWQ2YTY5Yzk2ZDc3NjYtOWMxMC00Mjc1LTliMWUtZWM5ZDYyOWQxMDZm&state=CfDJ8LGX14o-soFJkldEIClvRVfjxnEkMVZKFvolhgYxmuSMfmrul4ZAIwdmgE_00Ch3vMS7ffQyzJdipnBNTd4_Bv4LSfUqhjf9K_YMPZP7fNHbEQ0YWO0mSb6HfJschSivQB3FmNYazQz2NazOKXaC4kTtjH9wPqImG9NqmhOd5m4DfWcCN9ton-lQ_IbAwvGw91biP0TGaAQZwi6lOHyXNfDtNMBZ2JwwPz3fKDWw8VPTnzYSOOqfoXBtsqVRmO51pUx6_8v8g0JEFT77ntHrGoKJfK_z5m8oOkcTDo3d6FscIfPkosDnrit1wVGMFSoSFg&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
