input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_expired,webserver,tech_,tls_subject_org_,csp_domains_,final_url
synking.vng.nl,Sign in to your account,200,40993,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,azure,443,https://synking.vng.nl:443,https,text/html,GET,20.52.182.15,/,1458995293,20.52.182.15,95,False,True,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=e5c5e419-b201-4b79-8f9b-13936c6daa42&scope=openid&nonce=391a9f3f-f1c4-4776-bc8a-fa2216c95689&redirect_uri=https%3a%2f%2fsynking.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsynking.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%2227718727-f1e2-4989-8c45-c992ed42357d%22%7d%23EndOfStateParam%23&client-request-id=27718727-f1e2-4989-8c45-c992ed42357d
synthalg.vng.nl,Sign in to your account,200,40796,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,azure,443,https://synthalg.vng.nl:443,https,text/html,GET,20.52.182.15,/,-138354727,20.52.182.15,95,False,True,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=6259c670-38f7-4cb4-ad22-bd6ff0773c74&scope=openid&nonce=acfdc3d9-405b-4c0a-9c34-d0a1e714ff81&redirect_uri=https%3a%2f%2fsynthalg.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsynthalg.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22f1d908a4-a7f5-4ad2-a3d6-880354ea229a%22%7d%23EndOfStateParam%23&client-request-id=f1d908a4-a7f5-4ad2-a3d6-880354ea229a
synvng.vng.nl,Sign in to your account,200,40889,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,azure,443,https://synvng.vng.nl:443,https,text/html,GET,20.52.182.15,/,-1077322862,20.52.182.15,95,False,True,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=6bef898c-b873-474d-9a5f-28c232882e12&scope=openid&nonce=b1feb62b-86b3-4835-ae2c-2a65253e9b19&redirect_uri=https%3a%2f%2fsynvng.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsynvng.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22fe02d9f7-e696-486c-aaa2-386db9724c92%22%7d%23EndOfStateParam%23&client-request-id=fe02d9f7-e696-486c-aaa2-386db9724c92
synvngv.vng.nl,Sign in to your account,200,40955,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,azure,443,https://synvngv.vng.nl:443,https,text/html,GET,20.52.182.15,/,-610436739,20.52.182.15,95,False,True,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/oauth2/authorize?response_type=code&client_id=0b3b135e-e708-44bd-9af3-5378447d1f05&scope=openid&nonce=21441930-79c5-4a5d-9ab0-3104a6c4635a&redirect_uri=https%3a%2f%2fsynvngv.vng.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fsynvngv.vng.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22dce3fb91-b780-486a-94c9-7f365728f636%22%7d%23EndOfStateParam%23&client-request-id=dce3fb91-b780-486a-94c9-7f365728f636
tracking.vng.nl,Page Not Found,404,1357,tracking.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-14T09:10:40Z,2023-09-12T09:10:39Z,CN=tracking.vng.nl,tracking.vng.nl,tracking.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e7a740ff214a675eb5723f5f2c0a0f3b,49c039d9ae64d2d0330355d2804b14cb2e2e78c1753046c217c3704c5b463bdf,,ctls,tracking.vng.nl,,443,https://tracking.vng.nl:443,https,text/html,GET,212.7.207.84,/,1513305069,212.7.207.84,43,False,,,Apache,Apache,,,
veiligdelen.vng.nl,SmartLockr,200,1138,veiligdelen.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2024-04-06T23:59:59Z,"CN=veiligdelen.vng.nl, O=Vereniging van Nederlandse Gemeenten, ST=Zuid-Holland, C=NL",veiligdelen.vng.nl,veiligdelen.vng.nl,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cc18c67f82cf9f9db2d835f173eefc2b,b3e480b8468c7abb7bfab9faea9b917de9699e2a6dbaf959b786160eff4cf2dd,,ctls,veiligdelen.vng.nl,azure,443,https://veiligdelen.vng.nl:443,https,text/html,GET,104.214.231.110,/,1772087922,104.214.231.110,18,False,True,,,HSTS,Vereniging van Nederlandse Gemeenten,,
vng.nl,VNG | Vereniging van Nederlandse Gemeenten,200,159966,vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-12T14:12:13Z,2024-08-12T14:12:12Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f8812b470804411ab8bb389ded017a55,00a80f47ac28498113a2641ba897102f98b2e0476469faf7b8baa0c099b5336b,True,ctls,vng.nl,,443,https://vng.nl:443,https,text/html,GET,185.135.12.253,/,-1465500344,2a06:efc0:3::253:0,1303,False,,,nginx,PHP,Vereniging van Nederlandse Gemeenten,,
vpn1.vng.nl,,200,170,vpn1.vng.nl,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2021-07-01T14:52:12Z,2022-08-02T14:52:12Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6fed327de2d0207354aeb1a2e82ff55d,bbe3458a1f44ff2e1a99c5402b2ba0b6f8908c3fd681eee79b833f78b09754eb,True,ctls,vpn1.vng.nl,,443,https://vpn1.vng.nl:443,https,text/html,GET,185.12.120.113,/,593259606,185.12.120.113,4,False,,True,,HSTS,Vereniging van Nederlandse Gemeenten,,
werkplek.vng.nl,,200,6346,werkplek.vng.nl,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,werkplek.vng.nl,,443,https://werkplek.vng.nl:443,https,text/html,GET,185.12.122.145,/,12023395,185.12.122.145,1,False,,,,,Vereniging van Nederlandse Gemeenten,,https://werkplek.vng.nl/vpn/index.html
wijkpaspoort.vng.nl,Wijkpaspoort,200,13290,wijkpaspoort.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-08T11:53:39Z,2023-09-06T11:53:38Z,CN=wijkpaspoort.vng.nl,wijkpaspoort.vng.nl,wijkpaspoort.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d1fc4cb13c7eeac6e3d77c2b47c3fa1,4287fc96f3ff97e17a88233d50accad3535c8ac237fdd41693572a5ce805d3d9,,ctls,wijkpaspoort.vng.nl,azure,443,https://wijkpaspoort.vng.nl:443,https,text/html,GET,51.138.85.41,/,839125802,51.138.85.41,1,False,True,,nginx,Nginx,,,
will-e.vng.nl,Sign in to your account,200,38577,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,,443,https://will-e.vng.nl:443,https,text/html,GET,185.181.140.107,/,-1840324437,185.181.140.107,95,False,,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1/saml2?SAMLRequest=rZJNj9owEIbv%2BytQ7k6cZCHEAiTarbZIFNBCe%2BilmiQTsJqMU49D%2B%2FPXJN1%2BHfZU3%2ByZ90OPvGBom06te3ehJ%2FzWI7u7iT8%2F2oZYDcNl0FtSBlizImiRlSvVcf1hq5JQqs4aZ0rTBP%2FIXlcBM1qnDY2yzcMy2O%2FebfePm90XWUAxy%2BJ0XsjpDDJZlxVO5wh5niYQx%2FW9hFRmSTpKP6Fl77MMvO34crDmqiu0O5%2B6DPwcSZ81nSdXoMkO%2FaQBqhgnj9giksOXEsw9bogdkPN2MkmFnAsZn%2BJMJZmK48%2Fj3oNnpAnckHpxrmMVRY3xEWGrS2vY1M5QownD0rTRDGuZ5FCItK4ycV%2Flc5EXEkUV19Pat4FZFUc3Ysmv%2BgPQN5oq3%2Fp1jsW4xOr96XQQh%2F3xNJqsX%2Fi%2BNcR9i%2FaI9qpL%2FPi0%2Fd35u24ageGVziE1UQflVzgjR9pqHgoJHkWi%2B0k0Qqo6o8lxBCWH3aULVkPc4rauBoB29T%2FsW3RQgYNbxiL60%2F1uvP79ZVfP&RelayState=https%3A%2F%2Fwill-e.vng.nl%2F&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=ZsxIOLJwyVVEiLTaVNu7fBhXbgWMDO5NkKd%2FXWKsru4ThJLgr85bF3apWcXnbAwQ%2B8ASnyDAJSq0KESzMFaSHLAozG917RPAlVk132DheVg0FPxNRvO5pN9QM1RoRb%2FoI16nk1CgI61sP1NBiPLLrgTVB1gqKBpMP%2BTZpEYYwjXnsM8Xg4WzoDd69jDhJ1Ik9zn02HGGdTVj1gHYgmsiF6TjVkvOZ%2B5yMWKGmImvsjVpP8RSoshRbn9NRkWpva6VMk3hMROoBmZsk9PD7Kr%2BRFccI64GCFj2SVFn20gElwOFXpGqPPDFQyhw0PFXuUcdUlBsWMom9dCMnOSPVQw%2BeTGlxBY8PeqWWgz8z2x5FgZwgJL8jVpTHInxTejZYyAYEd8s3z9k3udRTskgwpNr738xL23sucxeFBolluzbj24j8FfYrOFZR83Re7pY9NrsrkZZB3%2B5KOBDYCre4xwbEkBmeFagLQFgnmWV%2FzA3Tm08yy2hrn3hdHeZQb8M5TYjUABEziyP6m9yRR%2FaEIkN5Er4A9CBdnVjERV%2Fptb%2F%2F%2BBcx8sSnkFpzMnP5LHzG4Y%2BDaOO167ivfRAG6TD0t817xGCQsGE2VpLS8hJ1ZygKqSbUpijvWALFi5gANawbWq3cQwqV%2BqgdSF1t3vmrGgfDkEb2EmiFmjAkeqQfxeNy3Q%3D
wmovoorspelmodel.vng.nl,Wmo voorspelmodel,200,64356,wmovoorspelmodel.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-09T00:00:00Z,2023-12-09T23:59:59Z,CN=wmovoorspelmodel.vng.nl,wmovoorspelmodel.vng.nl,wmovoorspelmodel.vng.nl,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",6238fd0fa4cd50e2365473eb730fd1b6,a2beade1b7bddef7bfc9b70c2e4855790c15bc49b033460b82ed71751007f41f,,ctls,wmovoorspelmodel.vng.nl,azure,443,https://wmovoorspelmodel.vng.nl:443,https,text/html,GET,20.50.2.78,/,-100620574,20.50.2.78,1429,False,True,,,Bootstrap:3.4.1,,,
www.werkenbij.vng.nl,Werken bij de VNG - Werkenbij VNG,200,55749,www.werkenbij.vng.nl,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-07-16T01:11:28Z,2023-10-14T01:11:27Z,CN=www.werkenbij.vng.nl,www.werkenbij.vng.nl,www.werkenbij.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,984cb785d6ba74650735b35abf869740,032ba3d378739ae8ef640004339923c60f329b6116021b6c74cf6ee9a9b4fb76,,ctls,www.werkenbij.vng.nl,,443,https://www.werkenbij.vng.nl:443,https,text/html,GET,185.46.183.17,/,487876476,185.46.183.17,36,False,,,,HSTS,,,
