input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_subject_org_,final_url,cdn_name,cdn,tls_expired,tls_self_signed,location
dev.mijn.surf.nl,Login | Mijn SURFmarket,200,5033,dev.mijn.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=dev.mijn.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",dev.mijn.surf.nl,shared-ws-dev.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,7c8524a3174c7ef3130c751cdc757c2f,dbb1693c60acd3fd8da06bbeb5d394c40528abe92021f2dd0310b5b1af9a04ba,,ctls,dev.mijn.surf.nl,80,http://dev.mijn.surf.nl:80,http,,text/html,GET,93.174.200.190,/,951218067,93.174.200.190,Microsoft ASP.NET,88,False,,SURF B.V.,https://dev.mijn.surf.nl/Account/Login?ReturnUrl=%2F,,,,,
e.surf.nl,"You received emails from this domain, didn't you?",200,15468,e.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-23T06:55:05Z,2023-08-21T06:55:04Z,CN=e.surf.nl,e.surf.nl,e.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bf099636584d2668cfcec3432dd2f840,dd8a2468d4799497faaf26c680d7737f56d16a0c679eb795858f334b0536d92e,,ctls,e.surf.nl,443,https://e.surf.nl:443,https,nginx,text/html,GET,185.136.65.6,/,-1812417198,185.136.64.7,Webflow,344,False,,,,,,,,
edubroker-acc.surf.nl,inteken-app,200,479,edubroker-acc.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-24T00:00:00Z,2024-05-23T23:59:59Z,"CN=edubroker-acc.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",edubroker-acc.surf.nl,*.edubroker-acc.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,b2379c0b48ba98a6fc3c9337a55bdf3a,b231a32b239f783514d2f8c6c296e2b24156b3924abc7a300970f7ac787a07e3,True,ctls,edubroker-acc.surf.nl,443,https://edubroker-acc.surf.nl:443,https,Apache,text/html,GET,145.100.181.120,/,-763653586,2001:610:0:800f:f816:3eff:fecb:fea6,HSTS,12,False,https:,SURF B.V.,,,,,,
edubroker-pilot.surf.nl,inteken-app,200,479,edubroker-pilot.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-14T00:00:00Z,2023-11-14T23:59:59Z,"CN=edubroker-pilot.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",edubroker-pilot.surf.nl,*.edubroker-pilot.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,380d6fe5234146eb323159e8a32532a5,e1560bbf3ed35409729fe8305f6cdf69c864f70a5d2d82bb5bffcfdb00208aa1,True,ctls,edubroker-pilot.surf.nl,443,https://edubroker-pilot.surf.nl:443,https,Apache,text/html,GET,145.100.178.36,/,-763653586,2001:610:188:482:145:100:178:36,HSTS,12,False,https:,SURF B.V.,,,,,,
edubroker-test.surf.nl,inteken-app,200,479,edubroker-test.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=edubroker-test.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",edubroker-test.surf.nl,*.edubroker-test.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,0c097874add6a783a7c112b9de8bf91b,b2d1b9cfc313e25079bf645dbb27268452e1248e5c2e64881c10aadf759c7742,True,ctls,edubroker-test.surf.nl,443,https://edubroker-test.surf.nl:443,https,Apache,text/html,GET,145.100.181.18,/,-763653586,2001:610:0:800f:f816:3eff:fe82:921f,HSTS,12,False,https:,SURF B.V.,,,,,,
eduxs.surf.nl,Welcome,200,99,eduxs.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-01T00:00:00Z,2023-08-06T23:59:59Z,CN=*.savviihq.com,*.savviihq.com,savviihq.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,471406aaa9615cb08be6b5e5e1b941ee,3a16d4a30925438ff2914391d73b11741ced9fe98f81c87ab9c6cefb9224c649,True,ctls,eduxs.surf.nl,443,https://eduxs.surf.nl:443,https,openresty,text/html,GET,62.221.215.122,/,-1179026472,2a0d:7980:202:1:1c00:eff:fe00:1df4,OpenResty,9,False,,,,,,,,
events.surf.nl,,404,2,events.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-19T00:00:00Z,2023-12-19T23:59:59Z,"CN=events.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",events.surf.nl,events.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,3683652054737fed14927b8cb1b61983,44829a0f4efad5f50161a8098714c7c1e2c466506cdc40b803b89cb121d1495c,,ctls,events.surf.nl,443,https://events.surf.nl:443,https,,application/json,GET,5.79.115.249,/,-1206076886,2001:1af8:4700:a1fc::42,Node.js,1,False,,SURF B.V.,,,,,,
external-ws-test.surf.nl,Not Found,404,315,external-ws-test.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=dev.mijn.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",dev.mijn.surf.nl,shared-ws-dev.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,7c8524a3174c7ef3130c751cdc757c2f,dbb1693c60acd3fd8da06bbeb5d394c40528abe92021f2dd0310b5b1af9a04ba,,ctls,external-ws-test.surf.nl,443,https://external-ws-test.surf.nl:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,93.174.200.190,/,225052475,93.174.200.190,Microsoft HTTPAPI:2.0,7,False,,SURF B.V.,,,,,,
filesender.surf.nl,SURFfilesender,200,5365,filesender.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=surffilesender.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",surffilesender.surf.nl,filesender2.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,d86250c69676c2f92f627f0f0961b57f,967412f8ee324a7b7792be3ce5ef2e53dd339b21141fcbe63f88fe0e9eecbeaa,,ctls,filesender.surf.nl,443,https://filesender.surf.nl:443,https,Apache,text/html,GET,145.101.124.6,/,-366337701,2001:610:188:f001:145:101:124:6,HSTS,124,False,*.mopinion.com,SURF B.V.,,,,,,
gateway.dev.surfeduhub.surf.nl,,404,19,gateway.dev.surfeduhub.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=gateway.dev.surfeduhub.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",gateway.dev.surfeduhub.surf.nl,gateway.dev.surfeduhub.surf.nl,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,651b17aea3eaac54a19087e6ad2d7e65,a1b4228591c90b2390773a772796868527f5abd7bdd33e947c5a1fe1514e8c9e,,ctls,gateway.dev.surfeduhub.surf.nl,443,https://gateway.dev.surfeduhub.surf.nl:443,https,,text/plain,GET,145.100.178.108,/,-138391155,2001:610:188:171:145:100:178:108,,2,False,,SURF B.V.,,,,,,
grafana.exp.sram.lab.surf.nl,,404,19,grafana.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-11T07:47:33Z,2023-09-09T07:47:32Z,CN=grafana.exp.sram.lab.surf.nl,grafana.exp.sram.lab.surf.nl,grafana.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,22b45777bff6c33abfad220034155293,3f53456b83eb249ec203450b671087616ecb5ceb26fc870559f96a65be266d53,,ctls,grafana.exp.sram.lab.surf.nl,443,https://grafana.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
grotestoring.surf.nl,grotestoring SURF,200,5707,grotestoring.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=grotestoring.surfnet.nl, O=SURF B.V., ST=Utrecht, C=NL",grotestoring.surfnet.nl,grotestoring.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,cfb3283a230065b208111601744ff2c8,d086572f5b482927be6ee04568c5c11610268b53bda60e0c091865481efbaad8,,ctls,grotestoring.surf.nl,443,https://grotestoring.surf.nl:443,https,Apache,text/html,GET,94.228.142.95,/,-1365691989,2a00:d01:ff:905:94:228:142:95,WordPress,125,False,,SURF B.V.,,,,,,
guacamole.exp.sram.lab.surf.nl,,404,19,,,,,,,,,,,,,,,,,,,,80,http://guacamole.exp.sram.lab.surf.nl:80,http,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
guard.exp.sram.lab.surf.nl,,404,19,guard.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T07:45:06Z,2023-08-17T07:45:05Z,CN=guard.exp.sram.lab.surf.nl,guard.exp.sram.lab.surf.nl,guard.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,855fb1a4076bfbd069998e089a13bdf0,e665ca843a944fec0d7fd13d859f83f131470c91b8129973df58f8bc59f4a4d3,,ctls,guard.exp.sram.lab.surf.nl,443,https://guard.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
hora-redactie.surf.nl,SURFconext - Select an account to login to Hora - SURF [Editorial environment],200,77515,engine.surfconext.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-27T00:00:00Z,2023-06-27T23:59:59Z,"CN=surfconext.nl, O=SURF B.V., ST=Utrecht, C=NL",surfconext.nl,www.surfsecureid.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,509dbbd0dc98f58346d072909f2151cf,cb363e4b71bdb7ac5edbddf1f307ddb97b9a095fef6425ad73284e35888841b0,,ctls,engine.surfconext.nl,443,https://hora-redactie.surf.nl:443,https,Apache,text/html,GET,84.22.101.57,/,-1105653612,2a02:2770:10::12c:0:4,HSTS,2150,False,,SURF B.V.,https://engine.surfconext.nl/authentication/idp/single-sign-on?SAMLRequest=lZJBj9MwEIX%2FSuS7m9TZdovVVipbISotUG27e%2BCCXGfaWjjj4Jmw5d%2FjJCwsQqrEydJ43ptvnmZOpvaNXrV8xgf41gJxdqk9ku4%2FFqKNqIMhRxpNDaTZ6t3qw71Wo0I3MXCwwYtXkusKQwSRXUCRbdYL8eVwq96o4nirynFxmMxulAJQlTG2hMNsCmDsdDw5TtTMiuwJIiXlQiSjJCdqYYPEBjmVClXKYipVsS9KXd7ocflZZOu0jUPDverM3JDOc8CTQxhRG482IFx4hD43aX9AdrZvzl3V5OTw5EGSO6HseFcv6HcBqa0h7iB%2BdxYeH%2B7%2FmD%2B7r%2B7iZRdEP6HzrkPVehg15%2BSZ6jkNr5LG0lD9jSKpEdn2V6pvHVaJ4Xqgh6GJ9Pv9fiu3n3Z7sZx39roPKC7%2Fk6wGNpVh8y%2FYPH9tOx%2Fu5mMC2qy3wTv7I3sXYm34Om9XcZU89q2ao0FyKfgUr%2Ffh%2BS6CYVgIji2IfDmM%2FPs6lz8B&RelayState=https%3A%2F%2Fhora-redactie.surf.nl%2Findex.php%3Ftitle%3DSpeciaal%3ASmartAccess%26returnto%3D%26module%3Dsaml%26action%3Dprocess,,,,,
hora1.surf.nl,HORA2 wiki,200,23756,hora.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=hora.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",hora.surf.nl,hora2.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,caf6da15aaf683abcc246e5e00a1f630,a735410d0e06d9e10ca797d98e3465fab65c660872d0da2b2816d71c71bf06da,,ctls,hora.surf.nl,443,https://hora1.surf.nl:443,https,Apache,text/html,GET,84.22.101.57,/,-1105653612,2a02:2770:10::12c:0:4,PHP,205,False,https://*.wikixl.nl,SURF B.V.,https://hora.surf.nl/index.php/Hoofdpagina,,,,,
hora2.surf.nl,HORA2 wiki,200,23756,hora.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=hora.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",hora.surf.nl,hora2.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,caf6da15aaf683abcc246e5e00a1f630,a735410d0e06d9e10ca797d98e3465fab65c660872d0da2b2816d71c71bf06da,,ctls,hora.surf.nl,443,https://hora2.surf.nl:443,https,Apache,text/html,GET,84.22.101.57,/,-1105653612,2a02:2770:10::12c:0:4,PHP,205,False,https://fonts.gstatic.com,SURF B.V.,https://hora.surf.nl/index.php/Hoofdpagina,,,,,
idp-acc.surf.nl,Redirect,302,1462,idp-acc.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=solrock.surfnet.nl, O=SURF B.V., ST=Utrecht, C=NL",solrock.surfnet.nl,idp-acc.surfnet.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,9f86214538dd5bb24a40dc794a5d39cb,f7c71ad61adb8db963282120a879489a7336923563cc4b15436f5309ea5d8417,,ctls,idp-acc.surf.nl,443,https://idp-acc.surf.nl:443,https,Apache/2.4.25 (Debian),text/html,GET,145.100.185.194,/,1942974795,2001:610:1:40cb:145:100:185:194,HSTS,15,False,URL='https://idp-acc.surf.nl/module.php/core/loginuserpass.php?AuthState=_69a447004b4dc55e1186a15a92b6318616e4ab1f4d%3Ahttps%3A%2F%2Fidp-acc.surf.nl%2Fmodule.php%2Fcore%2Fas_login.php%3FAuthId%3Dadmin%26ReturnTo%3Dhttps%253A%252F%252Fidp-acc.surf.nl%252Fmodule.php%252Fcore%252Ffrontpage_welcome.php',SURF B.V.,https://idp-acc.surf.nl/module.php/core/as_login.php?AuthId=admin&ReturnTo=https%3A%2F%2Fidp-acc.surf.nl%2Fmodule.php%2Fcore%2Ffrontpage_welcome.php,,,,,https://idp-acc.surf.nl/module.php/core/loginuserpass.php?AuthState=_69a447004b4dc55e1186a15a92b6318616e4ab1f4d%3Ahttps%3A%2F%2Fidp-acc.surf.nl%2Fmodule.php%2Fcore%2Fas_login.php%3FAuthId%3Dadmin%26ReturnTo%3Dhttps%253A%252F%252Fidp-acc.surf.nl%252Fmodule.php%252Fcore%252Ffrontpage_welcome.php
idp.surf.nl,Redirect,302,1426,idp.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-08-12T00:00:00Z,2023-08-12T23:59:59Z,"CN=groupprovider.surfnet.nl, O=SURF B.V., ST=Utrecht, C=NL",groupprovider.surfnet.nl,petrovsky.surfnet.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,04f6f87760947640856958b46a52bf44,3cbabb2d3602b56b2eccb2ca221117ebde2d8d995becc3ea1613739c87898eee,,ctls,idp.surf.nl,443,https://idp.surf.nl:443,https,Apache,text/html,GET,145.0.7.14,/,-780928015,2001:610:188:419:145:0:7:14,HSTS,15,False,URL='https://idp.surf.nl/module.php/core/loginuserpass.php?AuthState=_8177c97f65cc89b4b050d2758b142a9080f9dd8c41%3Ahttps%3A%2F%2Fidp.surf.nl%2Fmodule.php%2Fcore%2Fas_login.php%3FAuthId%3Dadmin%26ReturnTo%3Dhttps%253A%252F%252Fidp.surf.nl%252Fmodule.php%252Fcore%252Ffrontpage_welcome.php',SURF B.V.,https://idp.surf.nl/module.php/core/as_login.php?AuthId=admin&ReturnTo=https%3A%2F%2Fidp.surf.nl%2Fmodule.php%2Fcore%2Ffrontpage_welcome.php,,,,,https://idp.surf.nl/module.php/core/loginuserpass.php?AuthState=_8177c97f65cc89b4b050d2758b142a9080f9dd8c41%3Ahttps%3A%2F%2Fidp.surf.nl%2Fmodule.php%2Fcore%2Fas_login.php%3FAuthId%3Dadmin%26ReturnTo%3Dhttps%253A%252F%252Fidp.surf.nl%252Fmodule.php%252Fcore%252Ffrontpage_welcome.php
imacs.surf.nl,403 - Forbidden: Access is denied.,403,1233,imacs.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-10T00:00:00Z,2024-02-10T23:59:59Z,"CN=uitleverstraatdashboard.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",uitleverstraatdashboard.surf.nl,imacs.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,45d9e1f29de86a24e2701cc77625137d,17e588f97b69873a917503691e16f0b5838fb729622d0b3aed31f06dc09c0b25,,ctls,imacs.surf.nl,443,https://imacs.surf.nl:443,https,Microsoft-IIS/10.0,text/html,GET,145.101.113.38,/,-1129303139,145.101.113.38,Windows Server,30,False,,SURF B.V.,,,,,,
insite.surf.nl,AFAS Online - Doorsturen...,200,2436,sts.afasonline.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-05-10T09:24:29Z,2024-05-22T23:45:00Z,"CN=login.afasonline.com, O=Afas Software B.V., L=Leusden, ST=Utrecht, C=NL",login.afasonline.com,bis.afasonline.com,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,ae7497c694d4600584218bdfb2680789,fe56d8821e83b868a2fc16979499f899db72ad3e7e83165b2464585ac7abc62c,,ctls,sts.afasonline.com,443,https://insite.surf.nl:443,https,,text/html,GET,145.100.190.243,/,-1418522425,2001:610:508:108:192:87:108:15,HSTS,17,False,url=https://connect.surfconext.nl/oidc/authorize?client_id=login.afasonline.com&response_type=code&scope=openid&redirect_uri=https%3A%2F%2Fsts.afasonline.com%2Fsignin-oidc&state=Q2ZESjhDYVJ4ek9fN1ZaQmpWY3BEbi1HRDhtNExhd1RVNGxCQ1FRc3ZCOUhHelVMQ0tzVXpkYVFYVjdxb2tHSXQ2ekIzVU9EMURtZ1MzVzRDVFlEaURoTktFVWE0UGgtSl9CQ3dmR1RXZkNscHdGRXpLS1hfWWxlRmZWeUlhY0lONHktMDRmRlRpU2I0ME1WSmRYbUFZQUpxS3JObjVuTFpqYl9obkZPanBWTWNmdmJ0Vm15VVNMZ2dYVXVrbHRsOGYtanh0NDRPLXRBQUhlYUZJdWlzbnlSOVdqZkNjTzh4TUZac29maUlQMDdZcXZvYi11UlljZG9BNzYtQlp0TzlqVmNNX3lIOE5fU0stSUJnSGFfaTJ1bmFTSVhOSmx3ZU80RmdTTWVBY0RGeVpJaQ%3D%3D&nonce=6d87c0893c188ac9008694e63af6ff961024b351c49f9f3201f80863a0aebbe2&response_mode=query&ui_locales=nl,Afas Software B.V.,https://sts.afasonline.com/connect/authorize?client_id=%7BE41B0455-DD62-440C-9B5C-995B6F6B628C%7D&response_type=code%20id_token&scope=openid&redirect_uri=https%3A%2F%2F88136.afasinsite.nl%2Fstslogin&state=%2F&nonce=Pc3iU8f8SQLng0fHkEMtGxpHPWAQfSBa7oZQUoDV1lc1&response_mode=form_post&ui_locales=nl,,,,,
intranet.surf.nl,Sign in to your account,200,42091,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://intranet.surf.nl:443,https,,text/html,GET,145.100.190.243,/,1163206928,2001:610:508:108:192:87:108:15,HSTS,95,False,,Microsoft Corporation,https://login.microsoftonline.com:443/8ad04a9f-1a10-4808-9480-b8a2f8a0da14/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=E09BC4E0945047D26EF703578F26ABFAE3BE0ED290D89551%2D24E53292B3EDF85B4C89389F77F61EFD7EDB9B1A60D976989CD8CC314A1BC6E2&redirect%5Furi=https%3A%2F%2Fsurf%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=af90bea0%2D60b7%2D6000%2Dca0d%2D471ecf313bc9&popupui=1,,,,,
jaaroverzicht.surf.nl,Pagina niet (meer) beschikbaar | SURF.nl,403,128503,www.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=surfnet.nl, O=SURF B.V., ST=Utrecht, C=NL",surfnet.nl,www.surfwireless.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,fe8ced06e515f3d13a8131c37392be9d,86b6c37ffcae161d13b6e3443d8a5efa6d2dc0d2771aa2758b723d51794b6fce,,ctls,www.surf.nl,443,https://jaaroverzicht.surf.nl:443,https,nginx,text/html,GET,145.100.190.243,/,717673101,2001:610:508:108:192:87:108:15,PHP,869,False,player.vimeo.com,SURF B.V.,https://www.surf.nl/jaaroverzicht-2018,,,,,
jaaroverzicht2017.surf.nl,SURF is de ict-coöperatie van onderwijs en onderzoek | SURF.nl,200,168646,www.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=surfnet.nl, O=SURF B.V., ST=Utrecht, C=NL",surfnet.nl,www.surfwireless.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,fe8ced06e515f3d13a8131c37392be9d,86b6c37ffcae161d13b6e3443d8a5efa6d2dc0d2771aa2758b723d51794b6fce,,ctls,www.surf.nl,80,http://jaaroverzicht2017.surf.nl:80,http,nginx,text/html,GET,192.87.108.15,/,1346825478,2001:610:508:108:192:87:108:15,PHP,1774,False,www.slideshare.net,SURF B.V.,https://www.surf.nl,,,,,
jaeger.exp.sram.lab.surf.nl,,404,19,jaeger.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-11T07:48:08Z,2023-09-09T07:48:07Z,CN=jaeger.exp.sram.lab.surf.nl,jaeger.exp.sram.lab.surf.nl,jaeger.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e0ae6f7a5dde8900f9b6fbd9beae0e54,773feb5ce2e5ba7446374c057d370336359d12254b8f405c86c3a80f8de2d25a,,ctls,jaeger.exp.sram.lab.surf.nl,443,https://jaeger.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
jira.test.ia.surf.nl,Sign in to your account,200,41299,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://jira.test.ia.surf.nl:443,https,,text/html,GET,20.52.181.225,/,-1988166693,20.52.181.225,HSTS,95,False,,Microsoft Corporation,https://login.microsoftonline.com/8ad04a9f-1a10-4808-9480-b8a2f8a0da14/oauth2/authorize?response_type=code&client_id=ab18cde4-6aa6-45e5-9846-8c7f207452d4&scope=openid&nonce=1630ae6b-1211-4f5a-a60e-b9af5f5b4fef&redirect_uri=https%3a%2f%2fjira.test.ia.surf.nl%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fjira.test.ia.surf.nl%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22cd5f3bbc-6330-48ff-8a28-2c1bb7b40dc6%22%7d%23EndOfStateParam%23&client-request-id=cd5f3bbc-6330-48ff-8a28-2c1bb7b40dc6,azure,True,,,
jss-dist.surf.nl,401 Unauthorized,401,503,jss-dist.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-13T00:00:00Z,2024-06-12T23:59:59Z,"CN=jss-dist2.ia.surfsara.nl, O=SURF B.V., ST=Utrecht, C=NL",jss-dist2.ia.surfsara.nl,jss-dist2.int.ia.surfsara.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,df5f47fe05c552c238e9d13f85996bdd,c2054fcc5e3c99f8da761cf3a2cb73e4b68f93999014e0cc90e73b50b62adf1a,,ctls,jss-dist.surf.nl,443,https://jss-dist.surf.nl:443,https,Apache,text/html,GET,145.100.20.2,/,46228648,145.100.20.2,Basic,15,False,,SURF B.V.,,,,,,
