input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url
portal.team.securityscorecard.io,Sign in - Google Accounts,200,579555,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,True,ctls,accounts.google.com,,443,https://portal.team.securityscorecard.io:443,https,ESF,text/html,GET,142.250.185.83,/,1110592937,2a00:1450:4001:810::2013,HTTP/3,76,False,,,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&followup=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&ifkv=AeDOFXjfPBzg7drURYNjXPvOxz1G7L1Ut6Dw3_9VjVleIvc-aZtVHduSanOPSJaTdm1Fm4-1iyIZfA&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S-1358599434%3A1690703041486950
prod.securityscorecard.com,Site Not Configured | 404 Not Found,404,5800,,prod.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,prod.securityscorecard.com,cloudflare,443,https://prod.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,1672552969,2606:4700::6811:6932,HSTS,88,False,True,,"Cloudflare, Inc.",
rbc.atlas.securityscorecard.io,ATLAS,200,2573,https://fonts.googleapis.com/,rbc.atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T00:00:00Z,2024-07-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,42c0a95a4909eaf0c37c5ad9258b5707,62dbd309117659b8d39187491d355a571e5847392bef7475a75a2994505bd0f4,True,ctls,rbc.atlas.securityscorecard.io,cloudfront,443,https://rbc.atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,65.9.66.6,/,1326708382,65.9.66.47,HSTS,1,False,True,,,
secops.team.securityscorecard.io,Sign in - Google Accounts,200,579663,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,True,ctls,accounts.google.com,,443,https://secops.team.securityscorecard.io:443,https,ESF,text/html,GET,142.250.184.211,/,-1953008217,2a00:1450:4001:830::2013,HTTP/3,76,False,,,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&followup=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&ifkv=AeDOFXifuCAf24IkCEa4Vg15Ntdxvg82PwWH4SfhqN9_zcD-4ApdgXJkUg617DXOxhm7lXIFJVXGYA&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S1544421541%3A1690703041483274
securityscorecard.io,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,461111,*.crazyegg.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudfront,443,https://securityscorecard.io:443,https,cloudflare,text/html,GET,18.66.112.72,/,-1840324437,18.66.112.87,WordPress,6130,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/
signup.securityscorecard.com,Try Leadpages Free for 14 Days,404,13922,,signup.securityscorecard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-21T00:41:26Z,2023-10-19T00:41:25Z,CN=signup.securityscorecard.com,signup.securityscorecard.com,signup.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,584d4ade33bb1c62aba5b6651373e772,34e8b760f312967012b46334a6f351307256b19271e7f7f47d435beb2bde2873,,ctls,signup.securityscorecard.com,google,443,https://signup.securityscorecard.com:443,https,Leadpages,text/html,GET,35.202.21.90,/,826951121,35.202.21.90,,370,False,True,,,
smart.securityscorecard.io,Opensense | The smarter way to send email.,200,81502,,www.opensense.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-22T09:15:22Z,2023-09-20T09:15:21Z,CN=www.opensense.com,www.opensense.com,www.opensense.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ff7eb9d1cd0c497bcfba8ff58c1cd06e,f3a7aaa0767781da0f5aee0364792b3d0394ee6da81b77aede19670075a6cb3a,,ctls,www.opensense.com,,443,https://smart.securityscorecard.io:443,https,,text/html,GET,51.81.11.26,/,-931655094,51.81.11.26,Webflow,510,False,,,,https://www.opensense.com
static.securityscorecard.io,,200,258665,,static.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.com,*.securityscorecard.com,*.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1a5d463cd9354cf184efb568615acef7,3dff3e266d22cea2869c3b1ae5bbdc2c7fcf967faf51279000cdf70356a9fd65,True,ctls,static.securityscorecard.io,cloudfront,443,https://static.securityscorecard.io:443,https,AmazonS3,application/xml,GET,143.204.215.89,/,-1457505238,143.204.215.53,HSTS,2,False,True,True,,
support.securityscorecard.com,Security check,403,6660,,support.securityscorecard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-18T23:45:32Z,2023-10-16T23:45:31Z,CN=support.securityscorecard.com,support.securityscorecard.com,support.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e9b9e16adc8666f5242ed52e8a88c72c,7d405f7bebc1cb8296f184f75b8ddf381c294a38dca5165eb495ee5fcb86b957,,ctls,support.securityscorecard.com,cloudflare,443,https://support.securityscorecard.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,32,False,True,,,https://support.securityscorecard.com/hc/en-us
tech.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,461117,securityscorecard.qa,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://tech.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,2025018305,2606:4700::6811:6932,WordPress,6130,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/
trust.securityscorecard.com,Trust | SecurityScorecard,200,536086,https://*.browser-intake-datadoghq.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://trust.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.105.50,/,-476454734,2606:4700::6811:6832,WordPress,8084,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/trust/
trust.securityscorecard.io,Trust | SecurityScorecard,200,536086,*.auryc.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudfront,443,https://trust.securityscorecard.io:443,https,cloudflare,text/html,GET,18.66.147.44,/,-476454734,18.66.147.112,WordPress,8084,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/trust/
uat.securityscorecard.com,Site Not Configured | 404 Not Found,404,5800,,uat.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,uat.securityscorecard.com,cloudflare,443,https://uat.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,1672552969,2606:4700::6811:6932,HSTS,88,False,True,,"Cloudflare, Inc.",
ui-metadata.securityscorecard.io,,200,24,,ui-metadata.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,ui-metadata.securityscorecard.io,cloudfront,443,https://ui-metadata.securityscorecard.io:443,https,AmazonS3,application/json,GET,108.138.17.42,/,542230911,108.138.17.108,Amazon Web Services,4,False,True,,,
url7333.securityscorecard.io,404 Not Found,404,162,,url7333.securityscorecard.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,url7333.securityscorecard.io,,443,https://url7333.securityscorecard.io:443,https,nginx,text/html,GET,167.89.123.124,/,190856733,167.89.115.56,Nginx,8,False,,True,,
www.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,461117,https://*.browser-intake-datadoghq.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://www.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,-1840324437,2606:4700::6811:6932,WordPress,6130,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/
www.securityscorecard.io,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,461111,*.cookiebot.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudfront,443,https://www.securityscorecard.io:443,https,cloudflare,text/html,GET,18.66.112.72,/,-1840324437,18.66.112.121,WordPress,6130,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/
zendesk1.securityscorecard.io,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk1.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,
zendesk2.securityscorecard.io,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk2.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,
zendesk3.securityscorecard.io,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk3.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,
zendesk4.securityscorecard.io,,409,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk4.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,
