input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,final_url,tls_expired,tls_self_signed,csp_domains_,location
findv1.heytap.com,,200,87,findv1.heytap.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,findv1.heytap.com,443,https://findv1.heytap.com:443,https,nginx,text/html,GET,106.3.18.11,/,-343969152,106.3.18.11,Nginx,3,False,,,,,,,,
findv1.oppo.com,,200,87,findv1.oppo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,findv1.oppo.com,443,https://findv1.oppo.com:443,https,nginx,text/html,GET,106.3.18.171,/,-343969152,106.3.18.171,Nginx,3,False,True,,,,,,,
flash.realme.net,,404,,flash.realme.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-07T00:00:00Z,2024-05-05T23:59:59Z,CN=*.realme.net,*.realme.net,,realme.net,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",4f629541ec5d56a4310a1766f155cf41,1381fbce546a06155778a275c7399f1bb5e024ddcab26125866ba9b5daff701c,True,ctls,flash.realme.net,443,https://flash.realme.net:443,https,nginx,,GET,106.3.16.76,/,-1840324437,106.3.16.76,Nginx,1,False,,,,,,,,
fm.music.heytapmobi.com,,404,31,fm.music.heytapmobi.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,fm.music.heytapmobi.com,443,https://fm.music.heytapmobi.com:443,https,nginx,,GET,106.38.236.3,/,1401299030,106.38.236.3,Nginx,1,False,True,,,,,,,
forums-test-gl.wanyol.com,OnePlus Community,200,9440,forums-test-gl.wanyol.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-11-17T23:59:59Z,"CN=www.wanyol.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.wanyol.com,广东欢太科技有限公司,*.pay-test.wanyol.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,45f00a609da5b5d3e3b4953b7a67d8e4,3593f8517897c1b869f51d0e2fea479e3e5d4b0fca1d7a655ccfe145b1580774,True,ctls,forums-test-gl.wanyol.com,443,https://forums-test-gl.wanyol.com:443,https,nginx,text/html,GET,119.147.135.30,/,286975560,119.147.135.30,Nginx,27,False,,,,,,,,
fs.finzfin.com,,400,189,fs.finzfin.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=www.finzfin.com, O=深圳市欢太数字科技有限公司, L=深圳市, ST=广东省, C=CN",www.finzfin.com,深圳市欢太数字科技有限公司,finzfin.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,79b39fa7d6de845c72020878f6538c3f,41d31399a5806f84b85ba7778835a2bd410f188227ade939390118bf1a4529f6,True,ctls,fs.finzfin.com,443,https://fs.finzfin.com:443,https,nginx,application/xml,GET,106.3.19.196,/,441255054,106.3.19.196,Nginx,1,False,True,,,,,,,
fs.oppo.com,403 Forbidden,403,564,fs.oppo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,fs.oppo.com,443,https://fs.oppo.com:443,https,Tengine,text/html,GET,180.101.197.190,/,-59737071,180.101.197.192,Tengine,14,False,True,,,,,,,
fsc-app.myoas.com,Welcome to nginx!,200,612,fsc-app.myoas.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-21T00:00:00Z,2023-12-22T23:59:59Z,"CN=*.myoas.com, O=东莞市永盛通信科技有限公司, L=东莞市, ST=广东省, C=CN",*.myoas.com,东莞市永盛通信科技有限公司,myoas.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,56b44e601f977f48333553163dd2f650,ed31eaad6cd83b1df8d03cede160ca9d0a2cb7186bbc06b464b74f1284bfd9e4,True,ctls,fsc-app.myoas.com,443,https://fsc-app.myoas.com:443,https,nginx,text/html,GET,119.147.98.70,/,566218143,119.147.98.70,Nginx,26,False,,,,,,,,
fswx.oppo.cn,,504,20,fswx.oppo.cn,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,fswx.oppo.cn,443,https://fswx.oppo.cn:443,https,nginx,,GET,106.38.236.226,/,-649002083,106.38.236.226,Nginx,1,False,True,,,,,,,
g.search.oppomobile.com,,404,31,g.search.oppomobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=www.oppomobile.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.oppomobile.com,广东欢太科技有限公司,oppomobile.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,0668e3aa7d94eaabb0d1041532440a86,3017b8ccbf3e9bfe432a31f2caad01beeb72eb01ea5b6875948de14e741dc00f,True,ctls,g.search.oppomobile.com,443,https://g.search.oppomobile.com:443,https,nginx,,GET,106.38.236.154,/,1401299030,106.38.236.154,Nginx,1,False,True,,,,,,,
game.heytapimage.com,,400,184,game.heytapimage.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,game.heytapimage.com,443,https://game.heytapimage.com:443,https,Tengine,application/octet-stream,GET,101.226.27.235,/,-59737071,101.226.27.240,Tengine,1,False,True,,,,,,,
game.realmemobile.com,,404,24,game.realmemobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-22T00:00:00Z,2023-07-23T23:59:59Z,"CN=www.realmemobile.com, O=深圳市锐尔觅移动通信有限公司, L=深圳市, ST=广东省, C=CN",www.realmemobile.com,深圳市锐尔觅移动通信有限公司,*.realme.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,a11bce1ebc65e96f32768063552bbd79,1224748675da69a2e59e8343912fd5a87716572d92a7bae00978d0f399d679c5,True,ctls,game.realmemobile.com,443,https://game.realmemobile.com:443,https,nginx,,GET,119.147.175.40,/,-1392886021,119.147.175.40,Nginx,1,False,,,,,,,,
gbaas-file-mwps-stable.wanyol.com,WPS 开放平台,200,9250,gbaas-file-mwps-stable.wanyol.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-11-17T23:59:59Z,"CN=www.wanyol.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.wanyol.com,广东欢太科技有限公司,*.pay-test.wanyol.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,45f00a609da5b5d3e3b4953b7a67d8e4,3593f8517897c1b869f51d0e2fea479e3e5d4b0fca1d7a655ccfe145b1580774,True,ctls,gbaas-file-mwps-stable.wanyol.com,443,https://gbaas-file-mwps-stable.wanyol.com:443,https,nginx,text/html,GET,183.6.232.14,/,-1840324437,183.6.232.14,Nginx,9,False,,,,,,,,
gc-dl-cn-01.heytapdownload.com,,400,184,,,,,,,,,,,,,,,,,,,,80,http://gc-dl-cn-01.heytapdownload.com:80,http,openresty,application/xml,GET,182.40.45.98,/,1296121808,182.40.45.95,OpenResty,1,False,,,,,,,,
gcdl0f.nearme.com.cn,,403,243,gcdl0f.nearme.com.cn,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,"CN=oppomobile.com, O=广东欢太科技有限公司, L=Dongguan, ST=Guangdong Province, C=CN",oppomobile.com,广东欢太科技有限公司,yearparty.myoas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ba3387b4b60581a87c22f53df639d32b,012b83528fc2b963e06048f0d30a5af878bc6f0a15237e00632812e6c4f0616d,True,ctls,gcdl0f.nearme.com.cn,443,https://gcdl0f.nearme.com.cn:443,https,AmazonS3,application/xml,GET,2.19.126.71,/,-1204134411,2.19.126.87,Amazon Web Services,2,False,True,,,,,,,
gcdl1f.nearme.com.cn,,403,243,gcdl1f.nearme.com.cn,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,"CN=oppomobile.com, O=广东欢太科技有限公司, L=Dongguan, ST=Guangdong Province, C=CN",oppomobile.com,广东欢太科技有限公司,yearparty.myoas.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ba3387b4b60581a87c22f53df639d32b,012b83528fc2b963e06048f0d30a5af878bc6f0a15237e00632812e6c4f0616d,True,ctls,gcdl1f.nearme.com.cn,443,https://gcdl1f.nearme.com.cn:443,https,AmazonS3,application/xml,GET,23.55.161.26,/,-1906842970,23.55.161.40,Amazon Web Services,2,False,True,,,,,,,
gcdl2f.nearme.com.cn,,403,243,gcdl2f.nearme.com.cn,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,gcdl2f.nearme.com.cn,443,https://gcdl2f.nearme.com.cn:443,https,AmazonS3,application/xml,GET,52.222.214.52,/,1304965889,2600:9000:223d:4600:11:4312:1b00:93a1,Amazon Web Services,2,False,True,cloudfront,True,,,,,
gkm-cn.oppo.com,GKM全球知识库,200,8778,gkm-cn.oppo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,gkm-cn.oppo.com,443,https://gkm-cn.oppo.com:443,https,nginx,text/html,GET,106.39.247.57,/,-1786480145,106.39.247.57,Nginx,294,False,True,,,,,,,
gl-activity.oppomobile.com,,404,31,gl-activity.oppomobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=www.oppomobile.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.oppomobile.com,广东欢太科技有限公司,oppomobile.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,0668e3aa7d94eaabb0d1041532440a86,3017b8ccbf3e9bfe432a31f2caad01beeb72eb01ea5b6875948de14e741dc00f,True,ctls,gl-activity.oppomobile.com,443,https://gl-activity.oppomobile.com:443,https,nginx,,GET,18.136.128.12,/,1401299030,52.77.93.114,Nginx,1,False,,,,,,,,
gl-theme.oppomobile.com,,204,,gl-theme.oppomobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=www.oppomobile.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.oppomobile.com,广东欢太科技有限公司,oppomobile.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,0668e3aa7d94eaabb0d1041532440a86,3017b8ccbf3e9bfe432a31f2caad01beeb72eb01ea5b6875948de14e741dc00f,True,ctls,gl-theme.oppomobile.com,443,https://gl-theme.oppomobile.com:443,https,nginx,,GET,13.229.20.123,/,-1867309133,46.137.254.90,Nginx,1,False,,,,,,,,
global.oppo.com,,404,24,global.oppo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,global.oppo.com,443,https://global.oppo.com:443,https,nginx,,GET,52.74.113.194,/,-1392886021,13.228.178.160,Nginx,1,False,True,,,,,,,
go-in-oms.realmeservice.com,realme CRM,200,1035,go-in-oms.realmeservice.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-04-25T23:59:59Z,CN=*.realmeservice.com,*.realmeservice.com,,realmeservice.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",30552be052583b9ab91c3f694a5c3147,e7bf9bd17cf89502e9189901bb88697774e2f2ce32e8dcd98f1a607ad89df030,True,ctls,go-in-oms.realmeservice.com,443,https://go-in-oms.realmeservice.com:443,https,nginx,text/html,GET,129.227.29.148,/,-525480785,129.227.29.148,Nginx,17,False,,,,,,,,
go.myoas.com,员工入职系统,200,2245,go.myoas.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-21T00:00:00Z,2023-12-22T23:59:59Z,"CN=*.myoas.com, O=东莞市永盛通信科技有限公司, L=东莞市, ST=广东省, C=CN",*.myoas.com,东莞市永盛通信科技有限公司,myoas.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,56b44e601f977f48333553163dd2f650,ed31eaad6cd83b1df8d03cede160ca9d0a2cb7186bbc06b464b74f1284bfd9e4,True,ctls,go.myoas.com,443,https://go.myoas.com:443,https,nginx,text/html,GET,125.93.80.59,/,1468469522,125.93.80.59,Nginx,1,False,,,,,,,,
go.oppo.com,员工入职系统,200,2245,go.oppo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,go.oppo.com,443,https://go.oppo.com:443,https,nginx,text/html,GET,125.93.80.59,/,564008110,125.93.80.59,Nginx,1,False,True,,,,,,,
gray-push.oppo.com,,404,24,gray-push.oppo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,gray-push.oppo.com,443,https://gray-push.oppo.com:443,https,nginx,,GET,49.7.252.18,/,-1392886021,106.3.18.191,Nginx,1,False,True,,,,,,,
gslb-cn.cdo.heytapmobi.com,,404,31,gslb-cn.cdo.heytapmobi.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,gslb-cn.cdo.heytapmobi.com,443,https://gslb-cn.cdo.heytapmobi.com:443,https,nginx,,GET,106.3.18.114,/,-1867309133,119.147.175.26,Nginx,1,False,True,,,,,,,
gslb-gl.cdo.heytapmobi.com,,403,11,gslb-gl.cdo.heytapmobi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,gslb-gl.cdo.heytapmobi.com,443,https://gslb-gl.cdo.heytapmobi.com:443,https,nginx,,GET,54.255.127.220,/,-1867309133,3.0.224.41,Nginx,1,False,True,,,,,,,
gui.coloros.com,,404,88,gui.coloros.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,gui.coloros.com,443,https://gui.coloros.com:443,https,nginx,application/json,GET,119.147.175.84,/,1350370728,106.38.236.186,Nginx,1,False,True,,,,,,,
guif-in.coloros.com,,404,88,guif-in.coloros.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,guif-in.coloros.com,443,https://guif-in.coloros.com:443,https,nginx,application/json,GET,129.227.29.8,/,-743804644,129.227.29.8,Nginx,1,False,True,,,,,,,
guifs.coloros.com,,403,291,guifs.coloros.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,guifs.coloros.com,443,https://guifs.coloros.com:443,https,nginx,application/xml,GET,106.3.16.27,/,191303472,106.3.16.27,Nginx,9,False,True,,,,,,,
gzh.myoppo.com,OPPO,200,3167,gzh.myoppo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,gzh.myoppo.com,443,https://gzh.myoppo.com:443,https,nginx,text/html,GET,106.39.247.152,/,1144561049,106.39.247.152,Nginx,47,False,True,,,,,,,
h.magzine.oppomobile.com,,404,9,h.magzine.oppomobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=www.oppomobile.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.oppomobile.com,广东欢太科技有限公司,oppomobile.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,0668e3aa7d94eaabb0d1041532440a86,3017b8ccbf3e9bfe432a31f2caad01beeb72eb01ea5b6875948de14e741dc00f,True,ctls,h.magzine.oppomobile.com,443,https://h.magzine.oppomobile.com:443,https,nginx,text/plain,GET,111.206.136.115,/,-738705486,106.3.18.44,Nginx,1,False,True,,,,,,,
h5.coloros.com,,404,98,h5.coloros.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,h5.coloros.com,443,https://h5.coloros.com:443,https,nginx,text/plain,GET,119.147.175.84,/,166751228,106.3.18.170,Nginx,7,False,True,,,,,,,
hd.heytap.com,OPPO Find X6 系列 年度影像旗舰，开启手机全主摄时代 | OPPO 官方网站,200,229261,www.oppo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-22T00:00:00Z,2023-09-24T23:59:59Z,"CN=www.oppo.com, O=Guangdong Huantai Technology Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",www.oppo.com,"Guangdong Huantai Technology Co., Ltd.",www.oneplus.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,45c9cca69394a1aab5b88aedc6480741,5d3bebd3c415cc9a4c89032085c086058880402c3a952d91215f29eba9978c14,,ctls,www.oppo.com,443,https://hd.heytap.com:443,https,nginx,text/html,GET,106.3.18.82,/,1206284514,106.3.18.166,Nginx,3440,False,,,,https://www.oppo.com/cn/,,,,
