input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,location,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_mismatched,final_url
esales-test.hln.be,Access Denied,403,272,,esales-test.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,esales-test.hln.be,443,https://esales-test.hln.be:443,,https,text/html,GET,2.17.100.184,/,-838704777,2a02:26f0:ab00::214:8e49,,10,False,,,,,
esales.hln.be,Access Denied,403,262,,esales.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,esales.hln.be,443,https://esales.hln.be:443,,https,text/html,GET,2.16.187.91,/,-1433241830,2a02:26f0:ab00::214:8e49,,10,False,,,,,
foto.hln.be,HLN Zomerfoto,200,19195,,foto.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-28T04:30:16Z,2023-08-26T05:22:08Z,CN=dpg-festivalwall.lwprod.nl,dpg-festivalwall.lwprod.nl,,foto.hln.be,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,c2aafc39c7166f5400c04b73e513cac4,3bc9253bd34c956dcf542373202004fdf0f92478b56c306d3b27cdfb61012f2b,,ctls,foto.hln.be,443,https://foto.hln.be:443,,https,text/html,GET,34.117.134.166,/,751375115,34.117.134.166,Vue.js,16,False,google,Google Frontend,True,,
geldwijzer.hln.be,Geldwijzer,200,51157,https:,geldwijzer.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=geldwijzer.hln.be,geldwijzer.hln.be,,*.geldwijzer.hln.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7c1f905b8fe688ef96f3c37ad333b765,a2fd39a9d9fc518bbb8962d3425902d6502efa0cb1143af28ec3dd7274d2daba,True,ctls,geldwijzer.hln.be,443,https://geldwijzer.hln.be:443,,https,text/html,GET,143.204.215.126,/,-1840324437,143.204.215.34,HSTS,201,False,cloudfront,,True,,
gouden11.hln.be,De Gouden 11,200,3243,,gouden11.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T09:10:08Z,2023-10-04T09:10:07Z,CN=gouden11.hln.be,gouden11.hln.be,,gouden11.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1151df6d0936e5a7d4adacf9c7f5520c,495645795e76fe8d3986ebd94099256ece3951f3f5d62ec6cf9185749d49bc99,,ctls,gouden11.hln.be,443,https://gouden11.hln.be:443,,https,text/html,GET,35.156.224.161,/,167834740,2a05:d014:275:cb02::c8,Netlify,1,False,,Netlify,,,
goudencross.hln.be,De Gouden Cross,200,3164,,goudencross.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-24T08:50:08Z,2023-08-22T08:50:07Z,CN=goudencross.hln.be,goudencross.hln.be,,goudencross.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cf46c8d12d992118b0a3e96d30a2adae,d21ccf015db676126d7648c072dbaea1c40268a9724770b8f435c553dea4b01b,,ctls,goudencross.hln.be,443,https://goudencross.hln.be:443,,https,text/html,GET,34.141.103.251,/,167834740,2a05:d014:275:cb00::c8,Netlify,1,False,google,Netlify,True,,
goudenek.hln.be,Het Gouden EK,200,3160,,goudenek.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T06:20:10Z,2023-09-29T06:20:09Z,CN=goudenek.hln.be,goudenek.hln.be,,goudenek.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,10f428a87b24661a9d05d182017f464b,f7c9df1394210924a4f24af4e7a480dc1bee232ca4de582b5d1236093fd77dd9,,ctls,goudenek.hln.be,443,https://goudenek.hln.be:443,,https,text/html,GET,34.141.103.251,/,167834740,2a05:d014:275:cb02::c8,Netlify,1,False,google,Netlify,True,,
goudenf1.hln.be,De Gouden F1,200,3388,,goudenf1.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-14T12:50:18Z,2023-09-12T12:50:17Z,CN=goudenf1.hln.be,goudenf1.hln.be,,goudenf1.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6e2dad3606310e03f606e172b5775f5d,8c6cd97ddcbe1e9dfc73d60a56c8ca44172114ac88492fba7af32839b2da92fb,,ctls,goudenf1.hln.be,443,https://goudenf1.hln.be:443,,https,text/html,GET,34.159.58.69,/,167834740,2a05:d014:275:cb02::c8,Netlify,1,False,google,Netlify,True,,
goudengiro.hln.be,De Gouden Giro,200,3247,,goudengiro.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T11:10:08Z,2023-09-17T11:10:07Z,CN=goudengiro.hln.be,goudengiro.hln.be,,goudengiro.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c3d52072ebd06e91e98a603107483114,26af083466f7f2b7150c02ea596a0e3212729802e4dc87edf5ff96a6af2cfda5,,ctls,goudengiro.hln.be,443,https://goudengiro.hln.be:443,,https,text/html,GET,34.141.103.251,/,167834740,2a05:d014:275:cb01::c8,Netlify,1,False,google,Netlify,True,,
goudenleague.hln.be,De Gouden League,200,3166,,goudenleague.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T02:00:15Z,2023-10-01T02:00:14Z,CN=goudenleague.be,goudenleague.be,,www.goudenleague.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1b91c4659b08674cab2acba66646e1c8,d2b123de59ef8669d72270a0a6d13766d1b36abef4b3c6da7faa1892be2444fb,,ctls,goudenleague.hln.be,443,https://goudenleague.hln.be:443,,https,text/html,GET,34.159.168.235,/,167834740,2a05:d014:275:cb01::c8,Netlify,1,False,google,Netlify,True,,
goudentour.hln.be,De Gouden Tour,200,3162,,goudentour.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T12:30:09Z,2023-09-17T12:30:08Z,CN=goudentour.hln.be,goudentour.hln.be,,goudentour.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,736c458497bf969ee0e24c4b6b079a46,d556a07e087fe0500254de40f00e5ef184ec81452cd5ae362d500ae6355ddc05,,ctls,goudentour.hln.be,443,https://goudentour.hln.be:443,,https,text/html,GET,3.72.140.173,/,167834740,2a05:d014:275:cb00::c8,Netlify,1,False,,Netlify,,,
goudenvuelta.hln.be,De Gouden Vuelta,200,3166,,goudenvuelta.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T04:20:08Z,2023-08-29T04:20:07Z,CN=goudenvuelta.hln.be,goudenvuelta.hln.be,,goudenvuelta.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,badf62b2146a1de6489c312c7641668a,5a42c75fe1200459c1267b85e684205a1286e5d67250ae5664cd3b34df0532c2,,ctls,goudenvuelta.hln.be,443,https://goudenvuelta.hln.be:443,,https,text/html,GET,34.141.28.239,/,167834740,2a05:d014:275:cb02::c8,Netlify,1,False,google,Netlify,True,,
goudenwk.hln.be,Het Gouden WK,200,3160,,goudenwk.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-01T05:40:08Z,2023-09-29T05:40:07Z,CN=goudenwk.hln.be,goudenwk.hln.be,,goudenwk.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c739e3c745878923e5ed918242105ae1,f49fff6a809f78088c6db9b429669848f6af42a518f42ad26ac86bec7d357807,,ctls,goudenwk.hln.be,443,https://goudenwk.hln.be:443,,https,text/html,GET,34.141.55.250,/,167834740,2a05:d014:275:cb01::c8,Netlify,1,False,google,Netlify,True,,
gv.hln.be,Graphic Valley: Welkom,200,934,,gv.hln.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-09T23:59:59Z,CN=gv.hln.be,gv.hln.be,,gv.news-city-aws.dpgmedia.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fdea69a8bc7aef3fae1f587af1eae89d,0de3b8b006c02895084f7d16d7be6e2e152d2fa24276f336ca0a970d4d621224,,ctls,gv.hln.be,443,https://gv.hln.be:443,,https,text/html,GET,52.31.56.150,/,956842856,54.229.246.191,Node.js,25,False,,nginx,,,
gvassets.hln.be,Graphic Valley: 404,403,1094,,gvassets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,gvassets.hln.be,443,https://gvassets.hln.be:443,,https,text/html,GET,2.16.186.211,/,956842856,2a02:26f0:1700:7::17d5:a1d3,Amazon Web Services,28,False,,AmazonS3,,,
hln.be,DPG Media Privacy Gate,200,8812,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://hln.be:443,,https,text/html,GET,2.17.100.184,/,757209713,2a02:26f0:ab00::214:8e61,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=Uqxf9TXhjmaG4pbQ&callbackUrl=https%3A%2F%2Fwww.hln.be%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
image.tickets.hln.be,Tickoweb,200,239,,image.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,image.tickets.hln.be,443,https://image.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
img-acc.hln.be,,403,42,,img-acc.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,img-acc.hln.be,443,https://img-acc.hln.be:443,,https,application/json,GET,104.126.37.186,/,768769774,2a02:26f0:1700:7::17d5:a1d4,,1,False,,,,,
ims.hln.be,,200,113,,ims.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,ims.hln.be,443,https://ims.hln.be:443,,https,text/html,GET,23.213.161.211,/,1631801191,2a02:26f0:ab00::214:8e49,Windows Server,1,False,,Microsoft-IIS/10.0,,,
inapp-krant.hln.be,E-PAPER,200,52385,,inapp-krant.hln.be,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-07-03T14:41:07Z,2023-12-29T22:59:00Z,CN=inapp-krant.hln.be,inapp-krant.hln.be,,inapp-krant.hln.be,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,aba463475503abb48f8706daaeac5ff9,605708e06abc1bbc87ec86795824aae712a8ea4f7fd52c39352be1e079309fbc,,ctls,inapp-krant.hln.be,443,https://inapp-krant.hln.be:443,,https,text/html,GET,46.30.126.147,/,190856733,46.30.126.156,PHP,448,False,,nginx,,,
krant.hln.be,,200,483,,krant.hln.be,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-03-09T22:00:48Z,2023-09-04T21:59:00Z,CN=krant.hln.be,krant.hln.be,,krant.hln.be,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,eac9f53dbd86a0e07f8114a93f3cef4c,a42a830ccd8917464aff35384eeed5754eb7b1069a5704252464e1b110f30fc3,,ctls,krant.hln.be,443,https://krant.hln.be:443,,https,text/html,GET,46.30.126.156,/,190856733,46.30.126.147,PHP,4,False,,nginx,,,https://krant.hln.be/w/dpg2/?edition=HLN1&customer=hetlaatstenieuws&folder=7866&folder_key=1963bd5135521d623f6c29e6b1174975&catalog=42663&date=2023-02-04&user_ip=54.93.186.55&user_agent=Mozilla%2F5.0+%28iPhone%3B+CPU+iPhone+OS+15_5+like+Mac+OS+X%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F15.5+Mobile%2F15E148+Safari%2F604.1&client_url=https%3A%2F%2Fkrant.hln.be%2F&secret=5586a6fb763147b96b3da625bb826c47
landingpage.hln.be,DPG Media Branded Content -,200,16456,,landingpage.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,landingpage.hln.be,443,https://landingpage.hln.be:443,,https,text/html,GET,23.213.161.211,/,1611965266,2a02:26f0:480:23::1726:628b,Yoast SEO:19.12,114,False,,Apache,,,
live-acc.hln.be,,403,,,live-acc.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-29T04:47:59Z,2023-08-27T04:47:58Z,CN=epaper.persgroep.be,epaper.persgroep.be,,www.tvfamilie.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a0562392706a51a6715e9e6d35990cfa,fba3b3c22d8b84395c28d7e162e975a3a3a38a50837b3e8dcc2259fd43f3b138,,ctls,live-acc.hln.be,443,https://live-acc.hln.be:443,,https,text/plain,GET,2.17.100.234,/,-1840324437,2a02:26f0:ab00::5c7a:d719,,1,False,,awselb/2.0,,,
live.hln.be,,404,89,,live.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-29T04:47:59Z,2023-08-27T04:47:58Z,CN=epaper.persgroep.be,epaper.persgroep.be,,www.tvfamilie.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a0562392706a51a6715e9e6d35990cfa,fba3b3c22d8b84395c28d7e162e975a3a3a38a50837b3e8dcc2259fd43f3b138,,ctls,live.hln.be,443,https://live.hln.be:443,,https,application/json,GET,2.16.187.155,/,-1727205390,2a02:26f0:ab00::5c7a:d719,,1,False,,,,,
login.hln.be,Inlogpoging geblokkeerd,406,3323,,login.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,login.hln.be,443,https://login.hln.be:443,,https,text/html,GET,2.17.100.200,/,-1115033970,2a02:26f0:480:23::1726:629d,,1,False,,AkamaiGHost,,,
login.tickets.hln.be,Tickoweb,200,239,,login.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,login.tickets.hln.be,443,https://login.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
m.hln.be,DPG Media Privacy Gate,200,8812,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://m.hln.be:443,,https,text/html,GET,2.17.100.200,/,757209713,2a02:26f0:ab00::214:8e61,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=Uqxf9TXhjmaG4pbQ&callbackUrl=https%3A%2F%2Fwww.hln.be%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
maskedsinger.hln.be,Masked Singer,404,1856,,maskedsinger.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T00:06:43Z,2023-08-31T00:06:42Z,CN=maskedsinger.hln.be,maskedsinger.hln.be,,maskedsinger.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a124512f4dd4f98893fd3a276a746a3e,73dd8fc1d248f217852a3a71d9242b8281979e49bc29f7a94506ada0c634d4bb,,ctls,maskedsinger.hln.be,443,https://maskedsinger.hln.be:443,,https,text/html,GET,62.213.218.13,/,701390637,2a00:c78:1:4930::25,HSTS,49,False,,Apache,,,
mijn.hln.be,DPG Media Privacy Gate,200,8804,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://mijn.hln.be:443,,https,text/html,GET,2.16.187.25,/,1100299195,2a02:26f0:ab00::214:8e49,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=uqxf9txhjmag4pbq&callbackUrl=https%3A%2F%2Fmijn.hln.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
mijnomgeving-acc.hln.be,DPG Media Privacy Gate,200,8840,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://mijnomgeving-acc.hln.be:443,,https,text/html,GET,2.17.100.184,/,1919901474,2a02:26f0:480:23::1726:629d,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=uqxf9txhjmag4pbq&callbackUrl=https%3A%2F%2Fmijnomgeving-acc.hln.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
mijnomgeving.hln.be,DPG Media Privacy Gate,200,8828,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://mijnomgeving.hln.be:443,,https,text/html,GET,2.17.100.200,/,1100299195,2a02:26f0:ab00::214:8e61,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=uqxf9txhjmag4pbq&callbackUrl=https%3A%2F%2Fmijnomgeving.hln.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
mijnzomerbar.hln.be,HLN - De leukste zomerbar,200,1834,storage.googleapis.com,mijnzomerbar.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-30T08:54:58Z,2023-08-28T09:47:51Z,CN=mijnzomerbar.hln.be,mijnzomerbar.hln.be,,zomerbar.hln.be,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e66de36eea72898a032266751737696f,2b63d5f7b03ec9ff1ca3bf69c3acccc3d50cfa3320880991a84834330db15ea1,,ctls,mijnzomerbar.hln.be,443,https://mijnzomerbar.hln.be:443,,https,text/html,GET,34.95.120.186,/,-399381992,34.95.120.186,HTTP/3,45,False,google,Google Frontend,True,,
mobile.hln.be,DPG Media Privacy Gate,200,8812,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://mobile.hln.be:443,,https,text/html,GET,146.185.53.23,/,1040705865,146.185.53.23,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=Uqxf9TXhjmaG4pbQ&callbackUrl=https%3A%2F%2Fwww.hln.be%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
mobileapi-acc.hln.be,HTTP Status 404 – Not Found,404,431,,mobileapi-acc.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-20T01:37:54Z,2023-09-18T01:37:53Z,CN=plusstatic0.hln.be,plusstatic0.hln.be,,s.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bba3fd14bb0d3051158b328c83616b93,5293d212ad97e60db9dad1693d260dd1cfef060eeeca30a9c9334c9879f21b23,,ctls,mobileapi-acc.hln.be,443,https://mobileapi-acc.hln.be:443,,https,text/html,GET,23.213.161.204,/,-230353730,2a02:26f0:480:23::1726:62b3,Node.js,1,False,,,,,
myaccount.hln.be,DPG Media Privacy Gate,200,8819,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://myaccount.hln.be:443,,https,text/html,GET,2.17.100.129,/,-692266411,2a02:26f0:ab00::214:8e70,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=uqxf9txhjmag4pbq&callbackUrl=https%3A%2F%2Fmyaccount.hln.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
