input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_mismatched,location,tls_self_signed
dispatch.flexport.com,Transmission,200,162002,web.transmissionapp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=*.transmissionapp.com,*.transmissionapp.com,,transmissionapp.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,eacbe9d09654ecb9e7b2da26c5f16b1c,62ba7e0a6ffcc6b040810854c8e592142a8d7f55c6682d5598946e03b1de0551,ctls,web.transmissionapp.com,cloudflare,443,https://dispatch.flexport.com:443,https,envoy,text/html,GET,104.18.8.42,/,-1840324437,2606:4700::6812:82a,Ruby on Rails,71,False,True,,True,https://web.transmissionapp.com/users/sign_in,,,
docs.flexport.com,404 - Page not found,404,1505,docs.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=docs.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",docs.flexport.com,"Cloudflare, Inc.",docs.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",259d16b72263ed23d04fb01649f9d5fe,0e289b18ebacd5c9d3bd977b6cac8caa11a8166bfc879cf1d615c3e287e204ca,ctls,docs.flexport.com,cloudflare,443,https://docs.flexport.com:443,https,cloudflare,text/html,GET,104.17.70.206,/,-1652635829,104.17.72.206,Cloudflare Bot Management,52,False,True,,,,,,
drift.flexport.com,,200,2786,drift.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T00:00:00Z,2024-07-26T23:59:59Z,CN=drift.flexport.com,drift.flexport.com,,drift.flexport.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,872411ac90607dfb1c90374d0e08f1e3,a4fcc6e4449031e490e65b1469ddd9881665087dc12a1d65920d540102c1e1c0,ctls,drift.flexport.com,cloudfront,443,https://drift.flexport.com:443,https,istio-envoy,text/html,GET,18.66.122.25,/,-2062187054,2600:9000:2250:5200:18:9632:9500:93a1,React,1,False,True,https://*.google.lv,,,,,
events.flexport.com,404 - Page not found,404,1505,events.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-07T00:00:00Z,2024-04-06T23:59:59Z,"CN=events.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",events.flexport.com,"Cloudflare, Inc.",events.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1b1baafa7c1a4e56edb696aa6ff2dbf1,957fc2e123a5e332786396a12c069216ee9a3a2e025eba74f56c3541326f6127,ctls,events.flexport.com,cloudflare,443,https://events.flexport.com:443,https,cloudflare,text/html,GET,104.17.74.206,/,-1652635829,104.17.73.206,Cloudflare Bot Management,52,False,True,,,,,,
export.rossum.flexport.com,404 Not Found,404,232,export.rossum.flexport.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-23T04:04:21Z,2023-08-21T04:04:20Z,CN=export.rossum.flexport.com,export.rossum.flexport.com,,export.rossum.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c2300651789e386653d620348d3a7083,70c80f8a5f5b64aea5153c122c2160d1bbc7b049f2b0fde66a59ea549476fdff,ctls,export.rossum.flexport.com,,443,https://export.rossum.flexport.com:443,https,,text/html,GET,34.236.204.83,/,-986470109,54.196.75.24,HSTS,5,False,,,,,,,
factoring.flexport.com,,200,1338,factoring.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-22T00:00:00Z,2024-01-13T23:59:59Z,"CN=factoring.flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",factoring.flexport.com,"Flexport, Inc.",factoring.flexport.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,955bad3b213bc123c2d56caa58d24ddd,151359ce7e32d5d26af1bba63f2eae81eb0c653771c1816cc8fc339f8735cb25,ctls,factoring.flexport.com,,443,https://factoring.flexport.com:443,https,sfdcedge,text/html,GET,35.158.127.49,/,1433417005,35.158.127.48,HSTS,47,False,,,,https://factoring.flexport.com/s/,,,
fieldevents.flexport.com,flexport.com,403,583,fieldevents.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-22T02:39:38Z,2023-08-20T02:39:37Z,CN=fieldevents.flexport.com,fieldevents.flexport.com,,fieldevents.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ca2e754bb71505a4195e62e081b31389,1809269f7ee51924180096c2caff7df6a16806451f6f3e2adcdcc8c3ffbfe4c1,ctls,fieldevents.flexport.com,,443,https://fieldevents.flexport.com:443,https,nginx,text/html,GET,54.84.134.174,/,-1110427655,54.84.134.174,Varnish,2,False,,,,,,,
files.flexport.com,,403,243,files.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,files.flexport.com,,443,https://files.flexport.com:443,https,AmazonS3,application/xml,GET,52.217.234.81,/,116981564,52.217.68.140,Amazon Web Services,2,False,,,True,,True,,
flexport.com,,200,790456,www.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-02T23:59:59Z,"CN=flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",flexport.com,"Flexport, Inc.",test-www.flexport.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,3d6d5a2163e9e3b6ceb38c9f6a816bb3,be40b6542b787d40165d9ea165954e0c42aea5a42fcec47aab1e2b9750bee95f,ctls,www.flexport.com,,443,https://flexport.com:443,https,Netlify,text/html,GET,18.214.205.53,/,-369876395,3.218.74.145,webpack,26,False,,*.google.dk,,https://www.flexport.com/,,,
fulfillment.flexport.com,,404,20455,fulfillment.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T23:32:22Z,2023-10-08T23:32:21Z,CN=fulfillment.flexport.com,fulfillment.flexport.com,,fulfillment.flexport.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a3007e0ddfb6e7bc62da52088f4b54cd,aaec7d6a4a0379f6f335f4da264c2394ed2d3ede3ccfc4886752821f82b71c5f,ctls,fulfillment.flexport.com,,443,https://fulfillment.flexport.com:443,https,cloudflare,text/html,GET,199.60.103.227,/,-1876379002,2606:2c40::c73c:67e3,HubSpot CMS Hub,382,False,,,,,,,
graphql.flexport.com,,404,23,graphql.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,graphql.flexport.com,,443,https://graphql.flexport.com:443,https,,application/json,GET,54.163.156.18,/,631524574,44.198.32.189,,1,False,,,True,,,,
gtlinks.flexport.com,404 Not Found,404,162,gtlinks.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-10-10T23:59:59Z,"CN=*.flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",*.flexport.com,"Flexport, Inc.",*.flexport.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9d90040aad2754f3d2843dce5b807e19,57af1a23da120c8883a3eba70cd05bf18cb5c8b7267abdd01d19ffa59b904e4f,ctls,gtlinks.flexport.com,cloudflare,443,https://gtlinks.flexport.com:443,https,cloudflare,text/html,GET,104.18.8.42,/,190856733,2606:4700::6812:82a,Cloudflare,8,False,True,,True,,,,
h-135-207-13-21.us-east-elb.flexport.com,,302,119,www.h-135-207-13-21.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.h-135-207-13-21.us-east-elb.flexport.com,,443,https://h-135-207-13-21.us-east-elb.flexport.com:443,https,envoy,text/html,GET,3.218.74.145,/,-1840324437,34.224.108.9,Phusion Passenger,1,False,,,True,https://www.h-135-207-13-21.us-east-elb.flexport.com/,True,https://www.h-135-207-13-21.us-east-elb.flexport.com/,
haystackid.us-east-elb.flexport.com,,302,114,www.haystackid.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.haystackid.us-east-elb.flexport.com,,443,https://haystackid.us-east-elb.flexport.com:443,https,envoy,text/html,GET,18.213.212.17,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,,True,https://www.haystackid.us-east-elb.flexport.com/,True,https://www.haystackid.us-east-elb.flexport.com/,
hello.flexport.com,,204,,hello.flexport.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-04T22:29:44Z,2023-09-02T22:29:43Z,CN=hello.flexport.com,hello.flexport.com,,hello.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2e94d4d15f3887d2285836a201692da7,a23d4926aafcb092130d97716e4a46396e7bae47623c708ed6e8bed0ad3960f9,ctls,hello.flexport.com,,443,https://hello.flexport.com:443,https,,,GET,35.81.252.12,/,-1840324437,35.167.19.41,HSTS,1,False,,,,,,,
http-telenornews-pk43.us-east-elb.flexport.com,,302,125,www.http-telenornews-pk43.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.http-telenornews-pk43.us-east-elb.flexport.com,,443,https://http-telenornews-pk43.us-east-elb.flexport.com:443,https,envoy,text/html,GET,18.213.212.17,/,-1840324437,34.224.108.9,Phusion Passenger,1,False,,,True,https://www.http-telenornews-pk43.us-east-elb.flexport.com/,True,https://www.http-telenornews-pk43.us-east-elb.flexport.com/,
https-es-m-wikipedia-org65.us-east-elb.flexport.com,,302,130,www.https-es-m-wikipedia-org65.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.https-es-m-wikipedia-org65.us-east-elb.flexport.com,,443,https://https-es-m-wikipedia-org65.us-east-elb.flexport.com:443,https,envoy,text/html,GET,34.224.108.9,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,,True,https://www.https-es-m-wikipedia-org65.us-east-elb.flexport.com/,True,https://www.https-es-m-wikipedia-org65.us-east-elb.flexport.com/,
https://google-admin.corp.google.com/,google-admin.corp.google.com - Google Single Sign On: Sign into corp,200,13579,login.corp.google.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-11T11:31:21Z,2023-09-19T11:31:20Z,CN=uberproxy.corp.google.com,uberproxy.corp.google.com,,*.login-stable.corp.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,2b8f3febed5e801e75ea3fb53b4cdd8c,616e7a2f5b3cae91882e06810116c89be68e39137b46a8a1ebe76e68b674cc9a,ctls,login.corp.google.com,,443,https://google-admin.corp.google.com:443,https,ESF,text/html,GET,142.250.102.129,/,-1357190875,2a00:1450:4025:402::81,HSTS,311,False,,https://csp.withgoogle.com/csp/corplogin,True,"https://login.corp.google.com/request?s=google-admin.corp.google.com:443/uberproxy/&d=https://google-admin.corp.google.com/%3Fupxsrf%3DAHI8MB8PFijmw-iWWlSEGSD8vsIM3CQm-Vfb7TMpKzj7MEtNlw:1689746348405&maxAge=1200&authLevel=2000000&keyIds=3aq,r4j,M9V,bLf&c=1",,,
identity-cd-n00aetx59jzkmjvz.edge.identity.flexport.com,404 Not Found,404,146,identity-cd-n00aetx59jzkmjvz.edge.identity.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-07-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a5bcf1f9d6799687214e419b5775e3c,45c4960a632014db5711a19e9f2c27729a2b5af1b9a37e9d40034ebd494e4e1a,ctls,identity-cd-n00aetx59jzkmjvz.edge.identity.flexport.com,cloudflare,443,https://identity-cd-n00aetx59jzkmjvz.edge.identity.flexport.com:443,https,cloudflare,text/html,GET,104.18.4.107,/,1494302000,2606:4700::6812:56b,HTTP/3,8,False,True,,,,,,
identity-stage-cd-y4c4xe0xwhw41ohp.edge.identity-dev.flexport.com,404 Not Found,404,146,identity-stage-cd-y4c4xe0xwhw41ohp.edge.identity-dev.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9e305edce71439be4fb1e3caef15c3b5,bf5be190718d99d188917673a2a10e9096208a183e1816c07dc439f638fd9350,ctls,identity-stage-cd-y4c4xe0xwhw41ohp.edge.identity-dev.flexport.com,cloudflare,443,https://identity-stage-cd-y4c4xe0xwhw41ohp.edge.identity-dev.flexport.com:443,https,cloudflare,text/html,GET,104.18.19.218,/,1494302000,2606:4700::6812:13da,HTTP/3,8,False,True,,,,,,
ieharamis.us-east-elb.flexport.com,,302,113,www.ieharamis.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.ieharamis.us-east-elb.flexport.com,,443,https://ieharamis.us-east-elb.flexport.com:443,https,envoy,text/html,GET,18.213.212.17,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,,True,https://www.ieharamis.us-east-elb.flexport.com/,True,https://www.ieharamis.us-east-elb.flexport.com/,
igloo.us-east-elb.flexport.com,,302,109,www.igloo.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.igloo.us-east-elb.flexport.com,,443,https://igloo.us-east-elb.flexport.com:443,https,envoy,text/html,GET,18.213.212.17,/,-1840324437,34.224.108.9,Phusion Passenger,1,False,,,True,https://www.igloo.us-east-elb.flexport.com/,True,https://www.igloo.us-east-elb.flexport.com/,
info.flexport.com,,302,92,info.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,info.flexport.com,,443,https://info.flexport.com:443,https,envoy,text/html,GET,18.213.212.17,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,https://*.flexport.internal,True,https://info.flexport.com/,,https://info.flexport.com/,
insurance.flexport.com,,200,3675,insurance.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-10-18T23:59:59Z,CN=insurance.flexport.com,insurance.flexport.com,,insurance.flexport.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f12bb43dc58f2d83f6750097eacb19e8,92036301c36820057d4fe744f6f2043109ffb7d9319007eb0e761e441f5671f8,ctls,insurance.flexport.com,,443,https://insurance.flexport.com:443,https,,text/html,GET,3.210.40.64,/,2089517472,44.195.121.217,ZURB Foundation,171,False,,,,https://insurance.flexport.com/page/public/en/US/index.html,,,
internal.apidocs.flexport.com,,401,12,internal.apidocs.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-21T13:05:57Z,2023-09-19T13:05:56Z,CN=internal.apidocs.flexport.com,internal.apidocs.flexport.com,,internal.apidocs.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e0a2d83ffbe50c596a102ef420691793,554c14c58a71123315d079aec72e0a38a48dc7687a9649fdb78d887fa94efcb0,ctls,internal.apidocs.flexport.com,,443,https://internal.apidocs.flexport.com:443,https,openresty/1.21.4.1,,GET,3.229.95.131,/,229361783,52.86.16.148,OpenResty:1.21.4.1,1,False,,,,,,,
internalredirect-stagingen-users.us-east-elb.flexport.com,,302,136,www.internalredirect-stagingen-users.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.internalredirect-stagingen-users.us-east-elb.flexport.com,,443,https://internalredirect-stagingen-users.us-east-elb.flexport.com:443,https,envoy,text/html,GET,3.218.74.145,/,-1840324437,34.224.108.9,Phusion Passenger,1,False,,,True,https://www.internalredirect-stagingen-users.us-east-elb.flexport.com/,True,https://www.internalredirect-stagingen-users.us-east-elb.flexport.com/,
join.flexport.com,404 - Page not found,404,1505,join.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=join.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",join.flexport.com,"Cloudflare, Inc.",join.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1e5937ec0c0a771ec79a7e913fd55f09,13a2f9cdc422caa9dd6debf6d4cddeeabcefef9d1ea73a7224276841e1f8188d,ctls,join.flexport.com,cloudflare,443,https://join.flexport.com:443,https,cloudflare,text/html,GET,104.17.73.206,/,-1652635829,104.17.74.206,Cloudflare Bot Management,52,False,True,,,,,,
links.flexport.com,404 Not Found,404,162,links.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-10-10T23:59:59Z,"CN=*.flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",*.flexport.com,"Flexport, Inc.",*.flexport.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9d90040aad2754f3d2843dce5b807e19,57af1a23da120c8883a3eba70cd05bf18cb5c8b7267abdd01d19ffa59b904e4f,ctls,links.flexport.com,cloudflare,443,https://links.flexport.com:443,https,cloudflare,text/html,GET,104.18.9.42,/,190856733,2606:4700::6812:92a,Cloudflare,8,False,True,,True,,,,
login-dev.flexport.com,,200,790456,www.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-02T23:59:59Z,"CN=flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",flexport.com,"Flexport, Inc.",test-www.flexport.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,3d6d5a2163e9e3b6ceb38c9f6a816bb3,be40b6542b787d40165d9ea165954e0c42aea5a42fcec47aab1e2b9750bee95f,ctls,www.flexport.com,cloudflare,443,https://login-dev.flexport.com:443,https,Netlify,text/html,GET,104.18.18.218,/,-738705486,2606:4700::6812:13da,webpack,26,False,True,noembed.com,,https://www.flexport.com/,,,
login.portal.flexport.com,Flexport Seller Portal - Login,200,8561,login.portal.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-14T13:05:16Z,2023-10-12T13:05:15Z,CN=login.portal.flexport.com,login.portal.flexport.com,,login.portal.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8407caa414a7d1d8d929d7c08c92b0e8,016371042c642f4006f2f2cdf67635dea37c21846d4951462cf9e287e88a423b,ctls,login.portal.flexport.com,google,443,https://login.portal.flexport.com:443,https,Netlify,text/html,GET,34.159.75.132,/,-376926429,2a05:d014:275:cb02::c8,Netlify,1,False,True,,,,,,
logistics-api-staging.flexport.com,,403,42,logistics-api-staging.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-06T00:00:00Z,2024-08-03T23:59:59Z,CN=logistics-api-staging.flexport.com,logistics-api-staging.flexport.com,,*.logistics-api-staging.flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c3e0f641d737e6528bd6088bda8a6f9e,b3b5fa3d8c4d7c89140c99985fad6dedc5e8dbe2048f876f1cdaece535230b16,ctls,logistics-api-staging.flexport.com,,443,https://logistics-api-staging.flexport.com:443,https,,application/json,GET,54.174.125.53,/,768769774,23.22.91.112,,1,False,,,True,,,,
logistics-api.flexport.com,,403,42,logistics-api.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-06T00:00:00Z,2024-08-03T23:59:59Z,CN=logistics-api.flexport.com,logistics-api.flexport.com,,*.logistics-api.flexport.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a078e39978d1b3b4779fbde4ce88d410,c230cb548a262dd5caee155066c4a6c285afdd90e4b50b6b1561e4132442e532,ctls,logistics-api.flexport.com,,443,https://logistics-api.flexport.com:443,https,,application/json,GET,34.231.200.227,/,768769774,35.170.206.39,,1,False,,,True,,,,
logisticsapp.flexport.com,,500,16,logisticsapp.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-03T00:00:00Z,2024-05-31T23:59:59Z,CN=*.logisticsapp.flexport.com,*.logisticsapp.flexport.com,,logisticsapp.flexport.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,075877585d91ebdee26887d7d569564b,c522a15c7108db0aa041f64b2c383e27ebe41a6e43560fd68fbc3b3b6dc49306,ctls,logisticsapp.flexport.com,,443,https://logisticsapp.flexport.com:443,https,,text/html,GET,3.14.186.46,/,-704864519,3.132.156.113,Node.js,1,False,,,True,,,,
manager.us-east-elb.flexport.com,,302,111,www.manager.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.manager.us-east-elb.flexport.com,,443,https://manager.us-east-elb.flexport.com:443,https,envoy,text/html,GET,3.218.74.145,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,,True,https://www.manager.us-east-elb.flexport.com/,True,https://www.manager.us-east-elb.flexport.com/,
maps-for-minecraft-pe.us-east-elb.flexport.com,,302,125,www.maps-for-minecraft-pe.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.maps-for-minecraft-pe.us-east-elb.flexport.com,,443,https://maps-for-minecraft-pe.us-east-elb.flexport.com:443,https,envoy,text/html,GET,3.218.74.145,/,-1840324437,34.224.108.9,Phusion Passenger,1,False,,,True,https://www.maps-for-minecraft-pe.us-east-elb.flexport.com/,True,https://www.maps-for-minecraft-pe.us-east-elb.flexport.com/,
