input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_mismatched,csp_domains_,final_url,tls_self_signed,tls_expired
fb.dk.samsung.com,Samsung Danmark | Mobil | TV | Hvidevarer,200,425736,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.dk.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,8546,False,,,,,https://www.samsung.com/dk/,,
fb.ee.samsung.com,"Samsung Eesti | Nutitelefonid, TV, Kodumasinad & elektroonika",200,351231,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.ee.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,7132,False,,,,,https://www.samsung.com/ee/,,
fb.eg.samsung.com,سامسونج مصر |  موبايلات | تلفزيونات | أجهزة كهربائية ومنزلية,200,351400,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.eg.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,7298,False,,,,,https://www.samsung.com/eg/,,
fb.fi.samsung.com,Samsung Suomi | Mobiili | TV | Kodinkoneet,200,420069,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.fi.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,8426,False,,,,,https://www.samsung.com/fi/,,
fb.hk.samsung.com,三星電子 香港 | 智能手機 | 電視 | 雪櫃 洗衣機,200,385937,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.hk.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,8119,False,,,,,https://www.samsung.com/hk/,,
fb.id.samsung.com,Samsung Indonesia | Mobile | TV | Home Appliances,200,446048,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.id.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,8896,False,,,,,https://www.samsung.com/id/,,
fb.ie.samsung.com,Samsung Ireland | Mobile | Home Electronics | Home Appliances | TV,200,367073,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.ie.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,7272,False,,,,,https://www.samsung.com/ie/,,
fb.il.samsung.com,Samsung ישראל |  מוצרי חשמל - מתקדמים. חכמים. חדשניים. סמסונג,200,347221,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.il.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,7122,False,,,,,https://www.samsung.com/il/,,
fb.n-africa.samsung.com,Home Electronics | Home Appliances | Mobile | Computing |,404,58852,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.n-africa.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,1721,False,,,,,https://www.samsung.com/n-africa/,,
fb.nl.samsung.com,Samsung Nederland  | Smartphones | TV | Huishoudelijk | IT,200,459647,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.nl.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,9069,False,,,,,https://www.samsung.com/nl/,,
fb.pe.samsung.com,Samsung Perú | Samsung Perú: Smartphones | Tablets | TV & AV | ElectroHogar,200,417374,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.pe.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,8364,False,,,,,https://www.samsung.com/pe/,,
fb.ph.samsung.com,"Samsung Philippines | Shop Mobile, TV & Home Appliances Online",200,441349,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.ph.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,8606,False,,,,,https://www.samsung.com/ph/,,
fb.pk.samsung.com,Samsung Pakistan | Mobile | TV | Home Appliances,200,323485,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.pk.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,6639,False,,,,,https://www.samsung.com/pk/,,
fb.sa.samsung.com,سامسونج السعودية |  جوالات | شاشات | أجهزة كهربائية ومنزلية,200,387667,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.sa.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,7919,False,,,,,https://www.samsung.com/sa/,,
fb.se.samsung.com,Samsung Sverige | Mobiltelefoner | TV | Vitvaror,200,446126,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.se.samsung.com:443,https,text/html,GET,211.45.27.231,/,-632001567,211.45.27.231,Java,8839,False,,,,,https://www.samsung.com/se/,,
fb.sec.samsung.com,Samsung 대한민국 | 모바일 | TV | 가전 | IT,200,327916,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.sec.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Google Tag Manager,6802,False,,,,,https://www.samsung.com/sec/,,
fb.sg.samsung.com,Samsung Singapore | Samsung Online Electronic Store,200,443290,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.sg.samsung.com:443,https,text/html,GET,211.45.27.231,/,-1628820085,211.45.27.231,Java,8690,False,,,,,https://www.samsung.com/sg/,,
fb.si.samsung.com,"Samsung Slovenija | Mobilni telefoni, TV, pralni stroji in gospodinjski aparati",200,366907,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.si.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,7384,False,,,,,https://www.samsung.com/si/,,
fb.ua.samsung.com,Samsung Україна |  Офіційний сайт | Інтернет-магазин,200,445365,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.ua.samsung.com:443,https,text/html,GET,211.45.27.231,/,-235003391,211.45.27.231,Java,8827,False,,,,,https://www.samsung.com/ua/,,
fb.uk.samsung.com,Samsung UK | Mobile | Home Electronics | Home Appliances | TV,200,504070,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.uk.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,9690,False,,,,,https://www.samsung.com/uk/,,
fb.za.samsung.com,Samsung South Africa | Mobile | TV | Home Appliances,200,428664,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://fb.za.samsung.com:443,https,text/html,GET,211.45.27.231,/,,211.45.27.231,Java,8588,False,,,,,https://www.samsung.com/za/,,
fbcapig.mkt.samsung.com,Login,200,1610,fbcapig.mkt.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-11T00:00:00Z,2024-07-10T23:59:59Z,CN=fbcapig.mkt.samsung.com,fbcapig.mkt.samsung.com,,fbcapig.mkt.samsung.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e9e0fcc273a8cd02a580211bbf9229e9,41d79568edb18fdea48acf123344c327613423d7f9a852cdec4fe21930e623c3,,ctls,fbcapig.mkt.samsung.com,,443,https://fbcapig.mkt.samsung.com:443,https,text/html,GET,54.241.107.50,/,1494302000,2600:1f1c:8ab:1e00:6e4a:6f26:e256:f5f8,,12,False,,,,,https://fbcapig.mkt.samsung.com/auth/login/,,
fed.ssi.samsung.com,Error,403,2047,fed.ssi.samsung.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-01-25T00:00:00Z,2024-02-25T23:59:59Z,CN=fed.ssi.samsung.com,fed.ssi.samsung.com,,www.fed.ssi.samsung.com,"CN=Network Solutions DV Server CA 2, O=Network Solutions L.L.C., L=Herndon, ST=VA, C=US",Network Solutions DV Server CA 2,Network Solutions L.L.C.,79efaa8ece6120ea7f3bc08aa6db2fc4,2df3435db0ef697052105490f400fbb2b7702af07857401b28e8fb05ce97f0d2,,ctls,fed.ssi.samsung.com,,443,https://fed.ssi.samsung.com:443,https,text/html,GET,207.140.43.222,/,2066412882,207.140.43.222,,59,False,,,,,,,
fedv.ssi.samsung.com,Error,403,1438,fedv.ssi.samsung.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=fedv.ssi.samsung.com,fedv.ssi.samsung.com,,www.fedv.ssi.samsung.com,"CN=Network Solutions DV Server CA 2, O=Network Solutions L.L.C., L=Herndon, ST=VA, C=US",Network Solutions DV Server CA 2,Network Solutions L.L.C.,ae69d99bd35fc97ed2838bb1e7f76c9c,d67e44ff5b880d5595b63c5df16ae738ebdc4d8a80b9abfbe01fa897b3066dee,,ctls,fedv.ssi.samsung.com,,443,https://fedv.ssi.samsung.com:443,https,text/html,GET,207.140.43.221,/,2066412882,207.140.43.221,,49,False,,,,,,,
forum.developer.samsung.com,Samsung Developers Community,200,236354,forum.developer.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T00:00:00Z,2024-08-05T23:59:59Z,"CN=*.developer.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",*.developer.samsung.com,"Samsung Electronics Co., Ltd.",developer.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9d6cb989cd97fa2985e92f8acf0bf06b,b9e02c714349fdf02fa8acacffdef2dfd726922ae38f97b10ca3ab222f8a2782,True,ctls,forum.developer.samsung.com,,443,https://forum.developer.samsung.com:443,https,text/html,GET,184.105.99.43,/,-1840324437,2602:fd3f:3:ff01::2b,Ruby on Rails,798,False,,nginx,,https://sea1.discourse-cdn.com/samsung/javascripts/,,,
fsc.shop.samsung.com,,200,262,fsc.shop.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-19T00:00:00Z,2023-12-18T23:59:59Z,CN=fsc.shop.samsung.com,fsc.shop.samsung.com,,fsc.shop.samsung.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",910489ad3faacf79df82387620eee1a6,a90dbcd794364bc8f35e43644c6636c803f992cead13cf4b087548a5694a3a00,,ctls,fsc.shop.samsung.com,,443,https://fsc.shop.samsung.com:443,https,text/html,GET,212.12.61.70,/,829683445,212.12.61.69,Nginx,11,False,,nginx,,,,,
gems.samsung.com,,200,136,gems.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=*.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",*.samsung.com,"Samsung Electronics Co., Ltd.",samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e1c5bf6bb7dc78f1d326bbdfbdde271b,d1c9cb4384ddab1a8724c7b7f01d04d376b06f728d2edeeb82635a449ff3638c,True,ctls,gems.samsung.com,,443,https://gems.samsung.com:443,https,text/html,GET,112.106.156.7,/,-908476027,112.106.156.7,Microsoft ASP.NET,8,False,,,,,,,
gift.samsung.com,Apps und Services | Samsung DE,200,626596,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://gift.samsung.com:443,https,text/html,GET,23.37.36.147,/,342516594,23.37.36.147,Java,8154,False,,,,,https://www.samsung.com/de/apps/,,
glonets.samsung.com,Invalid URL,400,208,glonets.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-16T00:00:00Z,2024-07-16T23:59:59Z,"CN=*.test.edgekey.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",*.test.edgekey.net,"Akamai Technologies, Inc.",test.edgekey.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fa8afd77b32ed04c887dd028399c027,9759ec7cad270c9a524f7fd042864c4fea6aaa5e77114bb39ea65d88a7e0d524,True,ctls,glonets.samsung.com,,443,https://glonets.samsung.com:443,https,text/html,GET,23.32.184.5,/,902959674,23.32.184.5,,8,False,,AkamaiGHost,True,,,,
gpp.ssi.samsung.com,,200,170,gpp.ssi.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-09T19:12:16Z,2024-01-25T17:57:09Z,"CN=gpp.ssi.samsung.com, O=Samsung, L=San Jose, ST=California, C=US",gpp.ssi.samsung.com,Samsung,gpp.ssi.samsung.com,"CN=SSI-ISSUINGCA, DC=ssi, DC=samsung, DC=com, DC=ssi, DC=samsung, DC=com",SSI-ISSUINGCA,,254c3acd8590f7d67f0cace58cf7e1d6,6a417117dad6de1ea3e0f9fd4a30592197a9c40e22bc1c4844fbf5aab3aabab5,,ctls,gpp.ssi.samsung.com,,443,https://gpp.ssi.samsung.com:443,https,text/html,GET,207.140.43.219,/,593259606,207.140.43.219,HSTS,4,False,,,,,,,
gpr.ssi.samsung.com,,200,170,gpr.ssi.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-09T19:42:09Z,2024-01-25T17:57:09Z,"CN=gpr.ssi.samsung.com, O=Samsung, L=San Jose, ST=California, C=US",gpr.ssi.samsung.com,Samsung,gpr.ssi.samsung.com,"CN=SSI-ISSUINGCA, DC=ssi, DC=samsung, DC=com, DC=ssi, DC=samsung, DC=com",SSI-ISSUINGCA,,6ed70079d56cd00bc2e799829cab3d92,cd7f8233aa0203a5fc58c585df7fc0634bb703dfec86928a3c21bc781a01a984,,ctls,gpr.ssi.samsung.com,,443,https://gpr.ssi.samsung.com:443,https,text/html,GET,207.140.43.197,/,593259606,207.140.43.197,HSTS,4,False,,,,,,,
gps.ssi.samsung.com,,200,170,gps.ssi.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-09T19:27:00Z,2024-01-25T17:57:09Z,"CN=gps.ssi.samsung.com, O=Samsung, L=San Jose, ST=California, C=US",gps.ssi.samsung.com,Samsung,gps.ssi.samsung.com,"CN=SSI-ISSUINGCA, DC=ssi, DC=samsung, DC=com, DC=ssi, DC=samsung, DC=com",SSI-ISSUINGCA,,d1ac40d501a6a57edd0d94c44101c36b,7674b006160955db0baba3e7277df9ddfacda5bb4d109a275bb3f85c38939339,,ctls,gps.ssi.samsung.com,,443,https://gps.ssi.samsung.com:443,https,text/html,GET,207.140.43.218,/,593259606,207.140.43.218,HSTS,4,False,,,,,,,
