new,host,a,mx,soa,txt,status_code,aaaa,cdn,cdn-name,cname,caa,ns,has_internal_ips,internal_ips
,email.crowdcontrol.bugcrowd.com,34.102.239.211,"mxa.mailgun.org, mxb.mailgun.org","ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all",NOERROR,,True,google,mailgun.org,"digicert.com, letsencrypt.org, ;","ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net",,
,email.forum.bugcrowd.com,"34.160.157.95, 34.160.63.108","mxa.mailgun.org, mxb.mailgun.org","ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,google,mailgun.org,,"ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net",,
,email.submit.bugcrowd.com,"34.160.13.42, 34.160.63.108","mxa.mailgun.org, mxb.mailgun.org",,"8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all",NOERROR,,True,google,mailgun.org,,"ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net",,
,epp.westerndigital.com,"52.36.92.3, 52.89.127.54",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,,
,files.bugcrowd.com,"104.20.6.68, 104.20.7.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,forum-new.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,forum.bugcrowd.com,74.82.16.203,mx-corp1.discoursemail.com,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",v=spf1 include:mailgun.org -all,NOERROR,2602:fd3f:0:ff06::cb,,,bugcrowd.hosted-by-discourse.com,letsencrypt.org,,,
,gamification.a.bugcrowd.com,"10.10.130.45, 10.10.136.143",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,True,"10.10.130.45, 10.10.136.143"
,gateway-admin.a.bugcrowd.com,"10.10.133.204, 10.10.135.73, 10.10.136.54, 10.10.130.53, 10.10.128.210",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,True,"10.10.133.204, 10.10.135.73, 10.10.136.54, 10.10.130.53, 10.10.128.210"
,go.bugcrowd.com,"104.17.73.206, 104.17.70.206, 104.17.71.206, 104.17.72.206, 104.17.74.206",,"ns1.marketo.com, ops.localhost",,NOERROR,,True,cloudflare,mkto-ab270028.com,,"ns2.mktdns.com, ns1.marketo.com",,
,go.wd.com,"52.36.92.3, 52.89.127.54",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,,
,gsemail.bugcrowd.com,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",v=spf1 ip4:168.245.42.152 -all,NOERROR,,,,u5511678.wl179.sendgrid.net,,,,
,gslink.bugcrowd.com,"104.20.7.68, 104.20.6.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,history.westerndigital.com,"52.89.127.54, 52.36.92.3",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,,
,hodor.a.bugcrowd.com,"3.94.67.173, 34.230.198.33, 34.193.167.45, 50.16.24.92",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,hooks.a.bugcrowd.com,"3.92.131.34, 34.200.198.105, 52.5.77.129, 52.22.43.195, 52.207.188.4",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,hooks.bugcrowd.com,"104.20.6.68, 104.20.7.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,hsp.bugcrowd.com,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",v=spf1 ip4:149.72.248.236 ip4:167.89.54.103 ip4:168.245.12.252 ip4:168.245.127.231 ip4:168.245.46.9 -all,NOERROR,,,,"jgd4eupownzgpdr7wzyz.deliver.highspot.com, u1779892.wl143.sendgrid.net",,,,
,identity.bugcrowd.com,"104.20.7.68, 104.20.6.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,,,,,
,idtc.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,info.westerndigital.com,,info.hgstmarketing.com,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,intelliflash.westerndigital.com,"104.17.70.206, 104.17.72.206, 104.17.74.206, 104.17.73.206, 104.17.71.206",,"bart.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,"tegilesystems.mktoweb.com, sj05.mktossl.com",,,,
,inventors.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,itmoah.bugcrowd.com,"104.20.7.68, 104.20.6.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,,,,,
,jobs.westerndigital.com,2.23.130.46,,"n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,,
,levelup.bugcrowd.com,"104.20.7.68, 104.20.6.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,link.accounts.westerndigital.com,"13.224.222.31, 13.224.222.99, 13.224.222.39, 13.224.222.103",,"ns-743.awsdns-28.net, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:21a8:3000:1f:5669:ba80:93a1, 2600:9000:21a8:4200:1f:5669:ba80:93a1, 2600:9000:21a8:9800:1f:5669:ba80:93a1, 2600:9000:21a8:6000:1f:5669:ba80:93a1, 2600:9000:21a8:f600:1f:5669:ba80:93a1, 2600:9000:21a8:de00:1f:5669:ba80:93a1, 2600:9000:21a8:5400:1f:5669:ba80:93a1, 2600:9000:21a8:8c00:1f:5669:ba80:93a1",True,cloudfront,d14tgvj3xrga96.cloudfront.net,,"ns-1033.awsdns-01.org, ns-169.awsdns-21.com, ns-1900.awsdns-45.co.uk, ns-743.awsdns-28.net",,
,link.westerndigital.com,2.17.185.32,,"n0g.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"studio.sandisk.com.edgekey.net, e2650.g.akamaiedge.net",,,,
,links.westerndigital.com,"104.17.71.206, 104.17.72.206, 104.17.74.206, 104.17.70.206, 104.17.73.206",,"ns1.marketo.com, ops.localhost",,NOERROR,,True,cloudflare,mkto-sj050184.com,,"ns2.mktdns.com, ns1.marketo.com",,
,lists.westerndigital.com,,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,login.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,m.prod1.notification.westerndigital.com,"52.27.25.161, 52.88.24.175",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,,
,m.wd.com,162.209.21.229,,"ns-1906.awsdns-46.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,wdc.madmobile.com,,,,
,mail.westerndigital.com,"205.251.193.5, 205.251.199.64, 205.251.194.141, 205.251.197.247",,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,mailgun.a.bugcrowd.com,"50.16.0.5, 44.214.55.70, 3.224.25.98, 34.197.189.83, 52.4.199.19",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,mailgun.bugcrowd.com,"104.20.6.68, 104.20.7.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,mirrorit.westerndigital.com,"18.244.102.22, 18.244.102.117, 18.244.102.37, 18.244.102.24, 205.251.193.200, 205.251.197.94",,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:26df:f000:15:4e86:3d00:93a1, 2600:9000:26df:c200:15:4e86:3d00:93a1, 2600:9000:26df:b600:15:4e86:3d00:93a1, 2600:9000:26df:1e00:15:4e86:3d00:93a1, 2600:9000:26df:7400:15:4e86:3d00:93a1, 2600:9000:26df:6400:15:4e86:3d00:93a1, 2600:9000:26df:8c00:15:4e86:3d00:93a1, 2600:9000:26df:3600:15:4e86:3d00:93a1, 2600:9000:5305:5e00::1",True,cloudfront,d3cexoqz4p1kvo.cloudfront.net,,"ns-1622.awsdns-10.co.uk, ns-1374.awsdns-43.org, ns-456.awsdns-57.com, ns-855.awsdns-42.net",,
,mobile.wd.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,notification.westerndigital.com,192.243.228.1,inbound.campaign.adobe.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com","v=spf1 ip4:130.248.176.0/24 ~all, google-site-verification=vw-YdVy0EyCE5YoCkvM-f0SZgcMEwhbFR5Xrst3g--k",NOERROR,,,,,,"ns-1856.awsdns-40.co.uk, ns-653.awsdns-17.net, ns-1527.awsdns-62.org, ns-261.awsdns-32.com",,
,o1.em6194.dcs.westerndigital.com,168.245.68.133,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,o6.em2612.accounts.westerndigital.com,149.72.254.89,,"uls-ipam.hgst.com, dnsadmin.hgst.com",,NOERROR,,,,,,,,
,p.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,,,,,,,,
,pages.bugcrowd.com,"104.20.6.68, 104.20.7.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,pages.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,partner.westerndigital.com,"54.148.210.29, 34.208.84.145",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-studio.sandisk.com,,,,
,partnerportal.westerndigital.com,129.253.14.244,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,portal.wd.com,"85.222.140.10, 85.222.140.13, 85.222.140.6",,"dns1.p02.nsone.net, hostmaster.nsone.net",,NOERROR,,,,"portal.wd.com.00di0000000xyexeas.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,,
,preview-careers.westerndigital.com,,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,preview-shop.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,preview-tools.westerndigital.com,"34.208.84.145, 54.148.210.29",,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,preview.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,prod.accounts.westerndigital.com,"108.157.214.126, 108.157.214.88, 108.157.214.69, 108.157.214.15",,"ns-1785.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:2250:6400:15:859e:d340:93a1, 2600:9000:2250:ae00:15:859e:d340:93a1, 2600:9000:2250:2600:15:859e:d340:93a1, 2600:9000:2250:a400:15:859e:d340:93a1, 2600:9000:2250:be00:15:859e:d340:93a1, 2600:9000:2250:2000:15:859e:d340:93a1, 2600:9000:2250:a000:15:859e:d340:93a1, 2600:9000:2250:9600:15:859e:d340:93a1",True,cloudfront,d12v9u60q8io99.cloudfront.net,,"ns-299.awsdns-37.com, ns-723.awsdns-26.net, ns-1318.awsdns-36.org, ns-1785.awsdns-31.co.uk",,
,productinfo.westerndigital.com,,inbound.campaign.adobe.com,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com","google-site-verification=fOAajcpGr5JgAB7VIcghBqKI5-o5pIpxdUuLVpyzbqI, v=spf1 ip4:130.248.176.0/24 ~all",NOERROR,,,,,,"ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com, ns-653.awsdns-17.net",,
,products.wd.com,"52.89.127.54, 52.36.92.3",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,,
,promos.wd.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,proxilate-internal.a.bugcrowd.com,,,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
