new,host,a,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
,config.myfitnesspal.com,"18.165.183.94, 18.165.183.110, 18.165.183.108, 18.165.183.8",frontend.myfitnesspal.com,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-120.awsdns-15.com, ns-1421.awsdns-49.org, ns-1908.awsdns-46.co.uk, ns-733.awsdns-27.net",,,,
,configuration-api.myfitnesspal.com,"54.208.105.64, 34.202.74.239, 34.230.104.53",ingress.external.us.mfp.dev,"ns-1752.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,"ns-110.awsdns-13.com, ns-1283.awsdns-32.org, ns-1752.awsdns-27.co.uk, ns-914.awsdns-50.net",,,,
,connect.underarmour.com,"54.241.158.69, 52.52.5.33",app7.creatoriq.com,"ns-991.awsdns-59.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,consent-static.api.ua.com,"18.173.233.24, 18.173.233.79, 18.173.233.97, 18.173.233.30",,,,NOERROR,True,cloudfront,,,,,,
,consent-static.myfitnesspal.com,"18.66.248.21, 18.66.248.88, 18.66.248.128, 18.66.248.8",,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,consent.api.ua.com,"13.224.189.12, 13.224.189.129, 13.224.189.22, 13.224.189.31",d2hazghdfb6m8o.cloudfront.net,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-1258.awsdns-29.org, ns-130.awsdns-16.com, ns-1895.awsdns-44.co.uk, ns-552.awsdns-05.net",,"2600:9000:20eb:a600:12:6013:4600:93a1, 2600:9000:20eb:7a00:12:6013:4600:93a1, 2600:9000:20eb:f400:12:6013:4600:93a1, 2600:9000:20eb:4400:12:6013:4600:93a1, 2600:9000:20eb:5c00:12:6013:4600:93a1, 2600:9000:20eb:800:12:6013:4600:93a1, 2600:9000:20eb:7000:12:6013:4600:93a1, 2600:9000:20eb:6000:12:6013:4600:93a1",,
,consultant.underarmour.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,"mx1.ua.iphmx.com, mx2.ua.iphmx.com","ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com","miro-verification=8530d50623b22067af0fd0b24e9fc5107a939342, v=spf1 include:spf.protection.outlook.com -all, atlassian-domain-verification=6VnH43khaZLt5EQNtsdAyD1GP3ZM5upPgY1lYGN7SeMLRrpEgJ9rXy4nDZtkcc8R, smartsheet-site-validation=qp-rE0-bgq-T6oNnkY-GWjyBMaFkz-HQ",,,
,content.myfitnesspal.com,"99.86.4.47, 99.86.4.72, 99.86.4.91, 99.86.4.104",d34yn14tavczy0.cloudfront.net,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,cozyearth.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","letsencrypt.org, digicert.com, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,creative.underarmour.com,104.130.47.83,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,crimesalad.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,cursosevolua.com.brwww.olx.co.za,80.88.11.43,,"ns1.homefind24.co.za, dns.property24.com",,NOERROR,,,,,,,,
,customersengineering-access.underarmour.co.uk,,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,customlearningdesigns.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,dam.underarmour.com,146.75.123.10,adobe-aem.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,,
,damauthor.underarmour.com,"151.101.3.10, 151.101.67.10, 151.101.131.10, 151.101.195.10",adobe-aem.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,,
,damdev.underarmour.com,146.75.119.10,adobe-aem.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,,
,de.mapmyfitness.com,"108.156.60.30, 108.156.60.2, 108.156.60.4, 108.156.60.100",,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,de.mapmyride.com,"13.224.189.41, 13.224.189.49, 13.224.189.52, 13.224.189.31",mapmyride.com,"ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"mx1.emailsrvr.com, mx2.emailsrvr.com",,,,,
,debug-uploads.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,demo.ua.com,50.57.23.152,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,demo2.ua.com,,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,depot.underarmour.com,204.29.196.97,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,dev-about.underarmour.com,"151.101.3.10, 151.101.67.10, 151.101.131.10, 151.101.195.10","cdn.adobeaemcloud.com, adobe-aem.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,,
,dev-api-accountuploadsstatcorporate.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,dev-blog.underarmour.com,98.129.229.42,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,dev-na04-vercel.ecm.underarmour.com,"76.76.21.164, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,
,dev-na04.ecm.underarmour.com,146.75.117.91,n.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,,
,dev02.underarmour.co.uk,31.186.247.14,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,developer.myfitnesspal.com,,"www.myfitnesspalapi.com, myfitnesspalapi.com","ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,developer.underarmour.com,"18.66.248.5, 18.66.248.72, 18.66.248.35, 18.66.248.51",,"ns-39.awsdns-04.com, awsdns-hostmaster.amazon.com",amazontrust.com,NOERROR,True,cloudfront,inbound-smtp.us-east-1.amazonaws.com,"ns-1976.awsdns-55.co.uk, ns-39.awsdns-04.com, ns-775.awsdns-32.net, ns-1239.awsdns-26.org",,,,
,development-eu02.underarmour.co.uk,"104.18.30.245, 104.18.31.245",development-eu02.underarmour.co.uk.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
,development-na04.ecm.underarmour.com,"104.19.156.108, 104.19.157.108",development-na04.ecm.underarmour.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
,devices-api.ua.com,"52.203.108.217, 34.196.63.2, 52.73.252.117",afa03e129e90d11e8a3ed0ebf26ebe74-1668744999.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,devint-api.mapmyfitness.com,"35.172.152.119, 54.80.69.143, 54.85.19.3",us-green-external.uacf.io,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,devint.mapmyfitness.com,"54.80.69.143, 35.172.152.119, 54.85.19.3",us-green-external.uacf.io,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,dig.ua.com,,,,,NOERROR,,,,,,,,
,digitalcatalog.underarmour.com,,,,,NOERROR,,,,,,,,
,dtmc.mapmyfitness.com,"23.44.131.46, 23.44.131.44","cc2365.dotomi.com, usweb.dotomi.com, usweb.dotomi.com.edgesuite.net, a1260.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,"2600:1408:7400::17c7:472a, 2600:1408:7400::17c7:4709",,
,dunk.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,dynamic-assets.mapmyfitness.com,"35.172.152.119, 54.85.19.3, 54.80.69.143",us-green-external.uacf.io,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,ecm.underarmour.co.uk,,,"ns-1637.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,"ns-146.awsdns-18.com, ns-1637.awsdns-12.co.uk, ns-655.awsdns-17.net, ns-1391.awsdns-45.org",sfcc_verification_bcvk=d0c47f9225ac14e989d1925b703a4f32d2f33c649c86cdf4d23f486feaf52b79,,,
,ecm.underarmour.com,,,"ns-1090.awsdns-08.org, awsdns-hostmaster.amazon.com",letsencrypt.org,NOERROR,,,,"ns-353.awsdns-44.com, ns-963.awsdns-56.net, ns-1090.awsdns-08.org, ns-1853.awsdns-39.co.uk",google-site-verification=kzdm7MYXO7nOd4kO3hDVxS7hFO9tRYBfpFJFjKCdoOY,,,
,ecomm-mail3.ua.com,104.130.47.83,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,ecomm-mail4.ua.com,104.130.47.81,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,ecomm-qa.underarmour.com,23.44.119.94,"san.underarmour.com.edgekey-staging.net, e5142.b.akamaiedge-staging.net",,,NOERROR,,,,,,,,
,edm.mapmyrun.com,10.253.2.120,,"ns-1621.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,True,10.253.2.120
,edmportal.underarmour.com,204.29.196.141,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,edmportaluat.underarmour.com,204.29.196.141,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,eemostest.underarmour.com,204.29.196.111,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,eemostestmda.underarmour.com,204.29.196.116,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,eemostestmip.underarmour.com,204.29.196.112,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,elevate.underarmour.com,,prod-team-sleep-web.uacf.io,"ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,em.e.underarmour.com,,u245077.wl078.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,mx.sendgrid.net,,,,,
,em.underarmour.com,136.147.129.27,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,reply-mx.s7.exacttarget.com,,"spf2.0/pra include:cust-senderid.exacttarget.com -all, google-site-verification=fqjN_UwrmIDIj53eIxJ5IjtfLhtSnhacCoNZwzQZtXM, google-site-verification=T9txt2j9j3bYsMnooLEeG0RE-PLFh7yHXBFeOX_wq8k, google-site-verification=VnsZF55Q2O7WG5P4bK4CJLBVPLhwyIpVQNjmNyizBwU, v=spf1 include:cust-spf.exacttarget.com -all",,,
,email.mapmyfitness.com,"167.89.123.54, 167.89.118.83, 167.89.118.52, 167.89.123.124, 208.94.148.4, 208.80.124.4, 208.80.126.4, 208.80.125.4, 208.80.127.4, 208.94.149.4",sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com","amazonaws.com, godaddy.com",NOERROR,,,"mx.sendgrid.net, mx2.sendgrid.net","ns10.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns11.dnsmadeeasy.com","v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE","2600:1800:10::1, 2600:1801:11::1, 2600:1802:12::1, 2600:1801:13::1, 2600:1802:14::1, 2600:1800:15::1",,
,email.myfitnesspal.com,,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,smtp.sparkpostmail.com,"ns-304.awsdns-38.com, ns-775.awsdns-32.net, ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk","v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs",,,
,emails.underarmour.com,136.147.129.27,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,reply-mx.s7.exacttarget.com,"ns13.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns14.dnsmadeeasy.com","v=spf1 include:cust-spf.exacttarget.com -all, google-site-verification=XwAFyVnPqkBXagU1nBX2ICaLLQtzacsZu7yb1ToRHso, spf2.0/pra include:cust-senderid.exacttarget.com -all, google-site-verification=4TfpN1i5ghRb9Kiuq73JW9vc5CW0UwULTYSQbyAmdf8",,,
,endeca-ord.ua.com,172.24.96.160,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,True,172.24.96.160
,eng.myfitnesspal.com,130.211.29.77,mfpeng.wpengine.com,"jim.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,google,aspmx.l.google.com,,,,,
,engineering.mapmyfitness.com,"13.224.189.52, 13.224.189.41, 13.224.189.31, 13.224.189.49",mapmyfitness.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"mx1.ua.iphmx.com, mx2.ua.iphmx.com","ns-1108.awsdns-10.org, ns-1855.awsdns-39.co.uk, ns-408.awsdns-51.com, ns-654.awsdns-17.net","MS=ms37790606, facebook-domain-verification=c3gbdfdjok9dh5lqbj38d3rz5irepr, google-site-verification=Q2epMmOxfdLgt5cIquPR7VyixmA7p_92IsLurJX21FU, include:_spf.google.com ip4:208.73.5.15 ip4:198.101.229.105 ?all, o3dRlQD190cP20HQ1wEDj22KvS55eknscjOSL5bIa7s4tbGBnAn8fd6koJFZA7wy96iNYThgeqNWX2od53JMmw==, v=spf1 a mx include:sendgrid.net include:mailseat.com include:mail.zendesk.com include:spf.protection.outlook.com  ~all",,,
,enrollme.underarmour.com,199.232.17.91,"www.underarmour.com, n.sni.global.fastly.net","ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,,
,enterpriseregistration.underarmour.com,20.190.137.40,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,True,azure,,,,,,
,error.mapmyrun.com,"52.217.41.59, 52.217.161.253, 52.216.48.117, 52.217.47.147, 52.217.78.3, 52.217.159.13, 52.216.24.51, 52.216.60.21",,"ns-1621.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,es.mapmyrun.com,"52.85.242.60, 52.85.242.45, 52.85.242.22, 52.85.242.96",mapmyrun.com,"ns-1621.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,inbound-smtp.us-east-1.amazonaws.com,"ns-440.awsdns-55.com, ns-748.awsdns-29.net, ns-1360.awsdns-42.org, ns-1621.awsdns-10.co.uk","v=spf1 include:sendgrid.net ~all, v=spf1 mx include:_spf.salesforce.com ~all, facebook-domain-verification=qvbnlgsph3fvcvuzw08eflxidi94cm, v=spf1 a mx include:spf.mtasv.net ~all, v=spf1 include:mail.zendesk.com ~all",,,
,es.mapmywalk.com,"108.156.60.2, 108.156.60.30, 108.156.60.100, 108.156.60.4",mapmywalk.com,"ns-1576.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,inbound-smtp.us-east-1.amazonaws.com,"ns-1310.awsdns-35.org, ns-1576.awsdns-05.co.uk, ns-436.awsdns-54.com, ns-650.awsdns-17.net",,,,
,es.underarmour.com,"96.45.83.103, 96.45.82.74, 96.45.82.161, 96.45.83.195",,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,events.ua.com,69.8.202.175,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,v=spf1 include:spf.mandrillapp.com ?all,,,
,events.underarmour.com,104.130.47.83,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,exchimps3g-n.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,fantasy.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,fastly-tools.ecm.underarmour.com,"76.76.21.164, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,
,feedback.ua.com,"96.45.82.161, 96.45.82.74, 96.45.83.195, 96.45.83.103",,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,fit.underarmour.com,74.121.50.47,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,"mail5382.cf.underarmour.com, mail4546.fit.underarmour.com, reply.fit.underarmour.com, mail5383.pth.underarmour.com",,v=spf1 ip4:208.73.5.15 ip4:74.112.71.44 ip4:74.112.71.47 -all,,,
,fitness-session-mfp.api.ua.com,"13.224.189.129, 13.224.189.22, 13.224.189.31, 13.224.189.12",,,,NOERROR,True,cloudfront,,,,,,
,fonts.underarmour.com,23.201.240.117,"san.underarmour.com.edgekey.net, e5142.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,forbmore.ua.com,"96.45.83.103, 96.45.82.161, 96.45.82.74, 96.45.83.195",,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,fr.mapmyfitness.com,"13.224.189.49, 13.224.189.31, 13.224.189.52, 13.224.189.41",mapmyfitness.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"mx1.ua.iphmx.com, mx2.ua.iphmx.com","ns-1108.awsdns-10.org, ns-1855.awsdns-39.co.uk, ns-408.awsdns-51.com, ns-654.awsdns-17.net","MS=ms37790606, facebook-domain-verification=c3gbdfdjok9dh5lqbj38d3rz5irepr, google-site-verification=Q2epMmOxfdLgt5cIquPR7VyixmA7p_92IsLurJX21FU, include:_spf.google.com ip4:208.73.5.15 ip4:198.101.229.105 ?all, o3dRlQD190cP20HQ1wEDj22KvS55eknscjOSL5bIa7s4tbGBnAn8fd6koJFZA7wy96iNYThgeqNWX2od53JMmw==, v=spf1 a mx include:sendgrid.net include:mailseat.com include:mail.zendesk.com include:spf.protection.outlook.com  ~all",,,
,fr.mapmyride.com,"108.138.51.113, 108.138.51.44, 108.138.51.3, 108.138.51.51, 205.251.192.193, 205.251.194.104, 205.251.197.11",mapmyride.com,"ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"mx2.emailsrvr.com, mx1.emailsrvr.com","ns-193.awsdns-24.com, ns-1291.awsdns-33.org, ns-616.awsdns-13.net, ns-2002.awsdns-58.co.uk",facebook-domain-verification=eohyqzox3bbhdq3palr74wbo38xt0m,2600:9000:5302:6800::1,,
,fr.mapmywalk.com,"13.224.189.49, 13.224.189.41, 13.224.189.52, 13.224.189.31",mapmywalk.com,"ns-1576.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,fr.taylorhall.ua.com,104.130.47.81,taylorhall.ua.com,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,fr.underarmour.com,"104.18.10.240, 104.18.11.240",fr.underarmour.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
,freeze.ecm.underarmour.com,"76.76.21.22, 76.76.21.98",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,
,frontenddocs.ecm.underarmour.com,"76.76.21.61, 76.76.21.142",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,
,futureshow.ua.com,"96.45.83.103, 96.45.83.195, 96.45.82.74, 96.45.82.161",,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,gabifuller.myfitnesspal.com,,secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,game.ua.com,"96.45.83.195, 96.45.83.103, 96.45.82.74, 96.45.82.161",,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,genwhy.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,getsleepy.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","letsencrypt.org, digicert.com, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,github.ua.com,34.204.139.242,,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,golfexclusive.ua.com,"96.45.82.74, 96.45.82.161, 96.45.83.103, 96.45.83.195",,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,golfexperience.ua.com,"96.45.82.161, 96.45.83.103, 96.45.83.195, 96.45.82.74",,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,googleca.myfitnesspal.com,,secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,government-guide.myfitnesspal.com,,secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,gs1.underarmour.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,SSL certificates for hostname gs1.underarmour.com may be issued to Adobe Systems Inc. on behalf of Underarmour. DCV requests for gs1.underarmour.com should be sent to dl-techops-digicert@adobe.com in addition to those on the domain WHOIS,,,
,guest.underarmour.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,guides.mapmyrun.com,"18.154.227.15, 18.154.227.50, 18.154.227.54, 18.154.227.11, 205.251.193.87, 205.251.194.37, 205.251.197.231, 205.251.199.26",d27a63z3kwtwjb.cloudfront.net,"ns-549.awsdns-04.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-1511.awsdns-60.org, ns-343.awsdns-42.com, ns-549.awsdns-04.net, ns-1818.awsdns-35.co.uk",,,,
,guiltfree.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","letsencrypt.org, digicert.com, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,gymshark.myfitnesspal.com,"188.114.99.229, 188.114.98.229",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","letsencrypt.org, sectigo.com, digicert.com",NOERROR,True,cloudflare,,,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,
,gymsharkaud.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,h-135-207-225-234.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,"udns1.cscdns.net, udns2.cscdns.uk",,,,
,hackathon.ecm.underarmour.com,"76.76.21.142, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,
,happiness.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,healthathand.myfitnesspal.com,,secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,heid.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,hellofreshireland.myfitnesspal.com,"188.114.99.229, 188.114.98.229",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,
,hk-uaconnect.underarmour.com,27.111.195.122,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,hk.guest.underarmour.com,10.8.7.64,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,True,10.8.7.64
,hkgucvcse01.underarmour.com,27.111.195.10,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
