input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,tls_mismatched,final_url,tls_expired,tls_self_signed,location
demolab-api-staging.epm-ddl.projects.epam.com,,403,42,demolab-api-staging.epm-ddl.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T00:00:00Z,2024-08-09T23:59:59Z,CN=demolab-api-staging.epm-ddl.projects.epam.com,demolab-api-staging.epm-ddl.projects.epam.com,,demolab-api-staging.epm-ddl.projects.epam.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,95707267116741488145363166106aa8,27de98d0947fda2934006531a0cf5d3fce31d6c6e329f7dd2d37784802294998,ctls,demolab-api-staging.epm-ddl.projects.epam.com,cloudfront,80,http://demolab-api-staging.epm-ddl.projects.epam.com:80,http,,application/json,GET,108.138.17.119,/,768769774,108.138.17.46,Amazon Web Services,1,False,True,,,,https://demolab-api-staging.epm-ddl.projects.epam.com/,,,
demolab-cf-prod.epm-ddl.projects.epam.com,The Demo Lab,200,2180,demolab-cf-prod.epm-ddl.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=demo.lab.epam.com,demo.lab.epam.com,,demolab-cf-prod.epm-ddl.projects.epam.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58aea00aaa1d59a546a887635c24b96c,076fd647e093c5846fb890f9e8e3e5507415712c60995a8b2c34c45b7487c5ba,ctls,demolab-cf-prod.epm-ddl.projects.epam.com,cloudfront,443,https://demolab-cf-prod.epm-ddl.projects.epam.com:443,https,AmazonS3,text/html,GET,143.204.98.58,/,1422751866,143.204.98.125,Amazon Web Services,1,False,True,,,,,,,
demolab-dev.epm-ddl.projects.epam.com,,403,144,demolab-dev.epm-ddl.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T00:00:00Z,2024-05-31T23:59:59Z,CN=demolab-dev.epm-ddl.projects.epam.com,demolab-dev.epm-ddl.projects.epam.com,,demolab-dev.epm-ddl.projects.epam.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6651c57d795d6e334c5ebe5844312a32,7e2e1663dda2b78901376275360f2b5f7d9a11691e8a080113faad60086b36e1,ctls,demolab-dev.epm-ddl.projects.epam.com,cloudfront,443,https://demolab-dev.epm-ddl.projects.epam.com:443,https,CloudFront,text/html,GET,108.138.7.91,/,-668602712,108.138.7.104,HTTP/3,2,False,True,,,,,,,
demolab-staging.epm-ddl.projects.epam.com,,403,16,demolab-staging.epm-ddl.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-02-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",demolab-staging.epm-ddl.projects.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",89abb86c01215d2adc7ee60a699c7281,8c385ac72a751acc675971f1ad784f0cdcdce4f0bb9f6f4fdf0f0a563a255693,ctls,demolab-staging.epm-ddl.projects.epam.com,cloudflare,443,https://demolab-staging.epm-ddl.projects.epam.com:443,https,cloudflare,text/plain,GET,104.18.12.91,/,1253481126,2606:4700::6812:d5b,HTTP/3,1,False,True,,,,,,,
desk.epam.com,Error,400,16327,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,80,http://desk.epam.com:80,http,cloudflare,text/html,GET,104.18.12.49,/,760622598,2606:4700::6812:d31,HTTP/3,355,False,True,True,https://eapi.opswatgears.com:*,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=hZ87zch38L2acsC6BOjSHW9VKAlT0ftbW2ND8IhdrUM&client_id=oauth-client.desk&tab_id=BHElVXabSaw,,,
desk.lab.epam.com,DESK: Landing,200,1968,desk.lab.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-06T00:00:00Z,2023-12-05T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380b4999bb2c832362b07c1bebf43d3c,256d3600e00085bfab94ccf88ce9f2a7bb2aa64530bec46e894ad4fc832a9124,ctls,desk.lab.epam.com,cloudflare,443,https://desk.lab.epam.com:443,https,cloudflare,text/html,GET,104.18.12.91,/,1893812481,2606:4700::6812:d5b,HTTP/3,1,False,True,,https://apm.apps.cluster6.eu.aws.cloudapp.epam.com,,,,,
desktop.connect.epam.com,EPAM Connect Desktop,200,15235,desktop.connect.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-14T00:00:00Z,2023-09-14T23:59:59Z,CN=desktop.connect.epam.com,desktop.connect.epam.com,,desktop.connect.epam.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c5ef145bac905984a428054f0f3cb679,0d8cd04b527ba73b07d631217e1b8415a1ccbc37e3e20e5ad1b7df8630c3539c,ctls,desktop.connect.epam.com,,443,https://desktop.connect.epam.com:443,https,,text/html,GET,20.82.13.59,/,-1279147965,20.82.13.59,HSTS,1,False,,,fonts.gstatic.com,,,,,
dev-portal.cloud.epam.com,503 Service Temporarily Unavailable,503,162,dev-portal.cloud.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-16T00:00:00Z,2024-05-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",dev-portal.cloud.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0f30630875d389b550e19e98b343338c,da2b68ccc7d44aa7a64e43f1f6f7e867910c4c0d54dcd0f284b28c6aec1089ab,ctls,dev-portal.cloud.epam.com,cloudflare,80,http://dev-portal.cloud.epam.com:80,http,cloudflare,text/html,GET,104.18.14.81,/,1862162275,2606:4700::6812:f51,HTTP/3,7,False,True,,,,https://dev-portal.cloud.epam.com/,,,
dev.cloud.epam.com,Attention Required! | Cloudflare,403,4516,dev.cloud.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2024-03-21T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",dev.cloud.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d4426a42c1e0da4039d8ce77686bae60,f9a08be9daa50562f194eeae87d242c1f9c20e1c0a80302eb4a9f94d20d94e2c,ctls,dev.cloud.epam.com,cloudflare,443,https://dev.cloud.epam.com:443,https,cloudflare,text/html,GET,104.18.14.81,/,1007256845,2606:4700::6812:f51,HTTP/3,94,False,True,,,,,,,
dev.epm-kava.projects.epam.com,MeetMe,200,1138,dev.epm-kava.projects.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2023-09-15T23:59:59Z,CN=dev.epm-kava.projects.epam.com,dev.epm-kava.projects.epam.com,,dev.epm-kava.projects.epam.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ed7dddb08e553c4b56c7b90812fbbdcd,bf1d497da949e77b5a6f4d4f0b857f2e21eebe73da61c8b9b48c83ac0245c245,ctls,dev.epm-kava.projects.epam.com,azure,443,https://dev.epm-kava.projects.epam.com:443,https,Microsoft-IIS/10.0,text/html,GET,20.50.2.4,/,1355346405,20.50.2.4,Windows Server,1,False,True,,,,,,,
dev.epm-rexp.projects.epam.com,REXP Digital Platform,200,551,dev.epm-rexp.projects.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2023-10-04T23:59:59Z,CN=dev.epm-rexp.projects.epam.com,dev.epm-rexp.projects.epam.com,,dev.epm-rexp.projects.epam.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",a27db7483f8fe080a727cb3e479fc629,9a52c192f17e05c1a8856d0b93f7fd51ffb0e5b7a7878a0f0b5367b5239174d0,ctls,dev.epm-rexp.projects.epam.com,,443,https://dev.epm-rexp.projects.epam.com:443,https,,text/html,GET,20.82.13.59,/,1285606671,20.82.13.59,HSTS,1,False,,,*.gstatic.com,,,,,
develop2.aws.epm-orp.projects.epam.com,,403,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://develop2.aws.epm-orp.projects.epam.com:80,http,cloudflare,text/plain,GET,104.18.12.91,/,1253481126,2606:4700::6812:d5b,HTTP/3,1,False,True,,,,,,,
developers.api.epam.com,ERROR: The request could not be satisfied,403,919,developers.api.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=developers.api.epam.com,developers.api.epam.com,,developers.api.epam.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aa494d999a1d92af91b635b6da5b9ef3,da1da49ff6dc1227172b8ef9d8fe85e2cfa55bbeefbb5594223620acf2d66c38,ctls,developers.api.epam.com,cloudfront,443,https://developers.api.epam.com:443,https,CloudFront,text/html,GET,65.9.66.67,/,-1712948176,65.9.66.32,Amazon Web Services,20,False,True,,,,,,,
docs.epam.com,Sign In to EPAM,200,48033,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://docs.epam.com:443,https,cloudflare,text/html,GET,104.18.20.196,/,-1719221997,2606:4700::6812:15c4,HTTP/3,730,False,True,True,cdnjs.cloudflare.com,,https://access.epam.com/auth/realms/plusx/protocol/openid-connect/auth?state=7gzpfgCwgcShGF37DtyjrhDqrk80-cXb9IL1kCOF2i-UBNJR30iczVEUOFPWyIxW8YlVKrJoOJA3FpLlUD8D23jee3m9ekIZ-sWbnW9uCIfJ_mbxza6e4HNpMdE=&response_type=code&client_id=oauth-client.docs.epam.com&redirect_uri=https%3A%2F%2Fdocs.epam.com%2Flogin%2Foauth2%2Fcode%2Fepam,,,
docs.odahu.epam.com,Indices and tables — Odahu release/1.6.1 documentation,200,15981,docs.odahu.epam.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-22T06:52:21Z,2023-10-20T06:52:20Z,CN=docs.odahu.epam.com,docs.odahu.epam.com,,docs.odahu.epam.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,829883fbc41a9bd523299d6193d3e12a,f5d1de9fafcec58150915f63bbe80dc108fe66d02a7ac873971964a0c8ec3c96,ctls,docs.odahu.epam.com,,80,http://docs.odahu.epam.com:80,http,GitHub.com,text/html,GET,185.199.108.153,/,1181440715,2606:50c0:8003::153,Varnish,380,False,,,,,https://docs.odahu.epam.com/,,,
docusign-rc.crm.epam.com,,200,,docusign-rc.crm.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-09-30T23:59:59Z,CN=ms.crm.epam.com,ms.crm.epam.com,,www.ms.crm.epam.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,c33c96e98da8a8cc49d1a549a3046fdc,65e3da36b62198b2c0925a1d7c331dd9a9284f2e518f513cdb9553925b8fca6d,ctls,docusign-rc.crm.epam.com,cloudflare,443,https://docusign-rc.crm.epam.com:443,https,cloudflare,,GET,104.18.6.36,/,1631801191,2606:4700::6812:724,Microsoft ASP.NET,1,False,True,,,,,,,
ebn.epam.com,Error,400,16492,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://ebn.epam.com:443,https,cloudflare,text/html,GET,104.18.12.91,/,1613988629,2606:4700::6812:d5b,HTTP/3,355,False,True,True,*.googletagmanager.com,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=gZsbqilLQxXSJ-3MyDIVn2VM9vo0PpSTjwRYt0cz0dE&client_id=oauth-client.epm-eag.ztna.prod&tab_id=c0YFgLrkQW8,,,
ecsa00100b6b.epam.com,Not Found,404,315,ecsa00100b6b.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-05T07:30:05Z,2024-11-04T07:30:05Z,"emailAddress=uladzimir_radziuk@epam.com, CN=evusprisa0113.epam.com, OU=C2913253, O=EPAm Systems, L=Newtown, ST=Pennsylvania, C=US, emailAddress=uladzimir_radziuk@epam.com",evusprisa0113.epam.com,EPAm Systems,evusprisa0113.epam.com,"CN=IssuingCA, DC=epam, DC=com, DC=epam, DC=com",IssuingCA,,9794877b63464d53fde6380b82169d93,23a3d4c314b88ee77256e1b1565acffa51634505d4e249db330691e4b79e4ae4,ctls,ecsa00100b6b.epam.com,,443,https://ecsa00100b6b.epam.com:443,https,,text/html,GET,174.128.60.136,/,225052475,174.128.60.136,,7,False,,,,True,,,,
ecsa004006a4.epam.com,403 - Forbidden: Access is denied.,403,1233,ecsa004006a4.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2021-12-10T10:12:04Z,2023-12-10T10:12:04Z,,,,dpus.sccm.epam.com,"CN=IssuingCA, DC=epam, DC=com, DC=epam, DC=com",IssuingCA,,809162cd4309f11db0ea07353cd00405,435bce0777f4e8aa704a78150c1075b8a6d42ca0fff1019d9c89b7f5ed63dd48,ctls,ecsa004006a4.epam.com,,443,https://ecsa004006a4.epam.com:443,https,,text/html,GET,174.128.60.79,/,1631801191,174.128.60.79,,30,False,,,,True,,,,
ecsa004006b2.epam.com,hybrismart | SAP Commerce Cloud under the hood  | SAP hybris,200,161559,hybrismart.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-20T02:23:56Z,2023-09-18T02:23:55Z,CN=hybrismart.com,hybrismart.com,,www.hybrismart.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,048811dc8605985f3e92cff89ef952ee,b8752e3dacd79cbbbb46cfc3bfdf7813edd8647cdf61d3e7bc3ddd05eb2aa34e,ctls,hybrismart.com,,443,https://ecsa004006b2.epam.com:443,https,nginx,text/html,GET,174.128.60.199,/,1198047028,174.128.60.199,WordPress:6.2.2,2364,False,,,,,https://hybrismart.com/,,,
ecsa00400a61.epam.com,dashboard,200,1768,ecsa00400a61.epam.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-10T17:23:31Z,2024-02-10T17:23:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,3a2332b9058d639e5853b7067d8ee2b3,08b2ed7aba6313b9c2b80f10f9e7d4d66c727d3a246126b986c7bb0da354dc16,ctls,ecsa00400a61.epam.com,,443,https://ecsa00400a61.epam.com:443,https,,text/html,GET,174.128.60.65,/,-1551025814,174.128.60.65,Vue.js,10,False,,,,True,https://ecsa00400a61.epam.com/dashboard/,,True,
ecsa00400fda.epam.com,DEP Pre-Sale Planning tool,200,843,bot.dcsva.epm-dsps.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2021-12-27T03:39:29Z,2023-12-27T03:39:29Z,"emailAddress=Artsiom_Yemelyanenka@epam.com, CN=*.dcsva.epm-dsps.projects.epam.com, OU=C2462268, O=EPAm Systems, L=Newtown, ST=Pennsylvania, C=US, emailAddress=Artsiom_Yemelyanenka@epam.com",*.dcsva.epm-dsps.projects.epam.com,EPAm Systems,ecsa00400fda.epam.com,"CN=IssuingCA, DC=epam, DC=com, DC=epam, DC=com",IssuingCA,,42aee94b3851cc6cbfc3260dbb179dd0,4a437a6c3a3f05d6708f9c9c5665e477958c6b4152ec21cf677943d8b868d152,ctls,bot.dcsva.epm-dsps.projects.epam.com,,80,http://ecsa00400fda.epam.com:80,http,nginx,text/html,GET,174.128.60.126,/,-96542818,174.128.60.126,React,1,False,,True,,,https://bot.dcsva.epm-dsps.projects.epam.com,,,
ecsa00401230.epam.com,Surveys'N'Reviews,200,588,ecsa00401230.epam.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-24T03:24:53Z,2023-05-25T03:24:52Z,CN=survey.epam.com,survey.epam.com,,survey.epam.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cafc399c25bdb8cc470edffe7c9d3e67,914fd180c3ad373dd961a9a270a3728f9d3b8b50482fbaca7eb6fc8931a906a0,ctls,ecsa00401230.epam.com,,443,https://ecsa00401230.epam.com:443,https,nginx,text/html,GET,174.128.60.178,/,2396971,174.128.60.178,Nginx,14,False,,,//*.epam.com,True,,True,,
ecsa00402559.epam.com,EPAM Shipping Label Request,200,194,ecsa00402559.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-28T17:25:56Z,2023-09-26T17:25:55Z,CN=ship.lab.epam.com,ship.lab.epam.com,,ship.lab.epam.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3338baf6fe9768c3bfd6751a4ee7537e,4cd52b3b287775d230705d483d93500a0818cf785609eb15202b2b0b1fb73044,ctls,ecsa00402559.epam.com,,443,https://ecsa00402559.epam.com:443,https,nginx,text/html,GET,174.128.60.207,/,-847007892,174.128.60.207,Nginx,1,False,,,,True,,,,
ecsa00403e02.epam.com,PAL Instructor Mode,200,1139,ecsa00403e02.epam.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:56:29Z,2023-10-08T00:56:28Z,CN=pim.pear-ltas.projects.epam.com,pim.pear-ltas.projects.epam.com,,pim.pear-ltas.projects.epam.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,68d4424a740764ba8763d0281253235a,7bb16d8a20e095ab37ce093d39a7ad985f4f37c2153e7de9dde784299af4bb4e,ctls,ecsa00403e02.epam.com,,443,https://ecsa00403e02.epam.com:443,https,nginx,text/html,GET,174.128.60.154,/,957981829,174.128.60.154,Nginx,5,False,,,,True,,,,
ecsa0040863e.epam.com,EPAM | Software Engineering & Product Development Services,200,405813,ecsa0040863e.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T13:57:09Z,2025-06-05T13:57:09Z,"emailAddress=Maksim_Bondarenko1@epam.com, CN=*.dev-pub.epm-web.projects.epam.com, OU=RITM0000113733, O=EPAm Systems, L=Newtown, ST=Pennsylvania, C=US, emailAddress=Maksim_Bondarenko1@epam.com",*.dev-pub.epm-web.projects.epam.com,EPAm Systems,ecsa0040863e.epam.com,"CN=IssuingCA, DC=epam, DC=com, DC=epam, DC=com",IssuingCA,,75fc33148cf1b0e2962c9756d8d1d9e7,ef29f385b6475e1181b2608cbd45e283a1d391041a99a514ba760c470aca300f,ctls,ecsa0040863e.epam.com,,443,https://ecsa0040863e.epam.com:443,https,,text/html,GET,174.128.60.167,/,315307673,174.128.60.167,ZURB Foundation,10940,False,,True,https://mc.yandex.md,,,,,
ecsb00100086.epam.com,,200,39,ecsb00100086.epam.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-06-19T14:07:49Z,2023-09-17T14:07:48Z,CN=ecsb00100086.epam.com,ecsb00100086.epam.com,,ecsb00100086.epam.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,705b7d09c26676c7d2d02f8fd286b516,1280187d1a763daed943b054a17a0a6d0730ce54f8da667c8be4f5aade80d10f,ctls,ecsb00100086.epam.com,,443,https://ecsb00100086.epam.com:443,https,nginx,text/html,GET,174.128.60.33,/,-436507187,174.128.60.33,Nginx,4,False,,,https:,,,,,
ecsb001018c2.epam.com,,200,170,ecsb001018c2.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,CN=*.lab.epam.com,*.lab.epam.com,,lab.epam.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,c2be33e51a4512f3b53dd884d35921cc,6e64a26e3a97c71bf050e36c853a67dff87f2b23157f57b946ffe9204ef44eea,ctls,ecsb001018c2.epam.com,,443,https://ecsb001018c2.epam.com:443,https,,text/html,GET,91.120.43.9,/,593259606,91.120.43.9,HSTS,4,False,,True,,True,,,,
ecsb00101999.epam.com,502 Bad Gateway,502,150,ecsb00101999.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2021-09-10T13:32:28Z,2023-09-10T13:32:28Z,"CN=garage.lab.epam.com, O=EPAm Systems, L=Newtown, ST=Pennsylvania, C=US",garage.lab.epam.com,EPAm Systems,ecsc00a07e0e.epam.com,"CN=IssuingCA, DC=epam, DC=com, DC=epam, DC=com",IssuingCA,,a7803dab5533a1d4bb5505fd3ea37ba2,cc1be7e0bbb9a99608ab0bf251d2ff8b4b734cfa6b71c23ad0eb6fa07b527ae9,ctls,ecsb00101999.epam.com,,443,https://ecsb00101999.epam.com:443,https,nginx,text/html,GET,91.120.43.60,/,-803400545,91.120.43.60,Nginx,8,False,,,,True,,,,
ecsb00102157.epam.com,,200,4466,ecsb00102157.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-04T00:00:00Z,2024-07-03T23:59:59Z,CN=exam.epam.com,exam.epam.com,,exam.epam.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,2dd398242d25f9c71c9961fe5323b605,580b73be7cdc52df8690e0d0d30c69e60d04def32cc4fe7a4fb48262d89dc08e,ctls,ecsb00102157.epam.com,,443,https://ecsb00102157.epam.com:443,https,nginx,text/html,GET,91.120.43.104,/,-662451743,91.120.43.104,Nginx,150,False,,,*.epam.com,True,https://ecsb00102157.epam.com/login,,,
ecsb003000b1.epam.com,404 Not Found,404,196,ecsb003000b1.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-26T08:26:35Z,2025-01-25T08:26:35Z,"CN=ecsb003000b1.epam.com, O=EPAm Systems, L=Newtown, ST=Pennsylvania, C=US",ecsb003000b1.epam.com,EPAm Systems,ecsb003000b1.epam.com,"CN=IssuingCA, DC=epam, DC=com, DC=epam, DC=com",IssuingCA,,3302553f6d0d98b8170b947e73eef69e,dc6eec789d4268121d38e54aa947f8eb8cb278276d995a7a5cb70c71266b969c,ctls,ecsb003000b1.epam.com,,443,https://ecsb003000b1.epam.com:443,https,Apache,text/html,GET,91.120.43.193,/,-780928015,91.120.43.193,HSTS,8,False,,,,,,,,
ecsb0030090b.epam.com,,200,4466,ecsb0030090b.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-04T00:00:00Z,2024-07-03T23:59:59Z,CN=exam.epam.com,exam.epam.com,,exam.epam.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,2dd398242d25f9c71c9961fe5323b605,580b73be7cdc52df8690e0d0d30c69e60d04def32cc4fe7a4fb48262d89dc08e,ctls,ecsb0030090b.epam.com,,443,https://ecsb0030090b.epam.com:443,https,nginx,text/html,GET,91.120.43.104,/,-662451743,91.120.43.104,Nginx,150,False,,,*.epam.com,True,https://ecsb0030090b.epam.com/login,,,
ecsb00300af8.epam.com,403 Forbidden,403,146,ecsb00300af8.epam.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-06T11:06:58Z,2024-06-09T15:15:11Z,CN=*.test-env.pypl-hbfc.projects.epam.com,*.test-env.pypl-hbfc.projects.epam.com,,test-env.pypl-hbfc.projects.epam.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",761931bbccf9acdaad967d6b278bdbb8,5b9742c6f98e21649dbe1efb7fae93560094309ebc710127fad88de44dc05393,ctls,ecsb00300af8.epam.com,,443,https://ecsb00300af8.epam.com:443,https,nginx,text/html,GET,91.120.43.31,/,-1561873722,91.120.43.31,Nginx,8,False,,True,,True,,,,
ecsb003015bc.epam.com,Booking,200,543,ecsb003015bc.epam.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,CN=*.lab.epam.com,*.lab.epam.com,,lab.epam.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,c2be33e51a4512f3b53dd884d35921cc,6e64a26e3a97c71bf050e36c853a67dff87f2b23157f57b946ffe9204ef44eea,ctls,ecsb003015bc.epam.com,,443,https://ecsb003015bc.epam.com:443,https,nginx,text/html,GET,91.120.43.134,/,840985669,91.120.43.134,Nginx,1,False,,True,*.epam.com,True,,,,
